Merge ID	DB_NoveV12	Ishihama2008_fin	Masuda2009_fin	PengTable_fin	Taniguchi2010_fin_mmol	OurStudy	# Studies	DB_NoveV12 Duplicates	Ishihama2008_fin Duplicates	Masuda2009_fin Duplicates	PengTable_fin Duplicates	Taniguchi2010_fin_mmol Duplicates	OurStudy Duplicates	Subcellular Location(this study)	emPAI-derived copy no/cell (see Figure 2)	Copy number per cell	APEX	mMol	P00350	
Q6BF86	1						1	1						B					
P37388	1			1			2	1			1			F1					
P68066	1	1	1	1	1	1	6	1	1	2	1	1	1	A	1.02E+04	3242.65	3223.17	0.088574	P68066
P0ACF4	1	1	1	1	1	1	6	1	1	2	1	1	1	A	9.52E+04	563.11	5891.69	1.3153	P0ACF4
P75616	1			1			2	1			1			G					
P64485	1			1			2	1			1			B					
P00350	1	1	1	1	1	1	6	1	1	2	1	1	1	A	1.42E+04	1366.35	8435.17	0.00021234	P00350
P00363	1	1	1	1		1	5	1	1	2	1		1	F1	1.27E+02	245.29			P00363
P00370	1	1	1	1		1	5	1	1	1	1		1	A	3.68E+02	9.44	7143.48		P00370
P00393	1	1	1	1	1	1	6	1	1	2	1	1	1	F1	5.71E+02	213.48		0.024811	P00393
P00448	1	1	1	1		1	5	1	1	1	1		1	A	3.69E+04	950			P00448
P00452	1	1	1	1	1	1	6	1	1	2	1	1	1	A	1.08E+03	275	344.17	0.098918	P00452
P00490	1	1	1	1	1	1	6	1	1	2	1	1	1	A	7.52E+02	365.77		0.0033189	P00490
P00509	1	1	1	1	1	1	6	1	1	2	1	1	1	A	2.11E+03	1090.63	8329.33	0.10313	P00509
P00547	1	1		1			3	1	1		1			A	7.37E+02		314.52		
P00550	1		1	1		1	4	1		2	1		1	B		56.81			P00550
P00561	1	1	1	1		1	5	1	1	2	1		1	F1	8.81E+02	28.78	8864.15		P00561
P00562	1	1	1	1	1	1	6	1	1	2	1	1	1	A	8.66E+01	25.99	313.27	0.019182	P00562
P00579	1	1	1	1		1	5	1	1	2	1		1	A	1.32E+03	246.16	484.78		P00579
P00803	1		1	1		1	4	1		2	1		1	B		34.35			P00803
P00804	1			1			2	1			1			B					
P00805	1		1	1			3	1		1	1			G		58.18			
P00811	1	1	1	1			4	1	1	1	1			G	1.47E+02	10			
P00861	1			1	1		3	1			1	1		A			253.27	0.0046914	
P00864	1	1	1	1	1	1	6	1	1	2	1	1	1	A	8.51E+02	57.65	6554.01	0.0058369	P00864
P00887	1		1	1		1	4	1		2	1		1	A		25.05			P00887
P00888	1			1			2	1			1			A			154.05		
P00895	1			1			2	1			1			A					
P00903	1			1		1	3	1			1		1	A					P00903
P00904	1			1			2	1			1			F1			453.28		
P00914	1			1	1		3	1			1	1		A				0.0014021	
P00934	1	1	1	1		1	5	1	1	2	1		1	A	1.04E+03	81.25	12922.78		P00934
P00935	1			1	1		3	1			1	1		A			160.84	0.0091196	
P00944	1			1			2	1			1			A					
P00946	1	1	1	1	1	1	6	1	1	1	1	1	1	A	8.59E+02	47.23		0.0091504	P00946
P00954	1	1	1	1	1	1	6	1	1	1	1	1	1	A	2.66E+03	348.59	1305.5	0.050634	P00954
P00956	1	1	1	1	1	1	6	1	1	2	1	1	1	A_trl	2.15E+03	453.48	789.49	0.026309	P00956
P00959	1	1	1	1	1	1	6	1	1	2	1	1	1	A_trl	1.35E+03	398	1070.76	0.031792	P00959
P00961	1	1	1	1		1	5	1	1	2	1		1	A_trl	2.42E+03	1065.31	1560.93		P00961
P00962	1	1	1	1	1	1	6	1	1	1	1	1	1	A	1.68E+03	329.22	1158.08	0.026685	P00962
P00963	1	1	1	1		1	5	1	1	2	1		1	A	1.16E+03	99.64	1572.09		P00963
P00968	1	1	1	1		1	5	1	1	2	1		1	A	9.72E+02	1302.81	1601.52		P00968
P02358	1	1	1	1		1	5	1	1	2	1		1	A_trl	2.84E+04	7.132	13860.74		P02358
P02359	1	1	1	1		1	5	1	1	2	1		1	A_trl	1.28E+05	6582.23	20417.8		P02359
P02413	1	1	1	1		1	5	1	1	2	1		1	A_trl	3.90E+04	1033.75	6638.93		P02413
P02916	1		1	1			3	1		2	1			B		24.12			
P02918	1	1	1	1	1	1	6	1	1	1	1	1	1	B	8.04E+01	2		0.00057933	P02918
P02920	1			1			2	1			1			B					
P02924	1	1		1			3	1	1		1			G	1.37E+02				
P02925	1	1	1	1	1	1	6	1	1	2	1	1	1	G	4.63E+03	346.01	1044.57	9.5967e-005	P02925
P02930	1	1	1	1		1	5	1	1	2	1		1	H	8.85E+02	527.07			P02930
P02931	1	1	1	1		1	5	1	1	2	1		1	H	1.25E+03	1595.96			P02931
P02932	1		1	1			3	1		1	1			H		12.79			
P02943	1	1	1	1			4	1	1	2	1			H	2.02E+02	106.35			
P03007	1		1	1		1	4	1		1	1		1	A		22.71			P03007
P03018	1	1	1	1	1	1	6	1	1	2	1	1	1	A	9.26E+01	16.12		0.0080519	P03018
P03024	1			1		1	3	1			1		1	A					P03024
P03030	1			1		1	3	1			1		1	A					P03030
P03813	1			1			2	1			1			A					
P03817	1	1	1	1			4	1	1	1	1			A	6.13E+02	260.06			
P03959	1			1			2	1			1			B					
P03961	1		1	1		1	4	1		1	1		1	B		1.54			P03961
P04036	1	1	1	1	1	1	6	1	1	1	1	1	1	A	4.83E+02	32.03	871.74	0.021979	P04036
P04079	1	1	1	1	1	1	6	1	1	2	1	1	1	A	3.22E+03	1352.28	3935.07	0.13645	P04079
P04152	1			1			2	1			1			A					
P04335	1		1	1	1	1	5	1		2	1	1	1	A		30.18		0.0019669	P04335
P04425	1	1	1	1		1	5	1	1	1	1		1	A	1.26E+03	201.25			P04425
P04693	1	1	1	1		1	5	1	1	2	1		1	A	5.10E+02	85.75	2734.66		P04693
P04805	1	1	1	1		1	5	1	1	2	1		1	A	2.25E+03	687	2538.9		P04805
P04816	1	1		1			3	1	1		1			G	4.24E+02		1613.28		
P04825	1	1	1	1	1	1	6	1	1	2	1	1	1	F1	8.40E+02	142.33	485.85	0.053725	P04825
P04951	1	1	1	1	1	1	6	1	1	2	1	1	1	A	6.13E+02	131.26		0.014755	P04951
P04968	1			1	1	1	4	1			1	1	1	B				0.0046776	P04968
P04983	1		1	1			3	1		2	1			F1		13.75			
P04993	1			1	1	1	4	1			1	1	1	A				0.001988	P04993
P04995	1			1	1	1	4	1			1	1	1	A				0.0012466	P04995
P05020	1	1	1	1		1	5	1	1	1	1		1	A	6.64E+02	884.64	2192.48		P05020
P05042	1		1	1	1	1	5	1		2	1	1	1	A		142.33		0.0087032	P05042
P05050	1			1			2	1			1			B					
P05055	1	1	1	1	1	1	6	1	1	2	1	1	1	A	5.70E+03	476.06		0.39199	P05055
P05194	1	1		1		1	4	1	1		1		1	A	2.78E+02				P05194
P05458	1			1		1	3	1			1		1	G					P05458
P05459	1	1	1	1		1	5	1	1	1	1		1	A	3.53E+02	177.58	127.32		P05459
P05523	1			1	1		3	1			1	1		A				0.00049017	
P05637	1		1	1			3	1		1	1			A		33.42			
P05793	1	1	1	1		1	5	1	1	1	1		1	A	4.71E+02	15.65	21100.49		P05793
P05804	1			1			2	1			1			A					
P05824	1			1	1		3	1			1	1		B				0.0048333	
P05827	1			1		1	3	1			1		1	A					P05827
P05847	1			1		1	3	1			1		1	A					P05847
P05852	1		1	1	1	1	5	1		2	1	1	1	A		24.12		0.00062689	P05852
P06136	1		1	1		1	4	1		1	1		1	B		1.74			P06136
P06149	1	1	1	1		1	5	1	1	2	1		1	F1	9.43E+01	37.12			P06149
P06282	1		1	1		1	4	1		1	1		1	B		1.81			P06282
P06610	1		1	1		1	4	1		1	1		1	A		54.08			P06610
P06611	1		1	1		1	4	1		1	1		1	F1		-			P06611
P06612	1	1	1	1	1	1	6	1	1	2	1	1	1	A	5.56E+02	55.45		0.024597	P06612
P06616	1		1	1	1	1	5	1		2	1	1	1	F1		90.69		0.00031688	P06616
P06709	1		1	1	1	1	5	1		2	1	1	1	B		13.27		0.0039122	P06709
P06710	1		1	1	1	1	5	1		2	1	1	1	A_trl		7.99		0.0058808	P06710
P06715	1	1	1	1	1	1	6	1	1	1	1	1	1	A	7.63E+02	122.38		0.00062508	P06715
P06720	1			1		1	3	1			1		1	A					P06720
P06721	1			1		1	3	1			1		1	A			1893.17		P06721
P06722	1			1	1	1	4	1			1	1	1	A				0.00046888	P06722
P06846	1			1		1	3	1			1		1	A					P06846
P06864	1			1			2	1			1			A					
P06961	1		1	1	1		4	1		1	1	1		A		9.44		0.0055267	
P06968	1	1	1	1	1		5	1	1	1	1	1		A	2.66E+03	99.64		0.078557	
P06983	1	1	1	1		1	5	1	1	2	1		1	A	2.84E+02	232			P06983
P06986	1	1		1	1	1	5	1	1		1	1	1	A	2.12E+02		1248.03	0.0085692	P06986
P06987	1		1	1		1	4	1		1	1		1	A		20			P06987
P06988	1	1		1		1	4	1	1		1		1	A	4.94E+02		879.83		P06988
P06992	1	1	1	1		1	5	1	1	1	1		1	A_trl	5.46E+02	154.25			P06992
P06999	1	1	1	1	1	1	6	1	1	1	1	1	1	A	3.48E+02	49.52		0.015889	P06999
P07000	1			1	1	1	4	1			1	1	1	F1				0.0031506	P07000
P07001	1	1	1	1		1	5	1	1	2	1		1	B	1.67E+02	27.85			P07001
P07003	1	1	1	1		1	5	1	1	1	1		1	F1	1.24E+02	14.22			P07003
P07004	1	1	1	1	1	1	6	1	1	1	1	1	1	A	4.53E+02	87.54		0.021814	P07004
P07014	1	1	1	1		1	5	1	1	2	1		1	F1	3.68E+02	9524.82			P07014
P07021	1		1	1			3	1		1	1			I		-			
P07023	1			1	1	1	4	1			1	1	1	A			770.66	0.0053229	P07023
P07102	1			1		1	3	1			1		1	G					P07102
P07109	1			1		1	3	1			1		1	F1					P07109
P07118	1	1	1	1	1	1	6	1	1	2	1	1	1	A_trl	1.62E+03	263.96	1119.34	0.040924	P07118
P07330	1			1			2	1			1			A					
P07364	1			1			2	1			1			A					
P07604	1	1	1	1	1	1	6	1	1	2	1	1	1	A	1.45E+02	22.71		0.0041794	P07604
P07623	1			1			2	1			1			A			1492.17		
P07639	1		1	1	1	1	5	1		2	1	1	1	A		76.29	601.54	0.013233	P07639
P07648	1			1		1	3	1			1		1	A					P07648
P07649	1			1	1	1	4	1			1	1	1	A				0.0022645	P07649
P07650	1	1	1	1		1	5	1	1	1	1		1	B	1.00E+04	62.27			P07650
P07654	1			1		1	3	1			1		1	B					P07654
P07762	1	1	1	1			4	1	1	1	1			A	9.99E+01	21.31			
P07813	1	1	1	1	1	1	6	1	1	2	1	1	1	A	2.56E+03	626.95	1138.73	0.037294	P07813
P07821	1		1	1	1	1	5	1		1	1	1	1	F1		-		0.0046236	P07821
P07822	1			1		1	3	1			1		1	G					P07822
P07862	1	1	1	1		1	5	1	1	1	1		1	A	3.92E+02	32.03			P07862
P07913	1	1	1	1		1	5	1	1	2	1		1	A	4.94E+02	398			P07913
P08142	1		1	1	1	1	5	1		2	1	1	1	A		64.08	3487.21	0.0062205	P08142
P08178	1	1	1	1		1	5	1	1	1	1		1	A	1.43E+03	87.54	207.05		P08178
P08179	1	1		1		1	4	1	1		1		1	A	1.98E+02				P08179
P08192	1		1	1	1	1	5	1		2	1	1	1	A		99.64		0.0063886	P08192
P08200	1	1	1	1		1	5	1	1	2	1		1	B	8.19E+03	3190.93	19479.77		P08200
P08201	1		1	1			3	1		1	1			A		41.26			
P08244	1	1	1	1		1	5	1	1	2	1		1	A	2.12E+02	283.89			P08244
P08312	1	1	1	1		1	5	1	1	2	1		1	A	1.72E+03	444.52	2019.67		P08312
P08331	1	1	1	1		1	5	1	1	1	1		1	G	1.95E+02	19.43			P08331
P08337	1			1	1		3	1			1	1		A				0.0027423	
P08368	1			1			2	1			1			A					
P08370	1			1			2	1			1			G					
P08371	1			1			2	1			1			B					
