Join Name	CommonCore	K12	No files found in	CommonCore Duplicates	K12 Duplicates
P0A6B4	1	1	2	1	1	EG10001
P0AF01	1	1	2	1	1	EG10002
P0ABQ0	1	1	2	1	1	EG10004
P69811	1	1	2	1	1	EG10005
P0AEU3	1	1	2	1	1	EG10007
P0A8I3	1	1	2	1	1	EG10011
P23886	1	1	2	1	1	EG10012
P0AFS9	1	1	2	1	1	EG10013
P24177	1	1	2	1	1	EG10014
P27434	1	1	2	1	1	EG10015
P23522	1	1	2	1	1	EG10016
P0AD57	1	1	2	1	1	EG10017
P13518	1	1	2	1	1	EG10018
P0AE88	1	1	2	1	1	EG10020
P24203	1	1	2	1	1	EG10021
P0A9G6	1	1	2	1	1	EG10022
P08997	1	1	2	1	1	EG10023
P0AFG8	1	1	2	1	1	EG10024
P06959	1	1	2	1	1	EG10025
P0A6A3	1	1	2	1	1	EG10027
P0A9N4	1	1	2	1	1	EG10028
P06134	1	1	2	1	1	EG10029
P22333	1	1	2	1	1	EG10030
P0A9Q7	1	1	2	1	1	EG10031
P69441	1	1	2	1	1	EG10032
P00957	1	1	2	1	1	EG10034
P25553	1	1	2	1	1	EG10035
P23883	1	1	2	1	1	EG10036
P05050	1	1	2	1	1	EG10037
P00811	1	1	2	1	1	EG10040
P13016	1	1	2	1	1	EG10041
P22255	1	1	2	1	1	EG10043
P0A962	1	1	2	1	1	EG10045
P00805	1	1	2	1	1	EG10046
P62672	1	1	2	1	1	EG10047
P05637	1	1	2	1	1	EG10048
P69503	1	1	2	1	1	EG10051
P0A9E0	1	1	2	1	1	EG10054
P02924	1	1	2	1	1	EG10057
P0AAF3	1	1	2	1	1	EG10058
P0AE26	1	1	2	1	1	EG10059
P0A9Q1	1	1	2	1	1	EG10061
P0AEC3	1	1	2	1	1	EG10062
P0A6C5	1	1	2	1	1	EG10063
P0A6C8	1	1	2	1	1	EG10064
P11446	1	1	2	1	1	EG10065
P18335	1	1	2	1	1	EG10066
P0A6E4	1	1	2	1	1	EG10068
P04391	1	1	2	1	1	EG10069
P11875	1	1	2	1	1	EG10071
P09551	1	1	2	1	1	EG10072
P0A6D3	1	1	2	1	1	EG10073
P07639	1	1	2	1	1	EG10074
P12008	1	1	2	1	1	EG10075
P15770	1	1	2	1	1	EG10077
P00888	1	1	2	1	1	EG10078
P0AB91	1	1	2	1	1	EG10079
P00887	1	1	2	1	1	EG10080
P0A6D7	1	1	2	1	1	EG10081
P15993	1	1	2	1	1	EG10084
P24242	1	1	2	1	1	EG10087
P0A9Q9	1	1	2	1	1	EG10088
P0A8M0	1	1	2	1	1	EG10094
P0AC38	1	1	2	1	1	EG10095
P00509	1	1	2	1	1	EG10096
P21889	1	1	2	1	1	EG10097
P0ABB0	1	1	2	1	1	EG10098
P0AB98	1	1	2	1	1	EG10099
P0A6E6	1	1	2	1	1	EG10100
P0ABB4	1	1	2	1	1	EG10101
P68699	1	1	2	1	1	EG10102
P0ABA0	1	1	2	1	1	EG10103
P0ABA6	1	1	2	1	1	EG10104
P0ABA4	1	1	2	1	1	EG10105
P09053	1	1	2	1	1	EG10107
P0AE52	1	1	2	1	1	EG10108
P17445	1	1	2	1	1	EG10110
P0ABC9	1	1	2	1	1	EG10112
P0ABD3	1	1	2	1	1	EG10113
