Join Name	Removal Reason
P36930	Insertion Sequence
P0CE57	"Insertion Sequence;Transposase"
P0CE58	"Insertion Sequence;Transposase"
P0CF40	"Insertion Sequence;Insertion Element ;Transposase"
P0CF41	"Insertion Sequence;Insertion Element ;Transposase"
P0CF42	"Insertion Sequence;Insertion Element ;Transposase"
P0CF43	"Insertion Sequence;Insertion Element ;Transposase"
P0CF44	"Insertion Sequence;Insertion Element ;Transposase"
P0CF45	"Insertion Sequence;Insertion Element ;Transposase"
P0CF46	"Insertion Sequence;Insertion Element ;Transposase;Plasmid F"
P0CF53	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
P0CF54	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
P0CF55	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
P0CF56	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
P0CF57	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
P0CF58	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
P0CF59	"Insertion Sequence;Insertion Element ;Transposase;Plasmid F"
P0CF60	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
P0CF66	"Insertion Sequence;Transposase"
P0CF67	"Insertion Sequence;Transposase"
P0CF68	"Insertion Sequence;Transposase"
P0CF69	"Insertion Sequence;Transposase"
P0CF70	"Insertion Sequence;Transposase"
P0CF71	"Insertion Sequence;Transposase;Plasmid F"
P0CF72	"Insertion Sequence;Transposase;Plasmid F"
P0CF79	"Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"
P0CF80	"Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"
P0CF81	"Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"
P0CF82	"Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"
P0CF83	"Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"
P0CF84	"Insertion Sequence;Transposase;Plasmid F"
Q9JMT3	"Insertion Sequence;Transposase;Plasmid F"
P03835	"Insertion Sequence;Transposase"
P0CE49	"Insertion Sequence;Transposase"
P0CE50	"Insertion Sequence;Transposase"
P0CE51	"Insertion Sequence;Transposase"
P0CE52	"Insertion Sequence;Transposase"
P76071	"Insertion Sequence;Transposase"
P0CE53	"Insertion Sequence;Transposase"
P0CE54	"Insertion Sequence;Transposase"
P0CE55	"Insertion Sequence;Transposase"
P0CE56	"Insertion Sequence;Transposase"
P0CF88	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
P0CF89	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
P0CF90	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
P19769	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"
P0CF91	"Insertion Sequence;Insertion Element ;Transposase"
P0CF92	"Insertion Sequence;Transposase"
P0CF93	"Insertion Sequence;Transposase"
P75679	"Insertion Sequence;Transposase"
P39212	"Insertion Sequence;Transposase"
P75680	"Insertion Sequence;Transposase"
Q47718	"Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"
P76102	"Insertion Sequence;Insertion Element ;Transposase"
P77184	Insertion Sequence
P75697	Insertion Sequence
P33924	"Insertion Sequence;Insertion Element "
P0ABP3	Insertion Element 
P0CF07	Insertion Element 
P0CF08	Insertion Element 
P0CF09	Insertion Element 
P0CF10	Insertion Element 
P0CF11	Insertion Element 
P0CF12	Insertion Element 
P19767	Insertion Element 
P0CF25	"Insertion Element ;Transposase"
P0CF26	"Insertion Element ;Transposase"
P0CF27	"Insertion Element ;Transposase"
P57998	"Insertion Element ;Transposase"
P0CF28	"Insertion Element ;Transposase"
P0CF29	"Insertion Element ;Transposase"
P19768	Insertion Element 
P0AFF2	Insertion Element 
P36667	Insertion Element 
Q00037	"Transposase;Plasmid F"
P31665	Transposase
P28916	"Transposase;Rhs Element"
P75741	"Transposase;Rhs Element"
Q2EEQ8	Transposase
P30192	Transposase
P28917	"Transposase;Rhs Element"
P37014	Transposase
P77768	Transposase
P31667	Transposase
P28912	"Transposase;Rhs Element"
P39387	Transposase
Q79E92	Transposase
P76119	Transposase
P75969	"Rhs Element;Prophage Integrase;EcoGene Prophage Integrase "
P24218	"Rhs Element;Prophage Integrase;EcoGene Prophage Integrase "
P32053	"Rhs Element;Prophage Integrase;EcoGene Prophage Integrase "
P37326	"Rhs Element;Prophage Integrase;EcoGene Prophage Integrase "
P39347	"Rhs Element;Prophage Integrase"
P76168	"Rhs Element;Prophage Integrase"
P76056	"Rhs Element;Prophage Integrase;EcoGene Prophage Integrase "
P76542	"Rhs Element;Prophage Integrase;EcoGene Prophage Integrase "
P71298	"Rhs Element;Prophage Integrase;EcoGene Prophage Integrase "
P76323	"Rhs Element;Prophage Integrase"
P16917	Rhs Element
P16918	Rhs Element
P16916	Rhs Element
P16919	Rhs Element
P32109	Rhs Element
P24211	Rhs Element
P77779	Rhs Element
P77759	Rhs Element
P0A6K1	Prophage Integrase
P0ADH5	Prophage Integrase
P0ADH7	Prophage Integrase
P52627	Prophage Integrase
P03018	Prophage Integrase
P37007	"Prophage Integrase;EcoGene Prophage Integrase "
P0A8A0	Prophage Integrase
P0A8A2	Prophage Integrase
P23305	Prophage Integrase
P0ADP0	Prophage Integrase
P05052	EcoGene Prophage Integrase 
P06960	EcoGene Prophage Integrase 
P06966	EcoGene Prophage Integrase 
P09557	EcoGene Prophage Integrase 
P06965	EcoGene Prophage Integrase 
P11072	EcoGene Prophage Integrase 
P24200	EcoGene Prophage Integrase 
P23895	EcoGene Prophage Integrase 
P09169	EcoGene Prophage Integrase 
P03014	EcoGene Prophage Integrase 
P15033	EcoGene Prophage Integrase 
P15032	EcoGene Prophage Integrase 
P0C079	EcoGene Prophage Integrase 
P23849	EcoGene Prophage Integrase 
P09153	EcoGene Prophage Integrase 
P07010	EcoGene Prophage Integrase 
P0ACG6	EcoGene Prophage Integrase 
P0C077	EcoGene Prophage Integrase 
P0ACW8	EcoGene Prophage Integrase 
P29009	EcoGene Prophage Integrase 
P21418	EcoGene Prophage Integrase 
P29010	EcoGene Prophage Integrase 
P31062	EcoGene Prophage Integrase 
P33228	EcoGene Prophage Integrase 
P33229	EcoGene Prophage Integrase 
P33230	EcoGene Prophage Integrase 
P33997	EcoGene Prophage Integrase 
P38392	EcoGene Prophage Integrase 
P38393	EcoGene Prophage Integrase 
P38394	EcoGene Prophage Integrase 
P0ACW0	EcoGene Prophage Integrase 
P76061	EcoGene Prophage Integrase 
P36995	EcoGene Prophage Integrase 
P0A976	EcoGene Prophage Integrase 
P37009	EcoGene Prophage Integrase 
