Join Name	Pseudo	MobElem	PlasmF	No files found in	Pseudo Duplicates	MobElem Duplicates	PlasmF Duplicates		
P30852	1			1	1			P30852	Ohman pseudo 
P75936	1			1	1			P75936	Ohman pseudo 
Q46817	1			1	1			Q46817	Ohman pseudo 
P0CG19	1			1	1			P0CG19	Uniprot pseudo 
P0ADQ5	1			1	1			P0ADQ5	Ohman pseudo
P0AGC7	1			1	1			P0AGC7	Ohman pseudo 
P42626	1			1	1			P42626	Ohman pseudo 
P76147	1			1	1			P76147	Ohman pseudo 
P39221	1			1	1			P39221	Ohman pseudo 
P52048	1			1	1			P52048	Ohman pseudo 
P21420	1			1	1			P21420	Uniprot pseudo 
P32051	1			1	1			P32051	Uniprot pseudo 
P33345	1			1	1			P33345	Uniprot pseudo 
P33924	1			1	1			P33924	Uniprot pseudo 
P37003	1			1	1			P37003	Uniprot pseudo 
P39309	1			1	1			P39309	Uniprot pseudo 
P39347	1	1		2	1	1		P39347	"Uniprot pseudo ; Mobile Element"
P39349	1			1	1			P39349	Uniprot pseudo
P39391	1			1	1			P39391	Uniprot pseudo 
P39393	1			1	1			P39393	Uniprot pseudo 
P39874	1			1	1			P39874	Uniprot pseudo 
P45766	1			1	1			P45766	Uniprot pseudo 
P64526	1			1	1			P64526	Uniprot pseudo 
P75901	1			1	1			P75901	Uniprot pseudo 
P75978	1			1	1			P75978	Uniprot pseudo 
P76066	1			1	1			P76066	Uniprot pseudo 
P76119	1	1		2	1	1		P76119	"Uniprot pseudo ; Mobile Element"
P76205	1			1	1			P76205	Uniprot pseudo 
P77184	1			1	1			P77184	Uniprot pseudo 
P77199	1			1	1			P77199	Uniprot pseudo 
Q46786	1			1	1			Q46786	Uniprot pseudo 
Q46791	1			1	1			Q46791	Uniprot pseudo 
Q46833	1			1	1			Q46833	Uniprot pseudo 
Q46840	1			1	1			Q46840	Uniprot pseudo 
A5A625	1			1	1			A5A625	Uniprot pseudo 
P0AD35	1			1	1			P0AD35	Uniprot pseudo 
P0CD93	1			1	1			P0CD93	Uniprot pseudo 
P24211	1	1		2	1	1		P24211	"Uniprot pseudo ; Mobile Element"
P28369	1			1	1			P28369	Uniprot pseudo 
P30192	1	1		2	1	1		P30192	"Uniprot pseudo ; Mobile Element"
P31061	1			1	1			P31061	Uniprot pseudo
P31450	1			1	1			P31450	Uniprot pseudo
P31452	1			1	1			P31452	Uniprot pseudo
P32109	1	1		2	1	1		P32109	"Uniprot pseudo ; Mobile Element"
P32690	1			1	1			P32690	Uniprot pseudo 
P33227	1			1	1			P33227	Uniprot pseudo
P33353	1			1	1			P33353	Uniprot pseudo 
P33669	1			1	1			P33669	Uniprot pseudo 
