Uniprot Accession	Gene Name	Alter Gene Name	Order Locus Name	Order Locus Name	Entry Name	Subcellular Uniprot	Protein Existence	Origin
P30852	smf		b4473	JW5708	SMF_ECOLI		Inferred from homology	Ohman
P75936	flgD	fla FIV flaV	b1075	JW1062	FLGD_ECOLI		Inferred from homology	Ohman
Q46817	ygfQ	ygfR	b4464	JW5467	YGFQ_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Inferred from homology	Ohman
P0CG19	rph		b3643	JW3618	RNPH_ECOLI		Inferred from homology	Uniprot
P0ADQ5	yiiE		b3889	JW5929	YIIE_ECOLI		Inferred from homology	Ohman
P0AGC7	smp	ytjB	b4387	JW4350	SMP_ECOLI	"Cell membrane; Peripheral membrane protein. "	Inferred from homology	Ohman
P42626	yhaM	yhaN	b4470	JW5518	YHAM_ECOLI		Inferred from homology	Ohman
P76147	yneF		b1522	JW5825	YNEF_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Predicted	Ohman
P39221	yabQ		b0057	JW0056	YABQ_ECOLI		Predicted	Ohman
P52048	yggP		b4465	JW5477	YGGP_ECOLI		Predicted	Ohman
P21420	nmpC	phmA	b0553		NMPC_ECOLI	"Cell outer membrane; Multi-pass membrane protein. "	Uncertain	Uniprot
P32051	ydeK	orfT	b1510	JW1503	YDEK_ECOLI	"Cell membrane; Lipid-anchor. "	Uncertain	Uniprot
P33345	yehH	molR	b4499		MOLR_ECOLI		Uncertain	Uniprot
P33924	yejO		b2190	JW5839	YEJO_ECOLI	"Cell outer membrane; Peripheral membrane protein. "	Uncertain	Uniprot
P37003	ybfG		b0691	JW5094 JW5095	YBFG_ECOLI		Uncertain	Uniprot
P39309	ytfA		b4205	JW4163	YTFA_ECOLI		Uncertain	Uniprot
P39347	intB		b4271	JW4227	INTB_ECOLI		Uncertain	Uniprot
P39349	yjgX		b4575		YJGX_ECOLI	"Cell membrane; Single-pass membrane protein. "	Uncertain	Uniprot
P39391	yjiT		b4342	JW5787	YJIT_ECOLI		Uncertain	Uniprot
P39393	yjiV	mcrD	b4486		YJIV_ECOLI		Uncertain	Uniprot
P39874	ybeM		b4581	JW0620 JW0621	YBEM_ECOLI		Uncertain	Uniprot
P45766	yhdW		b3268	JW3236	YHDW_ECOLI	Periplasm. 	Uncertain	Uniprot
P64526	yeeW		b2006	JW1988	YEEW_ECOLI		Uncertain	Uniprot
P75901	efeU	ycdN	b4490	JW5141 JW1002	EFEU_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Uncertain	Uniprot
P75978	ymfN		b1149	JW1135	YMFN_ECOLI		Uncertain	Uniprot
P76066	ydaW		b1361	JW5211	YDAW_ECOLI		Uncertain	Uniprot
P76119	yncI	yncM	b1459	JW1453 JW5237	YNCI_ECOLI		Uncertain	Uniprot
P76205	arpB		b4494	JW5278 JW1710	ARPB_ECOLI		Uncertain	Uniprot
P77184	lomR		b4570	JW5884 JW5904	LOMR_ECOLI		Uncertain	Uniprot
P77199	yaiT		b4580	JW0362 JW5051	YAIT_ECOLI		Uncertain	Uniprot
Q46786	ygeF		b2850	JW2818	YGEF_ECOLI		Uncertain	Uniprot
Q46791	ygeK	ygeL	b2856	JW5458 JW2824	YGEK_ECOLI		Uncertain	Uniprot
Q46833	yghE		b2969		YGHE_ECOLI	Cell inner membrane. 	Uncertain	Uniprot
Q46840	yghO		b2981	JW5848	YGHO_ECOLI		Uncertain	Uniprot
A5A625	yibV		b4615		YIBV_ECOLI		Uncertain	Uniprot
P0AD35	yfdO		b2358	JW2355	YFDO_ECOLI		Uncertain	Uniprot
P0CD93	ymjD		b4673	JW5960.1	YMJD_ECOLI		Uncertain	Uniprot
P24211	rhsE		b1456	JW1451	RHSE_ECOLI		Uncertain	Uniprot
P28369	prfH		b0236	JW0226	RFH_ECOLI		Uncertain	Uniprot
P30192	ychG		b4573	JW1227 JW5883	YCHG_ECOLI		Uncertain	Uniprot
P31061	nohA		b1548	JW1541	NOHA_ECOLI		Uncertain	Uniprot
P31450	glvG		b4556		GLVG_ECOLI		Uncertain	Uniprot
P31452	glvC		b3683	JW3660	PTXC_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Uncertain	Uniprot
P32109	yibJ		b3595	JW5647	YIBJ_ECOLI		Uncertain	Uniprot
P32690	yjbI		b4038	JW3998	YJBI_ECOLI		Uncertain	Uniprot
P33227	stfE		b1157	JW5172	STFE_ECOLI		Uncertain	Uniprot
P33353	yehQ		b2122	JW2110	YEHQ_ECOLI		Uncertain	Uniprot
P33669	ybbD		b0501	JW0489	YBBD_ECOLI	"Membrane; Single-pass membrane protein. "	Uncertain	Uniprot
P36943	eaeH		b0297	JW0291	EAEH_ECOLI		Uncertain	Uniprot
P37635	yhiS		b3504	JW3471	YHIS_ECOLI		Uncertain	Uniprot
P37655	yhjQ		b3534		YHJQ_ECOLI		Uncertain	Uniprot
P39220	yabP		b4659	JW0055	YABP_ECOLI		Uncertain	Uniprot
P39354	yjhD		b4281		YJHD_ECOLI		Uncertain	Uniprot
P39355	yjhE		b4282		YJHE_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Uncertain	Uniprot
P39369	yjhR		b4308	JW4271	YJHR_ECOLI		Uncertain	Uniprot
P39387	yjiP	yjiQ	b4339	JW4302	YJIP_ECOLI		Uncertain	Uniprot
P39901	ybfI		b4636		YBFI_ECOLI		Uncertain	Uniprot
P42906	agaA		b3135	JW5527	AGAA_ECOLI		Uncertain	Uniprot
P45421	yhcE		b4569		YHCE_ECOLI		Uncertain	Uniprot
P45505	yfaH		b2238	JW2232	YFAH_ECOLI		Uncertain	Uniprot
P46856	yrhA		b3443	JW5864	YRHA_ECOLI		Uncertain	Uniprot
P0CF86	yfjU		b2638		YFJU_ECOLI		Uncertain	Uniprot
P52137	yfjV	ypjM	b2641		YFJV_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Uncertain	Uniprot
P56259	yifN		b3777	JW3749	YIFN_ECOLI		Uncertain	Uniprot
P58095	ypjI		b4644	JW2623.1	YPJI_ECOLI		Uncertain	Uniprot
P64562	yqfE		b2915	JW2882	YQFE_ECOLI		Uncertain	Uniprot
P75675	ykfJ		b0235	JW0225	YKFJ_ECOLI		Uncertain	Uniprot
P75681	fbpB	afuB	b0263	JW0255	FBPB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Uncertain	Uniprot
P75684	yagP		b4694	JW0276	YAGP_ECOLI		Uncertain	Uniprot
P75697	yaiX	yaiF	b4579	JW0350 JW5814	YAIX_ECOLI		Uncertain	Uniprot
P75704	ykiA		b0392	JW0383	YKIA_ECOLI		Uncertain	Uniprot
P75717	ybcC		b0539	JW0526	YBCC_ECOLI		Uncertain	Uniprot
P75718	renD		b0542	JW0530	REND_ECOLI		Uncertain	Uniprot
Q7DFV4	ymdE		b1028		YMDE_ECOLI		Uncertain	Uniprot
P75980	ymfO		b1151	JW1137	YMFO_ECOLI		Uncertain	Uniprot
P75981	ymfP		b1152	JW5170	YMFP_ECOLI		Uncertain	Uniprot
P76000	ycgI	ymgH	b4521	JW1162 JW5179	YCGI_ECOLI		Uncertain	Uniprot
P76069	ydaY		b1366	JW1360	YDAY_ECOLI		Uncertain	Uniprot
