K12 Entry name (Uniprot)	BL21(DE3) Accession name (Uniprot)	BL21(DE3) Entry name (Uniprot)
LRHA_ECOLI	C6E9R2	C6E9R2_ECOBD
NUOA_ECOLI	C6E9R4	C6E9R4_ECOBD
NUOB_ECOLI	C6E9R5	C6E9R5_ECOBD
NUOCD_ECOLI	C6E9R6	C6E9R6_ECOBD
NUOE_ECOLI	C6E9R7	C6E9R7_ECOBD
NUOF_ECOLI	C6E9R8	C6E9R8_ECOBD
NUOG_ECOLI	C6E9R9	C6E9R9_ECOBD
NUOH_ECOLI	C6E9S0	C6E9S0_ECOBD
NUOI_ECOLI	C6E9S1	C6E9S1_ECOBD
NUOL_ECOLI	C6E9S4	C6E9S4_ECOBD
NUOM_ECOLI	C6E9S5	C6E9S5_ECOBD
NUON_ECOLI	C6E9S6	C6E9S6_ECOBD
YFBM_ECOLI	C6E9S9	C6E9S9_ECOBD
MENF_ECOLI	C6E9T4	C6E9T4_ECOBD
MEND_ECOLI	C6E9T5	C6E9T5_ECOBD
MENH_ECOLI	C6E9T6	C6E9T6_ECOBD
MENB_ECOLI	C6E9T7	C6E9T7_ECOBD
MENC_ECOLI	C6E9T8	C6E9T8_ECOBD
MENE_ECOLI	C6E9T9	C6E9T9_ECOBD
PMRD_ECOLI	C6E9U0	C6E9U0_ECOBD
ARNT_ECOLI	C6E9U3	C6E9U3_ECOBD
ARND_ECOLI	C6E9U4	C6E9U4_ECOBD
ARNA_ECOLI	C6E9U5	C6E9U5_ECOBD
ARNC_ECOLI	C6E9U6	C6E9U6_ECOBD
AIS_ECOLI	C6E9U8	C6E9U8_ECOBD
CINAL_ECOLI	C6E9V1	C6E9V1_ECOBD
GLPC_ECOLI	C6E9V8	C6E9V8_ECOBD
GLPB_ECOLI	C6E9V9	C6E9V9_ECOBD
GLPA_ECOLI	C6E9W0	C6E9W0_ECOBD
GLPQ_ECOLI	C6E9W2	C6E9W2_ECOBD
INAA_ECOLI	C6E9W4	C6E9W4_ECOBD
YFAE_ECOLI	C6E9W5	C6E9W5_ECOBD
RIR2_ECOLI	C6E9W6	C6E9W6_ECOBD
RIR1_ECOLI	C6E9W7	C6E9W7_ECOBD
UBIG_ECOLI	C6E9W9	C6E9W9_ECOBD
GYRA_ECOLI	C6E9X0	C6E9X0_ECOBD
YFAT_ECOLI	C6E9X2	C6E9X2_ECOBD
YFAQ_ECOLI	C6E9X4	C6E9X4_ECOBD
YFAP_ECOLI	C6E9X5	C6E9X5_ECOBD
RCSC_ECOLI	C6E9Y2	C6E9Y2_ECOBD
APBE_ECOLI	C6E9Y5	C6E9Y5_ECOBD
ALKB_ECOLI	C6E9Y7	C6E9Y7_ECOBD
MQO_ECOLI	C6E9Y9	C6E9Y9_ECOBD
NAPD_ECOLI	C6E9Z3	C6E9Z3_ECOBD
NAPA_ECOLI	C6E9Z4	C6E9Z4_ECOBD
NAPG_ECOLI	C6E9Z5	C6E9Z5_ECOBD
NAPH_ECOLI	C6E9Z6	C6E9Z6_ECOBD
NAPB_ECOLI	C6E9Z7	C6E9Z7_ECOBD
NAPC_ECOLI	C6E9Z8	C6E9Z8_ECOBD
CCME_ECOLI	C6EA03	C6EA03_ECOBD
CCMF_ECOLI	C6EA04	C6EA04_ECOBD
CCMH_ECOLI	C6EA06	C6EA06_ECOBD
NARP_ECOLI	C6EA07	C6EA07_ECOBD
YEJM_ECOLI	C6EA09	C6EA09_ECOBD
NDPA_ECOLI	C6EA11	C6EA11_ECOBD
YEJH_ECOLI	C6EA13	C6EA13_ECOBD
RSUA_ECOLI	C6EA14	C6EA14_ECOBD
YEJF_ECOLI	C6EA17	C6EA17_ECOBD
YEJE_ECOLI	C6EA18	C6EA18_ECOBD
YEJB_ECOLI	C6EA19	C6EA19_ECOBD
RTN_ECOLI	C6EA21	C6EA21_ECOBD
SPR_ECOLI	C6EA22	C6EA22_ECOBD
YEIU_ECOLI	C6EA23	C6EA23_ECOBD
PROA_ECOLI	C6EA42	C6EA42_ECOBD
PROB_ECOLI	C6EA43	C6EA43_ECOBD
PHOE_ECOLI	C6EA44	C6EA44_ECOBD
FRSA_ECOLI	C6EA48	C6EA48_ECOBD
XGPT_ECOLI	C6EA49	C6EA49_ECOBD
PEPD_ECOLI	C6EA50	C6EA50_ECOBD
DPO4_ECOLI	C6EA56	C6EA56_ECOBD
YAFL_ECOLI	C6EA60	C6EA60_ECOBD
YAFK_ECOLI	C6EA64	C6EA64_ECOBD
YAFJ_ECOLI	C6EA65	C6EA65_ECOBD
GMHA_ECOLI	C6EA66	C6EA66_ECOBD
FADE_ECOLI	C6EA67	C6EA67_ECOBD
IVY_ECOLI	C6EA68	C6EA68_ECOBD
YAFV_ECOLI	C6EA69	C6EA69_ECOBD
DPO3E_ECOLI	C6EA75	C6EA75_ECOBD
RNH_ECOLI	C6EA76	C6EA76_ECOBD
YAFS_ECOLI	C6EA77	C6EA77_ECOBD
GLO2_ECOLI	C6EA78	C6EA78_ECOBD
MLTD_ECOLI	C6EA79	C6EA79_ECOBD
YAFE_ECOLI	C6EA80	C6EA80_ECOBD
YAFD_ECOLI	C6EA81	C6EA81_ECOBD
YAFC_ECOLI	C6EA82	C6EA82_ECOBD
DKGB_ECOLI	C6EA83	C6EA83_ECOBD
GMHB_ECOLI	C6EA84	C6EA84_ECOBD
METN_ECOLI	C6EA85	C6EA85_ECOBD
METQ_ECOLI	C6EA87	C6EA87_ECOBD
YAEB_ECOLI	C6EA89	C6EA89_ECOBD
SYP_ECOLI	C6EA90	C6EA90_ECOBD
NLPE_ECOLI	C6EA92	C6EA92_ECOBD
YAEJ_ECOLI	C6EA93	C6EA93_ECOBD
YAEQ_ECOLI	C6EA94	C6EA94_ECOBD
ROF_ECOLI	C6EA96	C6EA96_ECOBD
DCLZ_ECOLI	C6EA99	C6EA99_ECOBD
DPO3A_ECOLI	C6EAA1	C6EAA1_ECOBD
RNH2_ECOLI	C6EAA2	C6EAA2_ECOBD
LPXB_ECOLI	C6EAA3	C6EAA3_ECOBD
LPXA_ECOLI	C6EAA4	C6EAA4_ECOBD
FABZ_ECOLI	C6EAA5	C6EAA5_ECOBD
LPXD_ECOLI	C6EAA6	C6EAA6_ECOBD
YAET_ECOLI	C6EAA8	C6EAA8_ECOBD
RSEP_ECOLI	C6EAA9	C6EAA9_ECOBD
CDSA_ECOLI	C6EAB0	C6EAB0_ECOBD
UPPS_ECOLI	C6EAB1	C6EAB1_ECOBD
RRF_ECOLI	C6EAB3	C6EAB3_ECOBD
PYRH_ECOLI	C6EAB4	C6EAB4_ECOBD
RS2_ECOLI	C6EAB6	C6EAB6_ECOBD
AMPM_ECOLI	C6EAB7	C6EAB7_ECOBD
GLND_ECOLI	C6EAB8	C6EAB8_ECOBD
DAPD_ECOLI	C6EAB9	C6EAB9_ECOBD
YAEH_ECOLI	C6EAC1	C6EAC1_ECOBD
CDAR_ECOLI	C6EAC2	C6EAC2_ECOBD
DGTP_ECOLI	C6EAC4	C6EAC4_ECOBD
MTNN_ECOLI	C6EAC5	C6EAC5_ECOBD
BTUF_ECOLI	C6EAC6	C6EAC6_ECOBD
ERPA_ECOLI	C6EAC8	C6EAC8_ECOBD
GSA_ECOLI	C6EAD0	C6EAD0_ECOBD
FHUD_ECOLI	C6EAD2	C6EAD2_ECOBD
FHUC_ECOLI	C6EAD3	C6EAD3_ECOBD
HRPB_ECOLI	C6EAD6	C6EAD6_ECOBD
LIGT_ECOLI	C6EAD7	C6EAD7_ECOBD
SFSA_ECOLI	C6EAD8	C6EAD8_ECOBD
DKSA_ECOLI	C6EAD9	C6EAD9_ECOBD
GLUQ_ECOLI	C6EAE0	C6EAE0_ECOBD
PCNB_ECOLI	C6EAE1	C6EAE1_ECOBD
PSUT_ECOLI	C6EAE9	C6EAE9_ECOBD
NSR_ECOLI	C6EAF0	C6EAF0_ECOBD
RIHB_ECOLI	C6EAF1	C6EAF1_ECOBD
YEIE_ECOLI	C6EAF6	C6EAF6_ECOBD
LYSP_ECOLI	C6EAF7	C6EAF7_ECOBD
SFGH2_ECOLI	C6EAF9	C6EAF9_ECOBD
GALS_ECOLI	C6EAG2	C6EAG2_ECOBD
YEIA_ECOLI	C6EAG5	C6EAG5_ECOBD
YEIT_ECOLI	C6EAG6	C6EAG6_ECOBD
SANA_ECOLI	C6EAG8	C6EAG8_ECOBD
CDD_ECOLI	C6EAG9	C6EAG9_ECOBD
YOHK_ECOLI	C6EAH0	C6EAH0_ECOBD
DUSC_ECOLI	C6EAH2	C6EAH2_ECOBD
YOHF_ECOLI	C6EAH4	C6EAH4_ECOBD
YOHC_ECOLI	C6EAH6	C6EAH6_ECOBD
PBP7_ECOLI	C6EAH7	C6EAH7_ECOBD
DLD_ECOLI	C6EAH8	C6EAH8_ECOBD
BGLX_ECOLI	C6EAH9	C6EAH9_ECOBD
OSMF_ECOLI	C6EAI0	C6EAI0_ECOBD
YEHX_ECOLI	C6EAI2	C6EAI2_ECOBD
MLRA_ECOLI	C6EAI5	C6EAI5_ECOBD
YEHU_ECOLI	C6EAI6	C6EAI6_ECOBD
YEHT_ECOLI	C6EAI7	C6EAI7_ECOBD
YEHS_ECOLI	C6EAI8	C6EAI8_ECOBD
SYM_ECOLI	C6EAJ7	C6EAJ7_ECOBD
MRP_ECOLI	C6EAJ8	C6EAJ8_ECOBD
THID_ECOLI	C6EAK7	C6EAK7_ECOBD
YEGX_ECOLI	C6EAK8	C6EAK8_ECOBD
YEGW_ECOLI	C6EAK9	C6EAK9_ECOBD
YEGU_ECOLI	C6EAL1	C6EAL1_ECOBD
YEGR_ECOLI	C6EAM3	C6EAM3_ECOBD
YEGQ_ECOLI	C6EAM4	C6EAM4_ECOBD
YEGP_ECOLI	C6EAM5	C6EAM5_ECOBD
BAER_ECOLI	C6EAM6	C6EAM6_ECOBD
BAES_ECOLI	C6EAM7	C6EAM7_ECOBD
MDTB_ECOLI	C6EAN0	C6EAN0_ECOBD
MDTA_ECOLI	C6EAN1	C6EAN1_ECOBD
YEGI_ECOLI	C6EAN7	C6EAN7_ECOBD
YEGD_ECOLI	C6EAN8	C6EAN8_ECOBD
URK_ECOLI	C6EAP1	C6EAP1_ECOBD
DCD_ECOLI	C6EAP2	C6EAP2_ECOBD
ASMA_ECOLI	C6EAP3	C6EAP3_ECOBD
YEGH_ECOLI	C6EAP4	C6EAP4_ECOBD
WZA_ECOLI	C6EAP5	C6EAP5_ECOBD
WZB_ECOLI	C6EAP6	C6EAP6_ECOBD
WZC_ECOLI	C6EAP7	C6EAP7_ECOBD
WCAA_ECOLI	C6EAP8	C6EAP8_ECOBD
WCAB_ECOLI	C6EAP9	C6EAP9_ECOBD
WCAC_ECOLI	C6EAQ0	C6EAQ0_ECOBD
WCAE_ECOLI	C6EAQ2	C6EAQ2_ECOBD
WCAF_ECOLI	C6EAQ3	C6EAQ3_ECOBD
GM4D_ECOLI	C6EAQ4	C6EAQ4_ECOBD
FCL_ECOLI	C6EAQ5	C6EAQ5_ECOBD
NUDD_ECOLI	C6EAQ6	C6EAQ6_ECOBD
