Entry Name	# Tryptic Peptide	# Theoretical Tryptic Peptides
Accession	0	1
P00350	13	19
P00370	17	24
P00448	10	19
P00452	14	24
P00490	15	19
P00509	14	19
P00547	9	17
P00562	11	18
P00579	6	14
P00864	13	24
P00887	11	23
P00888	11	17
P00903	8	14
P00934	10	18
P00935	7	17
P00944	13	20
P00946	13	19
P00954	9	22
P00956	13	27
P00959	10	20
P00961	11	27
P00962	15	25
P00963	11	27
P00968	9	19
P02358	6	16
P02359	8	22
P02413	6	23
P03007	10	18
P03018	11	23
P03024	14	21
P03030	12	21
P03817	5	8
P04036	12	22
P04079	11	19
P04335	15	21
P04425	11	22
P04693	9	18
P04805	12	25
P04951	16	22
P04993	11	22
P04995	12	21
P05020	13	22
P05042	12	22
P05055	8	14
P05194	14	22
P05459	13	23
P05523	14	22
P05637	11	20
P05793	13	22
P05827	12	20
P05847	12	21
P05852	12	16
P06610	10	18
P06612	10	33
P06710	14	25
P06715	10	18
P06720	12	18
P06721	11	17
P06722	9	20
P06846	13	24
P06961	14	23
P06968	6	12
P06983	12	26
P06986	12	18
P06987	11	24
P06988	9	19
P06992	10	21
P06999	11	18
P07004	11	25
P07023	15	21
P07118	12	28
P07604	12	22
P07623	13	20
P07639	12	18
P07648	11	19
P07649	15	25
P07762	12	21
P07813	15	26
P07862	13	20
P07913	7	21
P08142	12	16
P08178	8	18
P08179	11	19
P08192	10	20
P08201	11	25
P08244	12	20
P08312	14	20
P08368	9	26
P08394	16	23
P08997	12	20
P09030	14	25
P09053	8	13
P09126	13	21
P09158	9	14
P09163	7	12
P09377	10	19
P09832	10	24
P09980	11	27
P0A6A3	8	18
P0A6B4	10	22
P0A6B7	13	27
P0A6C5	7	18
P0A6C8	11	16
P0A6D0	4	17
P0A6D7	10	22
P0A6E1	9	13
P0A6E4	13	20
P0A6F1	11	20
P0A6F3	15	21
P0A6F5	12	26
P0A6G7	9	19
P0A6H1	14	25
P0A6H5	14	33
P0A6I9	9	16
P0A6J8	11	20
P0A6K1	7	23
P0A6K3	8	23
P0A6K6	10	17
P0A6L2	10	17
P0A6L9	9	19
P0A6M4	7	15
P0A6M8	8	23
P0A6N4	5	17
P0A6P5	8	20
P0A6P7	10	22
P0A6P9	8	26
P0A6Q3	6	17
P0A6R0	11	16
P0A6R3	2	10
P0A6S7	11	19
P0A6T1	14	27
P0A6T9	3	7
P0A6U8	8	10
P0A6V1	13	23
P0A6V8	12	17
P0A6W5	11	20
P0A6W9	8	23
P0A6X1	8	24
P0A6Z1	9	17
P0A703	5	7
P0A715	13	24
P0A717	9	21
P0A720	13	25
P0A722	7	19
P0A725	9	22
P0A731	6	11
P0A738	8	20
P0A744	9	12
P0A746	7	11
P0A763	7	12
P0A772	7	16
P0A776	8	19
P0A784	10	18
P0A786	14	20
P0A790	4	11
P0A794	10	22
P0A796	13	21
P0A799	12	26
P0A7A5	11	18
P0A7A9	12	19
P0A7B5	16	22
P0A7B8	6	16
P0A7C2	11	22
P0A7D4	10	28
P0A7D7	13	30
P0A7E3	12	21
P0A7E9	11	23
P0A7F3	8	15
P0A7F6	12	21
P0A7F9	10	20
P0A7G2	8	20
P0A7H0	11	28
P0A7I0	13	27
P0A7I4	13	26
P0A7I7	10	18
P0A7J3	8	23
P0A7K6	7	18
P0A7R5	6	16
P0A7R9	6	16
P0A7S9	7	20
P0A7T3	3	14
P0A7U3	4	13
P0A7V0	11	28
P0A7V8	10	35
P0A7W1	9	20
P0A7W7	7	17
P0A7X3	7	19
P0A7X6	9	18
P0A7Y0	13	25
P0A7Y4	8	19
P0A7Y8	6	21
P0A7Z0	10	17
P0A7Z4	13	21
P0A805	8	28
P0A809	6	21
P0A812	12	26
P0A817	12	18
P0A823	12	23
P0A825	9	16
P0A832	7	24
P0A836	16	26
P0A840	11	20
P0A847	11	22
P0A850	13	23
P0A858	10	18
P0A867	15	26
P0A870	14	24
P0A873	8	20
P0A884	12	18
P0A887	11	26
P0A894	13	24
P0A8A4	11	20
P0A8A8	6	11
P0A8C1	4	9
P0A8C4	6	7
P0A8D0	8	22
P0A8D3	9	21
