Entry Name	# Tryptic Peptide	# Theoretical Tryptic Peptides
P75616	6	12
P03959	3	10
P04816	11	22
P07102	12	21
P0A930	11	21
P0AA49	9	14
P0AAP1	6	17
P0ABK7	4	13
P0ABT8	9	15
P0ACN2	6	13
P0AD17	6	8
P0AE74	7	14
P0AE95	5	9
P0AFV2	7	17
P0AGM9	5	10
P16677	11	27
P16679	11	24
P25743	8	16
P26458	4	13
P28696	7	13
P31435	6	17
P31440	8	11
P31553	3	10
P31679	8	17
P32108	5	7
P32676	6	11
P32687	9	18
P32689	10	21
P32712	5	19
P32714	9	15
P33024	8	14
P33554	8	14
P34749	10	20
P36647	6	9
P38054	11	17
P38683	14	19
P39301	6	11
P42590	2	11
P42603	6	16
P42640	8	17
P42911	7	18
P45751	7	12
P45753	14	24
P45767	10	17
P45768	9	18
P52005	12	24
P52107	5	9
P52599	12	24
P65298	4	11
P67444	6	8
P69739	9	16
P71241	6	18
P71244	10	20
P75733	7	21
P75734	7	12
P75742	5	13
P75799	7	17
P75804	9	21
P76135	12	22
P76198	4	10
P76236	10	14
P76264	8	10
P76343	7	21
P76387	10	18
P76462	7	16
P76466	10	18
P76518	12	18
P76552	3	10
P76559	14	22
P77214	4	9
P77328	7	10
P77360	12	19
P77539	10	21
P77579	7	13
Q46858	12	22
Q46916	6	9
Q47151	9	21
Q47702	12	25
O32528	5	9
P08369	11	18
P08372	6	10
P0A712	6	11
P0AA76	9	16
P0AAA3	5	10
P0AAA9	6	11
P0AAF1	3	9
P0AAU5	4	8
P0ABW5	1	7
P0ACY6	6	7
P0AD47	4	5
P0ADK4	3	6
P0AEW1	8	13
P0AF45	0	2
P0AF86	4	5
P0AFL1	8	14
P0AFP0	9	15
P0AGC5	11	21
P0AGF4	4	11
P0AGI4	5	12
P0CE44	7	15
P11286	2	9
P13656	10	17
P16683	6	11
P17583	4	10
P17994	11	18
P22729	7	12
P23482	8	12
P23485	11	22
P23877	9	14
P23910	6	12
P24077	3	13
P24180	9	22
P24181	6	10
P24241	9	16
P25747	10	19
P25960	6	10
P26218	11	21
P26266	11	27
P27254	12	20
P27835	9	15
P27842	3	14
P28307	4	7
P28915	11	23
P31058	6	14
P31121	2	2
P31436	7	16
P31446	4	11
P31448	8	14
P31471	11	16
P31826	10	22
P32106	6	20
P32136	7	17
P32137	7	15
P32151	10	22
P32155	7	11
P32167	10	24
P32668	11	21
P32672	5	10
P32688	14	19
P32701	13	20
P32710	6	11
P32711	5	9
P32716	13	24
P32720	5	12
P33021	7	15
P33128	9	25
P33354	8	19
P33359	1	10
P33369	9	18
P36678	6	12
P37016	6	12
P37017	3	17
P37018	9	16
P37050	8	14
P37056	12	19
P37443	8	16
P37630	3	8
P37653	10	24
P37663	2	11
P37669	10	15
P37674	6	9
P37675	6	10
P37676	10	26
P37681	10	13
P37772	5	12
P37909	6	12
P38052	4	10
P38101	5	10
P38105	7	20
P39263	6	11
P39282	4	9
P39295	9	23
P39338	8	14
P39381	7	8
P39386	6	15
P39414	6	12
P39834	7	15
P41442	4	11
P41443	3	11
P42619	4	8
P42905	3	4
P42910	4	9
P42914	14	26
P43319	9	15
P43676	4	11
P45428	8	15
P45539	6	11
P45570	9	12
P45756	14	28
P45757	13	16
P45758	9	18
P45759	10	25
P45760	6	11
P45761	9	15
P45762	12	18
P45763	9	13
P46133	9	11
P46481	11	18
P46923	11	20
P64442	3	3
P64459	6	9
P64542	3	20
P64572	13	25
P64592	3	8
P64634	11	19
P65290	7	14
P67127	8	16
P69367	8	19
P69808	4	8
P69826	5	12
P69937	5	6
P71238	8	16
P75687	4	7
P75712	4	14
P75715	7	11
P75737	8	16
P75748	11	18
P75769	8	13
P75770	8	22
P75851	8	14
P75855	7	9
P75856	15	24
P75857	12	21
P75858	10	16
P75859	1	9
P75860	8	10
P75882	10	20
P75883	8	17
P75892	6	11
P75955	10	14
P75961	9	15
P76037	5	11
P76043	9	22
P76045	14	17
P76090	6	11
P76093	4	11
P76118	4	6
P76136	2	7
P76220	14	20
P76224	4	9
P76230	9	19
P76296	9	18
P76347	7	17
P76352	5	15
P76460	4	14
P76470	5	18
P76499	6	14
P76501	7	11
P76573	7	26
P76773	13	22
P77031	10	14
P77156	8	13
P77165	11	17
P77172	7	17
P77180	10	21
P77188	9	26
P77196	12	19
P77211	9	21
P77219	1	6
P77249	14	24
P77256	13	22
P77268	12	22
P77294	8	13
P77308	10	15
P77324	14	23
P77329	15	21
P77339	14	23
P77409	6	15
P77416	7	12
P77437	5	7
P77463	6	17
P77468	10	16
P77489	13	22
P77519	3	14
P77554	14	23
P77588	8	14
P77589	5	12
P77610	6	11
P77716	5	12
P77733	13	24
P77747	10	18
P77789	9	11
P77802	13	18
Q46834	7	12
Q46836	6	14
Q46841	16	26
Q46843	10	25
Q46844	12	17
Q46867	6	15
Q46892	14	19
Q47537	14	20
Q47539	11	21
Q47706	6	15
P52696	12	24
P77858	9	17
P76425	6	12
P75763	7	11
P76197	4	11
P0ABD1	4	10
P27843	3	8
P76482	10	16
P77381	12	21
P77359	12	21
P77455	8	19
P76083	10	18
Q47536	11	17
P75711	5	14
P45848	8	21
P75786	4	15
P76481	13	22
P76639	10	17
P28722	11	24
P37325	14	20
P33341	12	20
P52143	8	15
P33666	7	12
P77335	11	23
