ID	Thoretical	Experimental
P00350	32	23
P00363	39	45
P00393	30	49
P00448	12	12
P00452	51	25
P00490	60	35
P00509	28	30
P00550	34	45
P00561	52	8
P00562	51	19
P00579	35	32
P00582	57	40
P00634	29	11
P00722	61	13
P00803	21	38
P00864	62	24
P00887	24	2
P00888	20	4
P00892	22	8
P00894	14	4
P00903	10	4
P00909	29	2
P00934	27	13
P00935	22	2
P00936	50	4
P00946	21	2
P00954	22	10
P00956	59	31
P00957	63	82
P00959	43	18
P00960	15	4
P00961	48	45
P00962	41	18
P00963	24	4
P00968	71	75
P02358	9	18
P02359	15	45
P02413	10	25
P02918	55	59
P02919	55	65
P02924	26	6
P02925	18	2
P02930	29	57
P02931	20	50
P02942	37	8
P03004	36	26
P03007	14	10
P03018	50	7
P03023	20	60
P03024	21	7
P03030	17	4
P03819	36	2
P03837	21	
P03842	14	2
P03960	37	8
P04036	19	4
P04079	33	20
P04152	28	4
P04335	33	9
P04425	20	6
P04693	24	9
P04805	32	11
P04825	57	12
P04846	16	11
P04949	30	4
P04968	34	10
P04983	37	2
P04993	42	23
P04994	36	2
P04995	30	2
P05020	19	2
P05041	25	
P05042	28	2
P05055	42	49
P05194	18	2
P05458	59	31
P05791	40	19
P05793	35	12
P05824	36	4
P05825	38	33
P05827	16	4
P05852	19	4
P06129	38	19
P06136	17	6
P06149	45	60
P06282	19	25
P06610	12	2
P06611	17	8
P06612	60	19
P06615	16	2
P06616	19	12
P06627	10	1
P06709	19	7
P06710	49	20
P06715	25	2
P06720	27	4
P06722	13	2
P06846	21	8
P06959	39	60
P06971	53	66
P06983	20	8
P06986	24	8
P06987	22	8
P06988	23	9
P06989	11	2
P06992	16	8
P06999	17	8
P07000	25	7
P07001	27	45
P07003	32	12
P07004	26	4
P07012	24	8
P07014	20	33
P07017	35	8
P07018	29	6
P07023	27	10
P07024	33	23
P07026	16	2
P07102	24	2
P07109	14	19
P07117	18	6
P07118	66	33
P07363	39	
P07395	49	31
