Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein MW	Protein Len	Unique Peptides	Unique Spectra	Total #spectra
6PGD_ECOLI	C6EB56_ECOBD	A	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	1,101.50	468	12	12	13
AAEA_ECOLI	C6EGL9_ECOBD	B	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	1,072.60	310	7	7	7
AAS_ECOLI	C6EJ32_ECOBD	B	2-acyl-glycerophospho-ethanolamine acyltransferase (EC 2.3.1.40) (EC 6.2.1.20) (AMP-dependent synthetase and ligase)	1,021.54	719	14	14	16
AAT_ECOLI	C6EI54_ECOBD	A	Aspartate aminotransferase, PLP-dependent (EC 2.6.1.1) (Aspartate transaminase) (EC 2.6.1.1)	1,219.67	396	15	19	23
ACCA_ECOLI	C6EAA0_ECOBD	A	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	8.314.319	319	6	6	12
ACCD_ECOLI	C6ELD7_ECOBD	A	Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)	8.444.887	304	17	20	47
ACEA_ECOLI	C6EE08_ECOBD	A	Isocitrate lyase	8.433.995	434	3	3	3
ACFD_ECOLI	C6EID7_ECOBD	E	Lipoprotein AcfD-like protein	1,189.61	1520	23	30	74
ACKA_ECOLI	C6ELF7_ECOBD	A	Acetate kinase (EC 2.7.2.1) (Acetokinase)	2,465.30	400	2	2	2
ACON1_ECOLI	C6EFV8_ECOBD	A	Aconitate hydratase (EC 4.2.1.3) (Aconitate hydratase 1)	2,065.05	891	5	5	6
ACON2_ECOLI	C6EAT9_ECOBD	A	Aconitate hydratase 2 (EC 4.2.1.3)	8.845.089	865	26	30	73
