Accession	Biological Process (Uniprot)
B1XFM4	protein folding|cell cycle|cell division
P0AEV4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZQF0	translation
C4ZVU2	DNA repair|response to DNA damage stimulus|DNA replication|DNA metabolic process
Q47142	transport
B1X6S4	pyridine nucleotide biosynthetic process
P56580	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P0CF90	transposition|DNA recombination
B1X9X9	phosphorylation
P0AFC0	folic acid biosynthetic process
C4ZTH7	thiamine biosynthetic process|isoprenoid biosynthetic process
C4ZVY1	glycogen metabolic process|carbohydrate metabolic process|metabolic process
C4ZXN9	DNA repair|response to DNA damage stimulus|DNA replication
P23883	oxidation-reduction process
B1X6W3	cellular amino acid biosynthetic process|histidine biosynthetic process|metabolic process
P0AE74	transport
B1XAP0	phosphorylation
C4ZUR0	two-component signal transduction system (phosphorelay)
B1X7B3	Mo-molybdopterin cofactor biosynthetic process
C4ZYI9	ribosome biogenesis
P37750	lipopolysaccharide biosynthetic process
P77672	transport
B1X9Q2	phosphorylation
C4ZSN7	enzyme-directed rRNA 2'-O-methylation|methylation|rRNA processing
C4ZTI5	heme biosynthetic process|heme O biosynthetic process
B1XGE2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZWH3	transport|potassium ion transport|ion transport
P0CB39	lipid biosynthetic process|lipopolysaccharide biosynthetic process
C4ZXY2	transport
B1XB21	carbohydrate transport|transport
C4ZSI8	thiamine biosynthetic process|phosphorylation
C4ZU03	one-carbon metabolic process
C4ZX74	purine nucleotide biosynthetic process
P20099	oxidation-reduction process
P0ACD8	oxidation-reduction process
P0AEK4	oxidation-reduction process|response to antibiotic|lipid biosynthetic process|fatty acid biosynthetic process
P31436	carbohydrate transport|transport
P0A9J6	carbohydrate metabolic process|phosphorylation
C4ZTE0	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
B1XD68	transport
P0AF12	cellular amino acid biosynthetic process|methionine biosynthetic process
P15006	DNA restriction-modification system
C4ZUA4	menaquinone biosynthetic process
P0A9S3	oxidation-reduction process|galactitol metabolic process
B1X950	oxidation-reduction process
P0AFD6	oxidation-reduction process
C4ZX83	oxidation-reduction process|GMP biosynthetic process|purine nucleotide biosynthetic process
B1X778	oxidation-reduction process|cellular amino acid biosynthetic process
P0AFI7	oxidation-reduction process|pyridoxine biosynthetic process
