EG	GN	SP	GI	JW	ASAP	EB	Len	Description	MW
EG10001	alr	P0A6B4	g1790487	JW4013	13272	EB0001	359	Alanine racemase	39152,94
EG10002	modB	P0AF01	g1786980	JW0747	2603	EB0002	229	"Molybdate uptake; chlorate resistance; membrane-spanning ABC protein"	24938,82
EG10003	cysZ	P0A6J3	g1788753	JW2406	7953	EB0003	253	Function unknown, upstream of cysK	29305
EG10004	dfp	P0ABQ0	g87082301	JW5642	11896	EB0004	406	"Coenzyme A biosynthesis, bifunctional enzyme; phosphopantothenoylcysteine decarboxylase (N) and phosphopantothenoylcysteine synthase (C)"	43438,14
EG10005	fruB	P69811	g1788494	JW2156	7180	EB0005	376	Fructosephosphotransferase enzyme III	39647,83
EG10006	dcuB	P0ABN9	g1790565	JW4084	13503	EB0006	446	C4-dicarboxylate transporter, anaerobic	47935,26
EG10007	hisM	P0AEU3	g1788645	JW2304	7613	EB0007	238	Histidine transport permease	26869,81
EG10008	zraS	P14377	g1790436	JW3967	13088	EB0008	465	"Two component sensor kinase for ZraP; responsive to Zn(2+) and Pb(2+); autoregulated; regulation of Hyd-3 activity is probably due to crosstalk of overexpressed protein"	51031,8
EG10009	icdC	Null	g87081844	JW5173	Null	EB0484	54	Pseudogene, isocitrate dehydrogenase, e14 attachment site	6064,09
EG10010	rhsE	P24211	g1787728	JW1451	4858	EB0010	678	"Pseudogene, rhs family, encoded within RhsE repeat; hotspot for chromosomal duplication formation"	76665,95
EG10011	yaaA	P0A8I3	g1786187	JW0005	18	EB0011	258	Low abundance protein, function unknown	29585,83
EG10012	cydC	P23886	g1787112	JW0869	3012	EB0012	573	"Cysteine exporter CydDC; ABC transporter exports cysteine to periplasm as required for cytochrome assembly; N-terminal permease domain and C-terminal cytoplasmic ATP-binding domain"	62920,17
EG10013	yebA	P0AFS9	g87081989	JW5304	6189	EB0013	440	"Putative metalloprotease, function unknown; M37 family"	49057,75
EG10014	acrD	P24177	g1788814	JW2454	8136	EB0014	1037	"Aminoglycoside efflux pump; RND-type transporter"	113047,34
EG10015	rodZ	P27434	g1788864	JW2500	8283	EB0015	337	"Required for proper assembly of MreB and rod cell shape; required for swarming phenotype; transmembrane protein"	36191,67
EG10016	garL	P23522	g1789514	JW3095	10276	EB0016	256	"2-dehydro-3-deoxygalactarate aldolase; homohexameric"	27384,16
EG10017	ispB	P0AD57	g1789578	JW3154	10474	EB0017	323	Octaprenyl diphosphate synthase, isoprenoid biosynthesis	35216,97
EG10018	csrD	P13518	g1789650	JW3221	10663	EB0018	646	"Targets csrB/C sRNAs for degradation by RNase E; degenerate GGDEF/EAL protein; carbon flux regulator; indirectly affects CsrA function"	73339,24
EG10020	cpxR	P0AE88	g2367329	JW3883	12774	EB0019	232	"Response regulator, periplasmic stress response; CpxA is cognate sensor protein"	26312,11
EG10021	yjiA	P24203	g87082430	JW5790	14273	EB0020	318	Putative GTPase, binds GTP, function unknown	35659,69
EG10022	aceA	P0A9G6	g1790445	JW3975	13128	EB0021	434	"Isocitrate lyase, acetate utilization, glyoxylate shunt; tetrameric"	47521,57
EG10023	aceB	P08997	g1790444	JW3974	13125	EB0022	533	"Malate synthase A; glyoxylate shunt enzyme"	60273,57
EG10024	aceE	P0AFG8	g1786304	JW0110	397	EB0023	887	"Pyruvate dehydrogenase, decarboxylase component E1; acetate requirement"	99668,49
EG10025	aceF	P06959	g1786305	JW0111	400	EB0024	630	"Pyruvate dehydrogenase, dihydrolipoamide acetyltransferase E2; acetate requirement"	66096,07
EG10026	aceK	P11071	g1790446	JW3976	13131	EB0025	578	Isocitrate dehydrogenase kinase/phosphatase	67698,58
EG10027	ackA	P0A6A3	g1788633	JW2293	7579	EB0026	400	"Acetate kinase, produces acetyl phosphate; mutants are fluoroacetate resistant; creBC regulon; binds Zn(II)"	43290,45
EG10028	pflA	P0A9N4	g1787130	JW0885	3068	EB0027	246	Pyruvate formate lyase I activase	28204,29
EG10029	ada	P06134	g1788542	JW2201	7311	EB0028	354	"O6-methylguanine-DNA methyltransferase, transcription factor; inducible; DNA repair against methylating and alkylating agents; binds Zn(II)"	39323,87
EG10030	add	P22333	g1787910	JW1615	5435	EB0029	333	"Adenosine deaminase; mutants affect growth on deoxyadenosine in purA, B mutants"	36397,46
EG10031	adhE	P0A9Q7	g1787493	JW1228	4164	EB0030	891	"Alcohol dehydrogenase, largely anaerobic; aerobic antioxidant; acetaldehyde-CoA dehydrogenase, CoA-linked; allyl alcohol resistance"	96127,24
EG10032	adk	P69441	g1786680	JW0463	1645	EB0031	214	"Adenylate kinase; weak nucleoside diphosphate kinase activity; pleiotropic effects on glycerol-3-phosphate acyltransferase activity; monomeric"	23586,02
EG10033	agp	P19926	g1787237	JW0987	3388	EB0032	413	"Periplasmic glucose-1-phosphatase, acidic; has inositol phosphatase activity"	45682,91
EG10034	alaS	P00957	g1789048	JW2667	8869	EB0033	876	Alanine--tRNA ligase	96032,4
EG10035	aldA	P25553	g1787684	JW1412	4725	EB0034	479	"Aldehyde dehydrogenase, NAD-dependent; active on lactaldehyde, glycolaldehyde, and other aldehydes"	52272,79
EG10036	puuC	P23883	g1787558	JW1293	4376	EB0035	495	"gamma-Glutamyl-gamma-aminobutyraldehyde dehydrogenase; putrescine utilization pathway"	53418,63
EG10037	alkB	P05050	g1788541	JW2200	7308	EB0036	216	"Alkylated DNA repair enzyme; alpha-ketoglutarate- and Fe(II)-dependent dioxygenase; releases replication blocks by oxidative demethylation of 1-methyladenine and 3-methylcytosine residues in ssDNA and dsDNA"	24075,53
EG10039	amn	P0AE12	g1788293	JW1963	6579	EB0037	484	AMP nucleosidase	53994,91
EG10040	ampC	P00811	g1790593	JW4111	13592	EB0038	377	"Intrinsic weak beta-lactamase activity; penicillin resistance; affects morphology; penicillin-binding protein"	41555,59
EG10041	ampD	P13016	g1786300	JW0106	380	EB0039	183	"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase"	20536,17
EG10042	ampE	P0AE14	g1786301	JW0107	382	EB0040	284	"Ampicillin resistance; membrane protein"	32121,99
