AAEA_ECOLI	P46482	C6EGL9_ECOBD
AAEB_ECOLI	P46481	C6EGM0_ECOBD
AAER_ECOLI	P67662	C6EGL7_ECOBD
AAEX_ECOLI	P46478	C6EGL8_ECOBD
AAS_ECOLI	P31119	C6EJ32_ECOBD
ABGT_ECOLI	P46133	C6EFP7_ECOBD
ABRB_ECOLI	P75747	C6EJM3_ECOBD
ACFD_ECOLI	Q46837	C6EID7_ECOBD
ACP_ECOLI	P0A6A8	C6EHC0_ECOBD
ACRA_ECOLI	P0AE06	C6EL01_ECOBD
ACRB_ECOLI	P31224	C6EL02_ECOBD
ACRD_ECOLI	P24177	C6EKP2_ECOBD
ACRE_ECOLI	P24180	C6EGJ5_ECOBD
ACRF_ECOLI	P24181	C6EGJ4_ECOBD
ACRR_ECOLI	P0ACS9	C6EL00_ECOBD
ACTP_ECOLI	P32705	C6ED58_ECOBD
ADEC_ECOLI	P31441	C6EDA4_ECOBD
ADHP_ECOLI	P39451	C6EEN9_ECOBD
ADIC_ECOLI	P60061	C6ED09_ECOBD
ADRA_ECOLI	P0AAP1	C6ELK2_ECOBD
AEEP_ECOLI	P51981	C6EFQ7_ECOBD
AER_ECOLI	P50466	C6EHS4_ECOBD
AG43_ECOLI	P39180	C6EDI7_ECOBD
AGAI_ECOLI	P42912	C6EH84_ECOBD
AGP_ECOLI	P19926	C6EHK5_ECOBD
AIS_ECOLI	P45565	C6E9U8_ECOBD
AK1H_ECOLI	P00561	C6EBG7_ECOBD
ALKB_ECOLI	P05050	C6E9Y7_ECOBD
ALLP_ECOLI	P75712	C6EKV5_ECOBD
ALSA_ECOLI	P32721	C6ED36_ECOBD
ALSB_ECOLI	P39265	C6ED35_ECOBD
ALSC_ECOLI	P32720	C6ED37_ECOBD
ALX_ECOLI	P42601	C6EHQ7_ECOBD
AMIA_ECOLI	P36548	C6EKR9_ECOBD
AMIB_ECOLI	P26365	C6ECV9_ECOBD
AMIC_ECOLI	P63883	C6EJ52_ECOBD
AMID_ECOLI	P75820	C6EIB4_ECOBD
AMO_ECOLI	P46883	Null
AMPC_ECOLI	P00811	C6ECX3_ECOBD
AMPE_ECOLI	P0AE14	C6EAU6_ECOBD
AMPG_ECOLI	P0AE16	C6EL33_ECOBD
AMPH_ECOLI	P0AD70	C6ELL2_ECOBD
AMPN_ECOLI	P04825	C6EI50_ECOBD
AMTB_ECOLI	P69681	C6EL12_ECOBD
AMY1_ECOLI	P25718	C6EEA8_ECOBD
ANSP_ECOLI	P77610	C6EER0_ECOBD
APBE_ECOLI	P0AB85	C6E9Y5_ECOBD
APHA_ECOLI	P0AE22	C6ED69_ECOBD
APPB_ECOLI	P26458	C6EHM9_ECOBD
APPC_ECOLI	P26459	C6EHN0_ECOBD
AQPZ_ECOLI	P60844	C6EIA6_ECOBD
ARAE_ECOLI	P0AE24	C6EJ27_ECOBD
ARAF_ECOLI	P02924	C6EBF9_ECOBD
ARAG_ECOLI	P0AAF3	C6EBG0_ECOBD
ARAH_ECOLI	P0AE26	C6EBT1_ECOBD
ARAJ_ECOLI	P23910	C6ELI8_ECOBD
ARCB_ECOLI	P0AEC3	C6EH17_ECOBD
ARCD_ECOLI	P0AAE5	C6EDP3_ECOBD
ARGK_ECOLI	P27254	C6EIJ1_ECOBD
ARGO_ECOLI	P11667	C6EII6_ECOBD
ARGT_ECOLI	P09551	C6ELE3_ECOBD
ARNC_ECOLI	P77757	C6E9U6_ECOBD
ARNE_ECOLI	Q47377	C6E9U2_ECOBD
ARNF_ECOLI	P76474	C6E9U1_ECOBD
ARNT_ECOLI	P76473	C6E9U3_ECOBD
AROC_ECOLI	P12008	C6ELC4_ECOBD
AROM_ECOLI	P0AE28	C6ELJ7_ECOBD
AROP_ECOLI	P15993	C6EAU5_ECOBD
ARSB_ECOLI	P0AB93	C6EEI2_ECOBD
ARTA_ECOLI	P18032	Null
ARTI_ECOLI	P30859	C6EIB8_ECOBD
ARTJ_ECOLI	P30860	C6EIC1_ECOBD
ARTM_ECOLI	P0AE30	C6EIC0_ECOBD
ARTP_ECOLI	P0AAF6	C6EIB7_ECOBD
ARTQ_ECOLI	P0AE34	C6EIB9_ECOBD
ASLA_ECOLI	P25549	C6EG14_ECOBD
ASMA_ECOLI	P28249	C6EAP3_ECOBD
ASPG2_ECOLI	P00805	C6EIF4_ECOBD
ASR_ECOLI	P36560	C6EDQ1_ECOBD
ATKA_ECOLI	P03959	C6EJN6_ECOBD
ATKB_ECOLI	P03960	C6EJN7_ECOBD
ATKC_ECOLI	P03961	C6EJN8_ECOBD
ATMA_ECOLI	P0ABB8	C6ECA6_ECOBD
ATOE_ECOLI	P76460	C6E9X7_ECOBD
ATOS_ECOLI	Q06067	C6E9Y1_ECOBD
ATP6_ECOLI	P0AB98	C6EG65_ECOBD
ATPA_ECOLI	P0ABB0	C6EG69_ECOBD
ATPB_ECOLI	P0ABB4	C6EG71_ECOBD
ATPD_ECOLI	P0ABA4	C6EG68_ECOBD
ATPE_ECOLI	P0A6E6	C6EG72_ECOBD
ATPF_ECOLI	P0ABA0	C6EG67_ECOBD
ATPG_ECOLI	P0ABA6	C6EG70_ECOBD
ATPL_ECOLI	P68699	C6EG66_ECOBD
ATPZ_ECOLI	P0ABC0	C6EG64_ECOBD
ATZN_ECOLI	P37617	C6EFA5_ECOBD
AZUC_ECOLI	C1P605	Null
BAES_ECOLI	P30847	C6EAM7_ECOBD
BARA_ECOLI	P0AEC5	C6EJ86_ECOBD
