Entry Name	Total #Tryptic Peptides	# Detectable Tryptic Peptides	Detectable(%)	mean gravy	mean m/z
P75616	12	6	50	627.064063703704	-1.41258741258741
P03959	10	3	30	1044.16161	0.540536398467433
P04816	21	11	52.3809523809524	724.233303974359	-0.0713035493170774
P07102	20	12	60	858.30343547619	0.149812751986385
P0A930	20	11	55	927.294417820513	-0.3154657177839
P0AA49	14	9	64.2857142857143	837.63251	0.705941435585398
P0AAP1	17	6	35.2941176470588	784.506537037037	-0.542486772486772
P0ABK7	13	4	30.7692307692308	680.5924475	-0.455
P0ABT8	14	9	64.2857142857143	1151.67559111111	1.0429445594663
P0ACN2	12	6	50	869.930699285714	0.263244011320637
P0AD17	7	6	85.7142857142857	977.928420233333	0.458681509462759
P0AE74	14	7	50	772.843283571429	0.465933808127357
P0AE95	9	5	55.5555555555556	1034.07172097917	0.00205740267121348
P0AFV2	17	7	41.1764705882353	867.189489015151	0.727594037615046
P0AGM9	10	5	50	1393.65800125	0.816936207779367
P16677	26	11	42.3076923076923	801.329237627451	0.00405784168892127
P16679	23	11	47.8260869565217	708.571704558824	0.102722025449298
P25743	16	8	50	1025.09919981481	1.06702947272026
P26458	13	4	30.7692307692308	1093.70619805556	0.595625
P28696	13	7	53.8461538461538	812.897618833333	-0.154936938878115
P31435	16	6	37.5	982.721846428571	-0.126587602212602
P31440	11	8	72.7272727272727	1039.10790666667	0.460442708333333
P31553	10	3	30	972.068345416666	1.04550406020994
P31679	16	8	50	1122.33461625	0.463535479236188
P32108	7	5	71.4285714285714	874.128859055556	-0.00881469704999127
P32676	11	6	54.5454545454545	796.254194047619	0.258374375517918
P32687	17	9	52.9411764705882	822.972777121212	-0.519847683181016
P32689	19	10	52.6315789473684	961.476355454545	-0.586924792567799
P32712	17	5	29.4117647058824	982.725730476191	-0.058114478114478
P32714	14	9	64.2857142857143	852.083570705128	-0.0551367589525484
P33024	14	8	57.1428571428571	951.189530333333	1.12632155919341
P33554	13	8	61.5384615384615	763.074828703704	-0.444763993316625
P34749	20	10	50	978.267212111111	-0.111022874127976
P36647	9	6	66.6666666666667	1166.71265547619	0.293955849219007
P38054	17	11	64.7058823529412	891.989419545455	-0.0386684922821287
P38683	19	14	73.6842105263158	811.98730912037	0.0642124938553509
P39301	11	6	54.5454545454545	1110.09706495238	0.264705683205683
P42590	10	2	20	1031.26643	0.347628458498024
P42603	15	6	40	1103.92893194444	0.808388660339849
P42640	16	8	50	970.255371	1.09738099551415
P42911	18	7	38.8888888888889	888.049102083333	-0.0254985711962457
P45751	11	7	63.6363636363636	976.521975530303	-0.102672731262593
P45753	23	14	60.8695652173913	655.984731491228	-0.132697381983096
P45767	17	10	58.8235294117647	1014.33620638889	0.712317464595809
P45768	17	9	52.9411764705882	854.120603782051	0.643227991144658
P52005	23	12	52.1739130434783	845.023983894737	-0.242552092563057
P52107	8	5	62.5	719.289854444444	-0.307130434782609
P52599	24	12	50	534.814213333333	-0.431912578162578
P65298	10	4	40	793.9080725	0.0802710333145116
P67444	8	6	75	1248.21121291667	1.13686202686203
P69739	14	9	64.2857142857143	958.75216	0.051872311799848
P71241	18	6	33.3333333333333	867.828667291667	0.43199854371681
P71244	19	10	52.6315789473684	867.47775625	0.103085606060606
P75733	20	7	35	850.583977083333	-0.506327803432586
P75734	11	7	63.6363636363636	693.191781875	-0.397636724386724
P75742	13	5	38.4615384615385	1184.39966321429	0.630635854341737
P75799	16	7	43.75	813.0093045	0.117736715898481
P75804	21	9	42.8571428571429	929.380414166667	-0.160078563411897
P76135	20	12	60	823.672091127451	-0.0238870409274821
P76198	10	4	40	880.975049583333	1.18989112594376
P76236	14	10	71.4285714285714	929.887901458333	0.621147846406467
P76264	10	8	80	842.445681166667	0.38715100931677
P76343	18	7	38.8888888888889	1103.28353135714	0.823466971849063
P76387	18	10	55.5555555555556	731.792206111111	-0.210439255189255
P76462	15	7	46.6666666666667	1090.61368166667	-0.277753034003034
P76466	18	10	55.5555555555556	862.544654294872	-0.370778152026501
P76518	17	12	70.5882352941177	900.546314768518	-0.135967261904762
P76552	10	3	30	803.904233333333	0.809090909090909
P76559	22	14	63.6363636363636	751.868307888889	-0.108410788557847
P77214	9	4	44.4444444444444	931.872100875	-0.0128707184628237
P77328	10	7	70	1182.539795625	0.888489843489843
P77360	18	12	66.6666666666667	848.336230555556	0.0618672942661913
P77539	21	10	47.6190476190476	899.492058214286	0.236563692886061
P77579	13	7	53.8461538461538	901.134942916667	0.754982790770267
Q46858	21	12	57.1428571428571	752.291487892157	-0.151107520780845
Q46916	9	6	66.6666666666667	804.162898333333	-0.591119528619529
Q47151	21	9	42.8571428571429	715.115199217949	-0.474975765381467
Q47702	24	12	50	714.234450641026	-0.291592972439747
O32528	9	5	55.5555555555556	881.552921	0.00978353998387955
P08369	18	11	61.1111111111111	943.436776333333	-0.101116068001799
P08372	9	6	66.6666666666667	826.413425833333	-0.524871145776318
P0A712	11	6	54.5454545454545	951.826047142857	0.978142306288858
P0AA76	16	9	56.25	833.877471527778	0.220552451663563
P0AAA3	10	5	50	1296.260505	0.42623844940275
P0AAA9	11	6	54.5454545454545	899.790099259259	-0.357992281840966
P0AAF1	9	3	33.3333333333333	1162.59317833333	0.764857142857143
P0AAU5	8	4	50	818.118208333333	1.24166666666667
P0ABW5	7	1	14.2857142857143	962.939775	-0.0850000000000001
P0ACY6	6	6	100	1059.16502	1.31809973337063
P0AD47	5	4	80	1040.66610406667	1.39162077773944
P0ADK4	6	3	50	979.502316955357	0.389507154213036
P0AEW1	12	8	66.6666666666667	992.530991944444	0.905264136246895
P0AF45	2	0	0		
P0AF86	5	4	80	1007.88764895833	-0.259970238095238
P0AFL1	13	8	61.5384615384615	1020.96409574074	0.743500502997454
P0AFP0	15	9	60	950.485384	0.926626512602123
P0AGC5	19	11	57.8947368421053	974.596738988095	-0.14288295038295
P0AGF4	10	4	40	1188.71263566667	0.549629629629629
P0AGI4	12	5	41.6666666666667	879.774077	0.738602106227106
P0CE44	15	7	46.6666666666667	950.555804537037	0.511397849462366
P11286	9	2	22.2222222222222	1178.88638	1.24813596491228
P13656	17	10	58.8235294117647	907.453128030303	-0.676546494355318
P16683	11	6	54.5454545454545	1144.17599166667	0.857425387583172
P17583	10	4	40	1195.95637430556	1.31412950779727
P17994	18	11	61.1111111111111	914.732953137255	0.083292313247942
P22729	10	7	70	994.249250092593	0.945035882421971
P23482	12	8	66.6666666666667	1141.74322733333	0.952523472903907
P23485	22	11	50	845.81706525641	-0.575661005661006
P23877	13	9	69.2307692307692	872.254716111111	1.04790531931836
P23910	12	6	50	1202.10821260417	0.936810020580512
P24077	13	3	23.0769230769231	1088.52762555556	0.727517482517482
P24180	22	9	40.9090909090909	723.406867638889	0.243450345950346
P24181	10	6	60	903.790968333333	0.202994174942704
P24241	16	9	56.25	954.189951666666	0.826210623359746
P25747	19	10	52.6315789473684	991.600864666667	0.705589316173357
P25960	10	6	60	944.146139305556	0.434862764550264
P26218	20	11	55	789.829032222222	-0.572194232970095
P26266	24	11	45.8333333333333	774.242039444444	-0.00214429407276527
P27254	19	12	63.1578947368421	794.831950637255	0.285366577866578
P27835	15	9	60	1275.362609	1.24039720780579
P27842	14	3	21.4285714285714	1029.47820125	-0.270252525252525
P28307	7	4	57.1428571428571	1095.92737933333	-0.790264976958525
P28915	22	11	50	718.402433636364	-0.334849051914269
P31058	14	6	42.8571428571429	1337.35995880952	0.0504716280451574
P31121	2	2	100	1158.53136316667	-0.10948275862069
P31436	16	7	43.75	1114.03860185185	1.0363169883338
P31446	11	4	36.3636363636364	842.22682875	0.339553471890428
P31448	13	8	61.5384615384615	1147.23408796296	0.663112645205036
P31471	16	11	68.75	924.42870921875	-0.146453724493318
P31826	20	10	50	726.237480972222	0.114253854332802
P32106	19	6	31.5789473684211	937.033353541667	-0.358390791856349
P32136	17	7	41.1764705882353	1060.61183888889	0.3429120905024
P32137	14	7	50	1098.58288111111	0.465090779595904
P32151	22	10	45.4545454545455	942.248549230769	-0.555983666716425
P32155	11	7	63.6363636363636	937.821211111111	0.0489799615498373
P32167	22	10	45.4545454545455	796.625400576923	-0.249002164502165
P32668	20	11	55	806.107018452381	-0.303158616982146
P32672	10	5	50	1044.84134261905	0.820399760083971
P32688	19	14	73.6842105263158	822.871299583333	-0.18694397659683
P32701	20	13	65	725.951228921569	-0.212262909504289
P32710	11	6	54.5454545454545	1060.21736527778	0.654733283295939
P32711	8	5	62.5	1015.68750972222	0.0863821465890432
P32716	23	13	56.5217391304348	723.028240595238	0.0987551764474841
P32720	12	5	41.6666666666667	805.122371	0.675082828282828
P33021	15	7	46.6666666666667	1052.08231583333	1.22386574015865
P33128	23	9	39.1304347826087	806.912578181818	-0.0880133836274188
P33354	17	8	47.0588235294118	739.68799875	0.213627729500891
P33359	10	1	10	758.46174	1.48666666666667
P33369	16	9	56.25	1007.4597795	-0.170728274061607
P36678	11	6	54.5454545454545	983.626454590909	-0.196694676651573
P37016	12	6	50	1175.55382690476	0.365541101410667
P37017	14	3	21.4285714285714	624.446573333333	-0.411910774410774
P37018	16	9	56.25	878.107456333333	-0.442147379369602
P37050	14	8	57.1428571428571	782.6019575	-0.209437444739169
P37056	18	12	66.6666666666667	895.455298888889	-0.132796510538446
P37443	15	8	53.3333333333333	915.479245208333	0.177143141444612
P37630	8	3	37.5	870.1781041	0.826262626262626
P37653	23	10	43.4782608695652	715.65564375	-0.168545634920635
P37663	10	2	20	1023.80939166667	-1.27853535353535
P37669	15	10	66.6666666666667	1061.80109097222	0.62745576418943
P37674	9	6	66.6666666666667	991.33424	0.681840062111801
P37675	9	6	66.6666666666667	1132.83862864583	0.680263876570306
P37676	24	10	41.6666666666667	858.143830555556	-0.0737723246287763
P37681	13	10	76.9230769230769	1058.05151916667	-0.36675072403858
P37772	11	5	45.4545454545455	1144.17772857143	1.02696010724796
P37909	12	6	50	867.02367462963	-0.0142424912548752
P38052	10	4	40	1202.64420125	0.249091327352197
P38101	10	5	50	1310.19930611111	1.06288944379162
P38105	18	7	38.8888888888889	966.357713555556	0.0916754248065903
P39263	10	6	60	778.761186666667	-0.0166438633829939
P39282	9	4	44.4444444444444	1121.853469	0.386593275913213
P39295	23	9	39.1304347826087	723.06809439394	-0.519579124579125
P39338	14	8	57.1428571428571	944.545571212121	0.444683876811594
P39381	8	7	87.5	1156.02234731481	0.707522088991947
P39386	15	6	40	1356.206430625	1.17903286256227
P39414	12	6	50	841.109074047619	-0.0514650383141763
P39834	14	7	50	1087.88948166667	-0.0449010115212338
P41442	11	4	36.3636363636364	1282.96545875	0.244647216042516
P41443	11	3	27.2727272727273	919.93819375	0.771380471380471
P42619	7	4	57.1428571428571	1085.467703	0.994129464285715
P42905	3	3	100	1212.18800388889	0.58628663003663
P42910	9	4	44.4444444444444	1261.228736	0.786178451178451
P42914	23	14	60.8695652173913	743.697399333333	-0.173283008762332
P43319	14	9	64.2857142857143	928.550409444444	-0.213250360750361
P43676	11	4	36.3636363636364	1004.650767	0.734510869565217
P45428	14	8	57.1428571428571	1031.8655	0.722508081896552
P45539	10	6	60	958.95687	0.922340425531915
P45570	12	9	75	839.504937435897	0.753878877040401
P45756	28	14	50	650.35594537037	0.0408698486142095
P45757	16	13	81.25	849.693029607843	-0.265409644607113
P45758	18	9	50	915.441545	0.130782407407407
P45759	23	10	43.4782608695652	796.314565	-0.0393850247496864
P45760	11	6	54.5454545454545	940.293043333333	-0.652160845504144
P45761	14	9	64.2857142857143	929.294762348485	-0.385970819304153
P45762	17	12	70.5882352941177	916.346173125	-0.351523514605709
P45763	13	9	69.2307692307692	1106.24897035556	-0.101868398095997
P46133	11	9	81.8181818181818	866.833642424243	0.587556539915875
P46481	17	11	64.7058823529412	832.204530641025	0.55023088023088
P46923	19	11	57.8947368421053	765.674216217949	-0.293015292274051
P64442	3	3	100	760.667830333333	0.537575757575757
P64459	9	6	66.6666666666667	622.523620714286	-0.725526094276094
P64542	17	3	17.6470588235294	734.122506333333	-1.21611721611722
P64572	24	13	54.1666666666667	711.0133078125	-0.0815365516836105
P64592	8	3	37.5	933.13912	0.333680555555556
P64634	17	11	64.7058823529412	692.392762916667	-0.34545579939965
P65290	13	7	53.8461538461538	857.810459285714	0.120304473304473
P67127	14	8	57.1428571428571	820.472686833333	0.796285714285714
P69367	19	8	42.1052631578947	1027.24367055556	0.767206370388446
P69808	8	4	50	1076.44890527778	-0.0767121212121212
P69826	12	5	41.6666666666667	1260.5492702381	0.822329702181876
P69937	6	5	83.3333333333333	1052.686721	1.10616149068323
P71238	16	8	50	1191.152778125	0.942248184999144
P75687	7	4	57.1428571428571	839.453585	-0.0926899187768753
