NOTES	Join Name	TableS3	TableS4	Pseudo2002	Pseudo2004	No files found in	TableS3 Duplicates	TableS4 Duplicates	Pseudo2002 Duplicates	Pseudo2004 Duplicates									
	b1824	+				1	1				yobF	1905472	1905615	-1	unknown CDS	?	?	b1824	Evidence at protein level
	b2939	+				1	1				yqgB	3083942	3084088	-1	orf hypothetical protein	?	?	b2939	Evidence at protein level
	b2940	+				1	1				yqgC	3084209	3084424	1	orf hypothetical protein	?	?	b2940	Predicted
	b3036	+				1	1				ygiA	3177618	3177878	1	orf hypothetical protein	N	?	b3036	Uncertain
	b3993		+			1		1			thiE	4191592	4192227	-1	thiamin-phosphate synthase	N	F	b3993	
	b1519		+			1		1			tam	1605370	1606128	1	trans-aconitate 2-methyltransferase	N	F	b1519	
	b2351		+			1		1			yfdH	2466236	2467156	1	bactoprenol glucosyl transferase	X	?	b2351	
	b0804		+			1		1			ybiX	837753	838466	-1	putative enzyme	N	?	b0804	
	b0707		+			1		1			ybgA	738224	738733	1	orf, hypothetical protein	X	?	b0707	
	b3134			+		1			1		agaW	3278723	3279124	1	PTS system N-	E	?	b3134	
	b1472			+		1			1		yddL	1543762	1544052	-1	putative outer membrane porin	E	?	b1472	
	b4047			+		1			1		yjbL	4258344	4258598	1	orf hypothetical protein	E	?	b4047	
	b4048			+		1			1		yjbM	4258622	4259329	1	orf hypothetical protein	E	?	b4048	
	b2650			+		1			1		ypjC	2782551	2783033	-1	orf hypothetical protein	E	?	b2650	
	b4215			+		1			1		ytfI	4435730	4436668	1	orf hypothetical protein	E	?	b4215	
	b1416			+		1			1		gapC_1	1487985	1488389	-1	glyceraldehyde 3-phosphate	?	N	b1416	b4493
	b1965			+		1			1		yedS	2032045	2032560	1	orf hypothetical protein	?	N	b1965	b4496
	b1979			+		1			1		yeeL	2050300	2051352	-1	orf hypothetical protein	?	N	b1979	b4497
	b4038			+		1			1		yjbI	4248978	4250306	1	orf hypothetical protein	?	?	b4038	
	b1459			+		1			1		yncI	1529400	1529600	1	orf hypothetical protein	?	?	b1459	
	b0263			+		1			1		afuB	278038	278400	-1	putative transport system permease	N	?	b0263	
	b3135			+		1			1		agaA	3279144	3279647	1	putative N-acetylgalactosamine-6-	N	N	b3135	
	b1720			+		1			1		arpB	1801118	1803017	1	orf hypothetical protein	N	?	b1720	b4494
	b1721			+		1			1		arpB	1801118	1803017	1	orf hypothetical protein	N	?	b1721	b4494
	b0499			+		1			1		b0499	527173	527883	1	orf hypothetical protein	N	?	b0499	
	b2681			+		1			1		b2681	2806598	2807515	1	putative transport protein	N	?	b2681	
	b3913			+		1			1		cpxP	4103843	4104343	1	orf hypothetical protein	N	F	b3913	b4484
	b3914			+		1			1		cpxP	4103843	4104343	1	orf hypothetical protein	N	F	b3914	b4484
	b0297			+		1			1		eaeH	313581	314468	1	attaching and effacing protein	N	N	b0297	
	b3372			+		1			1		frlC	3500362	3501192	1	orf hypothetical protein	N	?	b3372	b4474
	b3373			+		1			1		frlC	3500362	3501192	1	orf hypothetical protein	N	?	b3373	b4474
	b1417			+		1			1		gapC_2	1487737	1487988	-1	glyceraldehyde-3-phosphate	N	N	b1417	b4493
	b3683			+		1			1		glvC	3860520	3861887	-1	PTS system arbutin-like IIC	N	?	b3683	
	b3435			+		1			1		gntU	3573744	3575084	-1	low-affinity gluconate transport	N	F	b3435	b4476
	b3436			+		1			1		gntU	3573744	3575084	-1	low-affinity gluconate transport	N	F	b3436	b4476
	b4488			+		1			1		ilvG	3948583	3950227	1	acetolactate synthase II large	N	N	b4488	
