Accession	PID	Gene	Locus_tag	Length	GeneID	GI	CAI	# potential tryptic peptides with up to 2 missed cleavages, <7.5 KDa, >3 aa long	O_i	p_i	coverage	n_i (#_total_peptides)	APEX	2D mol/cell	2D rel.cnts	Covert	Blattner	Corbin	Avg (2 of 3)
O32528	16130308	b2376	b2376	91	949107	2367134	0,256862183	22	7,08										
O32583	16132237	thiS					0,444210183												
O52982	16130553	b2636					0,371411964												
P00350	16129970	gnd	b2029	468	946554	1788341	0,626446348	130	41,95	1	50,6	65	8435,17	2748,68	0,086	19,81	11,02	6,23	12,35408479
P00363	16131979	frdA	b4154	602	948667	1790597	0,638956939	169	47,34					4218,91	0,132	2,51	1,34	1,99	1,944849665
P00370	16129715	gdhA	b1761	447	946802	1788059	0,526002832	120	36,58	1	45,9	48	7143,48	6296,41	0,197	9,58	14,59	3,48	9,217255291
P00393	16129072	ndh	b1109	434	946792	1787352	0,504036461	118	34,77							2,45	0,89	0,45	1,262132903
P00448	16131748	sodA					0,774126353							9844,13	0,308	18,32	16,22	26,06	20,20042636
P00452	16130169	nrdA	b2234	761	946612	2367133	0,605188708	223	63,27	1	9,7	4	344,17			3,86	1,59	3,03	2,826722954
P00490	16131293	malP					0,547910607									2,89	0,88	1,65	1,808631916
P00509	16128895	aspC	b0928	396	945553	1787159	0,565149316	105	34,64	1	48,7	53	8329,33	2365,15	0,074	16,63	9,46	10,33	12,1374081
P00547	16127997	thrB	b0003	310	947498	1786184	0,406926057	72	16,27	0,94	11	1	314,52	3323,99	0,104	11,18	4,78	8,46	8,140100964
P00550	16131470	mtlA	b3599	637	948118	1790027	0,631981716	143	33,75							2,1	2,26	1,14	1,833216437
P00561	16127996	thrA	b0002	820	945803	1786183	0,41747582	226	65,1	1	46,6	106	8864,15			20,56	9,84	16,99	15,79667781
P00562	16131778	metL	b3940	810	948433	1790376	0,491318902	210	63,95	0,92	7,2	4	313,27			2,33	1,29	0,63	1,414665794
P00579	16130963	rpoD	b3067	613	947567	1789448	0,668977163	208	44,47	0,99	14,5	4	484,78			4,46	2,29	2,26	3,005708067
P00582	16131704	polA	b3863	928	948356	1790294	0,485480159	269	78,27							2,15	1,46	1,03	1,54752152
P00634	16128368	phoA					0,4073335												
P00722	16128329	lacZ	b0344	1024	945006	1786539	0,456467768	221	63,88									0,42	
P00803	16130493	lepB	b2568	324	947040	1788921	0,475578858	93	26,34							2,33	2,15	1,24	1,907068158
P00804	16128021	lspA	b0027	164	944800	1786210	0,464786961	27	5,26							4,98	2,33	4,54	3,952394088
P00805	16130858	ansB	b2957	348	947454	1789327	0,582508968	86	27,68										
P00811	16131975	ampC	b4150	377	948669	1790593	0,361620336	86	29,43							0,83	0,46	0,37	0,552175935
P00816	16128325	cynS	b0340	156	948998	1786535	0,452190246	48	16,25										
P00861	16130742	lysA	b2838	420	947313	1789203	0,428601999	83	19,56	0,91	4	1	253,27			2,3	1,27	0,85	1,472827124
P00864	16131794	ppc	b3956	883	948457	1790393	0,525587375	267	79,74	1	40,7	96	6554,01	1598,07	0,05	10,51	3,94	3,74	6,062393809
P00887	16129660	aroH	b1704	348	946229	1787996	0,412365278	104	26,28							3,46	1,18	0,79	1,810478016
