Merge ID	400Mobile_Elements	Mobile_Elements_BL21	# Studies	400Mobile_Elements Duplicates	Mobile_Elements_BL21 Duplicates	Entry name (Uniprot)	BL21(DE3) Entry name (Uniprot)	Subcellular Location(this study)	Common Core 	Pseudogene/Mobile Element Notes
YDCC_ECOLI	1	1	2	1	1	YDCC_ECOLI	C6EEQ4_ECOBD	B	 	"Transposase;Rhs Element"
YHHI_ECOLI	1	1	2	1	1	YHHI_ECOLI	C6EEK0_ECOBD	B	 	"Transposase;Rhs Element"
YFAD_ECOLI	1	1	2	1	1	YFAD_ECOLI	C6E9V6_ECOBD	A	Common Core 	Transposase 
YADD_ECOLI	1	1	2	1	1	YADD_ECOLI	C6EAS5_ECOBD	A	Common Core 	Transposase
YFCI_ECOLI	1	1	2	1	1	YFCI_ECOLI	C6ELE8_ECOBD	A	 	Transposase
INTD_ECOLI	1	1	2	1	1	INTD_ECOLI	C6EKT0_ECOBD	A	 	"Rhs Element;Prophage Integrase;Prophage Integrase (EcoGene)"
INTR_ECOLI	1	1	2	1	1	INTR_ECOLI	C6EFN7_ECOBD	A	 	"Rhs Element;Prophage Integrase;Prophage Integrase (EcoGene)"
RHSA_ECOLI	1	1	2	1	1	RHSA_ECOLI	C6EE82_ECOBD	A	 	Rhs Element
RHSB_ECOLI	1	1	2	1	1	RHSB_ECOLI	C6EF92_ECOBD	A	 	Rhs Element
RHSD_ECOLI	1	1	2	1	1	RHSD_ECOLI	C6EKW7_ECOBD	A	 	Rhs Element
YKGN_ECOLI	1	1	2	1	1	YKGN_ECOLI	C6EDB9_ECOBD	A	 	"pseudogene (Uniprot);Transposase"
INTB_ECOLI	1	1	2	1	1	INTB_ECOLI	C6EC81_ECOBD	B	 	"pseudogene (Uniprot);Rhs Element;Prophage Integrase"
YLBH_ECOLI	1	1	2	1	1	YLBH_ECOLI	C6EKW5_ECOBD	A	 	"pseudogene (Uniprot);Rhs Element"
YEJO_ECOLI	1	1	2	1	1	YEJO_ECOLI	C6EA08_ECOBD	H	 	"pseudogene (Uniprot);Insertion Sequence;Insertion Element "
LOMR_ECOLI	1	1	2	1	1	LOMR_ECOLI	C6EJ11_ECOBD	A	 	"pseudogene (Uniprot);Insertion Sequence"
YGHX_ECOLI	1	1	2	1	1	YGHX_ECOLI	C6EHZ2_ECOBD	A	 	"pseudogene (Uniprot);"
AGAA_ECOLI	1	1	2	1	1	AGAA_ECOLI	C6EH90_ECOBD	A	 	pseudogene (Uniprot) 
EAEH_ECOLI	1	1	2	1	1	EAEH_ECOLI	C6ELT1_ECOBD	H	 	pseudogene (Uniprot) 
EFEU_ECOLI	1	1	2	1	1	EFEU_ECOLI	C6EHJ0_ECOBD	B	 	pseudogene (Uniprot) 
FHIA_ECOLI	1	1	2	1	1	FHIA_ECOLI	C6EA58_ECOBD	B	 	pseudogene (Uniprot) 
MOLR_ECOLI	1	1	2	1	1	MOLR_ECOLI	C6EAJ6_ECOBD	A	 	pseudogene (Uniprot) 
RFH_ECOLI	1	1	2	1	1	RFH_ECOLI	C6EA51_ECOBD	A	 	pseudogene (Uniprot) 
RNPH_ECOLI	1	1	2	1	1	RNPH_ECOLI	C6EDE8_ECOBD	A	 	pseudogene (Uniprot) 
YAGP_ECOLI	1	1	2	1	1	YAGP_ECOLI	C6EA41_ECOBD	B	 	pseudogene (Uniprot) 
YAIT_ECOLI	1	1	2	1	1	YAIT_ECOLI	C6ELL4_ECOBD	H	 	pseudogene (Uniprot) 
YBBD_ECOLI	1	1	2	1	1	YBBD_ECOLI	C6EKW4_ECOBD	B	 	pseudogene (Uniprot) 
YBEM_ECOLI	1	1	2	1	1	YBEM_ECOLI	C6EK67_ECOBD	A	 	pseudogene (Uniprot) 
YBFG_ECOLI	1	1	2	1	1	YBFG_ECOLI	C6EJP4_ECOBD	A	 	pseudogene (Uniprot) 
YDEK_ECOLI	1	1	2	1	1	YDEK_ECOLI	C6EEK8_ECOBD	E	 	pseudogene (Uniprot) 
YEEW_ECOLI	1	1	2	1	1	YEEW_ECOLI	C6EDB6_ECOBD	A	 	pseudogene (Uniprot) 
YEHQ_ECOLI	1	1	2	1	1	YEHQ_ECOLI	C6EAJ0_ECOBD	A	 	pseudogene (Uniprot) 
YFAH_ECOLI	1	1	2	1	1	YFAH_ECOLI	C6E9W3_ECOBD	A	 	pseudogene (Uniprot) 
YFJV_ECOLI	1	1	2	1	1	YFJV_ECOLI	C6EEI2_ECOBD	B	 	pseudogene (Uniprot) 
YGHE_ECOLI	1	1	2	1	1	YGHE_ECOLI	C6EIE1_ECOBD	B	 	pseudogene (Uniprot) 
YGHO_ECOLI	1	1	2	1	1	YGHO_ECOLI	C6EIC9_ECOBD	A	 	pseudogene (Uniprot) 
YHDW_ECOLI	1	1	2	1	1	YHDW_ECOLI	C6EGJ1_ECOBD	G	 	pseudogene (Uniprot) 
YHIS_ECOLI	1	1	2	1	1	YHIS_ECOLI	C6EEI0_ECOBD	A	 	pseudogene (Uniprot) 
YHJQ_ECOLI	1	1	2	1	1	YHJQ_ECOLI	C6EEE9_ECOBD	A	 	pseudogene (Uniprot) 
YIBV_ECOLI	1	1	2	1	1	YIBV_ECOLI	C6EDJ6_ECOBD	A	 	pseudogene (Uniprot) 
YJBI_ECOLI	1	1	2	1	1	YJBI_ECOLI	C6EDY2_ECOBD	A	 	pseudogene (Uniprot) 
YJHD_ECOLI	1	1	2	1	1	YJHD_ECOLI	C6EC76_ECOBD	A	 	pseudogene (Uniprot) 
YKFJ_ECOLI	1	1	2	1	1	YKFJ_ECOLI	C6EA52_ECOBD	A	 	pseudogene (Uniprot) 
YQFE_ECOLI	1	1	2	1	1	YQFE_ECOLI	C6EIJ4_ECOBD	A	 	pseudogene (Uniprot) 
YRHA_ECOLI	1	1	2	1	1	YRHA_ECOLI	C6EFD1_ECOBD	A	 	pseudogene (Uniprot) 
YTFA_ECOLI	1	1	2	1	1	YTFA_ECOLI	C6ECD9_ECOBD	A	 	pseudogene (Uniprot) 
GLVG_ECOLI	1	1	2	1	1	GLVG_ECOLI	C6ED87_ECOBD	F1	 	pseudogene (Uniprot)
MBHA_ECOLI	1	1	2	1	1	MBHA_ECOLI	C6EA57_ECOBD	A	 	pseudogene (Uniprot)
NOHA_ECOLI	1	1	2	1	1	NOHA_ECOLI	C6EKD2_ECOBD	A	 	pseudogene (Uniprot)
STFE_ECOLI	1	1	2	1	1	STFE_ECOLI	C6EIR1_ECOBD	A	 	pseudogene (Uniprot)
TFAD_ECOLI	1	1	2	1	1	TFAD_ECOLI	C6EJF3_ECOBD	A	 	pseudogene (Uniprot)
Y4286_ECOLI	1	1	2	1	1	Y4286_ECOLI	C6EC70_ECOBD	A	 	pseudogene (Uniprot)
YBCC_ECOLI	1	1	2	1	1	YBCC_ECOLI	C6EJH7_ECOBD	A	 	pseudogene (Uniprot)
YCJV_ECOLI	1	1	2	1	1	YCJV_ECOLI	C6EFR4_ECOBD	F1	 	pseudogene (Uniprot)
YDFJ_ECOLI	1	1	2	1	1	YDFJ_ECOLI	C6EDU3_ECOBD	B	 	pseudogene (Uniprot)
YDFX_ECOLI	1	1	2	1	1	YDFX_ECOLI	C6EDS6_ECOBD	A	 	pseudogene (Uniprot)
YGAY_ECOLI	1	1	2	1	1	YGAY_ECOLI	C6EJU5_ECOBD	B	 	pseudogene (Uniprot)
YGEQ_ECOLI	1	1	2	1	1	YGEQ_ECOLI	C6EIP4_ECOBD	G	 	pseudogene (Uniprot)
YKGA_ECOLI	1	1	2	1	1	YKGA_ECOLI	C6ELT0_ECOBD	A	 	pseudogene (Uniprot)
YLBG_ECOLI	1	1	2	1	1	YLBG_ECOLI	C6EKW3_ECOBD	A	 	pseudogene (Uniprot)
YMJC_ECOLI	1	1	2	1	1	YMJC_ECOLI	C6EFQ5_ECOBD	A	 	pseudogene (Uniprot)
YNEL_ECOLI	1	1	2	1	1	YNEL_ECOLI	C6EEL2_ECOBD	A	 	pseudogene (Uniprot)
YOEA_ECOLI	1	1	2	1	1	YOEA_ECOLI	C6EB78_ECOBD	H	 	pseudogene (Uniprot)
YZGL_ECOLI	1	1	2	1	1	YZGL_ECOLI	C6EFE7_ECOBD	B	 	pseudogene (Uniprot)
YBFD_ECOLI	1	1	2	1	1	YBFD_ECOLI	C6EJN2_ECOBD	B	 	"pseudogene (Ohman 2006);Transposase;Rhs Element"
