argF	P06960	argF		b0273	JW0266	OTC2_ECOLI	Cytoplasm. 	Evidence at protein level	ATCase/OTCase family	Ornithine carbamoyltransferase chain F (EC 2.1.3.3) (OTCase-2)	GO:0016597; GO:0006526; GO:0004585; GO:0009348	Amino-acid biosynthesis; Arginine biosynthesis; Complete proteome; Cytoplasm; Direct protein sequencing; Transferase	334	=HYPERLINK("http://www.uniprot.org/uniprot/?query=argF&sort=score")
dicA	P06966	dicA		b1570	JW1562	DICA_ECOLI		Predicted		HTH-type transcriptional regulator dicA (Repressor protein of division inhibition gene dicA)	GO:0007049; GO:0051301; GO:0043565; GO:0006350; GO:0016564	Cell cycle; Cell division; Complete proteome; DNA-binding; Repressor; Transcription; Transcription regulation	135	=HYPERLINK("http://www.uniprot.org/uniprot/?query=dicA&sort=score")
dicC	P06965	dicC		b1569	JW1561	DICC_ECOLI		Predicted		Repressor protein of division inhibition gene dicB	GO:0003677; GO:0007049; GO:0051301; GO:0045449; GO:0006350	Cell cycle; Cell division; Complete proteome; DNA-binding; Repressor; Transcription; Transcription regulation	76	=HYPERLINK("http://www.uniprot.org/uniprot/?query=dicC&sort=score")
lit	P11072	lit		b1139	JW1125	LIT_ECOLI	Cell membrane; Multi-pass membrane protein. 	Inferred from homology	Peptidase U49 family	Bacteriophage T4 late gene expression-blocking protein (GpLit)	GO:0016021; GO:0005886	Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix	297	=HYPERLINK("http://www.uniprot.org/uniprot/?query=lit&sort=score")
mcrA	P24200	mcrA	rglA	b1159	JW1145	MCRA_ECOLI		Predicted		5-methylcytosine-specific restriction enzyme A (EC 3.1.21.-) (EcoKMcrA)	GO:0009307; GO:0004519; GO:0003676	Complete proteome; Endonuclease; Hydrolase; Nuclease; Restriction system	277	=HYPERLINK("http://www.uniprot.org/uniprot/?query=mcrA&sort=score")
ompT	P09169	ompT		b0565	JW0554	OMPT_ECOLI	Cell outer membrane; Multi-pass membrane protein. 	Evidence at protein level	Peptidase A26 family	Protease 7 (EC 3.4.23.49) (Omptin) (Outer membrane protein 3B) (Protease A) (Protease VII)	GO:0004190; GO:0009279; GO:0016021; GO:0005886; GO:0006508	3D-structure; Aspartyl protease; Cell membrane; Cell outer membrane; Complete proteome; Direct protein sequencing; Hydrolase; Membrane; Protease; Signal; Transmembrane; Transmembrane beta strand	317	=HYPERLINK("http://www.uniprot.org/uniprot/?query=ompT&sort=score")
pinE	P03014	pinE	pin	b1158	JW1144	PINE_ECOLI		Inferred from homology	Site-specific recombinase resolvase family	DNA-invertase from lambdoid prophage e14	GO:0003677; GO:0015074; GO:0006310; GO:0000150; GO:0045449	Complete proteome; DNA integration; DNA invertase; DNA recombination; DNA-binding	184	=HYPERLINK("http://www.uniprot.org/uniprot/?query=pinE&sort=score")
recE	P15032	recE		b1350	JW1344	RECE_ECOLI		Evidence at protein level		Exodeoxyribonuclease 8 (EC 3.1.11.-) (Exodeoxyribonuclease VIII) (EXO VIII)	GO:0004527	3D-structure; Complete proteome; Exonuclease; Hydrolase; Nuclease	866	=HYPERLINK("http://www.uniprot.org/uniprot/?query=recE&sort=score")
relB	P0C079	relB		b1564	JW1556	RELB_ECOLI		Evidence at protein level		Antitoxin RelB	GO:0006950; GO:0006350; GO:0016564	3D-structure; Complete proteome; Repressor; Stress response; Transcription; Transcription regulation	79	=HYPERLINK("http://www.uniprot.org/uniprot/?query=relB&sort=score")
hokD	P0ACG6	hokD	relF	b1562	JW1554	HOKD_ECOLI	Cell membrane; Single-pass membrane protein. 	Inferred from homology	Hok/gef family	Protein hokD (Protein relF)	GO:0016021; GO:0005886	Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix	51	=HYPERLINK("http://www.uniprot.org/uniprot/?query=hokD&sort=score")
relE	P0C077	relE		b1563	JW1555	RELE_ECOLI		Evidence at protein level		Toxin relE	GO:0009405; GO:0045449; GO:0006950; GO:0006350	3D-structure; Complete proteome; Repressor; Stress response; Toxin; Transcription; Transcription regulation	95	=HYPERLINK("http://www.uniprot.org/uniprot/?query=relE&sort=score")
ydfA	P0ACW8	ydfA		b1571	JW1563	YDFA_ECOLI		Predicted		Uncharacterized protein ydfA		Complete proteome	51	=HYPERLINK("http://www.uniprot.org/uniprot/?query=ydfA&sort=score")
ydfB	P29009	ydfB		b1572	JW1564	YDFB_ECOLI		Evidence at protein level		Uncharacterized protein ydfB		Complete proteome	42	=HYPERLINK("http://www.uniprot.org/uniprot/?query=ydfB&sort=score")
ydfC	P21418	ydfC	rzpQ	b1573	JW1565	YDFC_ECOLI		Predicted		Uncharacterized protein ydfC		Complete proteome	72	=HYPERLINK("http://www.uniprot.org/uniprot/?query=ydfC&sort=score")
intA	P32053	intA	intX slpA	b2622	JW2602	INTA_ECOLI		Evidence at protein level	'phage' integrase family	Prophage CP4-57 integrase	GO:0003677; GO:0015074; GO:0006310; GO:0008979; GO:0005515; GO:0032359	Complete proteome; DNA integration; DNA recombination	413	=HYPERLINK("http://www.uniprot.org/uniprot/?query=intA&sort=score")
lar	P33229	lar	ydaB	b1348	JW5208	LAR_ECOLI		Evidence at protein level		Restriction alleviation and modification enhancement protein	GO:0009307	Complete proteome; Restriction system	64	=HYPERLINK("http://www.uniprot.org/uniprot/?query=lar&sort=score")
alpA	P33997	alpA	alp	b2624	JW2604	ALPA_ECOLI		Predicted		Prophage CP4-57 regulatory protein AlpA	GO:0003677; GO:0042710; GO:0045893; GO:0006350; GO:0016563	Activator; Complete proteome; DNA-binding; Transcription; Transcription regulation	70	=HYPERLINK("http://www.uniprot.org/uniprot/?query=alpA&sort=score")
