Merge ID	Mobile_Elements_BL21	400Mobile_Elements	# Studies	Mobile_Elements_BL21 Duplicates	400Mobile_Elements Duplicates	K12 Entry name (Uniprot)	BL21(DE3) Entry name (Uniprot)	Subcellular Location (Uniprot)	Common Core 	Category	Pseudogenes / Mobile Elements Notes	Entry name K12 (Uniprot)	Entry Name BL21(DE3) (Uniprot)	Subcellular Location(this study)	Common Core	Pseudogene/Mobile Element Notes	
C6EFE7_ECOBD	1	1	2	1	1	YZGL_ECOLI	C6EFE7_ECOBD		 	B	Uniprot pseudo	YZGL_ECOLI	C6EFE7_ECOBD	B		pseudogene (Uniprot)	
C6EJX0_ECOBD	1	1	2	1	1	YUBM_ECOLI	C6EJX0_ECOBD		 	A	Plasmid F	YUBM_ECOLI	C6EJX0_ECOBD	A		Plasmid F	
C6EDC0_ECOBD	1	1	2	1	1	YUAQ_ECOLI	C6EDC0_ECOBD		 	H	Plasmid F	YUAQ_ECOLI	C6EDC0_ECOBD	H		Plasmid F	
C6ECD9_ECOBD	1	1	2	1	1	YTFA_ECOLI	C6ECD9_ECOBD		 	A	pseudogenes (Uniprot)	YTFA_ECOLI	C6ECD9_ECOBD	A		pseudogene (Uniprot) 	
C6EFD1_ECOBD	1	1	2	1	1	YRHA_ECOLI	C6EFD1_ECOBD		 	A	pseudogenes (Uniprot)	YRHA_ECOLI	C6EFD1_ECOBD	A		pseudogene (Uniprot) 	
C6EIH0_ECOBD	1	1	2	1	1	YQGD_ECOLI	C6EIH0_ECOBD		 	B	pseudogene (EcoGene)	YQGD_ECOLI	C6EIH0_ECOBD	B		pseudogene (Ecogene)	
C6EIJ4_ECOBD	1	1	2	1	1	YQFE_ECOLI	C6EIJ4_ECOBD		 	A	pseudogenes (Uniprot)	YQFE_ECOLI	C6EIJ4_ECOBD	A		pseudogene (Uniprot) 	
C6EB78_ECOBD	1	1	2	1	1	YOEA_ECOLI	C6EB78_ECOBD		 	H	Uniprot pseudo	YOEA_ECOLI	C6EB78_ECOBD	H		pseudogene (Uniprot)	
C6EKD3_ECOBD	1	1	2	1	1	YNFO_ECOLI	C6EKD3_ECOBD		 	A	Prophage Integrase (EcoGene) 	YNFO_ECOLI	C6EKD3_ECOBD	A		Prophage Integrase (EcoGene)	
C6EEL2_ECOBD	1	1	2	1	1	YNEL_ECOLI	C6EEL2_ECOBD		 	A	Uniprot pseudo	YNEL_ECOLI	C6EEL2_ECOBD	A		pseudogene (Uniprot)	
C6EDW7_ECOBD	1	1	2	1	1	YNEF_ECOLI	C6EDW7_ECOBD		 	B	pseudogenes (Ohman 2006) 	YNEF_ECOLI	C6EDW7_ECOBD	B		"pseudogene (Ohman 2006) ; "	
C6EFM1_ECOBD	1	1	2	1	1	YNAK_ECOLI	C6EFM1_ECOBD		 	A	Prophage Integrase (EcoGene) 	YNAK_ECOLI	C6EFM1_ECOBD	A		Prophage Integrase (EcoGene)	
C6EFQ5_ECOBD	1	1	2	1	1	YMJC_ECOLI	C6EFQ5_ECOBD		 	A	Uniprot pseudo	YMJC_ECOLI	C6EFQ5_ECOBD	A		pseudogene (Uniprot)	
C6EJG9_ECOBD	1	1	2	1	1	YMFK_ECOLI	C6EJG9_ECOBD		 	A	Prophage Integrase (EcoGene) 	YMFK_ECOLI	C6EJG9_ECOBD	A		Prophage Integrase (EcoGene)	
C6EKE6_ECOBD	1	1	2	1	1	YLCH_ECOLI	C6EKE6_ECOBD		 	A	Prophage Integrase (EcoGene) 	YLCH_ECOLI	C6EKE6_ECOBD	A		Prophage Integrase (EcoGene)	
C6EKE1_ECOBD	1	1	2	1	1	YLCG_ECOLI	C6EKE1_ECOBD		 	A	Prophage Integrase (EcoGene) 	YLCG_ECOLI	C6EKE1_ECOBD	A		Prophage Integrase (EcoGene)	
C6EKW5_ECOBD	1	1	2	1	1	YLBH_ECOLI	C6EKW5_ECOBD		 	A	"Uniprot pseudo;Rhs Element"	YLBH_ECOLI	C6EKW5_ECOBD	A		"pseudogene (Uniprot);Rhs Element"	
C6EKW3_ECOBD	1	1	2	1	1	YLBG_ECOLI	C6EKW3_ECOBD		 	A	Uniprot pseudo	YLBG_ECOLI	C6EKW3_ECOBD	A		pseudogene (Uniprot)	
C6EDB9_ECOBD	1	1	2	1	1	YKGN_ECOLI	C6EDB9_ECOBD		 	A	"Uniprot pseudo;Transposase"	YKGN_ECOLI	C6EDB9_ECOBD	A		"pseudogene (Uniprot);Transposase"	
C6ELT0_ECOBD	1	1	2	1	1	YKGA_ECOLI	C6ELT0_ECOBD		 	A	Uniprot pseudo	YKGA_ECOLI	C6ELT0_ECOBD	A		pseudogene (Uniprot)	
C6EA52_ECOBD	1	1	2	1	1	YKFJ_ECOLI	C6EA52_ECOBD		 	A	pseudogenes (Uniprot)	YKFJ_ECOLI	C6EA52_ECOBD	A		pseudogene (Uniprot) 	
C6EC76_ECOBD	1	1	2	1	1	YJHD_ECOLI	C6EC76_ECOBD		 	A	pseudogenes (Uniprot)	YJHD_ECOLI	C6EC76_ECOBD	A		pseudogene (Uniprot) 	
C6EDY2_ECOBD	1	1	2	1	1	YJBI_ECOLI	C6EDY2_ECOBD		 	A	pseudogenes (Uniprot)	YJBI_ECOLI	C6EDY2_ECOBD	A		pseudogene (Uniprot) 	
C6EF11_ECOBD	1	1	2	1	1	YIIE_ECOLI	C6EF11_ECOBD		 	A	pseudogenes (Ohman 2006)	YIIE_ECOLI	C6EF11_ECOBD	A		pseudogene (Ohman 2006)	
C6EFZ9_ECOBD	1	1	2	1	1	YIGE_ECOLI	C6EFZ9_ECOBD		 	G	pseudogenes (Ohman 2006)	YIGE_ECOLI	C6EFZ9_ECOBD	G		pseudogene (Ohman 2006)	
C6EG02_ECOBD	1	1	2	1	1	YIGB_ECOLI	C6EG02_ECOBD		Common Core 	A	Prophage Integrase	YIGB_ECOLI	C6EG02_ECOBD	A		Prophage Integrase	
C6EDJ6_ECOBD	1	1	2	1	1	YIBV_ECOLI	C6EDJ6_ECOBD		 	A	pseudogenes (Uniprot)	YIBV_ECOLI	C6EDJ6_ECOBD	A		pseudogene (Uniprot) 	
C6EEE9_ECOBD	1	1	2	1	1	YHJQ_ECOLI	C6EEE9_ECOBD		 	A	pseudogenes (Uniprot)	YHJQ_ECOLI	C6EEE9_ECOBD	A		pseudogene (Uniprot) 	
C6EEI0_ECOBD	1	1	2	1	1	YHIS_ECOLI	C6EEI0_ECOBD		 	A	pseudogenes (Uniprot)	YHIS_ECOLI	C6EEI0_ECOBD	A		pseudogene (Uniprot) 	
C6EEK0_ECOBD	1	1	2	1	1	YHHI_ECOLI	C6EEK0_ECOBD		 	B	"Transposase;Rhs Element"	YHHI_ECOLI	C6EEK0_ECOBD	B		"Transposase;Rhs Element"	
C6EGJ1_ECOBD	1	1	2	1	1	YHDW_ECOLI	C6EGJ1_ECOBD		 	G	pseudogenes (Uniprot)	YHDW_ECOLI	C6EGJ1_ECOBD	G		pseudogene (Uniprot) 	
C6EHB4_ECOBD	1	1	2	1	1	YHAM_ECOLI	C6EHB4_ECOBD		 	B	pseudogenes (Ohman 2006) 	YHAM_ECOLI	C6EHB4_ECOBD	B		pseudogene (Ohman 2006) 	
