Entry Name	Total #Tryptic Peptides	# Detectable Tryptic Peptides	Detectable(%)	mean gravy	mean m/z
YAIW_ECOLI	11	11		652.419914403509	-0.168738490190478
YAJI_ECOLI	6	6		715.470327708333	-0.0780977794135689
MLAA_ECOLI	7	7		930.273623469697	-0.511829038847672
YAJG_ECOLI	12	12		867.471620130952	-0.501995240125036
YBAY_ECOLI	9	6		1077.03269982143	0.328916469457464
YFEY_ECOLI	10	10		898.509903	-0.596346616385878
NLPB_ECOLI	14	14		1105.36582866667	-0.414377486495693
YFGL_ECOLI	17	17		1000.46889699425	-0.182699829499138
YFHG_ECOLI	7	7		724.449434259259	-0.772467417847852
BORD_ECOLI	5	5		847.638188092593	0.239510489510489
RLPA_ECOLI	14	13		818.765632324561	-0.701115976783397
LPTE_ECOLI	19	19		832.534124188597	-0.496900239732363
YFIO_ECOLI	18	18		814.387746662162	-0.52620144667643
YFIL_ECOLI	1	1		629.800005	-0.708333333333333
SMPA_ECOLI	2	2		991.86141125	-0.578051948051948
MLTB_ECOLI	12	12		900.44752	-0.331036939442737
PAL_ECOLI	11	11		883.429297612698	-0.517127358630291
YBHC_ECOLI	11	11		940.4313359375	-0.439122127872128
BORD_ECOLI	6	6		800.752136972222	0.143342074592074
NLPD_ECOLI	13	13		850.622046375	-0.259199529096208
YGDI_ECOLI	3	3		701.497993333333	-1.24787878787879
MLTA_ECOLI	14	14		835.859590706667	-0.38107848233075
YGDR_ECOLI	1	1		536.76236	-0.677777777777778
YGER_ECOLI	16	16		639.580089833333	-0.259551594239094
YGGG_ECOLI	13	13		825.193480652174	-0.457574300281658
MLTC_ECOLI	10	10		725.249057685185	-0.538965617715618
YGHG_ECOLI	4	3		650.000398333333	-0.974323062558356
YBJP_ECOLI	6	6		830.085155342593	-0.700826605546433
AMID_ECOLI	5	5		708.958536796296	-0.82327829377365
YCAL_ECOLI	2	2		711.8590525	0.0235714285714285
GFCE_ECOLI	1	1		1455.28629166667	-0.0588235294117647
YCEB_ECOLI	8	8		944.372522222222	-0.235196089903613
YRAM_ECOLI	30	29		837.707561323129	-0.317207291505493
YRAP_ECOLI	15	15		815.74377310101	-0.433573462542503
NLPI_ECOLI	10	9		788.941481470588	-0.307190662567251
YCFL_ECOLI	1	1		845.076562777778	0.4
YCFM_ECOLI	6	6		775.185634166667	-0.461068121693122
EMTA_ECOLI	10	10		778.599709821429	-0.51978044375645
LOLB_ECOLI	18	18		799.897641398809	-0.992182740099407
YIFL_ECOLI	3	2		820.241464583333	-1.1054347826087
HSLJ_ECOLI	5	5		681.697040714286	-0.139555555555556
YNBE_ECOLI	3	3		564.042653333333	-0.251944444444444
YDCL_ECOLI	10	10		759.880861973684	-0.346527777777778
SLP_ECOLI	5	5		892.806848125	-0.681242424242424
YIAD_ECOLI	15	15		979.855510195122	-0.414221308324724
YJAH_ECOLI	5	5		685.18063547619	-1.3451746031746
BLC_ECOLI	1	1		779.420085	0.261538461538461
MLIC_ECOLI	3	3		735.695475	-0.675185185185185
SLYB_ECOLI	6	6		953.067680882353	-0.714360703235383
YJEI_ECOLI	2	2		837.820978888889	-0.78343653250774
ECNB_ECOLI	1	1		1022.477765	-0.4
BLC_ECOLI	11	11		693.550676617647	-0.381588114796671
LPP_ECOLI	7	7		849.991333875	-0.755351508349629
OSME_ECOLI	4	4		868.486243636364	-0.573851126472094
BSMA_ECOLI	4	4		535.304728333333	-0.615540015540015
YOAF_ECOLI	1	1		872.4336	0.0444444444444442
YEAY_ECOLI	8	8		766.326464444444	-0.283596242844964
YEGR_ECOLI	4	4		709.81626	-0.508958333333333
NLPE_ECOLI	11	11		797.220715015152	-0.461642083250583
RCSF_ECOLI	7	7		921.935193561403	-0.648520834666155
SPR_ECOLI	1	1		1133.03037	-0.519047619047619
TSX_ECOLI	12	10		1004.60496273611	-0.86367118653704
FADL_ECOLI	11	11		955.744984441667	-0.787725090685674
FEPA_ECOLI	46	46		909.044688722658	-0.546233138920002
CRCA_ECOLI	1	1		449.71415	-1.64285714285714
FIU_ECOLI	2	2		529.7947325	0.788383838383838
OMPX_ECOLI	10	10		957.336453421053	-0.72353976742212
OMPF_ECOLI	25	24		1076.99476089	-0.473413957350392
OMPA_ECOLI	31	30		944.970221777874	-0.392381214116313
TOLC_ECOLI	33	31		949.172114130209	-0.663761479373925
FHUE_ECOLI	8	8		763.735021481482	-0.396296730230554
YHDP_ECOLI	34	34		782.34331639881	-0.23259704575422
WECC_ECOLI	2	2		757.267328888889	0.203801169590643
PA1_ECOLI	10	9		835.800381363636	-0.622912519579186
YNCD_ECOLI	36	36		908.744508015385	-0.745369147739181
YTFM_ECOLI	34	34		767.696553187134	-0.511846884572712
FECA_ECOLI	35	34		912.976842581921	-0.599867647213535
MIPA_ECOLI	10	10		1050.84503688596	-0.610637461323222
LPTD_ECOLI	40	39		919.984423544218	-0.908333729189502
CIRA_ECOLI	10	10		834.896714880952	-0.423909992784993
YAET_ECOLI	68	68		889.970607219962	-0.655893225750707
YEJO_ECOLI	1	1		835.912835	-0.275
YFAZ_ECOLI	4	4		997.361006666667	-0.399083994708995
PPB_ECOLI	3	3		970.140812083333	0.410659200314373
HISJ_ECOLI	18	18		813.074450996212	-0.424017658403688
ARGT_ECOLI	8	8		654.7899325	-0.352524509803922
MEPA_ECOLI	2	2		675.254772066667	-0.381578947368421
CYSP_ECOLI	8	8		681.704918333333	-0.0134075401722461
PANE_ECOLI	6	6		618.802199537037	-0.623614944996524
USHA_ECOLI	16	16		756.937802395833	-0.462554825839365
TESA_ECOLI	8	8		726.578040740741	-0.332410214785215
