Deletion	Gene	Locus_Tag	Gene_Type	Left End	Right End	Strand
del-MD13	insL-1	b0016	CDS	15445	16557	+
del-MD13	hokC	b4412	CDS	16751	16903	-
del-MD13	mokC	b0018	CDS	16751	16960	-
del-MD13	sokC	b4413	misc_RNA	16952	17006	+
del-MD13	nhaA	b0019	CDS	17489	18655	+
del-MD13	nhaR	b0020	CDS	18715	19620	+
del-MD13	insB-1	b0021	CDS	19811	20314	-
del-MD13	insA-1	b0022	CDS	20233	20508	-
del-MD41	fhuA	b0150	CDS	167484	169727	+
del-MD41	fhuC	b0151	CDS	169778	170575	+
del-MD41	fhuD	b0152	CDS	170575	171465	+
del-MD41	fhuB	b0153	CDS	171462	173444	+
del-MD1	ykfI	b0245	CDS	262552	262893	-
del-MD1	yafW	b0246	CDS	262914	263231	-
del-MD1	ykfH	b4504	CDS	263250	263471	-
del-MD1	ykfG	b0247	CDS	263480	263956	-
del-MD1	yafX	b0248	CDS	263972	264430	-
del-MD1	ykfF	b0249	CDS	264528	264767	-
del-MD1	ykfB	b0250	CDS	264844	265311	-
del-MD1	yafY	b0251	CDS	265334	266191	-
del-MD1	yafZ	b0252	CDS	266408	267229	-
del-MD1	ykfA	b0253	CDS	267321	268184	-
del-MD1	perR	b0254	CDS	268513	269406	-
del-MD1	insN-1	b0255	CDS	269466	269870	+
del-MD1	insI-1	b0256	CDS	269827	270978	+
del-MD1	insO-1	b0257	CDS	271054	271479	+
del-MD1	ykfC	b0258	CDS	272071	273216	+
del-MD1	insH-1	b0259	CDS	273325	274341	-
del-MD1	mmuP	b0260	CDS	274549	275952	+
del-MD1	mmuM	b0261	CDS	275939	276871	+
del-MD1	afuC	b0262	CDS	276980	278026	-
del-MD1	afuB	b0263	CDS	278038	278400	-
del-MD1	insB-2	b0264	CDS	278402	278905	-
del-MD1	insA-2	b0265	CDS	278824	279099	-
del-MD1	ykgN	b4505	CDS	279248	279586	-
del-MD1	yagB	b0266	CDS	279609	279959	-
del-MD1	yagA	b0267	CDS	280053	281207	-
del-MD1	yagE	b0268	CDS	281481	282410	+
del-MD1	yagF	b0269	CDS	282425	284392	+
del-MD1	yagG	b0270	CDS	284619	286001	+
del-MD1	yagH	b0271	CDS	286013	287623	+
del-MD1	yagI	b0272	CDS	287628	288386	-
del-MD1	argF	b0273	CDS	288525	289529	-
del-MD1	insB-3	b0274	CDS	289873	290376	-
del-MD1	insA-3	b0275	CDS	290295	290570	-
del-MD1	yagJ	b0276	CDS	290724	291455	+
del-MD1	yagK	b0277	CDS	291546	292172	-
del-MD1	yagL	b0278	CDS	292444	293142	-
del-MD1	yagM	b0279	CDS	293169	294023	-
del-MD1	yagN	b0280	CDS	294363	294803	-
del-MD1	intF	b0281	CDS	294920	296320	-
del-MD1	yagP	b0282	CDS	296605	297015	-
del-MD1	yagQ	b0283	CDS	296994	297950	-
