Merge ID	Biological Process (Uniprot)	Biological Process (EcoCyc)	Biological Process (EcoliWiki)	Molecular Function (Uniprot)	Molecular Function(EcoCyc)	Molecular Function (EcoliWiki)	Entry Name K12		Entry Name BL21(DE3)	Category	Suggested Category		Description	Protein Length	UNTREATED	TREATED		Cellular Component	Biological Process	GO Annotation	GO ID				Ishihama2008		Masuda2009		Taniguchi2010	
P03023	regulation of transcription, DNA-dependent|transcription, DNA-dependent				DNA binding		LACI_ECOLI	P03023	C6EJI7	A	F1	This study	Transcriptional regulator, LacI family	363	Y	Y		cytosol		regulation of transcription, DNA-dependent|transcription, DNA-dependent	GO:0006355|GO:0006351			14			0,29	14,22		
P45577			positive regulation of transport	enzyme activator activity			PROQ_ECOLI	P45577	C6EBZ8	A	F1	This study	ProQ activator of osmoprotectant transporter ProP (Putative solute/DNA competence effector)	232	Y	Y				positive regulation of transport	GO:0051050			3415	5,52E+01	2,98E+03	10,45	459,44	0,068045	6804,5
P0AA16	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)		two-component signal transduction system (phosphorelay)	two-component response regulator activity	DNA binding		OMPR_ECOLI	P0AA16	C6EFG9	A	F1	This study	Two component transcriptional regulator, winged helix family	239	Y	Y		cytoplasm		regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)	GO:0000160|GO:0006355|GO:0006351			1351	3,64E+00	6,13E+02	5,31	238,33	0,032016	3201,6
P0A9Q1	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)		regulation of transcription, DNA-dependent|two-component signal transduction system (phosphorelay)	two-component response regulator activity	DNA binding		ARCA_ECOLI	P0A9Q1	C6EBH0	A	F1?	This study	DNA-binding response regulator in two-component regulatory system with ArcB or CpxA (Two component transcriptional regulator, winged helix family)	238	Y			cytoplasm::intracellular		regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)	GO:0000160|GO:0006355|GO:0006351			1605	4,54E+01	2,66E+03	12,59	550		
P0ACF0	chromosome condensation			DNA binding	DNA binding		DBHA_ECOLI	P0ACF0	C6EE18	A	F1?	This study	HU, DNA-binding transcriptional regulator, alpha subunit (Histone family protein DNA-binding protein)	90	Y					chromosome condensation	GO:0030261			56498	1,00E+04	6,10E+04	99	4064,14	1,0443	104430
P0ACF0	chromosome condensation			DNA binding	DNA binding		DBHA_ECOLI	P0ACF0	C6EL23	A	F1?	This study	HU, DNA-binding transcriptional regulator, beta subunit (Histone family protein DNA-binding protein)	90	Y															
P0ACF8	regulation of transcription, DNA-dependent|transcription, DNA-dependent				DNA binding		HNS_ECOLI	P0ACF8	C6EGN0	A	F1?	This study	Global DNA-binding transcriptional dual regulator H-NS (Histone family protein nucleoid-structuring protein H-NS)	137	Y					regulation of transcription, DNA-dependent|transcription, DNA-dependent	GO:0006355|GO:0006351			116289	1,00E+05	2,32E+05	13,25	578,35		
P0A6R3	regulation of transcription, DNA-dependent|transcription, DNA-dependent			sequence-specific DNA binding	DNA binding		FIS_ECOLI	P0A6R3	C6EGJ9	A	F1?	This study	DNA-binding protein Fis (Transcriptional regulator, Fis family)	98	Y					regulation of transcription, DNA-dependent|transcription, DNA-dependent	GO:0006355|GO:0006351			226699	3,16E+05	4,53E+05	9	398		
P0ACJ0	regulation of transcription, DNA-dependent|transcription, DNA-dependent		response to leucine|regulation of transcription, DNA-dependent	sequence-specific DNA binding	DNA binding		LRP_ECOLI	P0ACJ0	C6EI93	A	F1?	This study	DNA-binding transcriptional dual regulator, leucine-binding (Transcriptional regulator, AsnC family)	164	Y					response to leucine|regulation of transcription, DNA-dependent|transcription, DNA-dependent	GO:0043201|GO:0006355|GO:0006351			976	1,57E+01	1,43E+03	11,92	521,98		
P0ACG1				DNA binding	DNA binding		STPA_ECOLI	P0ACG1	C6EJV6	A	F1?	This study	DNA binding protein, nucleoid-associated (Histone family protein nucleoid-structuring protein H-NS)	134	Y			intracellular		DNA binding	GO:0003677			1174	3,06E+01	2,11E+03	5,31	238,33		
P0A6X7	transcription, DNA-dependent|regulation of transcription, DNA-dependent|DNA recombination|regulation of translation				DNA binding		IHFA_ECOLI	P0A6X7	C6ECP5	A	F1?	This study	Integration host factor subunit alpha (IHF-alpha)/one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control.	99	Y					transcription, DNA-dependent|regulation of transcription, DNA-dependent|DNA recombination|regulation of translation	GO:0006355|GO:0006351|GO:0006417|GO:0006310			1148	1,37E+01	1,32E+03	22,71	975,11		
P0A6Y1	transcription, DNA-dependent|regulation of transcription, DNA-dependent|DNA recombination|regulation of translation				DNA binding		IHFB_ECOLI	P0A6Y1	C6EI70	A	F1?	This study	Integration host factor subunit beta (IHF-beta)/one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control.	94	Y			chromosome		transcription, DNA-dependent|regulation of transcription, DNA-dependent|DNA recombination|regulation of translation	GO:0006355|GO:0006351|GO:0006417|GO:0006310			1607	3,06E+01	2,11E+03	25,83	1104,73		
P0A9K3					nucleotide binding|ATP binding		PHOL_ECOLI	P0A9K3	C6EK35	A	F1?	This study	PhoH family protein (Predicted protein with nucleoside triphosphate hydrolase domain)	359	Y			cytoplasm		nucleotide binding|ATP binding	GO:0005524|GO:0000166			1212	1,05E+01	1,13E+03	4,38	197,75	0,023077	2307,7
P22523	chromosome segregation|chromosome condensation|cell cycle|cell division		chromosome segregation|chromosome condensation|cell division	GTP binding|DNA binding|ATP binding	DNA binding|nucleotide binding|ATP binding		MUKB_ECOLI	P22523	C6EI58	A	F1	This study	Chromosome partition protein mukB (Structural maintenance of chromosome-related protein)	1486	Y	Y		cytoplasm	chromosome segregation	chromosome segregation|chromosome condensation|cell cycle|cell division	GO:0030261|GO:0007059|GO:0051301|GO:0007049			640	1,22E+00	3,26E+02	0,82	38,96	0,015536	1553,6
P00582	DNA repair|response to DNA damage stimulus|DNA replication				hydrolase activity|transferase activity|DNA-directed DNA polymerase activity|DNA binding|exonuclease activity|nuclease activity|nucleotidyltransferase activity		DPO1_ECOLI	P00582	C6EF39	A	F1?	This study	DNA polymerase I (EC 2.7.7.7)	928	Y			cytoplasm		DNA repair|response to DNA damage stimulus|DNA replication	GO:0006281|GO:0006260|GO:0006974			721	1,20E+00	3,21E+02	2,59	118,82	0,017241	1724,1
P0A6P7	barrier septum formation|cell cycle|cell division				GTP binding|nucleotide binding		ENGB_ECOLI	P0A6P7	C6EF37	A	F1?	This study	GTP-binding protein HSR1-related/required for normal cell division	210	Y					barrier septum formation|cell cycle|cell division	GO:0051301|GO:0000917|GO:0007049			539	4,34E+00	6,79E+02	9	398		
P0AFI2			DNA topological change|sister chromatid cohesion|chromosome segregation|plasmid partitioning|DNA-dependent DNA replication	DNA binding	isomerase activity|DNA topoisomerase activity|DNA binding		PARC_ECOLI	P0AFI2	C6EHX4	F1		curated	DNA topoisomerase IV subunit A (EC 5.99.1.-) (DNA topoisomerase IV, A subunit) (EC 5.99.1.3)	752	Y			chromosome::cytoplasm	chromosome segregation	DNA topological change|sister chromatid cohesion|chromosome segregation|plasmid partitioning|DNA-dependent DNA replication	GO:0007059|GO:0007062|GO:0006261|GO:0030541|GO:0006265			421	4,17E-01	1,74E+02	0,78	37,12	0,010523	1052,3
P0A8T7	transcription, DNA-dependent				DNA-directed RNA polymerase activity|transferase activity|nucleotidyltransferase activity		RPOC_ECOLI	P0A8T7	C6EE31	A	F1	This study	DNA-directed RNA polymerase (EC 2.7.7.6)	1407	Y	Y		cytoplasm		transcription, DNA-dependent	GO:0006351			2693	9,90E+01	4,18E+03	28,29	1206,59		
P00579	transcription, DNA-dependent|regulation of transcription, DNA-dependent		response to heat	sigma factor activity	sigma factor activity|DNA binding		RPOD_ECOLI	P00579	C6EHS8	A	F1	This study	RNA polymerase sigma factor	613	Y	Y				response to heat|transcription, DNA-dependent|regulation of transcription, DNA-dependent	GO:0006355|GO:0006351|GO:0009408			783	1,37E+01	1,32E+03	5,49	246,16		
P0A7Z4	transcription, DNA-dependent			zinc ion binding	DNA-directed RNA polymerase activity|transferase activity|nucleotidyltransferase activity		RPOA_ECOLI	P0A7Z4	C6EGH1	A	F1?	This study	DNA-directed RNA polymerase subunit alpha (EC 2.7.7.6) (DNA-directed RNA polymerase, alpha subunit)	329	Y			cytoplasm		transcription, DNA-dependent	GO:0006351			5407	2,95E+02	7,87E+03	70,97	2943,18		
P0A8V2	transcription, DNA-dependent				DNA-directed RNA polymerase activity|transferase activity|nucleotidyltransferase activity		RPOB_ECOLI	P0A8V2	C6EE32	A	F1?	This study	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	1342	Y			cytoplasm		transcription, DNA-dependent	GO:0006351			8988	1,64E+02	5,59E+03	27,41	1170,18	0,20205	20205
P0A800	transcription, DNA-dependent				DNA-directed RNA polymerase activity|transferase activity|nucleotidyltransferase activity		RPOZ_ECOLI	P0A800	C6EDE1	A	F1?	This study	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	91	Y					transcription, DNA-dependent	GO:0006351			30020	1,58E+03	2,09E+04	25,83	1104,73	0,68055	68055
P0ACB0	DNA replication, synthesis of RNA primer|DNA replication				hydrolase activity|helicase activity|DNA binding|nucleotide binding|ATP binding		DNAB_ECOLI	P0ACB0	C6EDW8	A	F1?	This study	Replicative DNA helicase	471	Y					DNA replication, synthesis of RNA primer|DNA replication	GO:0006269|GO:0006260			719			0,47	22,71	0,014159	1415,9
