Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	UNTREATED	TREATED		GO Annotation			
ACRB_ECOLI	C6EAX1	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in septal peptidoglycan synthesis (Penicillin-binding protein 3)) (EC 2.4.1.129)	588		Y		regulation of cell shape|response to antibiotic|response to drug|cellular cell wall organization|peptidoglycan biosynthetic process|cell cycle|metabolic process|cell division	C6EAX1	peptidoglycan glycosyltransferase activity|transferase activity, transferring glycosyl groups|penicillin binding|transferase activity|catalytic activity	GO:0008955|GO:0016757|GO:0003824|GO:0016740|GO:0008658
GYRB_ECOLI	C6ECI0	A	DNA gyrase subunit B (EC 5.99.1.3)	804	Y			response to antibiotic|DNA topological change|response to drug|DNA-dependent DNA replication	C6ECI0	isomerase activity|DNA topoisomerase activity|DNA topoisomerase (ATP-hydrolyzing) activity|DNA-dependent ATPase activity|DNA binding|nucleotide binding|ATP binding	GO:0003677|GO:0005524|GO:0016853|GO:0000166|GO:0003918|GO:0008094|GO:0003916
YADG_ECOLI	C6EAT0	F1	ABC transporter related (Predicted transporter subunit: ATP-binding component of ABC superfamily)	308		Y		transport	C6EAT0	nucleotide binding|ATP binding	GO:0005524|GO:0000166
PHOL_ECOLI	C6EK35	A	PhoH family protein (Predicted protein with nucleoside triphosphate hydrolase domain)	359	Y			nucleotide binding|ATP binding	C6EK35	nucleotide binding|ATP binding	GO:0005524|GO:0000166
ACRB_ECOLI	C6EH49	B	ATP-dependent metalloprotease FtsH (EC 3.6.4.3)	647	Y	Y		proteolysis	C6EH49	metallopeptidase activity|hydrolase activity|CTPase activity|nucleotide binding|ATP binding|manganese ion binding|peptidase activity|ATPase activity|zinc ion binding|metal ion binding	GO:0005524|GO:0008233|GO:0046872|GO:0016787|GO:0008237|GO:0000166|GO:0008270|GO:0043273|GO:0030145|GO:0016887
ACRB_ECOLI	C6EBF0	B	CDP-diacylglycerol/glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthetase) (EC 2.7.8.5)	182		Y		phospholipid biosynthetic process	C6EBF0	transferase activity|CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity	GO:0008444|GO:0016740
EFTS_ECOLI	C6EAB5	A	Elongation factor Ts (EF-Ts)	283	Y			translational elongation|translation	C6EAB5	translation elongation factor activity|zinc ion binding	GO:0003746|GO:0008270
CH60_ECOLI	C6ECY2	A	60 kDa chaperonin (Protein Cpn60) (groEL protein)	548	Y			cell cycle|cell division	C6ECY2	nucleotide binding|ATP binding	GO:0005524|GO:0000166
ACRB_ECOLI	C6EH28	B	Putative uncharacterized protein (Putative uncharacterized protein yrbK)	191		Y		lipopolysaccharide transport	C6EH28	glycolipid transporter activity	GO:0017089
ACRB_ECOLI	C6EH19	B	Monofunctional biosynthetic peptidoglycan transglycosylase (Monofunctional TGase) (EC 2.4.2.-)	242		Y		Gram-negative-bacterium-type cell wall biogenesis|regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization	C6EH19	peptidoglycan glycosyltransferase activity|transferase activity	GO:0008955|GO:0016740
