Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location	Name	Accession	Comments	Description	Common Core	Category	Uniprot Subcellular Loci	EchoLOCATION	Total Len	1st Secr Sys	2nd Secr Sys	SignalP SP HMM	Smax HMM	SignalP SP NN	D-score NN	LipoP S	Peptidase	Score	Helixes Predicted	Expected No aas in helixes	Expected No aas in helixes in first 60 aas	Phobius Signal	Phobius TMHs	TatP Signal	TatP D-score
C6EED2	tag ECBD_0188 ECD_03399	tag		ECBD_0188 ECD_03399	C6EED2_ECOBD		Predicted		3-methyl-adenine DNA glycosylase I, constitutive (EC 3.2.2.20) (DNA-3-methyladenine glycosylase I) (EC 3.2.2.20)	"GO:0008725; GO:0006284"	"Complete proteome; Glycosidase; Hydrolase"	187		3MG1_ECOLI	P05100		>P05100|3MG1_ECOLI DNA-3-methyladenine glycosylase 1 OS=Escherichia coli (strain K12) GN=tag PE=1 SV=1	yes	A		Cytoplasmic	187			0	0	0	0		CYT 		0	0.61	0.01		0	99	0.026
C6EAN9	alkA ECBD_1587 ECD_01974	alkA		ECBD_1587 ECD_01974	C6EAN9_ECOBD		Predicted		3-methyl-adenine DNA glycosylase II (EC 3.2.2.21) (DNA-3-methyladenine glycosylase II) (EC 3.2.2.21)	"GO:0003677; GO:0003905; GO:0006284"	"Complete proteome; Glycosidase; Hydrolase"	282		3MG2_ECOLI	P04395		>P04395|3MG2_ECOLI DNA-3-methyladenine glycosylase 2 OS=Escherichia coli (strain K12) GN=alkA PE=1 SV=1	yes	A		Cytoplasmic	282			0	0	24	0.447		CYT 		0	0.15	0.13		0	38	0.037
C6EB56	gnd ECBD_1630 ECD_01931	gnd		ECBD_1630 ECD_01931	C6EB56_ECOBD		Inferred from homology	6-phosphogluconate dehydrogenase family	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	"GO:0019521; GO:0050661; GO:0055114; GO:0006098; GO:0004616"	"Complete proteome; Gluconate utilization; NADP; Oxidoreductase; Pentose shunt"	468		6PGD_ECOLI	P00350		>P00350|6PGD_ECOLI 6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) GN=gnd PE=1 SV=2		A		Cytoplasmic	468			0	0	0	0		CYT 		0	0.09	0.05		0	19	0.094
C6EGL9	yhcQ aaeA ECBD_0505 ECD_03101	yhcQ	aaeA	ECBD_0505 ECD_03101	C6EGL9_ECOBD	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0016020; GO:0009306; GO:0008565"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Signal; Transmembrane; Transmembrane helix; Transport"	310		AAEA_ECOLI	P46482		>P46482|AAEA_ECOLI p-hydroxybenzoic acid efflux pump subunit aaeA OS=Escherichia coli (strain K12) GN=aaeA PE=2 SV=1	yes	B	"Cell inner membrane; Single-pass membrane protein. "	Periplasmic >EXP<	310	SEC		31	0.993	21	0.495	28	SpI 	8.879	1	21.16	21.13		1	12	0.085
C6EGM0	yhcP ECBD_0506 ECD_03100	yhcP		ECBD_0506 ECD_03100	C6EGM0_ECOBD		Predicted		p-hydroxybenzoic acid efflux subunit AaeB (p-hydroxybenzoic acid efflux system component)	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	655		AAEB_ECOLI	P46481		>P46481|AAEB_ECOLI p-hydroxybenzoic acid efflux pump subunit aaeB OS=Escherichia coli (strain K12) GN=aaeB PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	655	SEC		0	0	0	0		TMH 	6.804	10	210.08	41.22		10	53	0.207
C6EGL7	yhcS ECBD_0503 ECD_03103	yhcS		ECBD_0503 ECD_03103	C6EGL7_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator, efflux system (Putative DNA-binding transcriptional regulator)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	309		AAER_ECOLI	P67662		>P67662|AAER_ECOLI HTH-type transcriptional activator aaeR OS=Escherichia coli (strain K12) GN=aaeR PE=4 SV=1	yes	B		Cytoplasmic	309	SEC		0	0	24	0		CYT 		0	7.31	0.01		1	23	0.193
C6EGL8	yhcR ECBD_0504 ECD_03102	yhcR		ECBD_0504 ECD_03102	C6EGL8_ECOBD	"Cell membrane; Multi-pass membrane protein. "	Inferred from homology		Membrane protein of efflux system (Putative uncharacterized protein)	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67		AAEX_ECOLI	P46478		>P46478|AAEX_ECOLI Protein aaeX OS=Escherichia coli (strain K12) GN=aaeX PE=2 SV=2		B	"Cell membrane; Multi-pass membrane protein. "	Integral Membrane Protein	67	SEC		0	0	0	0		TMH 	10.746	2	44.89	40.27		2	42	0.032
C6EJ32	aas ECBD_0888 ECD_02684	aas		ECBD_0888 ECD_02684	C6EJ32_ECOBD		Inferred from homology		2-acyl-glycerophospho-ethanolamine acyltransferase (EC 2.3.1.40) (EC 6.2.1.20) (AMP-dependent synthetase and ligase)	"GO:0005524; GO:0008779; GO:0016021; GO:0008922; GO:0005886"	"ATP-binding; Acyltransferase; Cell inner membrane; Cell membrane; Complete proteome; Ligase; Membrane; Multifunctional enzyme; Nucleotide-binding; Transferase; Transmembrane; Transmembrane helix"	719		AAS_ECOLI	P31119	"Cell inner membrane; Multi-pass membrane protein,Scafold membrane, echolocation Integral membrane protein (experimental; from GenProtEC)"	>P31119|AAS_ECOLI Bifunctional protein aas OS=Escherichia coli (strain K12) GN=aas PE=1 SV=2	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	719	SEC		0	0	0	0		CYT 		0	42.37	1.87		2	39	0.083
C6EI54	aspC ECBD_2667 ECD_00932	aspC		ECBD_2667 ECD_00932	C6EI54_ECOBD		Inferred from homology	Class-I pyridoxal-phosphate-dependent aminotransferase family	Aspartate aminotransferase, PLP-dependent (EC 2.6.1.1) (Aspartate transaminase) (EC 2.6.1.1)	"GO:0004069; GO:0009058; GO:0006520; GO:0030170"	"Aminotransferase; Complete proteome; Pyridoxal phosphate; Transferase"	396		AAT_ECOLI	P00509		>P00509|AAT_ECOLI Aspartate aminotransferase OS=Escherichia coli (strain K12) GN=aspC PE=1 SV=1	yes	A	Cytoplasm. 	Cytoplasmic >EXP<	396			0	0	0	0		CYT 		0	0.00	0.00		0	7	0.071
C6EER9	ydcW ECBD_2195 ECD_01401	ydcW		ECBD_2195 ECD_01401	C6EER9_ECOBD		Inferred from homology	Aldehyde dehydrogenase family, Gamma-aminobutyraldehyde dehydrogenase subfamily	Gamma-aminobutyraldehyde dehydrogenase (EC 1.2.1.19) (1-pyrroline dehydrogenase) (4-aminobutanal dehydrogenase)	"GO:0051287; GO:0019145; GO:0055114; GO:0016646; GO:0009447"	"Complete proteome; NAD; Oxidoreductase"	474		ABDH_ECOLI	P77674		>P77674|ABDH_ECOLI Gamma-aminobutyraldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=ydcW PE=1 SV=1	yes	A		Cytoplasmic	474			0	0	0	0		CYT 		0	0.10	0.00		0	50	0.070
