Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location	Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
P37330	glcB	glc	b2976	JW2943	MASZ_ECOLI	Cytoplasm. 	Evidence at protein level	Malate synthase family, GlcB subfamily	Malate synthase G (MSG) (EC 2.3.3.9)	"GO:0005737; GO:0009436; GO:0006097; GO:0004474; GO:0006099"	"3D-structure; Complete proteome; Cytoplasm; Direct protein sequencing; Glyoxylate bypass; Magnesium; Transferase; Tricarboxylic acid cycle"	723		C6EID5	glcB ECBD_0763 ECD_02844	glcB		ECBD_0763 ECD_02844	C6EID5_ECOBD	Cytoplasm. 	Inferred from homology	Malate synthase family, GlcB subfamily	Malate synthase (EC 2.3.3.9) (Malate synthase G) (EC 2.3.3.9)	"GO:0008415; GO:0005737; GO:0006097; GO:0004474; GO:0006099"	"Acyltransferase; Complete proteome; Cytoplasm; Glyoxylate bypass; Transferase; Tricarboxylic acid cycle"	723	
P0A8S1	iciA		b2916	JW2883	ICIA_ECOLI		Evidence at protein level		Chromosome initiation inhibitor (OriC replication inhibitor)	"GO:0006261; GO:0003681; GO:0032297; GO:0032582; GO:0043193; GO:0043565; GO:0003700; GO:0016566; GO:0006350; GO:0016563"	"Complete proteome; DNA-binding; Direct protein sequencing; Transcription; Transcription regulation"	297		C6EIJ3	iciA ECBD_0822 ECD_02747	iciA		ECBD_0822 ECD_02747	C6EIJ3_ECOBD		Predicted		Chromosome replication initiation inhibitor protein (Transcriptional regulator, ArgP, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	297	
P77165	yagT		b0286	JW0280	YAGT_ECOLI		Evidence at protein level		Putative xanthine dehydrogenase yagT iron-sulfur-binding subunit	"GO:0051537; GO:0033726; GO:0009055; GO:0046872; GO:0055114; GO:0042597; GO:0005515; GO:0006144; GO:0006166"	"2Fe-2S; Complete proteome; Iron; Iron-sulfur; Metal-binding; Oxidoreductase; Purine metabolism; Purine salvage; Signal"	229		C6EA37	yagT ECBD_3371 ECD_00245	yagT		ECBD_3371 ECD_00245	C6EA37_ECOBD		Predicted		(2Fe-2S)-binding domain protein (Predicted xanthine dehydrogenase, 2Fe-2S subunit)	"GO:0051537; GO:0009055; GO:0046872; GO:0055114; GO:0016491"	"2Fe-2S; Complete proteome; Iron; Iron-sulfur; Metal-binding"	229	
P77433	ykgG		b0308	JW5042	YKGG_ECOLI		Inferred from homology	LutC/ykgG family	Uncharacterized protein ykgG	"GO:0030272; GO:0005524; GO:0009396"	Complete proteome	231		C6ELS2	ykgG ECBD_3349 ECD_00264	ykgG		ECBD_3349 ECD_00264	C6ELS2_ECOBD		Predicted		Predicted transporter (Putative uncharacterized protein)	"GO:0030272; GO:0005524; GO:0009396"	Complete proteome	231	
P0ACM2	ydfH		b1540	JW1533	YDFH_ECOLI		Evidence at protein level		Uncharacterized HTH-type transcriptional regulator ydfH	"GO:0003677; GO:0005622; GO:0005515; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	228		C6EDU6	ydfH ECBD_2099 ECD_01499	ydfH		ECBD_2099 ECD_01499	C6EDU6_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, GntR family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	228	
P36561	cobS		b1992	JW1970	COBS_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at transcript level	CobS family	Cobalamin synthase (EC 2.-.-.-)	"GO:0051073; GO:0008818; GO:0009236; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Cobalamin biosynthesis; Complete proteome; Membrane; Transferase; Transmembrane; Transmembrane helix"	247		C6EB80	cobS ECBD_1657 ECD_01901	cobS		ECBD_1657 ECD_01901	C6EB80_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	CobS family	Cobalamin synthase (EC 2.-.-.-)	"GO:0008818; GO:0009236; GO:0015420; GO:0005886"	"Cell inner membrane; Cell membrane; Cobalamin biosynthesis; Complete proteome; Membrane; Transferase; Transmembrane; Transmembrane helix"	247	
P09377	rhaS	rhaC2	b3905	JW3876	RHAS_ECOLI	Cytoplasm. 	Evidence at protein level		HTH-type transcriptional activator rhaS (L-rhamnose operon regulatory protein rhaS)	"GO:0005737; GO:0006355; GO:0019299; GO:0043565; GO:0003700; GO:0006350"	"Activator; Complete proteome; Cytoplasm; DNA-binding; Repeat; Rhamnose metabolism; Transcription; Transcription regulation"	278		C6EEZ2	rhaS ECBD_4118 ECD_03791	rhaS		ECBD_4118 ECD_03791	C6EEZ2_ECOBD		Inferred from homology		DNA-binding transcriptional activator, L-rhamnose-binding (Transcriptional regulator, AraC family)	"GO:0005737; GO:0006355; GO:0019299; GO:0043565; GO:0003700; GO:0006350"	"Activator; Complete proteome; Cytoplasm; DNA-binding; Repeat; Rhamnose metabolism; Transcription; Transcription regulation"	278	
P76237	yeaJ		b1786	JW5291	YEAJ_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at transcript level		Putative diguanylate cylase YeaJ (DGC) (EC 2.7.7.65)	"GO:0009190; GO:0016021; GO:0046872; GO:0016849; GO:0005886; GO:0016740"	"Cell inner membrane; Cell membrane; Complete proteome; Magnesium; Membrane; Metal-binding; Transferase; Transmembrane; Transmembrane helix"	496		C6EC44	yeaJ ECBD_1858 ECD_01755	yeaJ		ECBD_1858 ECD_01755	C6EC44_ECOBD		Predicted		Diguanylate cyclase (Predicted diguanylate cyclase)	"GO:0009190; GO:0016849"	"Complete proteome; Signal"	496	
P77802	yagX		b0291	JW0285	YAGX_ECOLI		Predicted		Uncharacterized protein yagX	GO:0004180	"Complete proteome; Signal"	841		C6EA32	yagX ECBD_3366 ECD_00250	yagX		ECBD_3366 ECD_00250	C6EA32_ECOBD		Predicted		Predicted aromatic compound dioxygenase (Putative uncharacterized protein)	"GO:0004180; GO:0016702"	"Complete proteome; Dioxygenase; Oxidoreductase; Signal"	841	
P27306	sthA	sth udhA	b3962	JW5551	STHA_ECOLI	Cytoplasm. 	Evidence at protein level	Class-I pyridine nucleotide-disulfide oxidoreductase family	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	"GO:0050660; GO:0003957; GO:0045454; GO:0005737; GO:0055114"	"Complete proteome; Cytoplasm; Direct protein sequencing; FAD; Flavoprotein; NAD; NADP; Oxidoreductase"	466		C6EE47	udhA sthA ECBD_4062 ECD_03847	udhA	sthA	ECBD_4062 ECD_03847	C6EE47_ECOBD	Cytoplasm. 	Inferred from homology	Class-I pyridine nucleotide-disulfide oxidoreductase family	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	"GO:0050660; GO:0003957; GO:0045454; GO:0005737; GO:0055114"	"Complete proteome; Cytoplasm; FAD; Flavoprotein; NAD; NADP; Oxidoreductase"	466	
P0AEC0	yoaE		b1816	JW1805	YOAE_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	UPF0053 family	UPF0053 inner membrane protein yoaE	"GO:0050660; GO:0003824; GO:0016021; GO:0055114; GO:0005886"	"CBS domain; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Repeat; Transmembrane; Transmembrane helix"	518		C6EC15	yoaE ECBD_1826 ECD_01786	yoaE		ECBD_1826 ECD_01786	C6EC15_ECOBD		Predicted		Fused predicted membrane protein/conserved protein (Integral membrane protein TerC)	"GO:0050660; GO:0003824; GO:0016021; GO:0055114"	Complete proteome	518	
P23721	serC	pdxC pdxF	b0907	JW0890	SERC_ECOLI	Cytoplasm. 	Evidence at protein level	Class-V pyridoxal-phosphate-dependent aminotransferase family, SerC subfamily	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	"GO:0006564; GO:0004648; GO:0005737; GO:0005515; GO:0030170; GO:0042823; GO:0008615"	"3D-structure; Amino-acid biosynthesis; Aminotransferase; Complete proteome; Cytoplasm; Direct protein sequencing; Pyridoxal phosphate; Pyridoxine biosynthesis; Serine biosynthesis; Transferase"	362		C6EI75	serC ECBD_2688 ECD_00911	serC		ECBD_2688 ECD_00911	C6EI75_ECOBD	Cytoplasm. 	Inferred from homology	"Class-V pyridoxal-phosphate-dependent aminotransferase family; Class-V pyridoxal-phosphate-dependent aminotransferase family, SerC subfamily"	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase)	"GO:0006564; GO:0004648; GO:0030170"	"Amino-acid biosynthesis; Aminotransferase; Complete proteome; Cytoplasm; Pyridoxal phosphate; Pyridoxine biosynthesis; Serine biosynthesis; Transferase"	362	
P0AC02	yfiO		b2595	JW2577	YFIO_ECOLI	"Cell outer membrane; Lipid-anchor. "	Evidence at protein level	UPF0169 (ComL) family	UPF0169 lipoprotein yfiO	"GO:0009279; GO:0005886; GO:0005515"	"Cell membrane; Cell outer membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	245		C6EJZ5	yfiO ECBD_1089 ECD_02485	yfiO		ECBD_1089 ECD_02485	C6EJZ5_ECOBD		Predicted		Outer membrane assembly lipoprotein YfiO (Predicted lipoprotein)	GO:0005488	"Complete proteome; Lipoprotein; Signal"	245	
P64557	ygfM		b2880	JW2848	YGFM_ECOLI		Predicted		Uncharacterized protein ygfM	"GO:0050660; GO:0055114; GO:0016491"	Complete proteome	259		C6EIM8	ygfM ECBD_0857 ECD_02713	ygfM		ECBD_0857 ECD_02713	C6EIM8_ECOBD		Predicted		Predicted oxidoreductase (Selenate reductase, FAD-binding subunit)	"GO:0050660; GO:0055114; GO:0016491"	Complete proteome	259	
P60872	yidE	yibE	b3685	JW3662	YIDE_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Inferred from homology	AAE transporter (TC 2.A.81) family, YidE subfamily	Putative transport protein yidE	"GO:0008324; GO:0016021; GO:0005886; GO:0006813"	"Cell membrane; Complete proteome; Membrane; Repeat; Transmembrane; Transmembrane helix; Transport"	553		C6ED85	yidE ECBD_0018 ECD_03568	yidE		ECBD_0018 ECD_03568	C6ED85_ECOBD	"Cell membrane; Multi-pass membrane protein. "	Inferred from homology		Putative uncharacterized protein yidE (YidE/YbjL duplication)	"GO:0008324; GO:0016021; GO:0005886; GO:0006813"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	553	
P30850	rnb		b1286	JW1279	RNB_ECOLI	Cytoplasm. 	Evidence at protein level	Ribonuclease II (RNB) family	Exoribonuclease 2 (EC 3.1.13.1) (Exoribonuclease II) (RNase II) (Ribonuclease II)	"GO:0003723; GO:0006401; GO:0005737; GO:0008859; GO:0005515"	"3D-structure; Complete proteome; Cytoplasm; Exonuclease; Hydrolase; Nuclease; RNA-binding"	644		C6EFU6	rnb ECBD_2331 ECD_01263	rnb		ECBD_2331 ECD_01263	C6EFU6_ECOBD	Cytoplasm. 	Inferred from homology	Ribonuclease II (RNB) family	Exoribonuclease 2 (EC 3.1.13.1) (Exoribonuclease II)	"GO:0003723; GO:0005737; GO:0008859; GO:0006402"	"Complete proteome; Cytoplasm; Exonuclease; Hydrolase; Nuclease; RNA-binding"	644
P00803	lepB		b2568	JW2552	LEP_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Peptidase S26 family	Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I)	"GO:0016021; GO:0005886; GO:0016485; GO:0006508; GO:0008236; GO:0015643"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Disulfide bond; Hydrolase; Membrane; Protease; Transmembrane; Transmembrane helix"	324		C6EK19	lepB ECBD_1113 ECD_02462	lepB		ECBD_1113 ECD_02462	C6EK19_ECOBD		Inferred from homology	Peptidase S26 family	Signal peptidase I (EC 3.4.21.89)	"GO:0016021; GO:0006508; GO:0008236"	"Complete proteome; Hydrolase; Protease"	324
P0A7S3	rpsL	strA	b3342	JW3304	RS12_ECOLI		Evidence at protein level	Ribosomal protein S12P family	30S ribosomal protein S12	"GO:0000372; GO:0034337; GO:0022627; GO:0034336; GO:0033120; GO:0019843; GO:0046677; GO:0003735; GO:0000049; GO:0006412"	"3D-structure; Acetylation; Antibiotic resistance; Complete proteome; Direct protein sequencing; RNA-binding; Ribonucleoprotein; Ribosomal protein; rRNA-binding; tRNA-binding"	124		C6EGC2	rpsL ECBD_0407 ECD_03193	rpsL		ECBD_0407 ECD_03193	C6EGC2_ECOBD		Inferred from homology	Ribosomal protein S12P family	30S ribosomal protein S12	"GO:0019843; GO:0015935; GO:0003735; GO:0000049; GO:0006412"	"Acetylation; Complete proteome; RNA-binding; Ribonucleoprotein; Ribosomal protein; rRNA-binding; tRNA-binding"	124
P76658	hldE	rfaE waaE yqiF	b3052	JW3024	HLDE_ECOLI		Evidence at protein level	"Carbohydrate kinase pfkB family; Cytidylyltransferase family"	"Bifunctional protein hldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.-) (D-beta-D-heptose 7-phosphotransferase); D-beta-D-heptose 1-phosphate adenosyltransferase (EC 2.7.7.-)]"	"GO:0005524; GO:0016301; GO:0009103; GO:0016779; GO:0016773"	"ATP-binding; Acetylation; Carbohydrate metabolism; Complete proteome; Kinase; Lipopolysaccharide biosynthesis; Multifunctional enzyme; Nucleotide-binding; Nucleotidyltransferase; Transferase"	477		C6EHU3	rfaE hldE ECBD_0689 ECD_02922	rfaE	hldE	ECBD_0689 ECD_02922	C6EHU3_ECOBD		Inferred from homology	"Cytidylyltransferase family; Carbohydrate kinase pfkB family"	Bifunctional protein hldE	"GO:0005524; GO:0009058; GO:0005975; GO:0016301; GO:0016779; GO:0016773"	"ATP-binding; Acetylation; Carbohydrate metabolism; Complete proteome; Kinase; Multifunctional enzyme; Nucleotide-binding; Nucleotidyltransferase; Transferase"	477
P31463	yidZ		b3711	JW3689	YIDZ_ECOLI		Evidence at protein level		HTH-type transcriptional regulator yidZ	"GO:0003677; GO:0005515; GO:0006355; GO:0003700; GO:0006350; GO:0016563; GO:0016564"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	319		C6EG92	yidZ ECBD_4321 ECD_03595	yidZ		ECBD_4321 ECD_03595	C6EG92_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	319
P0A7E1	pyrD		b0945	JW0928	PYRD_ECOLI	"Cell membrane; Peripheral membrane protein. "	Evidence at protein level	Dihydroorotate dehydrogenase family, Type 2 subfamily	Dihydroorotate dehydrogenase (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	"GO:0006207; GO:0006222; GO:0004158; GO:0055114; GO:0005886"	"3D-structure; Cell membrane; Complete proteome; Direct protein sequencing; FMN; Flavoprotein; Membrane; Oxidoreductase; Pyrimidine biosynthesis"	336		C6EI37	pyrD ECBD_2650 ECD_00949	pyrD		ECBD_2650 ECD_00949	C6EI37_ECOBD	"Cell membrane; Peripheral membrane protein. "	Inferred from homology	Dihydroorotate dehydrogenase family, Type 2 subfamily	Dihydroorotate dehydrogenase (EC 1.3.5.2) (DHOdehase) (Dihydroorotate oxidase)	"GO:0006207; GO:0006222; GO:0004158; GO:0016020; GO:0055114"	"Cell membrane; Complete proteome; FMN; Flavoprotein; Membrane; Oxidoreductase; Pyrimidine biosynthesis"	336
P07762	glgB		b3432	JW3395	GLGB_ECOLI		Evidence at protein level	Glycosyl hydrolase 13 family	1,4-alpha-glucan-branching enzyme (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Glycogen-branching enzyme) (BE)	"GO:0003844; GO:0043169; GO:0005978; GO:0004553"	"3D-structure; Complete proteome; Glycogen biosynthesis; Glycosyltransferase; Transferase"	728		C6EFE2	glgB ECBD_0310 ECD_03284	glgB		ECBD_0310 ECD_03284	C6EFE2_ECOBD		Inferred from homology	Glycosyl hydrolase 13 family	1,4-alpha-glucan-branching enzyme (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Glycogen-branching enzyme)	"GO:0003844; GO:0043169; GO:0005978; GO:0004553"	"Complete proteome; Glycogen biosynthesis; Glycosyltransferase; Transferase"	728
P0A817	metK	metX	b2942	JW2909	METK_ECOLI	Cytoplasm. 	Evidence at protein level	AdoMet synthase family	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	"GO:0005524; GO:0006556; GO:0005829; GO:0000287; GO:0004478; GO:0006730; GO:0030955"	"3D-structure; ATP-binding; Acetylation; Cobalt; Complete proteome; Cytoplasm; Magnesium; Metal-binding; Nucleotide-binding; One-carbon metabolism; Potassium; Transferase"	384		C6EIG9	metK ECBD_0798 ECD_02772	metK		ECBD_0798 ECD_02772	C6EIG9_ECOBD	Cytoplasm. 	Inferred from homology	AdoMet synthase family	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	"GO:0005524; GO:0005737; GO:0000287; GO:0004478; GO:0006730"	"ATP-binding; Acetylation; Cobalt; Complete proteome; Cytoplasm; Magnesium; Metal-binding; Nucleotide-binding; One-carbon metabolism; Potassium; Transferase"	384
P0AGJ5	yfiF		b2581	JW2565	YFIF_ECOLI		Inferred from homology	RNA methyltransferase trmH family	Uncharacterized tRNA/rRNA methyltransferase yfiF (EC 2.1.1.-)	"GO:0003723; GO:0008173; GO:0006396"	"Complete proteome; Methyltransferase; Transferase"	345		C6EK05	yfiF ECBD_1099 ECD_02475	yfiF		ECBD_1099 ECD_02475	C6EK05_ECOBD		Predicted		Predicted methyltransferase (EC 2.1.1.-) (tRNA/rRNA methyltransferase (SpoU))	"GO:0003723; GO:0008173; GO:0006396"	"Complete proteome; Methyltransferase; Transferase"	345
P0ACL5	glcC	yghN	b2980	JW2947	GLCC_ECOLI		Predicted		Glc operon transcriptional activator	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Activator; Complete proteome; DNA-binding; Transcription; Transcription regulation"	254		C6EID0	glcC ECBD_0758 ECD_02849	glcC		ECBD_0758 ECD_02849	C6EID0_ECOBD		Predicted		DNA-binding transcriptional dual regulator, glycolate-binding (GntR domain protein)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	254
P32677	yijO		b3954	JW3926	YIJO_ECOLI		Predicted		Uncharacterized HTH-type transcriptional regulator yijO	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	283		C6EE55	yijO ECBD_4070 ECD_03839	yijO		ECBD_4070 ECD_03839	C6EE55_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, AraC family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	283
P68206	yjbJ		b4045	JW4005	YJBJ_ECOLI		Evidence at protein level	UPF0337 (csbD) family	UPF0337 protein yjbJ	GO:0005515	"3D-structure; Complete proteome; Direct protein sequencing"	69		C6EDX5	yjbJ ECBD_3988 ECD_03917	yjbJ		ECBD_3988 ECD_03917	C6EDX5_ECOBD		Predicted		CsbD family protein (Predicted stress response protein)		Complete proteome	69
P0A6Z6	nikR	yhhG	b3481	JW3446	NIKR_ECOLI		Evidence at protein level	Transcriptional regulatory CopG/NikR family	Nickel-responsive regulator	"GO:0003677; GO:0046872; GO:0005515; GO:0006355; GO:0006350"	"3D-structure; Complete proteome; DNA-binding; Direct protein sequencing; Metal-binding; Nickel; Repressor; Transcription; Transcription regulation"	133		C6EF93	nikR ECBD_0260 ECD_03330	nikR		ECBD_0260 ECD_03330	C6EF93_ECOBD		Inferred from homology	Transcriptional regulatory CopG/NikR family	Nickel-responsive regulator	"GO:0003677; GO:0046872; GO:0006355; GO:0006350"	"Complete proteome; DNA-binding; Metal-binding; Nickel; Repressor; Transcription; Transcription regulation"	133
P0A8E1	ycfP		b1108	JW5158	YCFP_ECOLI		Inferred from homology	UPF0227 family	UPF0227 protein ycfP		Complete proteome	180		C6EGY4	ycfP ECBD_2493 ECD_01104	ycfP		ECBD_2493 ECD_01104	C6EGY4_ECOBD		Inferred from homology	UPF0227 family	UPF0227 protein ycfP		Complete proteome	180
Q46797	ygeQ		b2863	JW5461	YGEQ_ECOLI		Uncertain		Putative uncharacterized protein ygeQ	GO:0003824	Complete proteome	278		C6EIP4	ygeQ ECBD_0873 ECD_02697	ygeQ		ECBD_0873 ECD_02697	C6EIP4_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein ygeQ)	GO:0003824	"Complete proteome; Signal"	183
P64610	yrbL		b3207	JW3174	YRBL_ECOLI		Evidence at transcript level		Uncharacterized protein yrbL		Complete proteome	210		C6EH20	yrbL ECBD_0535 ECD_03072	yrbL		ECBD_0535 ECD_03072	C6EH20_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein yrbL)		Complete proteome	210
P75864	rlmL	ycbY	b0948	JW0931	RLML_ECOLI	Cytoplasm. 	Evidence at protein level	Methyltransferase superfamily, RlmL family	Ribosomal RNA large subunit methyltransferase L (EC 2.1.1.52) (23S rRNA m2G2445 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase rlmL)	"GO:0003723; GO:0005737; GO:0008990; GO:0070475"	"Complete proteome; Cytoplasm; Methyltransferase; RNA-binding; S-adenosyl-L-methionine; Transferase; rRNA processing"	702		C6EI34	ycbY rlmL ECBD_2647 ECD_00952	ycbY	rlmL	ECBD_2647 ECD_00952	C6EI34_ECOBD	Cytoplasm. 	Inferred from homology	Methyltransferase superfamily, RlmL family	Ribosomal RNA large subunit methyltransferase L (EC 2.1.1.52) (23S rRNA m2G2445 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase rlmL)	"GO:0005737; GO:0003676; GO:0008990"	"Complete proteome; Cytoplasm; Methyltransferase; RNA-binding; S-adenosyl-L-methionine; Transferase; rRNA processing"	702
P0AD37	yfeC		b2398	JW2393	YFEC_ECOLI		Predicted		Uncharacterized protein yfeC	GO:0000166	Complete proteome	114		C6EL74	yfeC ECBD_1278 ECD_02304	yfeC		ECBD_1278 ECD_02304	C6EL74_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Putative uncharacterized protein)	"GO:0003677; GO:0000166"	"Complete proteome; DNA-binding"	114
