Entry Name	# Tryptic Peptide	# Theoretical Tryptic Peptides
Accession	0	1
P77335	11	23
P0A901	12	21
P0A903	13	18
P0A905	6	9
P0A912	8	16
P0A935	7	24
P0A937	4	7
P0AA91	10	17
P0AB26	7	18
P0AB38	9	14
P0AC02	14	25
P0AD44	12	22
P0ADA3	4	11
P0ADA5	7	16
P0ADB1	5	10
P0ADB7	2	4
P0ADC1	9	23
P0ADN6	3	7
P0AF70	3	7
P0AFB1	12	21
P0C066	11	23
P0C960	10	20
P10100	7	18
P25894	11	18
P32681	10	23
P32712	5	19
P32714	9	15
P37194	8	12
P37665	7	20
P39297	5	9
P40710	11	20
P41052	10	18
P45464	12	22
P46122	8	13
P46130	6	11
P52644	8	13
P61320	16	24
P64451	12	21
P64596	9	20
P65292	2	7
P69411	6	12
P69776	3	10
P75818	8	17
P75820	13	21
P75946	6	9
P76506	13	17
P76537	7	19
P77330	4	8
P77339	14	23
P77562	7	24
P77717	10	31
P77774	10	22
Q46798	9	18
P02930	11	18
P02931	9	18
P05825	9	22
P06129	10	16
P06971	11	21
P0A908	10	18
P0A910	11	17
P0A917	7	14
P0A921	13	19
P0A927	8	18
P0A940	14	25
P0ADE4	14	28
P10384	5	12
P13036	7	18
P16869	8	19
P21420	8	22
P30130	12	17
P31554	10	19
P31600	13	27
P33341	12	20
P33666	7	12
P33924	9	16
P34749	10	20
P39180	6	15
P45420	6	15
P45508	4	10
P46474	13	20
P52143	8	15
P69434	14	24
P75780	10	20
P75857	12	21
P76017	5	14
P76115	5	18
P76347	7	17
P76655	12	17
P77199	4	8
P77286	7	16
P77616	10	26
P00634	16	20
P02924	14	26
P02925	12	22
P05458	11	21
P07024	10	19
P07102	12	21
P07822	9	15
P08331	12	24
P09394	11	28
P09551	12	23
P0A6S3	8	16
P0A855	7	19
P0A8X2	11	19
P0A8X4	10	22
P0A9J4	9	13
P0A9P4	12	22
P0AAK7	10	26
P0AAX8	9	19
P0AB06	12	23
