Deletion Name	Left	Right
MD13	15388	20562
MD41	167484	173447
MD1	262738	324634
MD43	331590	376540
MD16	379334	387870
MD17	389122	399029
MD30	522062	529349
MD12	564278	585331
MD14	602688	608572
MD20	687083	688267
MD31	728588	738185
MD35	1041254	1049768
MD36	1085330	1096545
MD26	1128620	1140210
MD11	1196360	1222299
MD21	1386912	1396645
MD2	1398350	1480279
MD32	1525916	1531650
MD8	1625542	1650785
MD40	1870053	1871489
MD27	1960590	1977353
MD28	1995136	2021702
MD5	2064329	2078615
MD22	2099420	2135740
MD37	2163175	2175232
MD23	2284423	2288202
MD7	2464567	2474200
MD15	2507653	2515971
MD3	2556713	2563502
MD4	2754181	2789271
MD18	2993014	2996890
MD42	3088369	3089076
MD10	3108702	3134399
MD19	3182803	3189718
MD24	3360184	3365664
MD6	3451950	3467875
MD38	3579161	3583065
MD33	3617014	3623701
MD25	3649314	3651735
MD39	3718657	3720098
MD34	3760016	3768265
MD9	4494698	4547733
MD29	4553513	4595035
