Accession (UNIPROT)	Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Len	secY Unique Peptides	secY Unique Spectra	secY Total #spectra	QsecY
P60438	RL3_ECOLI	C6EGE6_ECOBD	A	50S ribosomal protein L3	209	10	11	11	0.1
P0A7V0	RS2_ECOLI	C6EAB6_ECOBD	A	30S ribosomal protein S2	241	18	20	47	0.130555556
P0AG55	RL6_ECOLI	C6EGG1_ECOBD	A	50S ribosomal protein L6	177	9	10	12	0.133333333
P27836	WECG_ECOLI	C6EG17_ECOBD	A	Glycosyl transferase. WecB/TagA/CpsF family (EC 2.4.1.187) (Putative UDP-N-acetyl-D-mannosaminuronic acid transferase) (EC 2.4.1.-)	246	11	15	32	0.193939394
P0A8R9	HDFR_ECOLI	C6EG46_ECOBD	A	HTH-type transcriptional regulator hdfR (H-NS-dependent flhDC regulator)	279	1	1	1	1
P03023	LACI_ECOLI	C6EJI7_ECOBD	A	Transcriptional regulator. LacI family	363	20	26	84	0.161538462
P0A799	PGK_ECOLI	C6EII3_ECOBD	A	Phosphoglycerate kinase (EC 2.7.2.3)	387	6	6	6	0.166666667
P0A7L3	RL20_ECOLI	C6ECP1_ECOBD	A	50S ribosomal protein L20	118	6	7	13	0.30952381
P0A7W1	RS5_ECOLI	C6EGG3_ECOBD	A	30S ribosomal protein S5	167	13	17	52	0.235294118
P0A8V2	RPOB_ECOLI	C6EE32_ECOBD	A	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	1342	5	5	5	0.2
P0A7V8	RS4_ECOLI	C6EGH0_ECOBD	A	30S ribosomal protein S4	206	13	14	37	0.203296703
P0A9K3	PHOL_ECOLI	C6EK35_ECOBD	A	PhoH family protein (Predicted protein with nucleoside triphosphate hydrolase domain)	359	1	1	1	1
P0ADT2	YGIB_ECOLI	C6EHV7_ECOBD	A	UPF0441 protein ygiB	223	5	7	7	0.2
P0A6F5	CH60_ECOLI	C6ECY2_ECOBD	A	60 kDa chaperonin (Protein Cpn60) (groEL protein)	548	13	13	20	0.118343195
P77399	FADJ_ECOLI	C6ELB3_ECOBD	A	Fatty acid oxidation complex subunit alpha	714	4	4	4	0.25
P0A9B2	G3P1_ECOLI	C6EC50_ECOBD	A	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12) (Glyceraldehyde-3-phosphate dehydrogenase. type I) (EC 1.2.1.12)	331	8	8	11	0.171875
P0A7J7	RL11_ECOLI	C6EE36_ECOBD	A	50S ribosomal protein L11	142	4	4	9	0.5625
P0AG30	RHO_ECOLI	C6EG30_ECOBD	A	Transcription termination factor Rho	419	13	14	27	0.148351648
P45577	PROQ_ECOLI	C6EBZ8_ECOBD	A	ProQ activator of osmoprotectant transporter ProP (Putative solute/DNA competence effector)	232	2	2	2	0.5
P36683	ACON2_ECOLI	C6EAT9_ECOBD	A	Aconitate hydratase 2 (EC 4.2.1.3)	865	7	7	10	0.204081633
P0A6M8	EFG_ECOLI	C6EGC4_ECOBD	A	Elongation factor G (EF-G)	704	9	9	20	0.24691358
P0A7J3	RL10_ECOLI	C6EE34_ECOBD	A	50S ribosomal protein L10	165	10	12	19	0.158333333
P0AFG6	ODO2_ECOLI	C6EJL1_ECOBD	A	2-oxoglutarate dehydrogenase. E2 subunit. dihydrolipoamide succinyltransferase (Dihydrolipoamide acetyltransferase) (EC 2.3.1.61)	405	5	5	5	0.2
P77748	YDIJ_ECOLI	C6ECR9_ECOBD	A	FAD linked oxidase domain protein (Predicted FAD-linked oxidoreductase)	1018	21	22	48	0.103896104
P0AG44	RL17_ECOLI	C6EGH2_ECOBD	A	50S ribosomal protein L17	127	5	5	11	0.44
P0A8T7	RPOC_ECOLI	C6EE31_ECOBD	A	DNA-directed RNA polymerase (EC 2.7.7.6)	1407	21	22	40	0.086580087
P00579	RPOD_ECOLI	C6EHS8_ECOBD	A	RNA polymerase sigma factor	613	3	5	6	0.4
P0A7R5	RS10_ECOLI	C6EGE5_ECOBD	A	30S ribosomal protein S10	103	3	3	4	0.444444444
P61175	RL22_ECOLI	C6EGF1_ECOBD	A	50S ribosomal protein L22	110	8	9	10	0.138888889
P0A7V3	RS3_ECOLI	C6EGF2_ECOBD	A	30S ribosomal protein S3	233	23	26	98	0.163879599
P0ACB0	DNAB_ECOLI	C6EDW8_ECOBD	A	Replicative DNA helicase	471	1	1	1	1
P0A8J8	RHLB_ECOLI	C6EG33_ECOBD	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	421	20	23	46	0.1
P0A7S3	RS12_ECOLI	C6EGC2_ECOBD	A	30S ribosomal protein S12	124	5	5	8	0.32
P0A825	GLYA_ECOLI	C6EKF6_ECOBD	A	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	417	1	1	1	1
