Entry Name	# Tryptic Peptide	# Theoretical Tryptic Peptides
P37388	12	21
P64485	3	6
P00805	11	19
P00904	11	15
P02916	8	18
P02920	5	13
P02924	14	26
P02932	12	24
P02943	9	18
P05050	12	17
P05824	11	20
P07021	7	13
P08370	7	12
P08371	8	18
P08550	8	11
P09348	6	16
P09836	10	18
P0A6E9	9	18
P0A6S0	9	15
P0A754	7	11
P0A769	5	14
P0A7H3	10	29
P0A8S5	5	11
P0A8X4	10	22
P0A996	16	28
P0A9C0	13	23
P0AA47	4	10
P0AA63	7	13
P0AA99	12	23
P0AAD2	5	12
P0AAD8	5	10
P0AAE5	6	13
P0AAE8	2	8
P0AAK7	10	26
P0AAL3	15	26
P0AAL6	9	20
P0AAM1	11	16
P0AAP7	4	8
P0AAQ0	2	5
P0AAX6	2	6
P0AAY4	3	4
P0AAZ0	7	12
P0AB40	3	7
P0AB85	12	19
P0ABG1	4	15
P0ABH4	3	9
P0ABK9	12	26
P0ABL3	4	12
P0ABL5	10	26
P0ABV2	8	10
P0ABW9	6	13
P0ABX2	7	11
P0ABX5	6	10
P0AC26	5	9
P0AC55	6	16
P0ACJ5	9	14
P0ACV2	10	24
P0ACX0	4	8
P0AD03	10	20
P0AD19	5	14
P0AD59	9	12
P0AD70	10	21
P0ADD2	5	9
P0ADD5	10	17
P0ADI4	12	23
P0ADR0	3	9
P0ADR2	4	7
P0ADU5	6	12
P0AEA2	12	18
P0AEA5	5	14
P0AEK7	6	23
P0AES9	3	11
P0AET2	5	9
P0AF06	15	24
P0AF56	9	19
P0AF80	4	5
P0AF82	2	6
P0AFI5	14	26
P0AFL9	8	17
P0AFQ5	5	7
P0AFU0	10	15
P0AFV0	10	23
P0AG78	12	23
P0AGC0	6	11
P0AGF6	9	24
P0AGM0	7	17
P0AGM7	3	8
P10423	11	23
P12996	11	25
P13033	9	15
P16430	5	14
P16431	13	21
P16678	12	22
P16682	10	19
P17334	6	12
P18200	4	10
P18390	5	15
P18956	11	20
P21503	6	13
P23256	11	17
P23524	10	16
P23898	9	16
P25527	5	9
P25718	11	16
P27297	11	33
P27844	6	11
P29744	16	20
P30136	11	28
P30143	7	15
P31125	4	8
P31133	11	21
P31462	8	16
P31474	6	12
P32057	13	23
P32125	9	16
P32670	10	15
P32700	2	4
P32715	9	15
P33219	7	13
P33235	8	14
P33590	14	20
P33591	7	19
P33593	13	17
P33594	9	27
P33934	5	16
P36837	8	12
P36881	11	14
P37146	11	22
P37180	5	10
P37387	9	25
P37619	8	13
P37631	12	18
P37660	10	14
P37661	8	20
P37758	5	12
P38055	9	20
P39165	11	18
P39276	5	12
P39314	6	15
P39405	14	18
P39453	15	19
P40874	15	20
P42588	13	23
P42592	11	23
P42598	12	27
P42604	12	19
P42616	5	21
P43531	9	13
P43667	5	9
P45463	17	21
P45468	8	15
P46126	5	8
P46136	3	11
P46139	8	19
P46141	0	4
P46142	9	28
P46478	1	3
P50466	8	22
P52636	9	19
P60061	4	10
P60778	1	13
P62395	6	15
P64426	12	21
P64439	5	10
P64445	1	6
P64548	7	13
P64550	4	12
P67153	7	11
P67601	6	15
P68183	9	15
P68187	11	23
P68644	11	20
P69791	8	12
P69902	9	22
P75806	7	11
P75839	11	24
P75916	4	10
P75920	9	18
P75938	9	14
P75948	11	23
P76001	2	12
P76010	12	21
P76169	4	7
P76214	11	20
P76221	6	16
P76249	8	15
P76261	6	19
P76278	6	13
P76297	7	12
P76341	5	12
P76344	10	21
P76393	11	18
P76421	10	26
P76463	13	19
P76577	14	26
P77223	10	11
P77239	11	24
P77269	12	22
P77280	12	19
P77377	7	13
P77538	10	18
P78067	12	23
Q46755	8	18
Q46808	11	17
Q46821	8	13
Q47142	10	18
P02921	7	14
P02942	11	20
P03825	7	13
P03841	5	15
P04128	6	9
P04949	9	19
P05706	7	9
P06609	5	13
P06972	5	8
P06974	12	22
P07017	10	21
P07018	9	17
P08189	6	8
P08190	5	8
P08191	6	11
P08194	9	15
P0A6S3	8	16
P0A710	7	15
P0A7C8	8	10
P0A7G6	12	22
P0A8H3	3	8
P0A8T5	5	8
P0A915	9	13
P0AA57	3	10
P0AA70	5	12
P0AA78	6	17
P0AA80	8	15
P0AAA5	2	5
P0AAA7	9	13
P0AAD4	2	10
P0AAJ3	13	23
P0AAL9	7	13
P0AAR5	5	13
P0AAR8	7	13
P0AAU2	4	9
P0AAV6	2	10
P0AAW5	5	13
P0AAX3	4	6
P0AB31	3	5
P0AB35	8	20
P0AB46	5	10
P0AB49	2	8
P0AB93	4	11
P0ABC0	7	10
P0ABE5	6	15
P0ABL1	11	17
P0ABL8	3	11
P0ABN9	7	14
P0ABP3	6	11
P0ABX8	9	16
P0ABZ1	12	21
P0AC05	7	14
P0AC07	2	4
P0AC94	5	11
P0AC96	7	13
P0ACA1	10	19
P0ACW4	3	6
P0ADA7	2	4
P0ADI9	4	10
P0ADJ5	3	9
P0ADJ8	3	10
P0ADL6	6	11
P0ADM0	5	12
P0ADM6	9	21
P0ADP5	7	11
P0AE16	11	15
P0AE24	8	18
P0AE42	2	4
P0AE98	5	8
P0AEB0	8	11
P0AEH8	4	6
P0AET5	4	12
P0AEX7	4	11
P0AF32	9	14
P0AFA9	8	15
P0AFM4	6	15
P0AFR7	7	15
P0AFR9	9	14
P0AFT2	11	15
P0AFU2	7	17
P0AGM2	8	11
P10903	5	11
P11667	6	12
P15030	4	10
P15070	3	12
P16256	7	10
P16429	5	10
P16692	11	17
P16701	5	13
P19642	8	12
P22586	5	11
P23173	6	10
P24183	11	29
P24216	10	14
P25549	8	12
P25736	12	27
P25798	13	21
P25907	8	18
P28303	7	11
P28911	5	13
P30015	15	27
P30130	12	17
P30855	11	19
P31063	8	13
P31064	9	19
P31122	9	12
P31126	5	13
P31130	6	14
P31131	9	14
P31135	7	11
P31441	8	15
P31442	5	16
P31459	12	16
P31468	5	10
P31549	7	13
P31675	8	11
P31697	13	24
P31991	7	20
P32128	11	19
P32154	6	15
P32709	9	13
P32717	13	24
P32721	13	25
P33013	11	19
P33025	12	19
P33026	6	13
P33129	11	14
P33135	5	9
P33231	4	12
P33236	2	9
P33361	8	12
P33634	13	27
P33668	4	12
P36554	5	10
P36560	2	14
P36646	8	18
P36682	4	13
P37197	13	23
P37614	4	8
P37621	6	11
P37643	5	11
P37657	12	21
P37662	9	16
P37682	9	27
P37683	9	28
P39196	8	14
P39264	8	13
P39265	13	22
P39277	1	9
P39328	5	11
P39344	5	8
P39346	13	18
P39352	11	15
P39371	11	18
P39376	13	20
P39379	8	13
P39398	11	17
P39400	9	17
P39832	6	11
P40876	13	20
P41036	8	19
P42615	5	12
P42630	11	17
P42912	13	20
P42913	7	12
P42915	9	23
P43340	10	17
P45394	9	12
P45425	10	17
P45508	4	10
P45546	6	12
P45750	6	16
P45804	8	16
P46119	1	8
P46125	9	21
P46144	14	20
P52600	4	13
P52613	10	19
P54745	12	21
P55140	9	18
P56579	7	11
P56580	10	16
P60844	4	9
P60872	7	14
P63235	6	11
P64453	1	3
P64471	2	5
P64512	0	3
P64536	3	8
P64614	4	8
P64619	2	6
P64622	3	4
P64627	2	6
P67143	5	12
P67729	5	10
P69210	4	7
P69212	4	7
P69432	4	13
P69434	14	24
P69681	5	11
P69795	4	10
P69816	4	12
P69820	6	13
P69824	7	9
P69856	11	24
P75620	4	7
P75685	8	15
P75693	8	12
P75694	5	10
P75747	6	8
P75750	11	20
P75757	7	14
P75788	10	14
P75810	4	12
