GO:0004416	P05100	Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	UNTREATED	TREATED
GO:0003677	P03023	LACI_ECOLI	C6EJI7	A	Transcriptional regulator, LacI family	363	Y	Y
GO:0000166	P0A8J8	RHLB_ECOLI	C6EG33	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	421	Y	Y
GO:0031555	P0AG30	RHO_ECOLI	C6EG30	A	Transcription termination factor Rho	419	Y	Y
GO:0003899	P0A8T7	RPOC_ECOLI	C6EE31	A	DNA-directed RNA polymerase (EC 2.7.7.6)	1407	Y	Y
GO:0009408	P00579	RPOD_ECOLI	C6EHS8	A	RNA polymerase sigma factor	613	Y	Y
GO:0000796	P22523	MUKB_ECOLI	C6EI58	A	Chromosome partition protein mukB (Structural maintenance of chromosome-related protein)	1486	Y	Y
GO:0000156	P0AA16	OMPR_ECOLI	C6EFG9	A	Two component transcriptional regulator, winged helix family	239	Y	Y
GO:0008047	P45577	PROQ_ECOLI	C6EBZ8	A	ProQ activator of osmoprotectant transporter ProP (Putative solute/DNA competence effector)	232	Y	Y
GO:0004325	P23871	HEMH_ECOLI	C6EKY9	A	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	320		Y
GO:0005737	P27247	PLSX_ECOLI	C6EHC4	A	Fatty acid/phospholipid synthesis protein PlsX	346		Y
GO:0016301	P25741	RFAP_ECOLI	C6EDG1	A	Lipopolysaccharide kinase	265		Y
GO:0009103	P25742	RFAQ_ECOLI	C6EDF9	A	Lipopolysaccharide heptosyltransferase III	340		Y
GO:0016740	P27836	WECG_ECOLI	C6EG17	A	Glycosyl transferase, WecB/TagA/CpsF family (EC 2.4.1.187) (Putative UDP-N-acetyl-D-mannosaminuronic acid transferase) (EC 2.4.1.-)	246		Y
GO:0016491	P0AFP4	YBBO_ECOLI	C6EKX1	A	Short-chain dehydrogenase/reductase SDR	256		Y
GO:0000166	P64612	YHCM_ECOLI	C6EH00	A	AFG1-family ATPase (Conserved protein with nucleoside triphosphate hydrolase domain)	375		Y
GO:0003677	P0A9Q5	ACCD_ECOLI	C6ELD7	A	Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)	304	Y	Y
GO:0010041	P76472	ARND_ECOLI	C6E9U4	A	Polysaccharide deacetylase (Putative uncharacterized protein yfbH)	296	Y	Y
GO:0003988	P76503	FADI_ECOLI	C6ELB2	A	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	436	Y	Y
GO:0003824	P77399	FADJ_ECOLI	C6ELB3	A	Fatty acid oxidation complex subunit alpha	714	Y	Y
