Join Name	CommonCore	CommonCore_MG1655_ref	No files found in	CommonCore Duplicates	CommonCore_MG1655_ref Duplicates
b4053	1	1	2	1	1	EG10001
b0764	1		1	1		EG10002
b3639	1		1	1		EG10004
b2169	1		1	1		EG10005
b2307	1		1	1		EG10007
b0006	1	1	2	1	1	EG10011
b0886	1	1	2	1	1	EG10012
b1856	1	1	2	1	1	EG10013
b2470	1	1	2	1	1	EG10014
b2516	1		1	1		EG10015
b3126	1	1	2	1	1	EG10016
b3187	1	1	2	1	1	EG10017
b3252	1	1	2	1	1	EG10018
b3912	1		1	1		EG10020
b4352	1		1	1		EG10021
b4015	1	1	2	1	1	EG10022
b4014	1	1	2	1	1	EG10023
b0114	1	1	2	1	1	EG10024
b0115	1		1	1		EG10025
b2296	1	1	2	1	1	EG10027
b0902	1	1	2	1	1	EG10028
b2213	1		1	1		EG10029
b1623	1	1	2	1	1	EG10030
b1241	1	1	2	1	1	EG10031
b0474	1	1	2	1	1	EG10032
b2697	1		1	1		EG10034
b1415	1		1	1		EG10035
b1300	1		1	1		EG10036
b2212	1	1	2	1	1	EG10037
b4150	1	1	2	1	1	EG10040
b0110	1	1	2	1	1	EG10041
b4214	1		1	1		EG10043
b1767	1	1	2	1	1	EG10045
b2957	1	1	2	1	1	EG10046
b0050	1	1	2	1	1	EG10047
b0049	1	1	2	1	1	EG10048
b0469	1	1	2	1	1	EG10051
b0064	1		1	1		EG10054
b1901	1	1	2	1	1	EG10057
b1900	1	1	2	1	1	EG10058
b4460	1		1	1		EG10059
b4401	1	1	2	1	1	EG10061
b3210	1	1	2	1	1	EG10062
b2818	1	1	2	1	1	EG10063
b3959	1	1	2	1	1	EG10064
b3958	1	1	2	1	1	EG10065
b3359	1	1	2	1	1	EG10066
b3172	1	1	2	1	1	EG10068
b4254	1		1	1		EG10069
b1876	1	1	2	1	1	EG10071
b2310	1		1	1		EG10072
b0908	1		1	1		EG10073
b3389	1	1	2	1	1	EG10074
b2329	1	1	2	1	1	EG10075
b3281	1	1	2	1	1	EG10077
b2601	1	1	2	1	1	EG10078
b0754	1	1	2	1	1	EG10079
b1704	1	1	2	1	1	EG10080
b3390	1	1	2	1	1	EG10081
b0112	1	1	2	1	1	EG10084
b2714	1		1	1		EG10087
b3433	1	1	2	1	1	EG10088
b0930	1	1	2	1	1	EG10094
b4139	1	1	2	1	1	EG10095
b0928	1	1	2	1	1	EG10096
b1866	1	1	2	1	1	EG10097
b3734	1		1	1		EG10098
b3738	1	1	2	1	1	EG10099
b3731	1		1	1		EG10100
b3732	1	1	2	1	1	EG10101
b3737	1		1	1		EG10102
b3736	1		1	1		EG10103
b3733	1	1	2	1	1	EG10104
b3735	1		1	1		EG10105
b3572	1	1	2	1	1	EG10107
b2480	1	1	2	1	1	EG10108
b0312	1		1	1		EG10110
b0314	1		1	1		EG10112
b3336	1		1	1		EG10113
b0774	1	1	2	1	1	EG10117
b0775	1	1	2	1	1	EG10118
b0777	1	1	2	1	1	EG10119
b0778	1	1	2	1	1	EG10120
b0776	1		1	1		EG10121
b3412	1	1	2	1	1	EG10122
b3973	1	1	2	1	1	EG10123
b0435	1	1	2	1	1	EG10125
b3966	1		1	1		EG10126
b1711	1		1	1		EG10127
b1709	1	1	2	1	1	EG10128
b1710	1	1	2	1	1	EG10129
b1270	1		1	1		EG10130
b4131	1	1	2	1	1	EG10131
b4132	1	1	2	1	1	EG10132
b4133	1		1	1		EG10133
b0032	1	1	2	1	1	EG10134
b0033	1	1	2	1	1	EG10135
b3056	1	1	2	1	1	EG10136
b0175	1	1	2	1	1	EG10139
b4400	1		1	1		EG10145
b1888	1		1	1		EG10146
b1883	1	1	2	1	1	EG10147
b1884	1	1	2	1	1	EG10148
b1887	1		1	1		EG10149
b1882	1		1	1		EG10150
b0765	1		1	1		EG10152
b0827	1	1	2	1	1	EG10153
b0826	1	1	2	1	1	EG10154
b2155	1		1	1		EG10155
b0882	1		1	1		EG10156
b2592	1	1	2	1	1	EG10157
b0437	1	1	2	1	1	EG10158
b0438	1	1	2	1	1	EG10159
b4213	1	1	2	1	1	EG10160
b2049	1	1	2	1	1	EG10161
b2048	1	1	2	1	1	EG10162
b3911	1	1	2	1	1	EG10163
b3357	1	1	2	1	1	EG10164
b2417	1	1	2	1	1	EG10165
b3556	1		1	1		EG10166
b0598	1		1	1		EG10167
b0657	1	1	2	1	1	EG10168
b2313	1	1	2	1	1	EG10169
b1418	1		1	1		EG10172
b0733	1	1	2	1	1	EG10173
b0734	1		1	1		EG10174
b0339	1		1	1		EG10176
b0341	1		1	1		EG10177
b0432	1	1	2	1	1	EG10178
b0431	1	1	2	1	1	EG10179
b0430	1	1	2	1	1	EG10180
b0429	1	1	2	1	1	EG10181
b0428	1	1	2	1	1	EG10182
b2422	1	1	2	1	1	EG10183
b1275	1	1	2	1	1	EG10184
b2752	1	1	2	1	1	EG10186
b3607	1	1	2	1	1	EG10187
b3368	1	1	2	1	1	EG10188
b2762	1	1	2	1	1	EG10189
b2763	1		1	1		EG10190
b2764	1	1	2	1	1	EG10191
b2414	1	1	2	1	1	EG10192
b2421	1	1	2	1	1	EG10193
b2425	1	1	2	1	1	EG10195
b0526	1	1	2	1	1	EG10196
b2424	1		1	1		EG10197
b2423	1		1	1		EG10198
b3934	1	1	2	1	1	EG10200
b0632	1	1	2	1	1	EG10201
b3182	1	1	2	1	1	EG10202
b0839	1	1	2	1	1	EG10203
b3387	1	1	2	1	1	EG10204
b2478	1	1	2	1	1	EG10205
b0031	1	1	2	1	1	EG10206
b0166	1	1	2	1	1	EG10207
b2472	1	1	2	1	1	EG10208
b3809	1	1	2	1	1	EG10209
b1343	1	1	2	1	1	EG10210
b1961	1		1	1		EG10211
b1538	1	1	2	1	1	EG10212
b0381	1	1	2	1	1	EG10213
b0092	1	1	2	1	1	EG10214
b3162	1	1	2	1	1	EG10215
b2317	1		1	1		EG10216
b2316	1	1	2	1	1	EG10217
b2314	1	1	2	1	1	EG10218
