SwissProt accession	SwissProt Entry	Protein description	Observed parent ions	Protein score	Observable peptides	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	Detection Frequency	Molecular mass (Da)	Isoelectric point (pI)	GRAVY (Kyte-Doolittle)	number of alternating hydrophobic/hydrophilic stretches	CAI	Essentiality	hgt	Expr_value	FunCat (v.1.3) top level classification	FunCat (v.1.3) complete classification	FunCat class description	SCOP Fold	SCOP Family	SCOP Class	SCOP Fold Description	TMHMM 2.0 number of transmembrane segments	PSORT localisation	Experimentally derived localization	Group	Operon	Running Number	ribosomal protein	log copynumber
P00350	6PGD_ECOLI	6-phosphogluconate dehydrogenase. decarboxylating (EC 1.1.1.44)	67	3637	23	2.91	8.18E+02	1.42E+04	0.041062629	51482	4.88	-0.2	10					67.01.63.02	"01;63;02.07;63.21.07;02;67.15;01.05;01.05.01;01.05.01.01;02.07.01;63.21;01.05.01.01.01;67;"	"TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ENERGY; "	a.100.c.2	"a.100.1;c.2.1;"	Alpha and beta proteins (a/b).All alpha proteins	6-phosphogluconate dehydrogenase C-terminal domain-like.NAD(P)-binding Rossmann-fold domains	0	Unknown	C	high		18	no	4.152288344
P00509	AAT_ECOLI	Aspartate aminotransferase (EC 2.6.1.1) (Transaminase A) (ASPAT)	33	1621	22	1.5	3.06E+01	2.11E+03	0.032912861	43574	5.58	-0.2	8	0.48	N			01.63.40	"01.01.01;01.01;01;01.01.01.01;63;40.03;01.01.01.01.02.05;63.21.17;40;63.21;01.01.01.01.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	c.67	"c.67.1;"	Alpha and beta proteins (a/b)	PLP-dependent transferases	0	Cytoplasmic	P	high		90	no	3.324282455
P0ABD5	ACCA_ECOLI	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (EC 6.4.1.2)	18	741	18	1	9.00E+00	1.04E+03	0.007708666	35111	5.89	-0.24	9	0.53	E		1.09	1.06	"01.06;01;06.10;06;01.06.01;01.06.01.05;"	"METABOLISM; PROTEIN FATE (folding. modification. destination); "					0	Cytoplasmic	C	low	accA	231	no	3.017033339
P24182	ACCC_ECOLI	Biotin carboxylase (EC 6.3.4.14) (A subunit of acetyl-CoA carboxylase) (EC 6.4.1.2) (ACC)	25	1077	21	1.19	1.45E+01	1.37E+03	0.019712919	49322	7.09	-0.17	14					1.63	"01.06;01;63;63.21.15;63.21;01.06.01;01.06.01.05;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); "	d.142.c.30.b.84	"c.30.1;d.142.1;b.84.2;d.142.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b).All beta proteins	ATP-grasp.Biotin carboxylase N-terminal domain-like.Barrel-sandwich hybrid	0	Cytoplasmic	C	low	accBC	146	no	3.136720567
P0A9Q5	ACCD_ECOLI	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (EC 6.4.1.2) (ACCase beta	10	424	12	0.83	5.81E+00	8.05E+02	0.022009569	33323	7.65	-0.13	11	0.45	N*			1	"01.06;01;01.06.01;"	"METABOLISM; "					0	Unknown	C	low	accD	374	no	2.90579588
Q46837	ACFD_ECOLI	Putative lipoprotein acfD homolog precursor	3	117	57	0.05	1.29E-01	8.80E+01	0.004784689	167247	4.75	-0.54	51		N			99	"99;"	"UNCLASSIFIED PROTEINS; "					0	Unknown		low		843	no	1.944482672
P0A6A3	ACKA_ECOLI	Acetate kinase (EC 2.7.2.1) (Acetokinase)	38	1769	14	2.71	5.17E+02	1.09E+04	0.035633342	43292	6.24	-0.05	7				2.11	01.63.02	"01;63.17;63;01.05.01.01.03;02;63.17.09;02.16;01.05;02.16.13;01.05.01;01.05.01.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ENERGY; "	c.55	"c.55.1;"	Alpha and beta proteins (a/b)	Ribonuclease H-like motif	0	Cytoplasmic	C	high	ackA	78	no	4.037426498
P25516	ACO1_ECOLI	Aconitate hydratase 1 (EC 4.2.1.3) (Citrate hydro-lyase 1) (Aconitase 1)	6	255	33	0.18	5.20E-01	1.98E+02	0.010366826	97517	5.73	-0.24	29	0.32	N			01.63.02	"63.99;01;63.17;02.10;63;02;63.17.09;01.05;01.05.01;01.05.01.01;01.05.01.03;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ENERGY; "	c.83.c.8	"c.8.2;c.83.1;"	Alpha and beta proteins (a/b)	"The ""swivelling"" beta/beta/alpha domain.Aconitase iron-sulfur domain"	0	Cytoplasmic		low	acnA	544	no	2.29666519
P36683	ACO2_ECOLI	Aconitate hydratase 2 (EC 4.2.1.3) (Citrate hydro-lyase 2) (Aconitase 2)	50	2161	38	1.32	1.97E+01	1.63E+03	0.028038278	93499	5.14	-0.12	25	0.56	N		1.4	01.63.02	"01;63.17;02.10;63;02;63.17.09;01.05;01.05.01;01.05.01.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ENERGY; "	c.83.c.8.a.118	"c.8.2;a.118.15;c.83.1;"	Alpha and beta proteins (a/b).All alpha proteins	"alpha-alpha superhelix.The ""swivelling"" beta/beta/alpha domain.Aconitase iron-sulfur domain"	0	Cytoplasmic	C	low	acnB	39	no	3.212187604
P0A6A8	ACP_ECOLI	Acyl carrier protein (ACP) (Cytosolic activating factor) (CAF) (Fatty acid synthase acyl c	8	437	3	2.67	4.63E+02	1.02E+04	0.092105263	8509	3.81	-0.38	0					01.63.62	"01;63;63.13.03;63.13;62.02;62.02.01;01.06.01.05;01.06;62.02.01.02;01.06.07;62;62.02.01.02.99;01.06.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN ACTIVITY REGULATION; "	a.28	"a.28.1;"	All alpha proteins	Acyl carrier protein-like	0	Cytoplasmic	C	high	fabHDG-acpP-fabF	450	no	4.008600172
