Merge ID	Molloy1999	Molloy2000	Gevaert2002	Yan2002	Corbin2003	Fountoulakis2003	Taoka2004	Butland2005	Lopez_Campistrous2005	Spelbrink2005	Stenberg2005	Arifuzzaman2006	Baars2006	Huang2006	Ji2006	Lasserre2006	Marani2006	Cirulli2007	Wagner2007	Zhang2007	Jarchow2008	Qian2008	Wagner2008	Xia2008	Iwasaki2009	Masuda2009	Vertommen2009	Hemm2010	Iwasaki2010	Muller2010	Pan2010	Price2010	Thein2010	Wickstrom2010	OurStudy_Feb2011_Common	# Studies	TableS3_K12_ProteomeV13_conBL21 Duplicates	Entry name (Uniprot)	BL21(DE3) Entry name (Uniprot)	P0A786	P0AE06	P76316	P36683	Q9S4X5	P24182	P00350	P31119	P60560	P0AG44	P0A9P0	P17583	P00363	P0A6F5	P0A6H8	P0AC47	P0ADE4	P06129	P0ADT8	P45763	P02925	P0A910	P00363	P00634	C1P619	P0ACV0	Q46798	A5A615	P00350	P00448	P0AFG8	P25714	P0A910	P00350	Accession
#Proteins	13	34	830	156	1103	345	1403	1282	559	56	54	1866	292	95	612	294	6	66	178	414	37	21	211	77	1586	1747	59	21	2470	394	54	71	631	127	2163	Novel: 532
P19768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	INSJ_ECOLI	C6EEC2_ECOBD																																			
P03835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	INSG_ECOLI	C6EC80_ECOBD																																			
P0CF79	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	A	INSF1_ECOLI	C6EC72_ECOBD												P0CF79																							
P0ADH7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	A	FIME_ECOLI	C6EBS0_ECOBD												P0ADH7																							
P0A8A0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	10	A	YEBC_ECOLI	C6EBW3_ECOBD			P0A8A0		P0A8A0		P0A8A0	P0A8A0	P0A8A0			P0A8A0													P0A8A0	P0A8A0			P0A8A0						P0A8A0
P0A8A2	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	9	A	YEEN_ECOLI	C6EB86_ECOBD			P0A8A2		P0A8A2		P0A8A2	P0A8A2				P0A8A2				P0A8A2										P0A8A2			P0A8A2						P0A8A2
P0ADP0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	5	A	YIGB_ECOLI	C6EG02_ECOBD							P0ADP0								P0ADP0											P0ADP0			P0ADP0						P0ADP0
P39180	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	9	H	AG43_ECOLI	C6EDI7_ECOBD		P39180			P39180				P39180			P39180			P39180			P39180							P39180	P39180			P39180						
P77330	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	7	I	BORD_ECOLI	C6EJF8_ECOBD					P77330										P77330					P77330					P77330	P77330							P77330		P77330
P06966	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	A	DICA_ECOLI	C6EDS4_ECOBD							P06966																						P06966						P06966
P09557	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	A	DICB_ECOLI	C6EDS1_ECOBD												P09557																							
P06965	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	A	DICC_ECOLI	C6EDS5_ECOBD							P06965					P06965																							
P23895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	EMRE_ECOLI	C6EKS5_ECOBD																																			
P0A9R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	B	ESSD_ECOLI	C6EFM7_ECOBD																																			
P77609	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	A	FLXA_ECOLI	C6EL71_ECOBD								P77609				P77609																							
P0ACG6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G	HOKD_ECOLI	C6EDS9_ECOBD																																			
P38393	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	A	KIL_ECOLI	C6EFN1_ECOBD												P38393																							
Q47270	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	A	NINE_ECOLI	C6EKE4_ECOBD												Q47270																							
P37057	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	A	OGRK_ECOLI	C6EIQ9_ECOBD												P37057																							
P03014	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	A	PINE_ECOLI	C6EIR0_ECOBD												P03014													P03014										
P77170	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	A	PINQ_ECOLI	C6EFL7_ECOBD												P77170																							
P0ADI0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	A	PINR_ECOLI	C6EDU1_ECOBD								P0ADI0				P0ADI0																							
P15033	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	A	RACC_ECOLI	C6EFN3_ECOBD												P15033													P15033										
P33228	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	A	RECT_ECOLI	C6EFN4_ECOBD												P33228																							
P07010	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	A	REM_ECOLI	C6EDT0_ECOBD												P07010																							
P76161	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	A	REQ2_ECOLI	C6EJG3_ECOBD								P76161				P76161													P76161				P76161						
P0AG74	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	A	RUSA_ECOLI	C6EKE2_ECOBD				P0AG74								P0AG74																							
P38392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	B	SIEB_ECOLI	C6EFN0_ECOBD																																			P38392
P09153	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	A	TFAE_ECOLI	C6EIR2_ECOBD			P09153																																P09153
P23849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	B	TRKG_ECOLI	C6EFM2_ECOBD																									P23849										
P77300	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	A	YAGI_ECOLI	C6EF65_ECOBD							P77300																						P77300						P77300
P77698	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	A	YBCK_ECOLI	C6EKE9_ECOBD												P77698																							
P77368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	3	G	YBCL_ECOLI	C6EKE8_ECOBD																													P77368	P77368					P77368
P77634	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	A	YBCM_ECOLI	C6EKE7_ECOBD							P77634																												P77634
Q47269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	YBCN_ECOLI	C6EKE5_ECOBD																																			
P68661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	YBCO_ECOLI	C6EKE3_ECOBD																																			
P77598	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	A	YBCV_ECOLI	C6EJF7_ECOBD												P77598																							
P64435	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	A	YBCW_ECOLI	C6EJF6_ECOBD												P64435																	P64435						
P33230	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	A	YDAC_ECOLI	C6EFN5_ECOBD								P33230				P33230																							
P38394	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	A	YDAE_ECOLI	C6EFN2_ECOBD												P38394																							
P0ACW0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	YDAF_ECOLI	C6EFM9_ECOBD																																			
P76061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	A	YDAG_ECOLI	C6EFM8_ECOBD																												P76061							
P29010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	A	YDFD_ECOLI	C6EDS0_ECOBD																																			
P76154	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	A	YDFK_ECOLI	C6EDU2_ECOBD												P76154																							
P76160	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	A	YDFR_ECOLI	C6EFM6_ECOBD								P76160				P76160																							
