Merge ID	1DG005_L2s_NSAF	1DG005_PEL_L2_NSAF	1DG006_L6_NSAF	1DG010_L1_NSAF	# Studies	TableS4_BL21_DE3_ProteomeV8 Duplicates	BL21(DE3) Entry name (Uniprot)	Subcellular Location (Uniprot)	TatP D-score	Protein Len	Protein MW	Unique Peptides	Unique Spectra	Total #spectra	Unique Peptides	Unique Spectra	Total #spectra	Unique Peptides	Unique Spectra	Total #spectra	Unique Peptides	Unique Spectra	Total #spectra
C6EGG7_ECOBD	1	1	1	0	3	RL36_ECOLI	C6EGG7_ECOBD	A	50S ribosomal protein L36	38	9.034.605	1	1	1	1	1	1	1	1	2			
C6EGA1_ECOBD	1	1	0	0	2	RL34_ECOLI	C6EGA1_ECOBD	A	50S ribosomal protein L34	46	1,075.63	1	1	1	1	1	1						
C6ECX6_ECOBD	1	1	1	1	4	ECNB_ECOLI	C6ECX6_ECOBD	I	Entericidin B membrane lipoprotein (Entericidin EcnAB)	48	1,718.82	2	2	11	2	2	11	2	4	19	2	6	21
C6EDF5_ECOBD	1	1	1	0	3	RL33_ECOLI	C6EDF5_ECOBD	A	50S ribosomal protein L33	55	1,569.79	1	1	1	1	1	1	1	1	1			
C6EGG4_ECOBD	1	1	1	1	4	RL30_ECOLI	C6EGG4_ECOBD	A	50S ribosomal protein L30	59	8.415.255	4	4	4	4	4	4	3	3	4	3	3	3
C6EJT5_ECOBD	1	1	0	0	2	CSRA_ECOLI	C6EJT5_ECOBD	A	Carbon storage regulator	61	1,268.61	1	1	1	1	1	1						
C6EKK6_ECOBD	1	1	1	1	4	YFGG_ECOLI	C6EKK6_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein yfgG)	63	1,658.83	1	1	4	1	2	5	1	2	5	1	1	2
C6ECP0_ECOBD	1	1	1	0	3	RL35_ECOLI	C6ECP0_ECOBD	A	50S ribosomal protein L35	65	1,893.98	2	2	10	2	2	8	1	1	2			
C6EK66_ECOBD	1	1	1	1	4	TATE_ECOLI	C6EK66_ECOBD	B	Twin arginine translocase protein E (Twin-arginine translocation protein, TatA/E family subunit)	67	1,103.52	2	2	2	2	2	2	4	4	8	2	2	2
C6EG06_ECOBD	1	1	1	1	4	YIFL_ECOLI	C6EG06_ECOBD	I	Predicted lipoprotein (Putative uncharacterized protein)	67	2,520.27	1	1	2	1	1	2	2	2	5	2	2	7
C6EC07_ECOBD	1	1	0	0	2	CSPC_ECOLI	C6EC07_ECOBD	A	Cold-shock DNA-binding domain protein (Stress protein, member of the CspA-family)	69	1,905.92	1	1	1	1	1	1						
C6EE73_ECOBD	1	1	0	0	2	RL31_ECOLI	C6EE73_ECOBD	A	50S ribosomal protein L31	70	1,045.54	3	3	3	2	2	2						
C6EHT0_ECOBD	1	1	1	1	4	RS21_ECOLI	C6EHT0_ECOBD	A	30S ribosomal protein S21	71	8.144.781	2	2	9	2	2	7	3	3	6	2	2	3
C6EFS5_ECOBD	1	1	1	1	4	PSPD_ECOLI	C6EFS5_ECOBD	A	Peripheral inner membrane phage-shock protein (Phage shock protein PspD)	73	8.715.108	4	4	4	4	4	4	3	3	4	1	1	1
C6EET7_ECOBD	1	0	0	0	1	YDCH_ECOLI	C6EET7_ECOBD	A	Putative uncharacterized protein (Putative uncharacterized protein ydcH)	74	9.445.412	1	1	1									
C6EFS7_ECOBD	1	1	1	1	4	Null	C6EFS7_ECOBD	B	Phage shock protein B	74	1,491.71	4	5	91	4	8	89	9	22	139	9	14	50
C6ECE7_ECOBD	1	1	1	0	3	RS18_ECOLI	C6ECE7_ECOBD	A	30S ribosomal protein S18	75	1,240.66	4	4	6	4	4	6	4	4	8			
C6EHC0_ECOBD	1	1	1	0	3	ACP_ECOLI	C6EHC0_ECOBD	F1	Acyl carrier protein (ACP)	78	9.615.313	4	4	6	2	2	2	3	4	4			
C6ECS8_ECOBD	1	1	1	1	4	LPP_ECOLI	C6ECS8_ECOBD	I	LPP repeat-containing protein (Murein lipoprotein)	78	1,255.65	14	22	709	14	32	548	11	33	458	10	21	164
C6EDF4_ECOBD	1	1	1	1	4	RL28_ECOLI	C6EDF4_ECOBD	A	50S ribosomal protein L28	78	8.414.526	6	6	75	2	2	25	4	5	29	1	1	16
C6EG66_ECOBD	1	1	1	0	3	ATPL_ECOLI	C6EG66_ECOBD	B	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (Lipid-binding protein)	79	1,064.65	1	1	2	1	2	5	3	3	22			
C6EC03_ECOBD	1	1	1	1	4	YOBH_ECOLI	C6EC03_ECOBD	B	Putative uncharacterized protein	79	1,234.64	2	2	2	3	3	3	4	4	6	1	1	1
C6EJY3_ECOBD	1	1	1	1	4	RS16_ECOLI	C6EJY3_ECOBD	A	30S ribosomal protein S16	82	1,208.63	1	1	1	1	1	1	1	1	2	1	1	1
C6EDH9_ECOBD	1	1	1	0	3	GLRX3_ECOLI	C6EDH9_ECOBD	A	Glutaredoxin 3	83	8.124.879	3	3	4	3	3	4	1	1	2			
C6EH42_ECOBD	1	1	1	1	4	RL27_ECOLI	C6EH42_ECOBD	A	50S ribosomal protein L27	85	9.365.037	2	2	2	1	1	1	2	2	4	1	1	1
C6EB30_ECOBD	1	1	1	1	4	RS20_ECOLI	C6EB30_ECOBD	A	30S ribosomal protein S20	87	9.725.473	4	4	6	4	4	6	5	6	16	2	2	3
C6EGU2_ECOBD	1	0	1	1	3	MINE_ECOLI	C6EGU2_ECOBD	F1	Cell division topological specificity factor	88	1,081.60	1	1	1				1	1	1	1	1	1
C6EH60_ECOBD	1	1	1	0	3	RS15_ECOLI	C6EH60_ECOBD	A	30S ribosomal protein S15	89	9.074.731	2	2	2	2	3	4	2	3	4			
C6EF60_ECOBD	1	1	1	1	4	TATA_ECOLI	C6EF60_ECOBD	B	Twin arginate translocase protein A (Twin-arginine translocation protein, TatA/E family subunit)	89	1,083.50	8	11	32	8	13	34	13	27	74	11	17	32
C6EE18_ECOBD	1	1	1	1	4	DBHA_ECOLI	C6EE18_ECOBD	A	HU, DNA-binding transcriptional regulator, alpha subunit (Histone family protein DNA-binding protein)	90	1,244.70	1	1	2	1	1	1	1	2	3	1	1	1
C6EDE1_ECOBD	1	1	0	0	2	RPOZ_ECOLI	C6EDE1_ECOBD	A	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	91	1,215.67	2	2	2	1	1	1						
C6EA63_ECOBD	1	0	0	0	1	YAFQ_ECOLI	C6EA63_ECOBD	A	Addiction module toxin, RelE/StbE family (Predicted toxin of the YafQ-DinJ toxin-antitoxin system)	92	8.585.409	1	1	1									
C6EGF0_ECOBD	1	1	1	0	3	RS19_ECOLI	C6EGF0_ECOBD	A	30S ribosomal protein S19	92	8.904.731	1	1	1	1	1	1	2	2	3			
C6EI70_ECOBD	1	1	1	0	3	IHFB_ECOLI	C6EI70_ECOBD	A	Integration host factor subunit beta (IHF-beta)	94	1,075.56	1	1	1	1	1	1	1	1	1			
C6EC05_ECOBD	1	1	1	1	4	YEBO_ECOLI	C6EC05_ECOBD	B	Putative uncharacterized protein yebO (Uncharacterized protein YebO)	95	2,316.20	4	6	10	2	3	3	6	8	17	6	9	12
