LPT_ECOLI	AP_000665.1
AK1H_ECOLI	AP_000666.1
KHSE_ECOLI	AP_000667.1
THRC_ECOLI	AP_000668.1
YAAX_ECOLI	AP_000669.1
YAAA_ECOLI	AP_000670.1
YAAJ_ECOLI	AP_000671.1
TALB_ECOLI	AP_000672.1
MOG_ECOLI	AP_000673.1
YAAH_ECOLI	AP_000674.1
YAAW_ECOLI	AP_000675.1
HTGA_ECOLI	AP_000676.1
YAAI_ECOLI	AP_000677.1
DNAK_ECOLI	AP_000678.1
DNAJ_ECOLI	AP_000679.1
INSL1_ECOLI	AP_000680.1
INSL2_ECOLI	AP_000680.1
INSL3_ECOLI	AP_000680.1
MOKC_ECOLI	AP_000681.1
HOKC_ECOLI	AP_000682.1
NHAA_ECOLI	AP_000683.1
NHAR_ECOLI	AP_000684.1
INSB1_ECOLI	AP_000685.1
INSB5_ECOLI	AP_000685.1
INSB6_ECOLI	AP_000685.1
INSA1_ECOLI	AP_000686.1
INSA5_ECOLI	AP_000686.1
INSA6_ECOLI	AP_000686.1
RS20_ECOLI	AP_000687.1
YAAY_ECOLI	AP_000688.1
RIBF_ECOLI	AP_000689.1
SYI_ECOLI	AP_000690.1
LSPA_ECOLI	AP_000691.1
FKBX_ECOLI	AP_000692.1
ISPH_ECOLI	AP_000693.1
RIHC_ECOLI	AP_000694.1
DAPB_ECOLI	AP_000695.1
CARA_ECOLI	AP_000696.1
CARB_ECOLI	AP_000697.1
CAIF_ECOLI	AP_000698.1
CAIE_ECOLI	AP_000699.1
CAID_ECOLI	AP_000700.1
CAIC_ECOLI	AP_000701.1
CAIB_ECOLI	AP_000702.1
CAIA_ECOLI	AP_000703.1
CAIT_ECOLI	AP_000704.1
FIXA_ECOLI	AP_000705.1
FIXB_ECOLI	AP_000706.1
FIXC_ECOLI	AP_000707.1
FIXX_ECOLI	AP_000708.1
YAAU_ECOLI	AP_000709.1
KEFF_ECOLI	AP_000710.1
KEFC_ECOLI	AP_000711.1
DYR_ECOLI	AP_000712.1
APAH_ECOLI	AP_000713.1
APAG_ECOLI	AP_000714.1
RSMA_ECOLI	AP_000715.1
PDXA_ECOLI	AP_000716.1
SURA_ECOLI	AP_000717.1
LPTD_ECOLI	AP_000718.1
DJLA_ECOLI	AP_000719.1
YABP_ECOLI	AP_000720.1
YABQ_ECOLI	AP_000721.1
RLUA_ECOLI	AP_000722.1
RAPA_ECOLI	AP_000723.1
DPO2_ECOLI	AP_000724.1
ARAD_ECOLI	AP_000725.1
ARAA_ECOLI	AP_000726.1
ARAB_ECOLI	AP_000727.1
ARAC_ECOLI	AP_000728.1
YABI_ECOLI	AP_000729.1
THIQ_ECOLI	AP_000730.1
THIP_ECOLI	AP_000731.1
THIB_ECOLI	AP_000732.1
SGRR_ECOLI	AP_000733.1
SETA_ECOLI	AP_000734.1
LEUD_ECOLI	AP_000735.1
LEUC_ECOLI	AP_000736.1
LEU3_ECOLI	AP_000737.1
LEU1_ECOLI	AP_000738.1
LPL_ECOLI	AP_000739.1
LEUO_ECOLI	AP_000740.1
ILVI_ECOLI	AP_000741.1
ILVH_ECOLI	AP_000742.1
FRUR_ECOLI	AP_000743.1
MRAZ_ECOLI	AP_000744.1
MRAW_ECOLI	AP_000745.1
FTSL_ECOLI	AP_000746.1
FTSI_ECOLI	AP_000747.1
MURE_ECOLI	AP_000748.1
MURF_ECOLI	AP_000749.1
MRAY_ECOLI	AP_000750.1
MURD_ECOLI	AP_000751.1
FTSW_ECOLI	AP_000752.1
MURG_ECOLI	AP_000753.1
MURC_ECOLI	AP_000754.1
DDLB_ECOLI	AP_000755.1
FTSQ_ECOLI	AP_000756.1
FTSA_ECOLI	AP_000757.1
FTSZ_ECOLI	AP_000758.1
LPXC_ECOLI	AP_000759.1
SECM_ECOLI	AP_000760.1
SECA_ECOLI	AP_000761.1
MUTT_ECOLI	AP_000762.1
YACG_ECOLI	AP_000763.1
YACF_ECOLI	AP_000764.1
COAE_ECOLI	AP_000765.1
GUAC_ECOLI	AP_000766.1
HOFC_ECOLI	AP_000767.1
HOFB_ECOLI	AP_000768.1
PPDD_ECOLI	AP_000769.1
NADC_ECOLI	AP_000770.1
AMPD_ECOLI	AP_000771.1
AMPE_ECOLI	AP_000772.1
AROP_ECOLI	AP_000773.1
PDHR_ECOLI	AP_000774.1
ODP1_ECOLI	AP_000775.1
ODP2_ECOLI	AP_000776.1
DLDH_ECOLI	AP_000777.1
YACH_ECOLI	AP_000778.1
ACON2_ECOLI	AP_000779.1
YACL_ECOLI	AP_000780.1
SPED_ECOLI	AP_000781.1
SPEE_ECOLI	AP_000782.1
YACC_ECOLI	AP_000783.1
CUEO_ECOLI	AP_000784.1
DHG_ECOLI	AP_000785.1
HPRT_ECOLI	AP_000786.1
CAN_ECOLI	AP_000787.1
YADG_ECOLI	AP_000788.1
YADH_ECOLI	AP_000789.1
YADI_ECOLI	AP_000790.1
YADE_ECOLI	AP_000791.1
PAND_ECOLI	AP_000792.1
YADD_ECOLI	AP_000793.1
PANC_ECOLI	AP_000794.1
PANB_ECOLI	AP_000795.1
YADC_ECOLI	AP_000796.1
YADK_ECOLI	AP_000797.1
YADL_ECOLI	AP_000798.1
YADM_ECOLI	AP_000799.1
HTRE_ECOLI	AP_000800.1
ECPD_ECOLI	AP_000801.1
YADN_ECOLI	AP_000802.1
HPPK_ECOLI	AP_000803.1
PCNB_ECOLI	AP_000804.1
GLUQ_ECOLI	AP_000805.1
DKSA_ECOLI	AP_000806.1
SFSA_ECOLI	AP_000807.1
LIGT_ECOLI	AP_000808.1
HRPB_ECOLI	AP_000809.1
PBPB_ECOLI	AP_000810.1
FHUA_ECOLI	AP_000811.1
FHUC_ECOLI	AP_000812.1
FHUD_ECOLI	AP_000813.1
FHUB_ECOLI	AP_000814.1
GSA_ECOLI	AP_000815.1
CLCA_ECOLI	AP_000816.1
ERPA_ECOLI	AP_000817.1
YADS_ECOLI	AP_000818.1
BTUF_ECOLI	AP_000819.1
MTNN_ECOLI	AP_000820.1
DGTP_ECOLI	AP_000821.1
DEGP_ECOLI	AP_000822.1
CDAR_ECOLI	AP_000823.1
YAEH_ECOLI	AP_000824.1
YAEI_ECOLI	AP_000825.1
DAPD_ECOLI	AP_000826.1
GLND_ECOLI	AP_000827.1
AMPM_ECOLI	AP_000828.1
RS2_ECOLI	AP_000829.1
EFTS_ECOLI	AP_000830.1
PYRH_ECOLI	AP_000831.1
RRF_ECOLI	AP_000832.1
DXR_ECOLI	AP_000833.1
UPPS_ECOLI	AP_000834.1
CDSA_ECOLI	AP_000835.1
RSEP_ECOLI	AP_000836.1
YAET_ECOLI	AP_000837.1
SKP_ECOLI	AP_000838.1
LPXD_ECOLI	AP_000839.1
FABZ_ECOLI	AP_000840.1
LPXA_ECOLI	AP_000841.1
LPXB_ECOLI	AP_000842.1
RNH2_ECOLI	AP_000843.1
DPO3A_ECOLI	AP_000844.1
ACCA_ECOLI	AP_000845.1
DCLZ_ECOLI	AP_000846.1
YAER_ECOLI	AP_000847.1
TILS_ECOLI	AP_000848.1
ROF_ECOLI	AP_000849.1
YAEP_ECOLI	AP_000850.1
YAEQ_ECOLI	AP_000851.1
YAEJ_ECOLI	AP_000852.1
NLPE_ECOLI	AP_000853.1
YAEF_ECOLI	AP_000854.1
SYP_ECOLI	AP_000855.1
YAEB_ECOLI	AP_000856.1
RCSF_ECOLI	AP_000857.1
METQ_ECOLI	AP_000858.1
METI_ECOLI	AP_000859.1
METN_ECOLI	AP_000860.1
GMHB_ECOLI	AP_000861.1
DKGB_ECOLI	AP_000862.1
YAFC_ECOLI	AP_000863.1
YAFD_ECOLI	AP_000864.1
YAFE_ECOLI	AP_000865.1
MLTD_ECOLI	AP_000866.1
GLO2_ECOLI	AP_000867.1
YAFS_ECOLI	AP_000868.1
RNH_ECOLI	AP_000869.1
DPO3E_ECOLI	AP_000870.1
YAFT_ECOLI	AP_000871.1
YAFU_ECOLI	AP_000872.1
YAFF_ECOLI	AP_000873.1
YAFV_ECOLI	AP_000874.1
IVY_ECOLI	AP_000875.1
FADE_ECOLI	AP_000876.1
GMHA_ECOLI	AP_000877.1
YAFJ_ECOLI	AP_000878.1
YAFK_ECOLI	AP_000879.1
YAFQ_ECOLI	AP_000880.1
DINJ_ECOLI	AP_000881.1
YAFL_ECOLI	AP_000882.1
YAFM_ECOLI	AP_000883.1
DPO4_ECOLI	AP_000884.1
YAFN_ECOLI	AP_000885.1
YAFO_ECOLI	AP_000886.1
YAFP_ECOLI	AP_000887.1
YKFJ_ECOLI	AP_000888.1
RFH_ECOLI	AP_000889.1
PEPD_ECOLI	AP_000890.1
XGPT_ECOLI	AP_000891.1
FRSA_ECOLI	AP_000892.1
CRL_ECOLI	AP_000893.1
PHOE_ECOLI	AP_000894.1
PROB_ECOLI	AP_000895.1
PROA_ECOLI	AP_000896.1
YKFI_ECOLI	AP_000897.1
YAFW_ECOLI	AP_000898.1
YKFH_ECOLI	AP_000899.1
YKFG_ECOLI	AP_000900.1
YAFX_ECOLI	AP_000901.1
YKFF_ECOLI	AP_000902.1
YKFB_ECOLI	AP_000903.1
YAFY_ECOLI	AP_000904.1
YAFZ_ECOLI	AP_000905.1
YKFA_ECOLI	AP_000906.1
PERR_ECOLI	AP_000907.1
INSN1_ECOLI	AP_000908.1
INSI1_ECOLI	AP_000909.1
INSO1_ECOLI	AP_000910.1
YKFC_ECOLI	AP_000911.1
INH10_ECOLI	AP_000912.1
INH11_ECOLI	AP_000912.1
INSH1_ECOLI	AP_000912.1
INSH2_ECOLI	AP_000912.1
INSH3_ECOLI	AP_000912.1
INSH4_ECOLI	AP_000912.1
INSH7_ECOLI	AP_000912.1
INSH8_ECOLI	AP_000912.1
INSH9_ECOLI	AP_000912.1
MMUP_ECOLI	AP_000913.1
MMUM_ECOLI	AP_000914.1
FBPC_ECOLI	AP_000915.1
FBPB_ECOLI	AP_000916.1
INSB2_ECOLI	AP_000917.1
INSB3_ECOLI	AP_000917.1
INSA2_ECOLI	AP_000918.1
INSA3_ECOLI	AP_000918.1
INSA4_ECOLI	AP_000918.1
YKGN_ECOLI	AP_000919.1
YAGB_ECOLI	AP_000920.1
YAGA_ECOLI	AP_000921.1
YAGE_ECOLI	AP_000922.1
YAGF_ECOLI	AP_000923.1
YAGG_ECOLI	AP_000924.1
YAGH_ECOLI	AP_000925.1
YAGI_ECOLI	AP_000926.1
OTC2_ECOLI	AP_000927.1
YAGJ_ECOLI	AP_000930.1
YAGK_ECOLI	AP_000931.1
YAGL_ECOLI	AP_000932.1
YAGM_ECOLI	AP_000933.1
YAGN_ECOLI	AP_000934.1
INTF_ECOLI	AP_000935.1
YAGP_ECOLI	AP_000936.1
YAGQ_ECOLI	AP_000937.1
YAGR_ECOLI	AP_000938.1
YAGS_ECOLI	AP_000939.1
YAGT_ECOLI	AP_000940.1
YAGU_ECOLI	AP_000941.1
YKGJ_ECOLI	AP_000942.1
YAGV_ECOLI	AP_000943.1
YAGW_ECOLI	AP_000944.1
YAGX_ECOLI	AP_000945.1
MATC_ECOLI	AP_000946.1
MATB_ECOLI	AP_000947.1
MATA_ECOLI	AP_000948.1
YKGL_ECOLI	AP_000949.1
RL362_ECOLI	AP_000950.1
RL31B_ECOLI	AP_000951.1
EAEH_ECOLI	AP_000952.1
INSE1_ECOLI	AP_000953.1
INSE2_ECOLI	AP_000953.1
INSE3_ECOLI	AP_000953.1
INSE4_ECOLI	AP_000953.1
INSE5_ECOLI	AP_000953.1
INSE6_ECOLI	AP_000953.1
INSE7_ECOLI	AP_000953.1
INSF1_ECOLI	AP_000954.1
INSF2_ECOLI	AP_000954.1
INSF3_ECOLI	AP_000954.1
INSF4_ECOLI	AP_000954.1
INSF5_ECOLI	AP_000954.1
INSF6_ECOLI	AP_000954.1
YKGA_ECOLI	AP_000955.1
YKGB_ECOLI	AP_000956.1
YKGI_ECOLI	AP_000957.1
YKGC_ECOLI	AP_000958.1
YKGD_ECOLI	AP_000959.1
YKGE_ECOLI	AP_000960.1
YKGF_ECOLI	AP_000961.1
YKGG_ECOLI	AP_000962.1
YKGH_ECOLI	AP_000963.1
BETA_ECOLI	AP_000964.1
BETB_ECOLI	AP_000965.1
BETI_ECOLI	AP_000966.1
BETT_ECOLI	AP_000967.1
YAHA_ECOLI	AP_000968.1
YAHB_ECOLI	AP_000969.1
YAHC_ECOLI	AP_000970.1
YAHD_ECOLI	AP_000971.1
YAHE_ECOLI	AP_000972.1
YAHF_ECOLI	AP_000973.1
YAHG_ECOLI	AP_000974.1
YAHH_ECOLI	AP_000975.1
ARCM_ECOLI	AP_000976.1
YAHJ_ECOLI	AP_000977.1
YAHK_ECOLI	AP_000978.1
YAHL_ECOLI	AP_000979.1
YAHM_ECOLI	AP_000980.1
YAHN_ECOLI	AP_000981.1
YAHO_ECOLI	AP_000982.1
PRPR_ECOLI	AP_000983.1
PRPB_ECOLI	AP_000984.1
PRPC_ECOLI	AP_000985.1
PRPD_ECOLI	AP_000986.1
PRPE_ECOLI	AP_000987.1
CODB_ECOLI	AP_000988.1
CODA_ECOLI	AP_000989.1
CYNR_ECOLI	AP_000990.1
CYNT_ECOLI	AP_000991.1
CYNS_ECOLI	AP_000992.1
CYNX_ECOLI	AP_000993.1
THGA_ECOLI	AP_000994.1
LACY_ECOLI	AP_000995.1
BGAL_ECOLI	AP_000996.1
LACI_ECOLI	AP_000997.1
MHPR_ECOLI	AP_000998.1
MHPA_ECOLI	AP_000999.1
MHPB_ECOLI	AP_001000.1
