Accession number	ECK	Gene	Protein name	emPAI Value	mRNA expression level	Copy number per cell	Sequence coverage (%)	Number of unique peptides	Mascot protein score	Number of TMDs	GRAVY score	GO cellular component
JW3950	ECK3978	rpoB	RNA polymerase, beta subunit	27,41	3,87	1170,18	75,86	88	4999	0	-0,394	GO:0005737 cytoplasm
JW3951	ECK3979	rpoC	RNA polymerase, beta prime subunit	28,29	3,95	1206,59	74,13	97	4850	0	0.000	GO:0005737 cytoplasm
JW0110	ECK0113	aceE	pyruvate dehydrogenase, decarboxylase component E1, thiamin-binding	47,33	7	3842,58	78,24	72	3966	0	-0,437	0
JW0031	ECK0034	carB	carbamoyl-phosphate synthase large subunit	30,62	1,36	1302,81	67,29	71	3749	0	-0,162	0
JW0894	ECK0902	rpsA	30S ribosomal subunit protein S1	185,32	14	7463,64	89,05	55	3466	0	0.000	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3137	ECK3157	infB	fused protein chain initiation factor 2, IF2	15,47	2	672,06	72	57	3053	0	-0,533	GO:0005737 cytoplasm
JW2573	ECK2590	clpB	protein disaggregation chaperone	12,53	4,39	547,85	69,31	56	3047	0	-0,358	GO:0005737 cytoplasm
JW0114	ECK0117	acnB	bifunctional aconitate hydratase 2 -!- 2-methylisocitrate dehydratase	33,55	9,64	739,77	73,53	56	2995	0	-0,117	0
JW3302	ECK3327	fusA	protein chain elongation factor EF-G	48,03	12,97	2.016	74,72	43	2995	0	-0,286	GO:0005737 cytoplasm
JW1703	ECK1711	pheT	phenylalanine tRNA synthetase, beta subunit	21,68	4,93	932	70,69	51	2751	0	-0,097	GO:0005737 cytoplasm
JW0886	ECK0894	pflB	pyruvate formate lyase I	19,59	12,47	641,14	73,68	48	2739	0	0.000	GO:0005737 cytoplasm
JW0013	ECK0014	dnaK	chaperone Hsp70, co-chaperone with DnaJ	42,75	10,49	1.801	76,18	48	2708	0	-0,409	GO:0005737 cytoplasm
JW2667	ECK2692	alaS	alanyl-tRNA synthetase	6,16	7,74	275,23	61,99	45	2641	0	-0,303	GO:0005737 cytoplasm
