A5A616	YNEM_ECOLI Uncharacterized protein yneM OS=Escherichia coli (strain K12) GN=yneM PE=1 SV=1
P00350	6PGD_ECOLI 6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) GN=gnd PE=1 SV=2
P00363	FRDA_ECOLI Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) GN=frdA PE=1 SV=3
P00393	DHNA_ECOLI NADH dehydrogenase OS=Escherichia coli (strain K12) GN=ndh PE=1 SV=2
P00448	SODM_ECOLI Superoxide dismutase [Mn] OS=Escherichia coli (strain K12) GN=sodA PE=1 SV=2
P00452	RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN=nrdA PE=1 SV=2
P00490	PHSM_ECOLI Maltodextrin phosphorylase OS=Escherichia coli (strain K12) GN=malP PE=1 SV=7
P00509	AAT_ECOLI Aspartate aminotransferase OS=Escherichia coli (strain K12) GN=aspC PE=1 SV=1
P00547	KHSE_ECOLI Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2
P00550	PTM3C_ECOLI PTS system mannitol-specific EIICBA component OS=Escherichia coli (strain K12) GN=mtlA PE=1 SV=1
P00561	AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2
P00562	AK2H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 2 OS=Escherichia coli (strain K12) GN=metL PE=1 SV=3
P00579	RPOD_ECOLI RNA polymerase sigma factor rpoD OS=Escherichia coli (strain K12) GN=rpoD PE=1 SV=2
P00582	DPO1_ECOLI DNA polymerase I OS=Escherichia coli (strain K12) GN=polA PE=1 SV=1
P00722	BGAL_ECOLI Beta-galactosidase OS=Escherichia coli (strain K12) GN=lacZ PE=1 SV=2
P00803	LEP_ECOLI Signal peptidase I OS=Escherichia coli (strain K12) GN=lepB PE=1 SV=2
P00864	CAPP_ECOLI Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) GN=ppc PE=1 SV=1
P00887	AROH_ECOLI Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive OS=Escherichia coli (strain K12) GN=aroH PE=3 SV=4
P00892	ILVG_ECOLI Acetolactate synthase isozyme 2 large subunit OS=Escherichia coli (strain K12) GN=ilvG PE=1 SV=3
P00894	ILVH_ECOLI Acetolactate synthase isozyme 3 small subunit OS=Escherichia coli (strain K12) GN=ilvH PE=1 SV=3
P00903	PABA_ECOLI Para-aminobenzoate synthase glutamine amidotransferase component II OS=Escherichia coli (strain K12) GN=pabA PE=1 SV=1
P00909	TRPC_ECOLI Tryptophan biosynthesis protein trpCF OS=Escherichia coli (strain K12) GN=trpC PE=1 SV=3
P00934	THRC_ECOLI Threonine synthase OS=Escherichia coli (strain K12) GN=thrC PE=1 SV=1
P00935	METB_ECOLI Cystathionine gamma-synthase OS=Escherichia coli (strain K12) GN=metB PE=1 SV=1
P00954	SYW_ECOLI Tryptophanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=trpS PE=1 SV=3
P00956	SYI_ECOLI Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5
P00956	SYI_ECOLI Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5
P00957	SYA_ECOLI Alanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2
P00959	SYM_ECOLI Methionyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=metG PE=1 SV=2
P00960	SYGA_ECOLI Glycyl-tRNA synthetase alpha subunit OS=Escherichia coli (strain K12) GN=glyQ PE=1 SV=2
P00961	SYGB_ECOLI Glycyl-tRNA synthetase beta subunit OS=Escherichia coli (strain K12) GN=glyS PE=1 SV=4
P00962	SYQ_ECOLI Glutaminyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=glnS PE=1 SV=3
P00963	ASNA_ECOLI Aspartate--ammonia ligase OS=Escherichia coli (strain K12) GN=asnA PE=1 SV=1
P00968	CARB_ECOLI Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2
P02358	RS6_ECOLI 30S ribosomal protein S6 OS=Escherichia coli (strain K12) GN=rpsF PE=1 SV=1
P02359	RS7_ECOLI 30S ribosomal protein S7 OS=Escherichia coli (strain K12) GN=rpsG PE=1 SV=3
