predicted location (PSORTbv3.0.2)		Score			emPAI			Peptides			Sequence coverage (%)	
	1	2	3	1	2	3	1	2	3	1	2	3
cytoplasmic	5270	3437	4412	1,72	1,81	2,21	29	31	40	33,7	35,7	38,0
outer membrane	4078	1808	3117	3,62	2,29	4,97	18	15	59	54,6	47,1	22,0
outer membrane	2584	3158	2970	1,64	2,65	2,65	12	12	33	30,9	33,4	14,0
outer membrane	932	1977	1182	3,09	67,19	22,73	3	5	63	42,3	62,8	5,0
cytoplasmic	1116	1219	1353	0,33	1,10	1,69	14	24	35	18,2	31,5	29,0
cytoplasmic	621	1477	1479	2,88	5,23	4,82	23	17	47	49,6	43,4	23,0
outer membrane	513	1202	1016	0,78	1,78	1,78	10	12	24	25,6	34,3	11,0
outer membrane	882	989	820	0,81	0,71	0,71	10	9	27	26,2	23,1	11,0
cytoplasmic	593	1163	860	6,02	14,32	7,54	11	9	75	73,8	65,8	13,0
cytoplasmic	726	1111	672	0,44	1,03	0,44	25	38	19	17,2	25,9	26,0
cytoplasmic	1261	383	585	1,75	0,90	1,75	10	8	35	39,4	33,3	9,0
outer membrane	350	806	1013	0,43	0,77	0,71	12	19	25	16,8	26,7	18,0
cytoplasmic	753	712	661	1,39	4,70	2,38	6	11	66	42,4	83,0	9,0
cytoplasmic	765	294	834	3,37	2,18	4,99	14	13	60	50,5	51,6	17,0
cytoplasmic	570	730	542	3,35	4,12	4,12	11	8	49	58,2	49,2	10,0
cytoplasmic	424	947	374	0,39	0,94	0,39	24	36	15	15,3	24,4	24,0
cytoplasmic	301	778	562	1,41	3,88	3,09	5	8	56	35,9	58,1	9,0
cytoplasmic	521	449	651	1,80	2,44	3,23	4	6	34	28,2	33,8	6,0
cytoplasmic	568	483	508	1,07	1,63	1,33	9	13	47	43,8	63,1	11,0
cytoplasmic	604	606	225	1,72	2,33	0,82	4	6	33	33,8	55,9	3,0
outer membrane	320	469	529	0,28	0,77	0,77	12	19	27	16,4	26,4	22,0
outer membrane	613	388	303	0,94	0,65	0,94	4	4	26	22,2	31,0	4,0
outer membrane	320	406	548	0,48	0,60	0,80	9	11	22	13,8	16,7	16,0
cytoplasmic	577	252	427	5,40	3,02	5,40	9	9	68	66,9	69,5	9,0
cytoplasmic	103	539	522	0,49	1,90	1,90	7	7	39	23,3	35,9	11,0
cytoplasmic	270	537	297	5,30	4,13	4,13	9	9	54	53,5	60,4	9,0
cytoplasmic	708	358		1,14	0,88	 	9	6		41,5	32,9	
cytoplasmic	122	352	558	0,20	0,81	0,98	5	13	25	9,5	22,9	15,0
cytoplasmic	302	407	303	4,82	13,05	5,94	7	11	44	33,3	47,4	10,0
cytoplasmic membrane	111	449	412	0,09	0,41	0,33	4	16	14	4,4	16,4	13,0
cytoplasmic	324	248	386	1,16	3,66	1,79	6	9	56	40,8	63,1	8,0
cytoplasmic	232	564	120	1,17	2,35	0,68	10	14	24	32,2	45,9	8,0
