Entry Name BL21(DE3)	Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	UNTREATED	TREATED		GO Annotation	GO ID	=HYPERLINK("http://www.uniprot.org/uniprot/?query=Entry Name BL21(DE3)&sort=score")
	DNA binding proteins										=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	RNA binding proteins										=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	Metabolic enzymes										=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
C6EB48	Null	C6EB48	A	Putative glycosyltransferase WbbA (Putative uncharacterized protein)	248		Y				=HYPERLINK("http://www.uniprot.org/uniprot/?query=C6EB48&sort=score")
C6EB49	Null	C6EB49	A	Putative glycosyltransferase WbbB (Putative uncharacterized protein)	273		Y				=HYPERLINK("http://www.uniprot.org/uniprot/?query=C6EB49&sort=score")
	Unknown										=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
C6EF92	RHSB_ECOLI	C6EF92	A	RhsB element core protein RshB (YD repeat protein)	1411		Y				=HYPERLINK("http://www.uniprot.org/uniprot/?query=C6EF92&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
C6EFS8	PSPA_ECOLI	C6EFS8	F1	Phage shock protein A, PspA (Regulatory protein for phage-shock-protein operon)	222	Y			response to heat|response to stress	GO:0006950|GO:0009408	=HYPERLINK("http://www.uniprot.org/uniprot/?query=C6EFS8&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	NEW translation										=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
											=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
	OLD translation										=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
