	Gene information and APEX normalization terms									MS data (APEX in molec/cell)				Other protein data		mRNA (molecules/cell)																																																																																																																																																																																																																																																	=HYPERLINK("http://www.uniprot.org/uniprot/?query=&sort=score")
Gene	PID	Gene	Locus_tag	Length	GeneID	GI	CAI	# potential tryptic peptides with up to 2 missed cleavages, <7.5 KDa, >3 aa long	O_i	p_i	coverage	n_i (#_total_peptides)	APEX	2D mol/cell	2D rel.cnts	Covert	Blattner	Corbin	Avg (2 of 3)																																																																																																																																																																																																																																														=HYPERLINK("http://www.uniprot.org/uniprot/?query=Gene&sort=score")
yi82_1	16128011	yi82_1	b0017	102	944755	1786199	0,264620839	36	7,05								0,52	0,17	0,342169541																																																																																																																																																																																																																																														=HYPERLINK("http://www.uniprot.org/uniprot/?query=yi82_1&sort=score")
b0100	16128093	b0100	b0100	44	944825	1786289	0,337958511	18	3,27									0,54																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=b0100&sort=score")
b0105	16128098	b0105	b0105	35	946599	1786294	0,353363727	8	4,46									0,16																																																																																																																																																																																																																																															=HYPERLINK("http://www.uniprot.org/uniprot/?query=b0105&sort=score")
b0165	16128158	b0165	b0165	43	946280	1786361	0,308890691	8	2,6																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b0165&sort=score")
b0302	16128287	b0302					0,297234821																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b0302&sort=score")
b0332	16128317	b0332					0,270493763									0,50																																																																																																																																																																																																																																																	=HYPERLINK("http://www.uniprot.org/uniprot/?query=b0332&sort=score")
b0359	16128344	b0359					0,308321144																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b0359&sort=score")
b0362	16128347	b0362	b0362	128	947431	1786559	0,361109145	32	7,45																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=b0362&sort=score")
b0370	16128355	b0370					0,270751744																																																																																																																																																																																																																																																										=HYPERLINK("http://www.uniprot.org/uniprot/?query=b0370&sort=score")
yaiU	16128359	yaiU	b0374	467	946901	1786572	0,776167882	64	16,32																																																																																																																																																																																																																																																								=HYPERLINK("http://www.uniprot.org/uniprot/?query=yaiU&sort=score")
b0395	16128380	b0395					0,298028113									1,53	0,59	0,75	0,954501617																																																																																																																																																																																																																																														=HYPERLINK("http://www.uniprot.org/uniprot/?query=b0395&sort=score")
