Entry name K12 (Uniprot)	Entry Name BL21(DE3) (Uniprot)	Subcellular Location(this study)	Common Core	Pseudogene/Mobile Element Notes
TISB_ECOLI	Null	B		pseudogene (Ecogene/Uniprot)
YFAD_ECOLI	C6E9V6_ECOBD	A		Transposase 
YFAH_ECOLI	C6E9W3_ECOBD	A		pseudogene (Uniprot) 
YEJO_ECOLI	C6EA08_ECOBD	H		"pseudogene (Uniprot);Insertion Sequence;Insertion Element "
YAGP_ECOLI	C6EA41_ECOBD	B		pseudogene (Uniprot) 
RFH_ECOLI	C6EA51_ECOBD	A		pseudogene (Uniprot) 
YKFJ_ECOLI	C6EA52_ECOBD	A		pseudogene (Uniprot) 
MBHA_ECOLI	C6EA57_ECOBD	A		pseudogene (Uniprot)
FHIA_ECOLI	C6EA58_ECOBD	B		pseudogene (Uniprot) 
YEHQ_ECOLI	C6EAJ0_ECOBD	A		pseudogene (Uniprot) 
MOLR_ECOLI	C6EAJ6_ECOBD	A		pseudogene (Uniprot) 
YADD_ECOLI	C6EAS5_ECOBD	A		Transposase
YOEA_ECOLI	C6EB78_ECOBD	H		pseudogene (Uniprot)
YEEN_ECOLI	C6EB86_ECOBD	A		Prophage Integrase
SMP_ECOLI	C6EBI4_ECOBD	B		pseudogene (Ohman 2006)
FIME_ECOLI	C6EBS0_ECOBD	A		Prophage Integrase
YEBC_ECOLI	C6EBW3_ECOBD	A		Prophage Integrase
Y4286_ECOLI	C6EC70_ECOBD	A		pseudogene (Uniprot)
INSF1_ECOLI	C6EC72_ECOBD	A		"Insertion Sequence;Transposase;Rhs Element;Prophage Integrase"
YJHD_ECOLI	C6EC76_ECOBD	A		pseudogene (Uniprot) 
INSG_ECOLI	C6EC80_ECOBD	B		"Insertion Sequence;Transposase"
INTB_ECOLI	C6EC81_ECOBD	B		"pseudogene (Uniprot);Rhs Element;Prophage Integrase"
YTFA_ECOLI	C6ECD9_ECOBD	A		pseudogene (Uniprot) 
HFLK_ECOLI	C6ECH5_ECOBD	B		Prophage transposase
PTXB_ECOLI	C6ED86_ECOBD	B		pseudogene (Ohman 2006)
GLVG_ECOLI	C6ED87_ECOBD	F1		pseudogene (Uniprot)
YEEW_ECOLI	C6EDB6_ECOBD	A		pseudogene (Uniprot) 
YEEV_ECOLI	C6EDB7_ECOBD	A		Prophage Integrase (EcoGene)
YKGN_ECOLI	C6EDB9_ECOBD	A		"pseudogene (Uniprot);Transposase"
YUAQ_ECOLI	C6EDC0_ECOBD	H		Plasmid F
RNPH_ECOLI	C6EDE8_ECOBD	A		pseudogene (Uniprot) 
AG43_ECOLI	C6EDI7_ECOBD	H		Prophage Integrase (EcoGene)
YIBV_ECOLI	C6EDJ6_ECOBD	A		pseudogene (Uniprot) 
YDFD_ECOLI	C6EDS0_ECOBD	A		Prophage Integrase (EcoGene)
DICB_ECOLI	C6EDS1_ECOBD	A		Prophage Integrase (EcoGene)
DICA_ECOLI	C6EDS4_ECOBD	A		Prophage Integrase (EcoGene)
DICC_ECOLI	C6EDS5_ECOBD	A		Prophage Integrase (EcoGene)
YDFX_ECOLI	C6EDS6_ECOBD	A		pseudogene (Uniprot)
HOKD_ECOLI	C6EDS9_ECOBD	G		Prophage Integrase (EcoGene)
REM_ECOLI	C6EDT0_ECOBD	A		Prophage Integrase (EcoGene)
YDFU_ECOLI	C6EDT2_ECOBD	A		Prophage Integrase (EcoGene)
PINR_ECOLI	C6EDU1_ECOBD	A		Prophage Integrase (EcoGene)
YDFK_ECOLI	C6EDU2_ECOBD	A		Prophage Integrase (EcoGene)
YDFJ_ECOLI	C6EDU3_ECOBD	B		pseudogene (Uniprot)
YNEF_ECOLI	C6EDW7_ECOBD	B		"pseudogene (Ohman 2006) ; "
PSPG_ECOLI	C6EDX0_ECOBD	B		Prophage transposase
YJBI_ECOLI	C6EDY2_ECOBD	A		pseudogene (Uniprot) 
RHSA_ECOLI	C6EE82_ECOBD	A		Rhs Element
INSJ_ECOLI	C6EEC2_ECOBD	A		Insertion Element 
YHJQ_ECOLI	C6EEE9_ECOBD	A		pseudogene (Uniprot) 
YHIS_ECOLI	C6EEI0_ECOBD	A		pseudogene (Uniprot) 
YFJV_ECOLI	C6EEI2_ECOBD	B		pseudogene (Uniprot) 
ARSR_ECOLI	C6EEI3_ECOBD	A		pseudogene (Ohman 2006)
YHHI_ECOLI	C6EEK0_ECOBD	B		"Transposase;Rhs Element"
YDEK_ECOLI	C6EEK8_ECOBD	E		pseudogene (Uniprot) 
YNEL_ECOLI	C6EEL2_ECOBD	A		pseudogene (Uniprot)
YDCC_ECOLI	C6EEQ4_ECOBD	B		"Transposase;Rhs Element"
INSF6_ECOLI	C6EEV7_ECOBD	A		"Plasmid F;Insertion Sequence;Transposase"
YIIE_ECOLI	C6EF11_ECOBD	A		pseudogene (Ohman 2006)
YAGI_ECOLI	C6EF65_ECOBD	A		Prophage Integrase (EcoGene)
RHSB_ECOLI	C6EF92_ECOBD	A		Rhs Element
YRHA_ECOLI	C6EFD1_ECOBD	A		pseudogene (Uniprot) 
YZGL_ECOLI	C6EFE7_ECOBD	B		pseudogene (Uniprot)
FRLC_ECOLI	C6EFK4_ECOBD	A		pseudogene (Ohman 2006)
PINQ_ECOLI	C6EFL7_ECOBD	A		Prophage Integrase (EcoGene)
YNAK_ECOLI	C6EFM1_ECOBD	A		Prophage Integrase (EcoGene)
TRKG_ECOLI	C6EFM2_ECOBD	B		Prophage Integrase (EcoGene)
YDFR_ECOLI	C6EFM6_ECOBD	A		Prophage Integrase (EcoGene)
ESSD_ECOLI	C6EFM7_ECOBD	B		Prophage Integrase (EcoGene)
YDAG_ECOLI	C6EFM8_ECOBD	A		Prophage Integrase (EcoGene)
YDAF_ECOLI	C6EFM9_ECOBD	A		Prophage Integrase (EcoGene)
SIEB_ECOLI	C6EFN0_ECOBD	B		Prophage Integrase (EcoGene)
KIL_ECOLI	C6EFN1_ECOBD	A		Prophage Integrase (EcoGene)
YDAE_ECOLI	C6EFN2_ECOBD	A		Prophage Integrase (EcoGene)
RACC_ECOLI	C6EFN3_ECOBD	A		Prophage Integrase (EcoGene)
RECT_ECOLI	C6EFN4_ECOBD	A		Prophage Integrase (EcoGene)
YDAC_ECOLI	C6EFN5_ECOBD	A		Prophage Integrase (EcoGene)
