Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Gene names (OLN)	Entry name	EG	GN	SP	JW	Ori	LeftEnd	RightEnd
P0A6B4	alr		b4053	JW4013	ALR1_ECOLI	EG10001	alr	P0A6B4	JW4013	Clockwise	4263805	4264884
P0AF01	modB	chlJ	b0764	JW0747	MODB_ECOLI	EG10002	modB	P0AF01	JW0747	Clockwise	795085	795774
P0A6J3	cysZ		b2413	JW2406	CYSZ_ECOLI	EG10003	cysZ	P0A6J3	JW2406	Clockwise	2529485	2530246
P0ABQ0	coaBC	dfp	b3639	JW5642	COABC_ECOLI	EG10004	dfp	P0ABQ0	JW5642	Clockwise	3810754	3811974
P69811	fruB	fpr fruF	b2169	JW2156	PTFAH_ECOLI	EG10005	fruB	P69811	JW2156	Counterclockwise	2260387	2261517
P0ABN9	dcuB	genF	b4123	JW4084	DCUB_ECOLI	EG10006	dcuB	P0ABN9	JW4084	Counterclockwise	4345427	4346767
P0AEU3	hisM		b2307	JW2304	HISM_ECOLI	EG10007	hisM	P0AEU3	JW2304	Counterclockwise	2422539	2423255
P14377	zraS	hydH	b4003	JW3967	ZRAS_ECOLI	EG10008	zraS	P14377	JW3967	Clockwise	4199949	4201346
P0A8I3	yaaA		b0006	JW0005	YAAA_ECOLI	EG10011	yaaA	P0A8I3	JW0005	Counterclockwise	5683	6459
P23886	cydC	mdrA mdrH surB	b0886	JW0869	CYDC_ECOLI	EG10012	cydC	P23886	JW0869	Counterclockwise	926697	928418
P0AFS9	yebA		b1856	JW5304	YEBA_ECOLI	EG10013	yebA	P0AFS9	JW5304	Counterclockwise	1938337	1939659
P24177	acrD	yffA	b2470	JW2454	ACRD_ECOLI	EG10014	acrD	P24177	JW2454	Clockwise	2585617	2588730
P27434	rodZ	yfgA	b2516	JW2500	RODZ_ECOLI	EG10015	rodZ	P27434	JW2500	Counterclockwise	2639853	2640866
P23522	garL	yhaF	b3126	JW3095	GARL_ECOLI	EG10016	garL	P23522	JW3095	Counterclockwise	3270809	3271579
P0AD57	ispB	cel yhbD	b3187	JW3154	ISPB_ECOLI	EG10017	ispB	P0AD57	JW3154	Clockwise	3331732	3332703
P13518	csrD	yhdA	b3252	JW3221	CSRD_ECOLI	EG10018	csrD	P13518	JW3221	Counterclockwise	3399414	3401354
P0AE88	cpxR	yiiA	b3912	JW3883	CPXR_ECOLI	EG10020	cpxR	P0AE88	JW3883	Counterclockwise	4102995	4103693
P24203	yjiA		b4352	JW5790	YJIA_ECOLI	EG10021	yjiA	P24203	JW5790	Counterclockwise	4585932	4586888
P0A9G6	aceA	icl	b4015	JW3975	ACEA_ECOLI	EG10022	aceA	P0A9G6	JW3975	Clockwise	4215132	4216436
P08997	aceB	mas	b4014	JW3974	MASY_ECOLI	EG10023	aceB	P08997	JW3974	Clockwise	4213501	4215102
P0AFG8	aceE		b0114	JW0110	ODP1_ECOLI	EG10024	aceE	P0AFG8	JW0110	Clockwise	123017	125680
P06959	aceF		b0115	JW0111	ODP2_ECOLI	EG10025	aceF	P06959	JW0111	Clockwise	125695	127587
P11071	aceK		b4016	JW3976	ACEK_ECOLI	EG10026	aceK	P11071	JW3976	Clockwise	4216619	4218355
P0A6A3	ackA	ack	b2296	JW2293	ACKA_ECOLI	EG10027	ackA	P0A6A3	JW2293	Clockwise	2411492	2412694
P0A9N4	pflA	act	b0902	JW0885	PFLA_ECOLI	EG10028	pflA	P0A9N4	JW0885	Counterclockwise	949563	950303
P06134	ada		b2213	JW2201	ADA_ECOLI	EG10029	ada	P06134	JW2201	Counterclockwise	2307363	2308427
P22333	add		b1623	JW1615	ADD_ECOLI	EG10030	add	P22333	JW1615	Clockwise	1700257	1701258
P0A9Q7	adhE	ana	b1241	JW1228	ADHE_ECOLI	EG10031	adhE	P0A9Q7	JW1228	Counterclockwise	1294669	1297344
P69441	adk	dnaW plsA	b0474	JW0463	KAD_ECOLI	EG10032	adk	P69441	JW0463	Clockwise	496399	497043
P19926	agp		b1002	JW0987	AGP_ECOLI	EG10033	agp	P19926	JW0987	Clockwise	1064808	1066049
P00957	alaS	lovB	b2697	JW2667	SYA_ECOLI	EG10034	alaS	P00957	JW2667	Counterclockwise	2817403	2820033
P25553	aldA	ald	b1415	JW1412	ALDA_ECOLI	EG10035	aldA	P25553	JW1412	Clockwise	1486256	1487695
P23883	puuC	aldH	b1300	JW1293	PUUC_ECOLI	EG10036	puuC	P23883	JW1293	Clockwise	1360767	1362254
P05050	alkB	aidD	b2212	JW2200	ALKB_ECOLI	EG10037	alkB	P05050	JW2200	Counterclockwise	2306713	2307363
P0AE12	amn		b1982	JW1963	AMN_ECOLI	EG10039	amn	P0AE12	JW1963	Clockwise	2053085	2054539
P00811	ampC	ampA	b4150	JW4111	AMPC_ECOLI	EG10040	ampC	P00811	JW4111	Counterclockwise	4375834	4376967
P13016	ampD		b0110	JW0106	AMPD_ECOLI	EG10041	ampD	P13016	JW0106	Clockwise	118733	119284
P0AE14	ampE		b0111	JW0107	AMPE_ECOLI	EG10042	ampE	P0AE14	JW0107	Clockwise	119281	120135
P22255	cysQ	amtA	b4214	JW4172	CYSQ_ECOLI	EG10043	cysQ	P22255	JW4172	Clockwise	4434778	4435518
P0ADB1	osmE	anr	b1739	JW1728	OSME_ECOLI	EG10044	osmE	P0ADB1	JW1728	Counterclockwise	1819942	1820280
P0A962	ansA		b1767	JW1756	ASPG1_ECOLI	EG10045	ansA	P0A962	JW1756	Clockwise	1848884	1849900
P00805	ansB		b2957	JW2924	ASPG2_ECOLI	EG10046	ansB	P00805	JW2924	Counterclockwise	3097704	3098750
P62672	apaG		b0050	JW0049	APAG_ECOLI	EG10047	apaG	P62672	JW0049	Counterclockwise	51229	51606
P05637	apaH		b0049	JW0048	APAH_ECOLI	EG10048	apaH	P05637	JW0048	Counterclockwise	50380	51222
P07102	appA		b0980	JW0963	PPA_ECOLI	EG10049	appA	P07102	JW0963	Clockwise	1039840	1041138
P05052	appY		b0564	JW0553	APPY_ECOLI	EG10050	appY	P05052	JW0553	Clockwise	582904	583653
P69503	apt		b0469	JW0458	APT_ECOLI	EG10051	apt	P69503	JW0458	Clockwise	490636	491187
P08202	araA		b0062	JW0061	ARAA_ECOLI	EG10052	araA	P08202	JW0061	Counterclockwise	66835	68337
P08204	araB		b0063	JW0062	ARAB_ECOLI	EG10053	araB	P08204	JW0062	Counterclockwise	68348	70048
P0A9E0	araC		b0064	JW0063	ARAC_ECOLI	EG10054	araC	P0A9E0	JW0063	Clockwise	70387	71265
P08203	araD		b0061	JW0060	ARAD_ECOLI	EG10055	araD	P08203	JW0060	Counterclockwise	65855	66550
P0AE24	araE		b2841	JW2809	ARAE_ECOLI	EG10056	araE	P0AE24	JW2809	Counterclockwise	2978786	2980204
P02924	araF		b1901	JW1889	ARAF_ECOLI	EG10057	araF	P02924	JW1889	Counterclockwise	1983163	1984152
P0AAF3	araG		b1900	JW1888	ARAG_ECOLI	EG10058	araG	P0AAF3	JW1888	Counterclockwise	1981579	1983093
P0AE26	araH		b4460	JW1887	ARAH_ECOLI	EG10059	araH	P0AE26	JW1887	Counterclockwise	1980578	1981564
P23910	araJ		b0396	JW0386	ARAJ_ECOLI	EG10060	araJ	P23910	JW0386	Counterclockwise	410521	411705
P0A9Q1	arcA	cpxC dye fexA msp seg sfrA	b4401	JW4364	ARCA_ECOLI	EG10061	arcA	P0A9Q1	JW4364	Counterclockwise	4637613	4638329
P0AEC3	arcB		b3210	JW5536	ARCB_ECOLI	EG10062	arcB	P0AEC3	JW5536	Counterclockwise	3348711	3351047
P0A6C5	argA		b2818	JW2786	ARGA_ECOLI	EG10063	argA	P0A6C5	JW2786	Clockwise	2947264	2948595
P0A6C8	argB		b3959	JW5553	ARGB_ECOLI	EG10064	argB	P0A6C8	JW5553	Clockwise	4154036	4154812
P11446	argC		b3958	JW3930	ARGC_ECOLI	EG10065	argC	P11446	JW3930	Clockwise	4153024	4154028
P18335	argD	dapC dtu	b3359	JW3322	ARGD_ECOLI	EG10066	argD	P18335	JW3322	Counterclockwise	3486982	3488202
P06960	argF		b0273	JW0266	OTC2_ECOLI	EG10067	argF	P06960	JW0266	Counterclockwise	288525	289529
P0A6E4	argG		b3172	JW3140	ASSY_ECOLI	EG10068	argG	P0A6E4	JW3140	Clockwise	3316659	3318002
P04391	argI		b4254	JW4211	OTC1_ECOLI	EG10069	argI	P04391	JW4211	Counterclockwise	4475330	4476334
P0A6D0	argR	xerA	b3237	JW3206	ARGR_ECOLI	EG10070	argR	P0A6D0	JW3206	Clockwise	3382725	3383195
P11875	argS		b1876	JW1865	SYR_ECOLI	EG10071	argS	P11875	JW1865	Clockwise	1958086	1959819
P09551	argT		b2310	JW2307	ARGT_ECOLI	EG10072	argT	P09551	JW2307	Counterclockwise	2425031	2425813
P0A6D3	aroA		b0908	JW0891	AROA_ECOLI	EG10073	aroA	P0A6D3	JW0891	Clockwise	958035	959318
P07639	aroB		b3389	JW3352	AROB_ECOLI	EG10074	aroB	P07639	JW3352	Counterclockwise	3515420	3516508
P12008	aroC		b2329	JW2326	AROC_ECOLI	EG10075	aroC	P12008	JW2326	Counterclockwise	2444410	2445495
P05194	aroD		b1693	JW1683	AROD_ECOLI	EG10076	aroD	P05194	JW1683	Clockwise	1772710	1773468
P15770	aroE		b3281	JW3242	AROE_ECOLI	EG10077	aroE	P15770	JW3242	Counterclockwise	3428042	3428860
P00888	aroF		b2601	JW2582	AROF_ECOLI	EG10078	aroF	P00888	JW2582	Counterclockwise	2738102	2739172
P0AB91	aroG		b0754	JW0737	AROG_ECOLI	EG10079	aroG	P0AB91	JW0737	Clockwise	784856	785908
P00887	aroH		b1704	JW1694	AROH_ECOLI	EG10080	aroH	P00887	JW1694	Clockwise	1786459	1787505
P0A6D7	aroK		b3390	JW5947	AROK_ECOLI	EG10081	aroK	P0A6D7	JW5947	Counterclockwise	3516565	3517086
P0A6E1	aroL		b0388	JW0379	AROL_ECOLI	EG10082	aroL	P0A6E1	JW0379	Clockwise	405629	406153
P0AE28	aroM		b0390	JW0381	AROM_ECOLI	EG10083	aroM	P0AE28	JW0381	Clockwise	406652	407329
P15993	aroP		b0112	JW0108	AROP_ECOLI	EG10084	aroP	P15993	JW0108	Counterclockwise	120178	121551
P24240	ascB		b2716	JW2686	ASCB_ECOLI	EG10085	ascB	P24240	JW2686	Clockwise	2839012	2840436
P24241	ascF		b2715	JW5435	PTIBC_ECOLI	EG10086	ascF	P24241	JW5435	Clockwise	2837546	2839003
P24242	ascG		b2714	JW5434	ASCG_ECOLI	EG10087	ascG	P24242	JW5434	Counterclockwise	2836276	2837289
P0A9Q9	asd	hom	b3433	JW3396	DHAS_ECOLI	EG10088	asd	P0A9Q9	JW3396	Counterclockwise	3571798	3572901
P25549	aslA	atsA	b3801	JW3773	ASLA_ECOLI	EG10089	aslA	P25549	JW3773	Counterclockwise	3982375	3984030
P25550	aslB	atsB	b3800	JW5594	ASLB_ECOLI	EG10090	aslB	P25550	JW5594	Clockwise	3980981	3982216
P00963	asnA		b3744	JW3722	ASNA_ECOLI	EG10091	asnA	P00963	JW3722	Clockwise	3925178	3926170
P22106	asnB		b0674	JW0660	ASNB_ECOLI	EG10092	asnB	P22106	JW0660	Counterclockwise	696736	698400
P0ACI6	asnC		b3743	JW3721	ASNC_ECOLI	EG10093	asnC	P0ACI6	JW3721	Counterclockwise	3924568	3925026
P0A8M0	asnS	tss	b0930	JW0913	SYN_ECOLI	EG10094	asnS	P0A8M0	JW0913	Counterclockwise	986808	988208
P0AC38	aspA		b4139	JW4099	ASPA_ECOLI	EG10095	aspA	P0AC38	JW4099	Counterclockwise	4364914	4366350
P00509	aspC		b0928	JW0911	AAT_ECOLI	EG10096	aspC	P00509	JW0911	Counterclockwise	983742	984932
P21889	aspS	tls	b1866	JW1855	SYD_ECOLI	EG10097	aspS	P21889	JW1855	Counterclockwise	1946774	1948546
P0ABB0	atpA	papA uncA	b3734	JW3712	ATPA_ECOLI	EG10098	atpA	P0ABB0	JW3712	Counterclockwise	3916339	3917880
P0AB98	atpB	papD uncB	b3738	JW3716	ATP6_ECOLI	EG10099	atpB	P0AB98	JW3716	Counterclockwise	3919259	3920074
P0A6E6	atpC	papG uncC	b3731	JW3709	ATPE_ECOLI	EG10100	atpC	P0A6E6	JW3709	Counterclockwise	3913576	3913995
P0ABB4	atpD	papB uncD	b3732	JW3710	ATPB_ECOLI	EG10101	atpD	P0ABB4	JW3710	Counterclockwise	3914016	3915398
P68699	atpE	papH uncE	b3737	JW3715	ATPL_ECOLI	EG10102	atpE	P68699	JW3715	Counterclockwise	3918973	3919212
P0ABA0	atpF	papF uncF	b3736	JW3714	ATPF_ECOLI	EG10103	atpF	P0ABA0	JW3714	Counterclockwise	3918441	3918911
P0ABA6	atpG	papC uncG	b3733	JW3711	ATPG_ECOLI	EG10104	atpG	P0ABA6	JW3711	Counterclockwise	3915425	3916288
P0ABA4	atpH	papE uncH	b3735	JW3713	ATPD_ECOLI	EG10105	atpH	P0ABA4	JW3713	Counterclockwise	3917893	3918426
P0ABC0	atpI	uncI	b3739	JW5611	ATPZ_ECOLI	EG10106	atpI	P0ABC0	JW5611	Counterclockwise	3920083	3920463
P09053	avtA		b3572	JW5652	AVTA_ECOLI	EG10107	avtA	P09053	JW5652	Clockwise	3737728	3738981
P0AE52	bcp		b2480	JW2465	BCP_ECOLI	EG10108	bcp	P0AE52	JW2465	Clockwise	2598500	2598970
P17444	betA		b0311	JW0303	BETA_ECOLI	EG10109	betA	P17444	JW0303	Counterclockwise	324801	326471
P17445	betB		b0312	JW0304	BETB_ECOLI	EG10110	betB	P17445	JW0304	Counterclockwise	326485	327957
P17446	betI		b0313	JW0305	BETI_ECOLI	EG10111	betI	P17446	JW0305	Counterclockwise	327971	328558
P0ABC9	betT		b0314	JW0306	BETT_ECOLI	EG10112	betT	P0ABC9	JW0306	Clockwise	328687	330720
P0ABD3	bfr		b3336	JW3298	BFR_ECOLI	EG10113	bfr	P0ABD3	JW3298	Counterclockwise	3464271	3464747
P11988	bglB		b3721	JW3699	BGLB_ECOLI	EG10114	bglB	P11988	JW3699	Counterclockwise	3900312	3901724
P08722	bglF	bglC bglS	b3722	JW3700	PTV3B_ECOLI	EG10115	bglF	P08722	JW3700	Counterclockwise	3901743	3903620
P11989	bglG	bglC	b3723	JW3701	BGLG_ECOLI	EG10116	bglG	P11989	JW3701	Counterclockwise	3903754	3904590
