Merge ID	OurStudy_Feb2011CEPNonDet_BL21	OurStudy_Feb2011CEPNonDet	TableS4_BL21_DE3_ProteomeV8	TableS6_MatchingK12_BL21(DE3)_V2	# Studies	OurStudy_Feb2011CEPNonDet_BL21 Duplicates	OurStudy_Feb2011CEPNonDet Duplicates	TableS4_BL21_DE3_ProteomeV8 Duplicates	TableS6_MatchingK12_BL21(DE3)_V2 Duplicates	K12 Entry name (Uniprot)	BL21(DE3) Entry name (Uniprot)	Merge ID	OurStudy_Feb2011_Common	K12 Entry name (Uniprot)	Category	BL21(DE3) Entry name (Uniprot)
ZUPT_ECOLI	1	1	1	1	4	1	1	1	1	ZUPT_ECOLI	C6EHV4_ECOBD	ZUPT_ECOLI		ZUPT_ECOLI	B	C6EHV4_ECOBD
ZRAP_ECOLI	1	1	1	1	4	1	1	1	1	ZRAP_ECOLI	C6EE16_ECOBD	ZRAP_ECOLI		ZRAP_ECOLI	G	C6EE16_ECOBD
ZNUB_ECOLI	1	1	1	1	4	1	1	1	1	ZNUB_ECOLI	C6EBW8_ECOBD	ZNUB_ECOLI		ZNUB_ECOLI	B	C6EBW8_ECOBD
ZITB_ECOLI	1	1	1	1	4	1	1	1	1	ZITB_ECOLI	C6EJJ2_ECOBD	ZITB_ECOLI		ZITB_ECOLI	B	C6EJJ2_ECOBD
YZGL_ECOLI	1	1	1	1	4	1	1	1	1	YZGL_ECOLI	C6EFE7_ECOBD	YZGL_ECOLI		YZGL_ECOLI	B	C6EFE7_ECOBD
YUAQ_ECOLI	1	1	1	1	4	1	1	1	1	YUAQ_ECOLI	C6EDC0_ECOBD	YUAQ_ECOLI		YUAQ_ECOLI	H	C6EDC0_ECOBD
YTJA_ECOLI	1	1	1	1	4	1	1	1	1	YTJA_ECOLI	C6EBJ5_ECOBD	YTJA_ECOLI		YTJA_ECOLI	B	C6EBJ5_ECOBD
YTFT_ECOLI	1	1	1	1	4	1	1	1	1	YTFT_ECOLI	C6ECB9_ECOBD	YTFT_ECOLI		YTFT_ECOLI	B	C6ECB9_ECOBD
YTFR_ECOLI	1	1	1	1	4	1	1	1	1	YTFR_ECOLI	C6ECC0_ECOBD	YTFR_ECOLI		YTFR_ECOLI	F1	C6ECC0_ECOBD
YTFH_ECOLI	1	1	1	1	4	1	1	1	1	YTFH_ECOLI	C6ECD2_ECOBD	YTFH_ECOLI		YTFH_ECOLI	B	C6ECD2_ECOBD
