Accession	Gene Name	B Number	Class	Description	A (mRNA per cell cycle)_RNAseq	Mean_RNA FISH
P0A8I3	yaaA	b0006	noessential	conserved protein		
P0AF03	mog	b0009	noessential	predicted molybdochelatase		
P0A6Y8	dnaK	b0014	noessential	"chaperone Hsp70; co-chaperone with DnaJ"	15.7662626	0.64195
P08622	dnaJ	b0015	noessential	"chaperone Hsp40; co-chaperone with DnaK"	2.517444955	
P0AG40	ribF	b0025	essential	bifunctional riboflavin kinase and FAD synthetase	10.42698006	
P00956	ileS	b0026	essential	isoleucyl-tRNA synthetase	4.655514435	
P62623	lytB	b0029	essential	"1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase; 4Fe-4S protein"		
P04036	dapB	b0031	essential	dihydrodipicolinate reductase	3.72335626	
P0A6F1	carA	b0032	noessential	"carbamoyl phosphate synthetase small subunit; glutamine amidotransferase"	27.9946901	
P31574	fixB	b0042	noessential	"predicted electron transfer flavoprotein; NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like"		
P68644	fixC	b0043	noessential	predicted oxidoreductase with FAD/NAD(P)-binding domain		
P03819	kefC	b0047	noessential	potassium:proton antiporter	0.387545463	
P0ABQ4	folA	b0048	essential	dihydrofolate reductase		
P62672	apaG	b0050	noessential	protein associated with Co2+ and Mg2+ efflux	1.617685789	
P0ABZ6	surA	b0053	noessential	peptidyl-prolyl cis-trans isomerase (PPIase)	8.470450082	
P0AA37	yabO	b0058	noessential	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)		
P60240	hepA	b0059	noessential	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	1.464897964	
P08204	araB	b0063	noessential	L-ribulokinase		
P0ACP1	fruR	b0080	noessential	DNA-binding transcriptional dual regulator	2.924881189	
P22186	yabB	b0081	noessential	conserved protein		
P60390	yabC	b0082	noessential	S-adenosyl-dependent methyltransferase activity on membrane-located substrates		
P22188	murE	b0085	essential	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	1.238121781	
