Accession (UNIPROT)	Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Len	WT Unique Peptides	WT Unique Spectra	WT Total #spectra	Qwt
P60422	RL2_ECOLI	C6EGE9_ECOBD	A	50S ribosomal protein L2	273	18	27	141	0.290123457
P0A705	IF2_ECOLI	C6EH57_ECOBD	A	Translation initiation factor IF-2	890	7	7	13	0.265306122
P0A7V8	RS4_ECOLI	C6EGH0_ECOBD	A	30S ribosomal protein S4	206	19	23	181	0.414187643
P0ADY3	RL14_ECOLI	C6EGF6_ECOBD	A	50S ribosomal protein L14	123	6	8	15	0.3125
P0AG44	RL17_ECOLI	C6EGH2_ECOBD	A	50S ribosomal protein L17	127	8	8	33	0.515625
P13009	METH_ECOLI	C6EE05_ECOBD	A	B12-dependent methionine synthase (EC 2.1.1.13) (Methionine synthase)	1227	6	6	11	0.305555556
P0A7L3	RL20_ECOLI	C6ECP1_ECOBD	A	50S ribosomal protein L20	118	7	7	45	0.918367347
P0A7W1	RS5_ECOLI	C6EGG3_ECOBD	A	30S ribosomal protein S5	167	7	7	24	0.489795918
P0AFG6	ODO2_ECOLI	C6EJL1_ECOBD	A	2-oxoglutarate dehydrogenase. E2 subunit. dihydrolipoamide succinyltransferase (Dihydrolipoamide acetyltransferase) (EC 2.3.1.61)	405	1	1	1	1
P0AG59	RS14_ECOLI	C6EGF9_ECOBD	A	30S ribosomal protein S14 (Ribosomal protein S14)	101	1	1	8	8
P0A8T7	RPOC_ECOLI	C6EE31_ECOBD	A	DNA-directed RNA polymerase (EC 2.7.7.6)	1407	16	16	24	0.09375
P0A7R9	RS11_ECOLI	C6EGG9_ECOBD	A	30S ribosomal protein S11	129	5	5	5	0.2
P0A7S9	RS13_ECOLI	C6EGG8_ECOBD	A	30S ribosomal protein S13	118	7	7	13	0.265306122
P0AFP4	YBBO_ECOLI	C6EKX1_ECOBD	A	Short-chain dehydrogenase/reductase SDR	256	3	3	8	0.888888889
P0ACP1	FRUR_ECOLI	C6EAX5_ECOBD	A	DNA-binding transcriptional dual regulator (Transcriptional regulator. LacI family)	334	2	2	2	0.5
P62399	RL5_ECOLI	C6EGF8_ECOBD	A	50S ribosomal protein L5	179	8	9	23	0.319444444
P0A7X3	RS9_ECOLI	C6EH02_ECOBD	A	30S ribosomal protein S9	130	5	5	8	0.32
P77399	FADJ_ECOLI	C6ELB3_ECOBD	A	Fatty acid oxidation complex subunit alpha	714	4	4	5	0.3125
P0A7V3	RS3_ECOLI	C6EGF2_ECOBD	A	30S ribosomal protein S3	233	19	22	120	0.28708134
P21645	LPXD_ECOLI	C6EAA6_ECOBD	A	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.-)	341	1	1	1	1
P77718	THII_ECOLI	C6EL46_ECOBD	A	tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein thiI) (tRNA 4-thiouridine synthase)	482	2	2	2	0.5
P0AFG3	ODO1_ECOLI	C6EJL2_ECOBD	A	2-oxoglutarate dehydrogenase. E1 subunit (EC 1.2.4.2) (Alpha-ketoglutarate decarboxylase) (EC 1.2.4.2)	933	8	8	11	0.171875
P00722	BGAL_ECOLI	C6ELN6_ECOBD	A	Beta-D-galactosidase (EC 3.2.1.23) (Beta-galactosidase) (EC 3.2.1.23)	1024	13	14	33	0.181318681
P36683	ACON2_ECOLI	C6EAT9_ECOBD	A	Aconitate hydratase 2 (EC 4.2.1.3)	865	6	6	6	0.166666667
P60438	RL3_ECOLI	C6EGE6_ECOBD	A	50S ribosomal protein L3	209	13	13	15	0.088757396
P0A7M2	RL28_ECOLI	C6EDF4_ECOBD	A	50S ribosomal protein L28	78	1	1	6	6
									
P0A7V0	RS2_ECOLI	C6EAB6_ECOBD	A	30S ribosomal protein S2	241	10	11	29	0.263636364
P0A8J8	RHLB_ECOLI	C6EG33_ECOBD	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	421	7	7	14	0.285714286
P02413	RL15_ECOLI	C6EGG5_ECOBD	A	50S ribosomal protein L15	144	9	9	53	0.654320988
P0A7L0	RL1_ECOLI	C6EE35_ECOBD	A	50S ribosomal protein L1	234	9	9	36	0.444444444
P00579	RPOD_ECOLI	C6EHS8_ECOBD	A	RNA polymerase sigma factor	613	4	4	5	0.3125
P0A7S3	RS12_ECOLI	C6EGC2_ECOBD	A	30S ribosomal protein S12	124	5	5	16	0.64
P60723	RL4_ECOLI	C6EGE7_ECOBD	A	50S ribosomal protein L4	201	4	4	7	0.4375
P0AG48	RL21_ECOLI	C6EH41_ECOBD	A	50S ribosomal protein L21	103	4	4	4	0.25
P0A6F3	GLPK_ECOLI	C6EEX2_ECOBD	A	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase)	502	2	2	2	0.5
P0ACJ8	CRP_ECOLI	C6EGA6_ECOBD	A	DNA-binding transcriptional dual regulator (Transcriptional regulator. Crp/Fnr family)	210	4	4	4	0.25
P22523	MUKB_ECOLI	C6EI58_ECOBD	A	Chromosome partition protein mukB (Structural maintenance of chromosome-related protein)	1486	2	2	2	0.5
P0A9P6	DEAD_ECOLI	C6EH63_ECOBD	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	629	8	8	10	0.15625
P0AB77	KBL_ECOLI	C6EDH2_ECOBD	A	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	398	6	6	6	0.166666667
P0AG55	RL6_ECOLI	C6EGG1_ECOBD	A	50S ribosomal protein L6	177	8	9	38	0.527777778
P0AG30	RHO_ECOLI	C6EG30_ECOBD	A	Transcription termination factor Rho	419	14	16	17	0.075892857
P0AA10	RL13_ECOLI	C6EH01_ECOBD	A	50S ribosomal protein L13	142	4	4	7	0.4375
P77398	ARNA_ECOLI	C6E9U5_ECOBD	A	Bifunctional polymyxin resistance protein ArnA	660	7	7	12	0.244897959
P00452	RIR1_ECOLI	C6E9W7_ECOBD	A	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	761	12	12	17	0.118055556
P0AG67	RS1_ECOLI	C6EI71_ECOBD	A	30S ribosomal protein S1 (Ribosomal protein S1)	557	3	3	3	0.333333333
P77748	YDIJ_ECOLI	C6ECR9_ECOBD	A	FAD linked oxidase domain protein (Predicted FAD-linked oxidoreductase)	1018	17	18	31	0.10130719
P0A7J7	RL11_ECOLI	C6EE36_ECOBD	A	50S ribosomal protein L11	142	6	6	10	0.277777778
P03023	LACI_ECOLI	C6EJI7_ECOBD	A	Transcriptional regulator. LacI family	363	3	3	3	0.333333333
P0A6H5	HSLU_ECOLI	C6EE78_ECOBD	A	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	443	9	9	11	0.135802469
