Uniprot Accession K12	Uniprot Entry Name K12	Uniprot Accession BL21(DE3)	Uniprot Entry Name BL21(DE3)		Localization
Null	Null	C6E9Y3	C6E9Y3_ECOBD		I
Null	Null	C6EB48	C6EB48_ECOBD		G
Null	Null	C6EB49	C6EB49_ECOBD		G
Null	Null	C6ECH4	C6ECH4_ECOBD		G
Null	Null	C6EFS5	C6EFS5_ECOBD		B
Null	Null	C6EFS7	C6EFS7_ECOBD		B
Null	Null	C6EJI5	C6EJI5_ECOBD		B
Null	Null	C6EB50	C6EB50_ECOBD		A
Null	Null	C6EBI6	C6EBI6_ECOBD		A
Null	Null	C6ECB3	C6ECB3_ECOBD		A
Null	Null	C6EDD1	C6EDD1_ECOBD		A
Null	Null	C6EF68	C6EF68_ECOBD		A
Null	Null	C6EG00	C6EG00_ECOBD		A
Null	Null	C6EJH6	C6EJH6_ECOBD		A
Null	Null	C6EJX1	C6EJX1_ECOBD		A
Null	Null	C6EB38	C6EB38_ECOBD		A
Null	Null	C6EH12	C6EH12_ECOBD		A
Null	Null	C6EDD0	C6EDD0_ECOBD		A
Null	Null	C6EBL8	C6EBL8_ECOBD		A
Null	Null	C6EKD5	C6EKD5_ECOBD		A
Null	Null	C6EDV8	C6EDV8_ECOBD		A
Null	Null	C6EJG1	C6EJG1_ECOBD		A
Null	Null	C6EJX2	C6EJX2_ECOBD		A
Null	Null	C6EL40	C6EL40_ECOBD		A
Null	Null	C6EAK5	C6EAK5_ECOBD		A
Null	Null	C6EDV9	C6EDV9_ECOBD		A
Null	Null	C6EJ25	C6EJ25_ECOBD		A
