Locus	Gene Symbol	Common Name	EC Number	5' End	3' End	DNA molecule	
ECK0002:JW0001:b0002	thrA	fused aspartokinase I and homoserine dehydrogenase I	 	337	2799	Chromosome Escherichia coli W3110	
ECK0003:JW0002:b0003	thrB	homoserine kinase	 	2801	3733	Chromosome Escherichia coli W3110	
ECK0004:JW0003:b0004	thrC	threonine synthase	 	3734	5020	Chromosome Escherichia coli W3110	
ECK0006:JW0005:b0006	yaaA	conserved hypothetical protein	 	6459	5683	Chromosome Escherichia coli W3110	
ECK0007:JW0006:b0007	yaaJ	predicted transporter	 	7959	6529	Chromosome Escherichia coli W3110	
ECK0008:JW0007:b0008	talB	transaldolase B	 	8238	9191	Chromosome Escherichia coli W3110	
ECK0009:JW0008:b0009	mog	predicted molybdochelatase	 	9306	9893	Chromosome Escherichia coli W3110	
ECK0010:JW0009:b0010	yaaH	conserved inner membrane protein associated with acetate transport	 	10494	9928	Chromosome Escherichia coli W3110	
ECK0013:JW0012:b0013	yaaI	hypothetical protein	 	11786	11382	Chromosome Escherichia coli W3110	
ECK0014:JW0013:b0014	dnaK	chaperone Hsp70, co-chaperone with DnaJ	 	12163	14079	Chromosome Escherichia coli W3110	
ECK0021:JW0019:b0020	nhaR	DNA-binding transcriptional activator	 	18715	19620	Chromosome Escherichia coli W3110	
ECK0026:JW0023:b0025	ribF	bifunctional riboflavin kinase and FAD synthetase	 	21407	22348	Chromosome Escherichia coli W3110	
ECK0027:JW0024:b0026	ileS	isoleucyl-tRNA synthetase	 	22391	25207	Chromosome Escherichia coli W3110	
ECK0028:JW0025:b0027	lspA	prolipoprotein signal peptidase	 	25207	25701	Chromosome Escherichia coli W3110	
ECK0029:JW0026:b0028	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase	 	25826	26275	Chromosome Escherichia coli W3110	
ECK0030:JW0027:b0029	ispH	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein	 	26277	27227	Chromosome Escherichia coli W3110	
ECK0032:JW0029:b0031	dapB	dihydrodipicolinate reductase	 	28374	29195	Chromosome Escherichia coli W3110	
ECK0033:JW0030:b0032	carA	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	 	29651	30799	Chromosome Escherichia coli W3110	
ECK0034:JW0031:b0033	carB	carbamoyl-phosphate synthase large subunit	 	30817	34038	Chromosome Escherichia coli W3110	
ECK0035:JW0033:b0034	caiF	DNA-binding transcriptional activator	 	34300	34695	Chromosome Escherichia coli W3110	
ECK0036:JW5004:b0035	caiE	predicted acyl transferase	 	35371	34781	Chromosome Escherichia coli W3110	
ECK0037:JW0035:b0036	caiD	crotonobetainyl CoA hydratase	 	36270	35377	Chromosome Escherichia coli W3110	
ECK0038:JW0036:b0037	caiC	predicted crotonobetaine CoA ligase:carnitine CoA ligase	 	37839	36271	Chromosome Escherichia coli W3110	
ECK0040:JW0038:b0039	caiA	crotonobetaine reductase subunit II, FAD-binding	 	40386	39244	Chromosome Escherichia coli W3110	
ECK0041:JW0039:b0040	caiT	predicted transporter	 	41931	40417	Chromosome Escherichia coli W3110	
ECK0042:JW0040:b0041	fixA	predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain	 	42403	43173	Chromosome Escherichia coli W3110	
ECK0044:JW0042:b0043	fixC	predicted oxidoreductase, FAD/NAD(P)-binding domain	 	44180	45466	Chromosome Escherichia coli W3110	
ECK0046:JW0044:b0045	yaaU	predicted transporter	 	45807	47138	Chromosome Escherichia coli W3110	
ECK0047:JW0045:b0046	kefF	flavoprotein subunit for the KefC potassium efflux system	 	47246	47776	Chromosome Escherichia coli W3110	
ECK0049:JW0047:b0048	folA	dihydrofolate reductase	 	49823	50302	Chromosome Escherichia coli W3110	
ECK0050:JW0048:b0049	apaH	diadenosine tetraphosphatase	 	51222	50380	Chromosome Escherichia coli W3110	
ECK0051:JW0049:b0050	apaG	protein associated with Co2+ and Mg2+ efflux	 	51606	51229	Chromosome Escherichia coli W3110	
ECK0052:JW0050:b0051	ksgA	S-adenosylmethionine-6-N,N-adenosyl (rRNA) dimethyltransferase	 	52430	51609	Chromosome Escherichia coli W3110	
ECK0053:JW0051:b0052	pdxA	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	 	53416	52427	Chromosome Escherichia coli W3110	
ECK0055:JW0053:b0054	imp	exported protein required for envelope biosynthesis and integrity	 	57109	54755	Chromosome Escherichia coli W3110	
ECK0059:JW0057:b0058	rluA	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	 	60346	59687	Chromosome Escherichia coli W3110	
ECK0083:JW0080:b0082	mraW	S-adenosyl-dependent methyltransferase activity on membrane-located substrates	 	90094	91035	Chromosome Escherichia coli W3110	
ECK0085:JW0082:b0084	ftsI	transpeptidase involved in septal peptidoglycan synthesis	 	91413	93179	Chromosome Escherichia coli W3110	
