Gene information and APEX normalization terms									MS data (APEX in molec/cell)				Other protein data		mRNA (molecules/cell)																																																																																																																																																																																																																																																
PID	Gene	Locus_tag	Length	GeneID	GI	CAI	# potential tryptic peptides with up to 2 missed cleavages, <7.5 KDa, >3 aa long	O_i	p_i	coverage	n_i (#_total_peptides)	APEX	2D mol/cell	2D rel.cnts	Covert	Blattner	Corbin	Avg (2 of 3)																																																																																																																																																																																																																																													
16127995	thrL	b0001	21	944742	1786182	0,687685385	4	1,39							14,07	4,47	1,68	6,735580118																																																																																																																																																																																																																																													
16127996	thrA	b0002	820	945803	1786183	0,41747582	226	65,1	1	46,6	106	8864,15			20,56	9,84	16,99	15,79667781																																																																																																																																																																																																																																													
16127997	thrB	b0003	310	947498	1786184	0,406926057	72	16,27	0,94	11	1	314,52	3323,99	0,104	11,18	4,78	8,46	8,140100964																																																																																																																																																																																																																																													
16127998	thrC	b0004	428	945198	1786185	0,456789616	104	33,28	1	52,3	79	12922,78	958,84	0,03	13,83	5,95	18,75	12,84327216																																																																																																																																																																																																																																													
16127999	-	b0005	98	944747	1786186	0,438049611	36	9,98																																																																																																																																																																																																																																																							
16128000	yaaA	b0006	258	944749	1786187	0,417054266	77	22,4							1,33	0,78	1,31	1,137831838																																																																																																																																																																																																																																													
16128001	yaaJ	b0007	476	944745	1786188	0,3913421	65	12,8							0,50	0,30	0,43	0,408697881																																																																																																																																																																																																																																													
16128002	talB	b0008	317	944748	1786189	0,669925139	105	32	1	50,2	62	10547,61	19528,45	0,611	19,38	15,14	25,64	20,05372892																																																																																																																																																																																																																																													
16128003	mog	b0009	195	944760	1786190	0,448152513	48	14,16							2,38	1,46	1,62	1,81923485																																																																																																																																																																																																																																													
16128004	yaaH	b0010	188	944792	1786191	0,63850006	18	2,99																																																																																																																																																																																																																																																							
16128005	b0011	b0011	237	944771	1786193	0,350254147	86	25,27									0,42																																																																																																																																																																																																																																														
16128006	htgA					0,264196881											0,19																																																																																																																																																																																																																																														
16128007	yaaI	b0013	134	944751	1786195	0,438681869	39	11,38																																																																																																																																																																																																																																																							
16128008	dnaK	b0014	638	944750	1786196	0,770383032	201	61,08	1	63,2	155	13814,81	77953,98	2,439	16,77	14,00	16,56	15,77922291																																																																																																																																																																																																																																													
16128009	dnaJ	b0015	376	944753	1786197	0,584348932	138	28,13	1	9,8	7	1354,69			8,40	3,53	5,60	5,844018782
16128010	yi81_1	b0016	370	944754	1786198	0,274602322	124	32,38								1,53		
16128011	yi82_1	b0017	102	944755	1786199	0,264620839	36	7,05								0,52	0,17	0,342169541
16128012	gef	b0018	69	944756	1786200	0,384391106	28	3,6									0,27	
16128013	nhaA	b0019	388	944758	1786201	0,383247787	59	11,79							3,54	1,62	1,46	2,208627405
16128014	nhaR	b0020	301	944757	1786202	0,380145464	75	18,85							1,64	0,54	0,80	0,993918969
16128015	insB_1	b0021	167	944743	1786203	0,325832476	67	18,65										
16128016	insA_1	b0022	91	948449	1786204	0,397535572	31	7,36							1,43	1,81		1,618441538
16128017	rpsT	b0023	87	944759	1786206	0,722682062	53	8,46	1	34,5	15	9652,35			15,26	36,22	9,77	20,41909704
16128018	b0024	b0024	72	949128	1786207	0,271744877	20	5,57									0,20	
16128019	ribF	b0025	313	949129	1786208	0,38823119	103	29,25							9,31	4,38	4,83	6,174452129
16128020	ileS	b0026	938	944761	2367096	0,616789165	276	75,85	1	14,2	11	789,49			8,33	3,75	5,03	5,70597189
16128021	lspA	b0027	164	944800	1786210	0,464786961	27	5,26							4,98	2,33	4,54	3,952394088
16128022	slpA	b0028	149	944807	1786211	0,526614664	23	7,91	0,47	47,7	2				5,12	2,76	3,52	3,800129305
16128023	lytB	b0029	316	944777	1786212	0,524804902	103	26,81					1821,80	0,057	2,94	2,38	1,66	2,327736374
16128024	yaaF	b0030	304	944796	1786213	0,401016729	46	10,35							0,64	0,86	0,85	0,784203228
16128025	dapB	b0031	273	944762	1786214	0,43594823	77	24,48	0,98	11,7	4	871,74			7,15	8,27	2,93	6,113342577
16128026	carA	b0032	382	949025	1786215	0,489905469	92	24,31	1	12,8	13	2911,19	2684,76	0,084	15,51	9,28	11,61	12,1335734
16128027	carB	b0033	1073	944775	1786216	0,636955455	325	88,38	1	14,3	26	1601,52	2013,57	0,063	14,84	8,73	9,55	11,03801031
16128028	caiF					0,289846721									2,06	1,31	1,01	1,463032364
16128029	caiE					0,301707952									0,38	0,48	0,24	0,368187326
16128030	caiD	b0036	297	948995	1786220	0,456987943	77	26,27								2,06	0,59	1,328176408
