Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
P0A9E5	fnr	nirR	b1334	JW1328	FNR_ECOLI	Cytoplasm. 	Evidence at protein level		Fumarate and nitrate reduction regulatory protein	"GO:0051539; GO:0003677; GO:0005737; GO:0046872; GO:0006355; GO:0003700; GO:0006350"	"4Fe-4S; Activator; Complete proteome; Cytoplasm; DNA-binding; Direct protein sequencing; Iron; Iron-sulfur; Metal-binding; Repressor; Transcription; Transcription regulation"	250	
P0A9E5	fnr	nirR	b1334	JW1328	FNR_ECOLI	Cytoplasm. 	Evidence at protein level		Fumarate and nitrate reduction regulatory protein	"GO:0051539; GO:0003677; GO:0005737; GO:0046872; GO:0006355; GO:0003700; GO:0006350"	"4Fe-4S; Activator; Complete proteome; Cytoplasm; DNA-binding; Direct protein sequencing; Iron; Iron-sulfur; Metal-binding; Repressor; Transcription; Transcription regulation"	250	
P0A6T3	galK	galA	b0757	JW0740	GAL1_ECOLI	Cytoplasm. 	Evidence at protein level	GHMP kinase family, GalK subfamily	Galactokinase (EC 2.7.1.6) (Galactose kinase)	"GO:0005524; GO:0005737; GO:0004335; GO:0033499"	"ATP-binding; Carbohydrate metabolism; Complete proteome; Cytoplasm; Direct protein sequencing; Galactose metabolism; Kinase; Nucleotide-binding; Transferase"	382	
P0A9C3	galM		b0756	JW0739	GALM_ECOLI	Cytoplasm. 	Evidence at protein level	Aldose epimerase family	Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase) (Type-1 mutarotase)	"GO:0004034; GO:0030246; GO:0005737; GO:0033499"	"Carbohydrate metabolism; Complete proteome; Cytoplasm; Direct protein sequencing; Isomerase"	346	
P76141	lsrR	ydeW	b1512	JW1505	LSRR_ECOLI	Cytoplasm. 	Evidence at protein level	SorC transcriptional regulatory family	Transcriptional regulator lsrR	"GO:0003677; GO:0030246; GO:0005737; GO:0006350; GO:0016564"	"Activator; Complete proteome; Cytoplasm; DNA-binding; Repressor; Transcription; Transcription regulation"	317	
P0A9G8	modE	modR	b0761	JW0744	MODE_ECOLI	Cytoplasm. 	Evidence at protein level	ModE family	Transcriptional regulator modE	"GO:0005524; GO:0043190; GO:0003677; GO:0005737; GO:0015412; GO:0030151; GO:0006355; GO:0003700; GO:0006350"	"3D-structure; Activator; Complete proteome; Cytoplasm; DNA-binding; Direct protein sequencing; Molybdenum; Repeat; Repressor; Transcription; Transcription regulation; Transport"	262	
P04982	rbsD		b3748	JW5857	RBSD_ECOLI	Cytoplasm. 	Evidence at protein level	RbsD / fucU family, RbsD subfamily	D-ribose pyranase (EC 5.5.1.n1)	"GO:0019303; GO:0008643; GO:0005737; GO:0016866"	"Carbohydrate metabolism; Complete proteome; Cytoplasm; Isomerase"	139	
P64530	rcnR	yohL	b2105	JW2092	RCNR_ECOLI	Cytoplasm. 	Evidence at protein level	FrmR/rcnR family	Transcriptional repressor rcnR	"GO:0003677; GO:0005737; GO:0045892; GO:0016566; GO:0006350"	"Complete proteome; Cytoplasm; DNA-binding; Repressor; Transcription; Transcription regulation"	90	
P0A8P6	xerC		b3811	JW3784	XERC_ECOLI	Cytoplasm. 	Evidence at protein level	'phage' integrase family, XerC subfamily	Tyrosine recombinase xerC	"GO:0003677; GO:0015074; GO:0048476; GO:0007049; GO:0051301; GO:0007059; GO:0005737; GO:0006276; GO:0042150; GO:0009037"	"Cell cycle; Cell division; Chromosome partition; Complete proteome; Cytoplasm; DNA integration; DNA recombination; DNA-binding; Direct protein sequencing"	298	
P0A8P8	xerD	xprB	b2894	JW2862	XERD_ECOLI	Cytoplasm. 	Evidence at protein level	'phage' integrase family, XerD subfamily	Tyrosine recombinase xerD	"GO:0003677; GO:0015074; GO:0006310; GO:0048476; GO:0007049; GO:0051301; GO:0007059; GO:0005737; GO:0006276; GO:0009037"	"3D-structure; Cell cycle; Cell division; Chromosome partition; Complete proteome; Cytoplasm; DNA integration; DNA recombination; DNA-binding; Direct protein sequencing"	298	
