Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein MW	Protein Len	Unique Peptides	Unique Spectra	Total #spectra
6PGD_ECOLI	C6EB56_ECOBD	A	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	1,101.50	468	12	12	14
AAEA_ECOLI	C6EGL9_ECOBD	B	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	1,072.60	310	7	7	7
AAS_ECOLI	C6EJ32_ECOBD	B	2-acyl-glycerophospho-ethanolamine acyltransferase (EC 2.3.1.40) (EC 6.2.1.20) (AMP-dependent synthetase and ligase)	1,575.77	719	14	15	21
AAT_ECOLI	C6EI54_ECOBD	A	Aspartate aminotransferase, PLP-dependent (EC 2.6.1.1) (Aspartate transaminase) (EC 2.6.1.1)	1,219.67	396	15	17	29
ACCA_ECOLI	C6EAA0_ECOBD	A	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	1,672.92	319	30	43	161
ACCC_ECOLI	C6EGK4_ECOBD	A	Acetyl-CoA carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase, biotin carboxylase)	1,042.53	449	1	1	1
ACCD_ECOLI	C6ELD7_ECOBD	A	Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)	8.444.887	304	36	44	146
ACEA_ECOLI	C6EE08_ECOBD	A	Isocitrate lyase	8.433.995	434	4	4	4
ACFD_ECOLI	C6EID7_ECOBD	E	Lipoprotein AcfD-like protein	1,189.61	1520	22	27	87
ACKA_ECOLI	C6ELF7_ECOBD	A	Acetate kinase (EC 2.7.2.1) (Acetokinase)	2,465.30	400	2	2	2
ACON1_ECOLI	C6EFV8_ECOBD	A	Aconitate hydratase (EC 4.2.1.3) (Aconitate hydratase 1)	1,861.01	891	7	8	14
ACON2_ECOLI	C6EAT9_ECOBD	A	Aconitate hydratase 2 (EC 4.2.1.3)	984.482	865	41	51	152
ACP_ECOLI	C6EHC0_ECOBD	F1	Acyl carrier protein (ACP)	9.615.313	78	4	4	6
ACPH_ECOLI	C6ELI0_ECOBD	A	(Acyl-carrier-protein) phosphodiesterase (EC 3.1.4.14) (Putative glycoprotein)	1,539.85	193	1	1	1
ACRA_ECOLI	C6EL01_ECOBD	E	Efflux transporter, RND family, MFP subunit (Multidrug efflux system)	3,751.03	397	49	74	303
ACRB_ECOLI	C6EL02_ECOBD	B	Multidrug efflux system protein (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	1,011.50	1049	38	46	185
ACRD_ECOLI	C6EKP2_ECOBD	B	Aminoglycoside/multidrug efflux system (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	1,652.90	1037	7	9	11
ACSA_ECOLI	C6ED56_ECOBD	A	Acetate/CoA ligase (Acetyl-coenzyme A synthetase) (EC 6.2.1.1) (EC 6.2.1.17)	1,535.84	652	1	1	1
ACTP_ECOLI	C6ED58_ECOBD	B	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	1,373.66	549	2	2	3
ADD_ECOLI	C6EDM4_ECOBD	A	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	1,194.66	333	8	9	21
ADHP_ECOLI	C6EEN9_ECOBD	B	Alcohol dehydrogenase (EC 1.1.1.1) (Alcohol dehydrogenase zinc-binding domain protein)	1,120.57	336	1	1	1
AGAL_ECOLI	C6ED05_ECOBD	A	Alpha-galactosidase, NAD(P)-binding (EC 3.2.1.22) (Glycoside hydrolase family 4)	1,080.54	451	1	1	1
AGP_ECOLI	C6EHK5_ECOBD	G	Glucose-1-phosphatase (EC 3.1.3.10) (Glucose-1-phosphatase/inositol phosphatase) (EC 3.1.3.10)	1,291.63	413	15	18	29
AHPC_ECOLI	C6EK89_ECOBD	A	Alkyl hydroperoxide reductase, C22 subunit (EC 1.11.1.15) (Peroxiredoxin)	1,216.60	187	10	15	43
AHPF_ECOLI	C6EK88_ECOBD	A	Alkyl hydroperoxide reductase, F subunit	9.305.003	531	2	2	2
AIS_ECOLI	C6E9U8_ECOBD	G	Lipopolysaccharide core heptose(II)-phosphate phosphatase (EC 3.1.3.-)	1,192.56	200	14	18	129
AK1H_ECOLI	C6EBG7_ECOBD	F1	Aspartate kinase (EC 1.1.1.3) (EC 2.7.2.4) (Bifunctional aspartokinase I/homoserine dehydrogenase I) (EC 1.1.1.3) (EC 2.7.2.4)	1,742.99	820	2	2	2
AK2H_ECOLI	C6EE68_ECOBD	A	Aspartate kinase (EC 1.1.1.3) (EC 2.7.2.4) (Bifunctional aspartate kinase II/homoserine dehydrogenase II) (EC 1.1.1.3) (EC 2.7.2.4)	1,151.54	810	10	10	14
ALDA_ECOLI	C6EEU8_ECOBD	A	Aldehyde Dehydrogenase (Aldehyde dehydrogenase A, NAD-linked) (EC 1.2.1.22)	8.734.789	479	1	1	1
ALF_ECOLI	C6EII4_ECOBD	A	Fructose-bisphosphate aldolase (EC 4.1.2.13) (Fructose-bisphosphate aldolase, class II)	1,232.65	359	6	7	11
ALKH_ECOLI	C6EBX8_ECOBD	A	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) (Keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase) (EC 4.1.2.14) (EC 4.1.3.16)	8.164.462	213	4	4	7
ALLR_ECOLI	C6EKV9_ECOBD	A	DNA-binding transcriptional repressor (Transcriptional regulator, IclR family)	1,237.66	271	3	3	7
ALX_ECOLI	C6EHQ7_ECOBD	B	Integral membrane protein TerC (Predicted inner membrane protein, part of terminus)	1,953.97	321	3	4	8
AMIA_ECOLI	C6EKR9_ECOBD	G	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (N-acetylmuramoyl-l-alanine amidase I) (EC 3.5.1.28)	1,251.69	289	5	5	13
AMIC_ECOLI	C6EJ52_ECOBD	G	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	1,164.59	417	12	12	30
AMID_ECOLI	C6EIB4_ECOBD	I	N-acetylmuramyl-L-alanine amidase, negative regulator of AmpC, AmpD (EC 3.5.1.28) (Predicted amidase and lipoprotein)	2,017.12	276	2	2	2
AMPA_ECOLI	C6EC91_ECOBD	A	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (Leucyl aminopeptidase)	9.114.469	503	21	24	52
AMPC_ECOLI	C6ECX3_ECOBD	G	Beta-lactamase (EC 3.5.2.6) (Beta-lactamase/D-alanine carboxypeptidase) (EC 3.5.2.6)	1,327.74	377	1	1	1
AMPD_ECOLI	C6EAU7_ECOBD	A	N-acetyl-anhydromuranmyl-L-alanine amidase (N-acetylmuramyl-L-alanine amidase, negative regulator of AmpC, AmpD)	1,388.74	183	1	1	1
AMPE_ECOLI	C6EAU6_ECOBD	B	Predicted inner membrane protein (Signaling modulator of AmpD, AmpE)	1,278.67	284	4	4	10
AMPN_ECOLI	C6EI50_ECOBD	F1	Aminopeptidase N	8.535.507	870	2	2	2
AMPP_ECOLI	C6EIK0_ECOBD	A	Peptidase M24 (Proline aminopeptidase P II) (EC 3.4.11.9)	1,779.94	441	2	2	2
APAG_ECOLI	C6EB03_ECOBD	A	ApaG domain protein (Putative uncharacterized protein apaG)	863.535	125	1	1	1
APPC_ECOLI	C6EHN0_ECOBD	B	Cytochrome bd ubiquinol oxidase subunit I (Cytochrome bd-II oxidase, subunit I) (EC 1.10.3.-)	8.584.792	514	1	1	2
APT_ECOLI	C6EKZ5_ECOBD	A	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	1,265.67	183	2	2	3
ARAH_ECOLI	C6EBT1_ECOBD	B	Inner-membrane translocator	1,064.52	328	1	1	2
ARCA_ECOLI	C6EBH0_ECOBD	A	DNA-binding response regulator in two-component regulatory system with ArcB or CpxA (Two component transcriptional regulator, winged helix family)	2,043.98	238	7	7	13
ARCB_ECOLI	C6EH17_ECOBD	B	Hybrid sensory histidine kinase in two-component regulatory system with ArcA (EC 2.7.3.-) (Multi-sensor hybrid histidine kinase)	9.404.887	778	34	36	86
ARGA_ECOLI	C6EJ51_ECOBD	A	Amino-acid N-acetyltransferase (N-acetylglutamate synthase) (EC 2.3.1.1)	1,078.59	443	3	3	3
ARGB_ECOLI	C6EE50_ECOBD	A	Acetylglutamate kinase	2,075.08	258	2	2	3
ARGD_ECOLI	C6EGA4_ECOBD	A	Bifunctional acetylornithine aminotransferase/ succinyldiaminopimelate aminotransferase (EC 2.6.1.11) (EC 2.6.1.17) (Succinylornithine transaminase family) (EC 2.6.1.17)	2,718.45	406	3	3	3
ARGE_ECOLI	C6EE52_ECOBD	A	Acetylornithine deacetylase (EC 3.5.1.16) (Acetylornithine deacetylase (ArgE)) (EC 3.5.1.16)	2,805.42	383	1	1	1
ARGR_ECOLI	C6EGZ4_ECOBD	A	Arginine repressor	8.304.983	156	1	1	1
ARGT_ECOLI	C6ELE3_ECOBD	G	Cationic amino acid ABC transporter, periplasmic binding protein (Lysine/arginine/ornithine transporter subunit)	1,701.83	260	6	6	11
ARLY_ECOLI	C6EE49_ECOBD	A	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	1,040.57	457	4	5	6
ARNA_ECOLI	C6E9U5_ECOBD	A	Bifunctional polymyxin resistance protein ArnA	9.754.995	660	11	11	19
ARNB_ECOLI	C6E9U7_ECOBD	A	DegT/DnrJ/EryC1/StrS aminotransferase	1,191.60	379	8	9	12
ARNB_ECOLI	C6EB46_ECOBD	A	DegT/DnrJ/EryC1/StrS aminotransferase (VioA, involved in dTDP-N-acetylviosamine synthesis)	1,026.57	370	2	2	2
ARNC_ECOLI	C6E9U6_ECOBD	B	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.7.8.n1) (Undecaprenyl-phosphate Ara4FN transferase)	1,462.84	322	27	39	350
ARND_ECOLI	C6E9U4_ECOBD	A	Polysaccharide deacetylase (Putative uncharacterized protein yfbH)	8.155.238	296	19	22	46
ARNT_ECOLI	C6E9U3_ECOBD	B	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.n1) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	1,129.71	550	8	8	19
AROH_ECOLI	C6ECQ2_ECOBD	A	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tryptophan repressible (EC 2.5.1.54) (Phospho-2-dehydro-3-deoxyheptonate aldolase) (EC 2.5.1.54)	9.714.905	348	1	1	1
AROK_ECOLI	C6EFI6_ECOBD	A	Shikimate kinase (EC 2.7.1.71)	1,186.68	225	4	5	8
AROL_ECOLI	C6ELJ9_ECOBD	A	Shikimate kinase (EC 2.7.1.71) (Shikimate kinase II) (EC 2.7.1.71)	2,802.49	174	2	2	3
AROP_ECOLI	C6EAU5_ECOBD	B	Amino acid permease-associated region	8.594.996	456	2	3	8
ARTI_ECOLI	C6EIB8_ECOBD	G	Arginine transporter subunit (Cationic amino acid ABC transporter, periplasmic binding protein)	3,495.78	243	15	16	29
ARTJ_ECOLI	C6EIC1_ECOBD	G	Arginine transporter subunit (Cationic amino acid ABC transporter, periplasmic binding protein)	2,145.12	243	11	14	19
ARTM_ECOLI	C6EIC0_ECOBD	B	Arginine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	1,648.98	222	3	3	3
ARTP_ECOLI	C6EIB7_ECOBD	F1	Arginine transporter ATP-binding subunit (Arginine transporter subunit)	1,001.54	242	13	17	76
ARTQ_ECOLI	C6EIB9_ECOBD	B	Arginine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	1,726.91	238	2	2	8
ASMA_ECOLI	C6EAP3_ECOBD	B	AsmA family protein (Predicted assembly protein)	1,136.53	617	19	20	34
ASNA_ECOLI	C6EG59_ECOBD	A	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	1,408.85	330	2	2	3
ASNB_ECOLI	C6EJR1_ECOBD	A	Asparagine synthase (Glutamine-hydrolyzing) (Asparagine synthetase B) (EC 6.3.5.4)	8.034.258	554	4	4	4
ASPA_ECOLI	C6ECY6_ECOBD	A	Aspartate ammonia-lyase	1,501.80	478	9	9	9
ASSY_ECOLI	C6EH54_ECOBD	A	Argininosuccinate synthase (EC 6.3.4.5)	1,283.58	447	4	4	5
ASTC_ECOLI	C6ECL0_ECOBD	A	Acetylornithine and succinylornithine aminotransferase (EC 2.6.1.81) (Succinylornithine transaminase, PLP-dependent) (EC 2.6.1.-)	8.744.629	406	8	8	20
