Entry Name	Total #Tryptic Peptides	# Detectable Tryptic Peptides	Detectable(%)	mean m/z	mean gravy	mean mass
P0A996	27	16		684.236286208333	-0.247280545954941	1300.886408125
P13033	15	9		906.984757607143	0.0264854548576657	2070.40077111111
P0A9C0	23	13		806.391744403509	-0.0153509738125123	1614.42478461538
P76463	19	13		856.782499901961	-0.121726209993473	1807.37137615385
P0AB85	19	12		748.170081666667	-0.202743813791726	1571.4497075
P05050	17	12		825.438965131579	-0.0901607178697006	1772.37918583333
P0AAL3	26	15		668.612160588235	-0.0993781423255107	1363.53723066667
P33934	16	5		1115.35480277778	0.705676767676768	2521.135804
P0ABL3	12	4		881.55301875	-0.466454545454545	2115.727245
P0ABL5	26	10		687.437709166667	-0.753955026455027	1506.378776
P0AFU0	15	10		671.48444051282	0.139580203021379	1446.84792
P02932	24	12		804.841401794872	-0.819890797859548	1674.18379666667
P0AA99	23	12		775.326508333333	-0.317422633947196	1755.20726916667
P0AD59	12	9		841.410527435898	0.125004409171076	1730.17876888889
P0ABG1	15	4		1170.04972138889	1.2041059997607	3242.2192925
P0AD19	14	5		1160.64151261905	0.956207792207792	2926.96516
P0AFI5	26	14		703.288809166667	-0.185810499024785	1490.89748214286
P76421	26	10		838.471823944445	-0.0622837030835383	1859.826064
P76393	18	11		885.852420758333	0.113114782504317	2088.12440727273
P32057	23	13		762.011967592593	0.0246010954989282	1633.74453230769
P77377	13	7		971.639625583333	0.914781992507148	2887.14321142857
P36881	14	11		694.870957976191	-0.142546897546898	1376.57712454545
P62395	15	6		928.559153409091	-0.185004276637341	2387.21655833333
P0A754	11	7		862.4729539375	-0.208122552051124	2573.25700571429
P0AA47	10	4		1009.10623133333	0.124564544650751	2315.671085
P76344	21	10		837.734821021164	-0.565494255260244	1946.813468
P76341	12	5		978.894530648148	-0.431994596420128	2499.074218
P02924	26	14		677.210712291667	-0.140821866625438	1356.10225857143
P30143	15	7		997.000605208333	0.449123369154425	2051.79375571429
P39405	18	14		810.107422394737	-0.287056659027247	1809.98157714286
P0ADD5	17	10		877.159790944445	0.0827518258186924	2206.422779
P0ADD2	9	5		1053.73767916667	0.686452081252081	2348.21493
P18390	14	5		765.08917202381	-0.308123470732166	1600.406032
P09348	16	6		905.732289319728	0.566502277314133	2749.57725666667
P0AF06	22	15		697.492642058824	-0.407908173525821	1428.10946066667
P76297	12	7		886.023263125	0.0564949633699633	1699.58943285714
