Entry Name K12		Entry Name BL21(DE3)	Category	Suggested Category 	Suggested Category		Description	Protein Length	UNTREATED	TREATED		Cellular Component	Biological Process	GO Annotation	GO ID				Ishihama2008		Masuda2009		Taniguchi2010	
DNA binding proteins				 														Mean Abundance (molecules per cell)	emPAI	emPAI-derived copy no/cell	emPAI Value	Copy number per cell	mMol	molecules/cell (1molec/cell=10nM)
Transcription factors				 																				
LACI_ECOLI	P03023	C6EJI7	A	F1 This study	F1	This study	Transcriptional regulator, LacI family	363	Y	Y		cytosol		regulation of transcription, DNA-dependent|transcription, DNA-dependent	GO:0006355|GO:0006351			14			0,29	14,22		
PROQ_ECOLI	P45577	C6EBZ8	A	F1 This study	F1	This study	ProQ activator of osmoprotectant transporter ProP (Putative solute/DNA competence effector)	232	Y	Y				positive regulation of transport	GO:0051050			3415	5,52E+01	2,98E+03	10,45	459,44	0,068045	6804,5
OMPR_ECOLI	P0AA16	C6EFG9	A	F1 This study	F1	This study	Two component transcriptional regulator, winged helix family	239	Y	Y		cytoplasm		regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)	GO:0000160|GO:0006355|GO:0006351			1351	3,64E+00	6,13E+02	5,31	238,33	0,032016	3201,6
ARCA_ECOLI	P0A9Q1	C6EBH0	A	F1? This study	F1?	This study	DNA-binding response regulator in two-component regulatory system with ArcB or CpxA (Two component transcriptional regulator, winged helix family)	238	Y			cytoplasm::intracellular		regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)	GO:0000160|GO:0006355|GO:0006351			1605	4,54E+01	2,66E+03	12,59	550		
DBHA_ECOLI	P0ACF0	C6EE18	A	F1? This study	F1?	This study	HU, DNA-binding transcriptional regulator, alpha subunit (Histone family protein DNA-binding protein)	90	Y					chromosome condensation	GO:0030261			56498	1,00E+04	6,10E+04	99	4064,14	1,0443	104430
DBHA_ECOLI	P0ACF0	C6EL23	A	F1? This study	F1?	This study	HU, DNA-binding transcriptional regulator, beta subunit (Histone family protein DNA-binding protein)	90	Y															
HNS_ECOLI	P0ACF8	C6EGN0	A	F1? This study	F1?	This study	Global DNA-binding transcriptional dual regulator H-NS (Histone family protein nucleoid-structuring protein H-NS)	137	Y					regulation of transcription, DNA-dependent|transcription, DNA-dependent	GO:0006355|GO:0006351			116289	1,00E+05	2,32E+05	13,25	578,35		
FIS_ECOLI	P0A6R3	C6EGJ9	A	F1? This study	F1?	This study	DNA-binding protein Fis (Transcriptional regulator, Fis family)	98	Y					regulation of transcription, DNA-dependent|transcription, DNA-dependent	GO:0006355|GO:0006351			226699	3,16E+05	4,53E+05	9	398		
LRP_ECOLI	P0ACJ0	C6EI93	A	F1? This study	F1?	This study	DNA-binding transcriptional dual regulator, leucine-binding (Transcriptional regulator, AsnC family)	164	Y					response to leucine|regulation of transcription, DNA-dependent|transcription, DNA-dependent	GO:0043201|GO:0006355|GO:0006351			976	1,57E+01	1,43E+03	11,92	521,98		
STPA_ECOLI	P0ACG1	C6EJV6	A	F1? This study	F1?	This study	DNA binding protein, nucleoid-associated (Histone family protein nucleoid-structuring protein H-NS)	134	Y			intracellular		DNA binding	GO:0003677			1174	3,06E+01	2,11E+03	5,31	238,33		
IHFA_ECOLI	P0A6X7	C6ECP5	A	F1? This study	F1?	This study	Integration host factor subunit alpha (IHF-alpha)/one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control.	99	Y					transcription, DNA-dependent|regulation of transcription, DNA-dependent|DNA recombination|regulation of translation	GO:0006355|GO:0006351|GO:0006417|GO:0006310			1148	1,37E+01	1,32E+03	22,71	975,11		
IHFB_ECOLI	P0A6Y1	C6EI70	A	F1? This study	F1?	This study	Integration host factor subunit beta (IHF-beta)/one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control.	94	Y			chromosome		transcription, DNA-dependent|regulation of transcription, DNA-dependent|DNA recombination|regulation of translation	GO:0006355|GO:0006351|GO:0006417|GO:0006310			1607	3,06E+01	2,11E+03	25,83	1104,73		
PHOL_ECOLI	P0A9K3	C6EK35	A	F1? This study	F1?	This study	PhoH family protein (Predicted protein with nucleoside triphosphate hydrolase domain)	359	Y			cytoplasm		nucleotide binding|ATP binding	GO:0005524|GO:0000166			1212	1,05E+01	1,13E+03	4,38	197,75	0,023077	2307,7
Chromosome maintenance/division/replication				 																				
MUKB_ECOLI	P22523	C6EI58	A	F1 This study	F1	This study	Chromosome partition protein mukB (Structural maintenance of chromosome-related protein)	1486	Y	Y		cytoplasm	chromosome segregation	chromosome segregation|chromosome condensation|cell cycle|cell division	GO:0030261|GO:0007059|GO:0051301|GO:0007049			640	1,22E+00	3,26E+02	0,82	38,96	0,015536	1553,6
DPO1_ECOLI	P00582	C6EF39	A	F1? This study	F1?	This study	DNA polymerase I (EC 2.7.7.7)	928	Y			cytoplasm		DNA repair|response to DNA damage stimulus|DNA replication	GO:0006281|GO:0006260|GO:0006974			721	1,20E+00	3,21E+02	2,59	118,82	0,017241	1724,1
ENGB_ECOLI	P0A6P7	C6EF37	A	F1? This study	F1?	This study	GTP-binding protein HSR1-related/required for normal cell division	210	Y					barrier septum formation|cell cycle|cell division	GO:0051301|GO:0000917|GO:0007049			539	4,34E+00	6,79E+02	9	398		
PARC_ECOLI	P0AFI2	C6EHX4	F1	 curated		curated	DNA topoisomerase IV subunit A (EC 5.99.1.-) (DNA topoisomerase IV, A subunit) (EC 5.99.1.3)	752	Y			chromosome::cytoplasm	chromosome segregation	DNA topological change|sister chromatid cohesion|chromosome segregation|plasmid partitioning|DNA-dependent DNA replication	GO:0007059|GO:0007062|GO:0006261|GO:0030541|GO:0006265			421	4,17E-01	1,74E+02	0,78	37,12	0,010523	1052,3
RNA polymerase				 																				
RPOC_ECOLI	P0A8T7	C6EE31	A	F1 This study	F1	This study	DNA-directed RNA polymerase (EC 2.7.7.6)	1407	Y	Y		cytoplasm		transcription, DNA-dependent	GO:0006351			2693	9,90E+01	4,18E+03	28,29	1206,59		
RPOD_ECOLI	P00579	C6EHS8	A	F1 This study	F1	This study	RNA polymerase sigma factor	613	Y	Y				response to heat|transcription, DNA-dependent|regulation of transcription, DNA-dependent	GO:0006355|GO:0006351|GO:0009408			783	1,37E+01	1,32E+03	5,49	246,16		
RPOA_ECOLI	P0A7Z4	C6EGH1	A	F1? This study	F1?	This study	DNA-directed RNA polymerase subunit alpha (EC 2.7.7.6) (DNA-directed RNA polymerase, alpha subunit)	329	Y			cytoplasm		transcription, DNA-dependent	GO:0006351			5407	2,95E+02	7,87E+03	70,97	2943,18		
RPOB_ECOLI	P0A8V2	C6EE32	A	F1? This study	F1?	This study	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	1342	Y			cytoplasm		transcription, DNA-dependent	GO:0006351			8988	1,64E+02	5,59E+03	27,41	1170,18	0,20205	20205
RPOZ_ECOLI	P0A800	C6EDE1	A	F1? This study	F1?	This study	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	91	Y					transcription, DNA-dependent	GO:0006351			30020	1,58E+03	2,09E+04	25,83	1104,73	0,68055	68055
DNA helicases				 																				
DNAB_ECOLI	P0ACB0	C6EDW8	A	F1? This study	F1?	This study	Replicative DNA helicase	471	Y					DNA replication, synthesis of RNA primer|DNA replication	GO:0006269|GO:0006260			719			0,47	22,71	0,014159	1415,9
GYRB_ECOLI	P0AES6	C6ECI0	A	F1? This study	F1?	This study	DNA gyrase subunit B (EC 5.99.1.3)	804	Y					response to antibiotic|DNA topological change|response to drug|DNA-dependent DNA replication	GO:0046677|GO:0042493|GO:0006261|GO:0006265			2385	2,57E+00	5,01E+02	12,34	540	0,061127	6112,7
				 																				
tRNA synthetases				 																				
SYA_ECOLI	P00957	C6EJT4	A	F1? This study	F1?	This study	Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase)	876	Y			cytoplasm	translation	alanyl-tRNA aminoacylation|translation|negative regulation of transcription, DNA-dependent	GO:0045892|GO:0006412|GO:0006419			1842	2,39E+01	1,83E+03	6,16	275,23	0,034219	3421,9
SYM_ECOLI	P00959	C6EAJ7	A	F1? This study	F1?	This study	Methionyl-tRNA synthetase	677	Y					Methionyl-tRNA synthetase/translation	GO:0006412			1642	1,42E+01	1,35E+03	9	398	0,031792	3179,2
SYN_ECOLI	P0A8M0	C6EI52	A	F1? This study	F1?	This study	Asparaginyl-tRNA synthetase (EC 6.1.1.22) (Asparagine--tRNA ligase)	466	Y			cytoplasm	translation	glutamine metabolic process|cellular amino acid catabolic process|translation|asparagine biosynthetic process	GO:0006541|GO:0009063|GO:0006529|GO:0006412			1273	3,22E+01	2,18E+03	8,26	365,77		
SYP_ECOLI	P16659	C6EA90	A	F1? This study	F1?	This study	Prolyl-tRNA synthetase (EC 6.1.1.15) (Proline--tRNA ligase)	572	Y			cytosol	translation	prolyl-tRNA aminoacylation|translation	GO:0006433|GO:0006412			1563	3,68E+01	2,35E+03	17,96	776,69		
SYY_ECOLI	P0AGJ9	C6EDK8	A	F1? This study	F1?	This study	Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase)	424	Y			cytosol	translation	Tyrosyl-tRNA synthetase/translation	GO:0006412			1072	1,95E+01	1,63E+03	11,74	514,33		
ISCS_ECOLI	P0A6B7	C6EKH7	A	F1? This study	F1?	This study	Cysteine desulfurase (EC 2.8.1.7)	404	Y			cytoplasm		tRNA processing|oxazole or thiazole biosynthetic process|iron-sulfur cluster assembly|tRNA pseudouridine synthesis	GO:0031119|GO:0016226|GO:0018131|GO:0008033			12785	7,84E+01	3,65E+03	18,57	802,26	0,33902	33902
YFIF_ECOLI	P0AGJ5	C6EK05	A	F1? This study	F1?	This study	Predicted methyltransferase (EC 2.1.1.-) (tRNA/rRNA methyltransferase (SpoU))	345	Y					methylation	GO:0032259			385	1,28E+00	3,33E+02	1,87	86,65	0,0073575	735,75
YFHB_ECOLI	P0AD42	C6EK28	B	 			HAD superfamily (Subfamily IF) hydrolase, YfhB	211		Y				tRNA wobble adenosine to inosine editing	GO:0002100									
				 																				
RNA binding proteins				 																				
Transcription termination				 																				
RHO_ECOLI	P0AG30	C6EG30	A	F1 This study	F1	This study	Transcription termination factor Rho	419	Y	Y				regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcriptional attenuation|transcription termination, DNA-dependent	GO:0006353|GO:0031555|GO:0006355|GO:0006351			31519	1,11E+02	4,45E+03	33,33	1414,45	0,88692	88692
NUSA_ECOLI	P0AFF6	C6EH56	A	F1? This study	F1?	This study	NusA antitermination factor (Transcription elongation factor NusA)/binds to Rho	495	Y			cytoplasm	response to stress	regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription antitermination|transcription termination, DNA-dependent|response to stress	GO:0006353|GO:0031564|GO:0006355|GO:0006950|GO:0006351			7426	4,12E+01	2,51E+03	29,39	1252,04	0,18517	18517
NUSG_ECOLI	P0AFG0	C6EE37	A	F1? This study	F1?	This study	Transcription antitermination protein nusG/binds to Rho	181	Y					transcription, DNA-dependent|regulation of transcription, DNA-dependent|transcription antitermination|transcription termination, DNA-dependent	GO:0006353|GO:0031564|GO:0006355|GO:0006351			1044	1,90E+01	1,60E+03	11,12	487,98		
RHO_ECOLI	P0AG30	C6EG30	A	F1? This study	F1?	This study	Transcription termination factor Rho	419	Y	Y				regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcriptional attenuation|transcription termination, DNA-dependent	GO:0006353|GO:0031555|GO:0006355|GO:0006351			31519	1,11E+02	4,45E+03	33,33	1414,45	0,88692	88692
RNA degradosome				 																				
RHLB_ECOLI	P0A8J8	C6EG33	A	F1 This study	F1	This study	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)/RNA degradasome component	421	Y	Y				hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding	GO:0003723|GO:0016787|GO:0005524|GO:0000166|GO:0004386			660	7,30E-01	2,41E+02	1,21	56,81	0,016836	1683,6
RHLE_ECOLI	P25888	C6EIY5	A	F1? This study	F1?	This study	DEAD/DEAH box helicase domain protein (RNA helicase)/RNA degradasome component	454	Y					hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP-dependent RNA helicase activity|ATP binding	GO:0003723|GO:0016787|GO:0004004|GO:0005524|GO:0000166|GO:0004386			186	4,68E-01	1,86E+02				
ENO_ECOLI	P0A6P9	C6EJ93	A	F1? This study	F1?	This study	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)/Component of the RNA degradosome. The covalent binding to the substrate at Lys-342 causes inactivation of the enzyme, and possibly serves as a signal for the export of the protein. Interacts with the endoribonuclease RNase E in the RNA degradosome. Part of the bacterial cytoskeleton.	432	Y			cytoskeleton::cytosol::extracellular region		glycolysis	GO:0006096			28937	8,58E+03	5,58E+04	45,42	5949,64	0,2506	25060
HRPA_ECOLI	P43329	C6EEV0	A	F1? This study	F1?	This study	ATP-dependent helicase HrpA/RNA degradasome component	1300	Y				mRNA processing	mRNA processing	GO:0006397			257	1,71E-01	1,04E+02			0,0041088	410,88
RHLE_ECOLI	P25888	C6EIY6	A	F1? This study	F1?	This study	DEAD/DEAH box helicase domain protein (RNA helicase)/RNA degradasome component	1574,666667	Y					hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP-dependent RNA helicase activity|ATP binding	GO:0003723|GO:0016787|GO:0004004|GO:0005524|GO:0000166|GO:0004387			18615	2,86E+03	1,86E+04				
RNR_ECOLI	P21499	C6ECH0	A	F1? This study	F1?	This study	Exoribonuclease R, RNase R (EC 3.1.-.-) (VacB and RNase II family 3'-5' exoribonuclease) (EC 3.1.13.1)	813	Y					pathogenesis|response to stress	GO:0006950|GO:0009405			1323	9,62E-01	2,83E+02	1,09	51,34	0,036361	3636,1
PNP_ECOLI	P05055	C6EH61	F1	 curated		curated	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)/RNA degradosome subunit	711	Y					response to stress	GO:0006950			15125	1,69E+02	5,70E+03	10,84	476,06	0,39199	39199
RNE_ECOLI	P21513	C6EHC9	F1	 curated		curated	Fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein (EC 3.1.4.-) (Ribonuclease, Rne/Rng family)	1061	Y	Y		cytoplasm		RNA catabolic process	GO:0006401			366	2,36E+00	4,77E+02	5,71	255,72		
RNA helicases				 																				
DEAD_ECOLI	P0A9P6	C6EH63	A	F1? This study	F1?	This study	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	629	Y					ribosomal large subunit assembly|cellular response to cold|response to stress	GO:0006950|GO:0000027|GO:0070417			1761	2,77E+01	1,99E+03	7	307,23	0,029853	2985,3
				 																				
Protein transport				 																				
LOLD_ECOLI	P75957	C6EGX5	F1	 curated		curated	Lipoprotein releasing system, ATP-binding protein (Outer membrane-specific lipoprotein transporter subunit)	233	Y	Y				transport|lipoprotein transport	GO:0006810|GO:0042953			882	7,78E-01	2,50E+02	0,47	22,71	0,023721	2372,1
				 																				
Metabolic enzymes				 																				
PFLB_ECOLI	P09373	C6EK07	A	F1? This study	F1?	This study	Autonomous glycyl radical cofactor	127	Y			cytoplasm	carbohydrate metabolic process	glucose metabolic process|carbohydrate metabolic process	GO:0006006|GO:0005975			7459	6,21E+02	1,21E+04	19,59	641,14	0,096355	9635,5
PFLB_ECOLI	P09373	C6EI79	A	F1? This study	F1?	This study	Formate acetyltransferase (EC 2.3.1.54) (Pyruvate formate lyase I) (EC 2.3.1.54)	760	Y			cytoplasm	carbohydrate metabolic process					7459	6,21E+02	1,21E+04	19,59	641,14	0,096355	9635,5
Cell surface glycolipids				 																				
LPS biosynthesis				 																				
RFAP_ECOLI	P25741	C6EDG1	A	F1 This study	F1	This study	Lipopolysaccharide kinase	265		Y				lipopolysaccharide biosynthetic process|phosphorylation	GO:0009103|GO:0016310			11			0,23	11,36		
ARND_ECOLI	P76472	C6E9U4	A	F1 This study	F1	This study	Polysaccharide deacetylase (Putative uncharacterized protein yfbH)	296	Y	Y			carbohydrate metabolic process	response to antibiotic|response to iron(III) ion|lipid biosynthetic process|lipid A biosynthetic process|lipopolysaccharide biosynthetic process	GO:0046677|GO:0009103|GO:0010041|GO:0008610|GO:0009245									
RFAQ_ECOLI	P25742	C6EDF9	A	F1 This study	F1	This study	Lipopolysaccharide heptosyltransferase III	340		Y				lipopolysaccharide biosynthetic process	GO:0009103									
Null		C6EB48	A	F1 This study	F1	This study	Putative glycosyltransferase WbbA (Putative uncharacterized protein)	248		Y				Putative glycosyltransferase WbbA involved in O-antigen biosynthesis										
Null		C6EB49	A	F1 This study	F1	This study	Putative glycosyltransferase WbbB (Putative uncharacterized protein)	273		Y				Putative glycosyltransferase WbbB involved in O-antigen biosynthesis										
RFAF_ECOLI	P37692	C6EDH0	A	F1? This study	F1?	This study	ADP-heptose:LPS heptosyltransferase II (EC 2.-.-.-) (Lipopolysaccharide heptosyltransferase II)	348	Y					lipopolysaccharide biosynthetic process	GO:0009103			94	3,34E-01	1,53E+02	0,72	34,35		
Phosphoglyceride-linked enterobacterial common antigen				 																				
WECG_ECOLI	P27836	C6EG17	A	F1 This study	F1	This study	Glycosyl transferase, WecB/TagA/CpsF family (EC 2.4.1.187) (Putative UDP-N-acetyl-D-mannosaminuronic acid transferase) (EC 2.4.1.-)	246		Y			biosynthetic process	transferase activity, transferring glycosyl groups|transferase activity	GO:0016757|GO:0016740									
Phospholipid biosynthesis				 																				
PLSX_ECOLI	P27247	C6EHC4	A	F1 This study	F1	This study	Fatty acid/phospholipid synthesis protein PlsX	346		Y		cytoplasm		phospholipid biosynthetic process	GO:0008654			790					0,0079041	790,41
FADI_ECOLI	P76503	C6ELB2	A	F1 This study	F1	This study	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	436	Y	Y		cytoplasm	lipid metabolic process::transport	fatty acid metabolic process|lipid catabolic process|lipid metabolic process	GO:0016042|GO:0006631|GO:0006629			128	2,45E-01	1,28E+02				
ACCD_ECOLI	P0A9Q5	C6ELD7	A	F1 This study	F1	This study	Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)	304	Y	Y		cytosol		lipid biosynthetic process|negative regulation of translation|fatty acid biosynthetic process|regulation of translation	GO:0017148|GO:0006633|GO:0006417|GO:0008610			680	5,81E+00	8,05E+02	12,69	554,63		
FADJ_ECOLI	P77399	C6ELB3	A	F1 This study	F1	This study	Fatty acid oxidation complex subunit alpha	714	Y	Y		cytoplasm	lipid metabolic process	oxidation-reduction process|fatty acid metabolic process|lipid catabolic process|metabolic process|lipid metabolic process	GO:0016042|GO:0008152|GO:0006631|GO:0055114|GO:0006629			94					0,00093785	93,785
FADB_ECOLI	P21177	C6EF52	A	F1? This study	F1?	This study	Fatty acid oxidation complex subunit alpha	729	Y				lipid metabolic process	oxidation-reduction process|fatty acid metabolic process|lipid catabolic process|metabolic process|lipid metabolic process	GO:0016042|GO:0008152|GO:0006631|GO:0055114|GO:0006629			49			0,19	9,44	0,00088655	88,655
				 																				
Haeme biosynthesis				 																				
HEMG_ECOLI	P0ACB4	C6EF48	A	F1 This study	F1	This study	Protoporphyrin oxidase, flavoprotein (EC 1.3.3.4) (Protoporphyrinogen oxidase) (EC 1.3.3.4)	181	Y	Y				oxidation-reduction process|heme biosynthetic process|porphyrin biosynthetic process	GO:0055114|GO:0006783|GO:0006779									
HEMH_ECOLI	P23871	C6EKY9	A	F1 This study	F1	This study	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	320		Y		cytoplasm		protoporphyrinogen IX metabolic process|heme biosynthetic process|response to light stimulus|porphyrin biosynthetic process	GO:0046501|GO:0009416|GO:0006783|GO:0006779			20					0,00020451	20,451
Oxidoreductases				 																				
