Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
C6EID5	glcB ECBD_0763 ECD_02844	glcB		ECBD_0763 ECD_02844	C6EID5_ECOBD	Cytoplasm. 	Inferred from homology	Malate synthase family, GlcB subfamily	Malate synthase (EC 2.3.3.9) (Malate synthase G) (EC 2.3.3.9)	"GO:0008415; GO:0005737; GO:0006097; GO:0004474; GO:0006099"	"Acyltransferase; Complete proteome; Cytoplasm; Glyoxylate bypass; Transferase; Tricarboxylic acid cycle"	723	
C6EJI7	ECBD_2908 ECBD_3312			ECBD_2908 ECBD_3312	C6EJI7_ECOBD		Predicted		Transcriptional regulator, LacI family	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	363	
C6EIJ3	iciA ECBD_0822 ECD_02747	iciA		ECBD_0822 ECD_02747	C6EIJ3_ECOBD		Predicted		Chromosome replication initiation inhibitor protein (Transcriptional regulator, ArgP, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	297	
C6EK39	ECBD_2995 ECD_00624			ECBD_2995 ECD_00624	C6EK39_ECOBD		Predicted		40-residue YVTN family beta-propeller repeat protein (Putative uncharacterized protein)	GO:0016021	"Complete proteome; Signal"	625	
C6EA37	yagT ECBD_3371 ECD_00245	yagT		ECBD_3371 ECD_00245	C6EA37_ECOBD		Predicted		(2Fe-2S)-binding domain protein (Predicted xanthine dehydrogenase, 2Fe-2S subunit)	"GO:0051537; GO:0009055; GO:0046872; GO:0055114; GO:0016491"	"2Fe-2S; Complete proteome; Iron; Iron-sulfur; Metal-binding"	229	
C6ELS2	ykgG ECBD_3349 ECD_00264	ykgG		ECBD_3349 ECD_00264	C6ELS2_ECOBD		Predicted		Predicted transporter (Putative uncharacterized protein)	"GO:0030272; GO:0005524; GO:0009396"	Complete proteome	231	
C6EDU6	ydfH ECBD_2099 ECD_01499	ydfH		ECBD_2099 ECD_01499	C6EDU6_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, GntR family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	228	
C6EB80	cobS ECBD_1657 ECD_01901	cobS		ECBD_1657 ECD_01901	C6EB80_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	CobS family	Cobalamin synthase (EC 2.-.-.-)	"GO:0008818; GO:0009236; GO:0015420; GO:0005886"	"Cell inner membrane; Cell membrane; Cobalamin biosynthesis; Complete proteome; Membrane; Transferase; Transmembrane; Transmembrane helix"	247	
C6EEZ2	rhaS ECBD_4118 ECD_03791	rhaS		ECBD_4118 ECD_03791	C6EEZ2_ECOBD		Inferred from homology		DNA-binding transcriptional activator, L-rhamnose-binding (Transcriptional regulator, AraC family)	"GO:0005737; GO:0006355; GO:0019299; GO:0043565; GO:0003700; GO:0006350"	"Activator; Complete proteome; Cytoplasm; DNA-binding; Repeat; Rhamnose metabolism; Transcription; Transcription regulation"	278	
C6EC44	yeaJ ECBD_1858 ECD_01755	yeaJ		ECBD_1858 ECD_01755	C6EC44_ECOBD		Predicted		Diguanylate cyclase (Predicted diguanylate cyclase)	"GO:0009190; GO:0016849"	"Complete proteome; Signal"	496	
C6EA32	yagX ECBD_3366 ECD_00250	yagX		ECBD_3366 ECD_00250	C6EA32_ECOBD		Predicted		Predicted aromatic compound dioxygenase (Putative uncharacterized protein)	"GO:0004180; GO:0016702"	"Complete proteome; Dioxygenase; Oxidoreductase; Signal"	841	
C6EE47	udhA sthA ECBD_4062 ECD_03847	udhA	sthA	ECBD_4062 ECD_03847	C6EE47_ECOBD	Cytoplasm. 	Inferred from homology	Class-I pyridine nucleotide-disulfide oxidoreductase family	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	"GO:0050660; GO:0003957; GO:0045454; GO:0005737; GO:0055114"	"Complete proteome; Cytoplasm; FAD; Flavoprotein; NAD; NADP; Oxidoreductase"	466	
C6EC15	yoaE ECBD_1826 ECD_01786	yoaE		ECBD_1826 ECD_01786	C6EC15_ECOBD		Predicted		Fused predicted membrane protein/conserved protein (Integral membrane protein TerC)	"GO:0050660; GO:0003824; GO:0016021; GO:0055114"	Complete proteome	518	
C6EI75	serC ECBD_2688 ECD_00911	serC		ECBD_2688 ECD_00911	C6EI75_ECOBD	Cytoplasm. 	Inferred from homology	"Class-V pyridoxal-phosphate-dependent aminotransferase family; Class-V pyridoxal-phosphate-dependent aminotransferase family, SerC subfamily"	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase)	"GO:0006564; GO:0004648; GO:0030170"	"Amino-acid biosynthesis; Aminotransferase; Complete proteome; Cytoplasm; Pyridoxal phosphate; Pyridoxine biosynthesis; Serine biosynthesis; Transferase"	362	
C6EJZ5	yfiO ECBD_1089 ECD_02485	yfiO		ECBD_1089 ECD_02485	C6EJZ5_ECOBD		Predicted		Outer membrane assembly lipoprotein YfiO (Predicted lipoprotein)	GO:0005488	"Complete proteome; Lipoprotein; Signal"	245	
C6EIM8	ygfM ECBD_0857 ECD_02713	ygfM		ECBD_0857 ECD_02713	C6EIM8_ECOBD		Predicted		Predicted oxidoreductase (Selenate reductase, FAD-binding subunit)	"GO:0050660; GO:0055114; GO:0016491"	Complete proteome	259
C6ED85	yidE ECBD_0018 ECD_03568	yidE		ECBD_0018 ECD_03568	C6ED85_ECOBD	"Cell membrane; Multi-pass membrane protein. "	Inferred from homology		Putative uncharacterized protein yidE (YidE/YbjL duplication)	"GO:0008324; GO:0016021; GO:0005886; GO:0006813"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	553
C6EFU6	rnb ECBD_2331 ECD_01263	rnb		ECBD_2331 ECD_01263	C6EFU6_ECOBD	Cytoplasm. 	Inferred from homology	Ribonuclease II (RNB) family	Exoribonuclease 2 (EC 3.1.13.1) (Exoribonuclease II)	"GO:0003723; GO:0005737; GO:0008859; GO:0006402"	"Complete proteome; Cytoplasm; Exonuclease; Hydrolase; Nuclease; RNA-binding"	644
C6EEQ3	ydcE ECBD_2177 ECD_01419	ydcE		ECBD_2177 ECD_01419	C6EEQ3_ECOBD		Predicted		4-oxalocrotonate tautomerase	"GO:0006725; GO:0005737; GO:0016862"	"Complete proteome; Isomerase"	75
C6EK19	lepB ECBD_1113 ECD_02462	lepB		ECBD_1113 ECD_02462	C6EK19_ECOBD		Inferred from homology	Peptidase S26 family	Signal peptidase I (EC 3.4.21.89)	"GO:0016021; GO:0006508; GO:0008236"	"Complete proteome; Hydrolase; Protease"	324
C6EGC2	rpsL ECBD_0407 ECD_03193	rpsL		ECBD_0407 ECD_03193	C6EGC2_ECOBD		Inferred from homology	Ribosomal protein S12P family	30S ribosomal protein S12	"GO:0019843; GO:0015935; GO:0003735; GO:0000049; GO:0006412"	"Acetylation; Complete proteome; RNA-binding; Ribonucleoprotein; Ribosomal protein; rRNA-binding; tRNA-binding"	124
C6EHU3	rfaE hldE ECBD_0689 ECD_02922	rfaE	hldE	ECBD_0689 ECD_02922	C6EHU3_ECOBD		Inferred from homology	"Cytidylyltransferase family; Carbohydrate kinase pfkB family"	Bifunctional protein hldE	"GO:0005524; GO:0009058; GO:0005975; GO:0016301; GO:0016779; GO:0016773"	"ATP-binding; Acetylation; Carbohydrate metabolism; Complete proteome; Kinase; Multifunctional enzyme; Nucleotide-binding; Nucleotidyltransferase; Transferase"	477
C6EG92	yidZ ECBD_4321 ECD_03595	yidZ		ECBD_4321 ECD_03595	C6EG92_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	319
C6EAQ5	wcaG ECBD_1603 ECD_01958	wcaG		ECBD_1603 ECD_01958	C6EAQ5_ECOBD		Predicted		Bifunctional GDP-fucose synthetase: GDP-4-dehydro-6-deoxy-D-mannose epimerase/ GDP-4-dehydro-6-L-deoxygalactose reductase (EC 1.-.-.-) (EC 5.1.3.-) (NAD-dependent epimerase/dehydratase)	"GO:0044237; GO:0050662; GO:0016853; GO:0055114; GO:0016491"	"Complete proteome; Isomerase; Oxidoreductase"	321
C6EI37	pyrD ECBD_2650 ECD_00949	pyrD		ECBD_2650 ECD_00949	C6EI37_ECOBD	"Cell membrane; Peripheral membrane protein. "	Inferred from homology	Dihydroorotate dehydrogenase family, Type 2 subfamily	Dihydroorotate dehydrogenase (EC 1.3.5.2) (DHOdehase) (Dihydroorotate oxidase)	"GO:0006207; GO:0006222; GO:0004158; GO:0016020; GO:0055114"	"Cell membrane; Complete proteome; FMN; Flavoprotein; Membrane; Oxidoreductase; Pyrimidine biosynthesis"	336
C6EFK2	yhfR ECBD_0374 ECD_03225	yhfR		ECBD_0374 ECD_03225	C6EFK2_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, GntR family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350; GO:0030528"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	243
C6EFE2	glgB ECBD_0310 ECD_03284	glgB		ECBD_0310 ECD_03284	C6EFE2_ECOBD		Inferred from homology	Glycosyl hydrolase 13 family	1,4-alpha-glucan-branching enzyme (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Glycogen-branching enzyme)	"GO:0003844; GO:0043169; GO:0005978; GO:0004553"	"Complete proteome; Glycogen biosynthesis; Glycosyltransferase; Transferase"	728
C6EIG9	metK ECBD_0798 ECD_02772	metK		ECBD_0798 ECD_02772	C6EIG9_ECOBD	Cytoplasm. 	Inferred from homology	AdoMet synthase family	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	"GO:0005524; GO:0005737; GO:0000287; GO:0004478; GO:0006730"	"ATP-binding; Acetylation; Cobalt; Complete proteome; Cytoplasm; Magnesium; Metal-binding; Nucleotide-binding; One-carbon metabolism; Potassium; Transferase"	384
C6EK05	yfiF ECBD_1099 ECD_02475	yfiF		ECBD_1099 ECD_02475	C6EK05_ECOBD		Predicted		Predicted methyltransferase (EC 2.1.1.-) (tRNA/rRNA methyltransferase (SpoU))	"GO:0003723; GO:0008173; GO:0006396"	"Complete proteome; Methyltransferase; Transferase"	345
