K12 Entry name (Uniprot)	BL21(DE3) Entry name (Uniprot)	Subcellular Location (Uniprot)	Common Core 	Gene Ontology ID (Uniprot)	Category	1st Secr Sys	2nd Secr Sys	SignalP SP HMM	Smax HMM	SignalP SP NN	D-score NN	LipoP S	Peptidase	Score	Helixes Predicted	Expected No aas in helixes	Expected No aas in helixes in first 60 aas	Phobius Signal	Phobius TMHs	TatP Signal	TatP D-score	Uniprot Description	Pseudogenes / Mobile Elements Notes
LRHA_ECOLI	C6E9R2_ECOBD		Common Core 	"GO:0003677; GO:0019861; GO:0006355; GO:0003700; GO:0006350"	A			0	0	24	0		CYT 		0	1.16	1.11		0	33	0.164	DNA-binding transcriptional repressor of flagellar, motility and chemotaxis genes (Transcriptional regulator, LysR family)	 
NUOA_ECOLI	C6E9R4_ECOBD	"Membrane; Multi-pass membrane protein. "	Common Core 	"GO:0008137; GO:0016021; GO:0055114; GO:0048038"	B	SEC		0	0	23	0		TMH 	12.523	3	67.48	23.09		3	43	0.267	NADH-quinone oxidoreductase subunit (EC 1.6.99.5)	 
NUOB_ECOLI	C6E9R5_ECOBD	"Cell inner membrane; Peripheral membrane protein; Cytoplasmic side. "	Common Core 	"GO:0051539; GO:0008137; GO:0046872; GO:0055114; GO:0048038"	F1			0	0	0	0		CYT 		0	1.77	0.48		0	95	0.033	NADH-quinone oxidoreductase subunit B (EC 1.6.99.5) (NADH dehydrogenase I subunit B) (NDH-1 subunit B)	 
NUOCD_ECOLI	C6E9R6_ECOBD		Common Core 	"GO:0051287; GO:0008137; GO:0055114; GO:0005886; GO:0048038; GO:0006810"	F1			0	0	0	0		CYT 		0	0.80	0.00		0	6	0.066	NADH dehydrogenase I, D subunit (NADH:ubiquinone oxidoreductase, chain C,D) (EC 1.6.5.3)	 
NUOE_ECOLI	C6E9R7_ECOBD		Common Core 	"GO:0051287; GO:0008137; GO:0055114"	F1			0	0	0	0		CYT 		0	0.03	0.00		0	16	0.147	NADH dehydrogenase subunit E (EC 1.6.5.3) (NADH-quinone oxidoreductase, E subunit)	 
NUOF_ECOLI	C6E9R8_ECOBD		Common Core 	"GO:0051539; GO:0010181; GO:0051287; GO:0008137; GO:0046872; GO:0055114"	F1			0	0	0	0		CYT 		0	1.15	0.00		0	1	0.132	NADH-quinone oxidoreductase, F subunit (EC 1.6.99.5) (NADH:ubiquinone oxidoreductase, chain F) (EC 1.6.5.3)	 
NUOG_ECOLI	C6E9R9_ECOBD		Common Core 	"GO:0051539; GO:0042773; GO:0008137; GO:0009055; GO:0016020; GO:0030151"	F1			0	0	0	0		CYT 		0	0.13	0.01		0	40	0.050	NADH-quinone oxidoreductase (EC 1.6.99.5)	 
NUOH_ECOLI	C6E9S0_ECOBD	"Cell inner membrane; Multi-pass membrane protein.  Membrane; Multi-pass membrane protein. "	Common Core 	"GO:0008137; GO:0016021; GO:0055114"	B	SEC		0	0	0	0		TMH 	7.328	8	179.95	24.81		9	47	0.070	NADH-quinone oxidoreductase subunit H (EC 1.6.99.5) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	 
NUOI_ECOLI	C6E9S1_ECOBD	"Cell inner membrane; Peripheral membrane protein. "	Common Core 	"GO:0051539; GO:0008137; GO:0009055; GO:0005506; GO:0055114; GO:0019684; GO:0005886"	F1			0	0	0	0		CYT 		0	0.28	0.28		1	24	0.235	NADH-quinone oxidoreductase subunit I (EC 1.6.99.5) (NADH dehydrogenase I subunit I) (NDH-1 subunit I)	 
NUOL_ECOLI	C6E9S4_ECOBD	"Membrane; Multi-pass membrane protein. "	Common Core 	"GO:0042773; GO:0008137; GO:0016021"	B	SEC		27	0.947	27	0.519		TMH 	9.920	16	358.14	41.19	19	17	41	0.116	NADH dehydrogenase subunit L (EC 1.6.5.3) (Proton-translocating NADH-quinone oxidoreductase, chain L)	 
NUOM_ECOLI	C6E9S5_ECOBD	"Membrane; Multi-pass membrane protein. "	Common Core 	"GO:0042773; GO:0008137; GO:0016021"	B	SEC		0	0	0	0		TMH 	6.387	14	293.00	35.93		14	48	0.078	NADH dehydrogenase subunit M (EC 1.6.5.3) (Proton-translocating NADH-quinone oxidoreductase, chain M)	 
NUON_ECOLI	C6E9S6_ECOBD	"Membrane; Multi-pass membrane protein. "	Common Core 	"GO:0042773; GO:0008137; GO:0016021"	B	SEC		0	0.597	17	0		TMH 	9.818	14	304.47	43.21		14	60	0.082	Proton-translocating NADH-quinone oxidoreductase, chain N	 
YFBM_ECOLI	C6E9S9_ECOBD		Common Core 		A			0	0	0	0		CYT 		0	0.00	0.00		0	62	0.019	Putative uncharacterized protein (Putative uncharacterized protein yfbM)	 
MENF_ECOLI	C6E9T4_ECOBD		Common Core 	"GO:0009058; GO:0008909"	A			0	0	0	0		CYT 		0	0.00	0.00		0	21	0.136	Isochorismate synthase (Menaquinone-specific isochorismate synthase) (EC 5.4.4.2)	 
MEND_ECOLI	C6E9T5_ECOBD		Common Core 	"GO:0070204; GO:0016829; GO:0000287; GO:0030145; GO:0009234; GO:0030976"	A			0	0	0	0		CYT 		0	1.56	0.00		0	41	0.180	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9) (Menaquinone biosynthesis protein menD)	 
MENH_ECOLI	C6E9T6_ECOBD		Common Core 		A			0	0	0	0		CYT 		0	2.06	0.00		0	7	0.100	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase (Predicted peptidase)	 
MENB_ECOLI	C6E9T7_ECOBD		Common Core 	"GO:0008935; GO:0009234"	A			0	0	0	0		CYT 		0	0.35	0.00		0	47	0.071	Naphthoate synthase	 
MENC_ECOLI	C6E9T8_ECOBD		Common Core 	"GO:0016836; GO:0000287; GO:0009234"	A			0	0	0	0		CYT 		0	0.05	0.00		0	15	0.057	o-succinylbenzoate synthase (OSB synthase) (OSBS) (EC 4.2.1.113) (4-(2'-carboxyphenyl)-4-oxybutyric acid synthase) (o-succinylbenzoic acid synthase)	 
MENE_ECOLI	C6E9T9_ECOBD		Common Core 	"GO:0009234; GO:0008756"	A			0	0	0	0		CYT 		0	0.13	0.00		0	61	0.073	O-succinylbenzoate-CoA ligase (O-succinylbenzoic acid-CoA ligase) (EC 6.2.1.26)	 
PMRD_ECOLI	C6E9U0_ECOBD		Common Core 		A			0	0	0	0		CYT 		0	0.01	0.01		0	39	0.119	Polymyxin resistance protein B	 
ARNT_ECOLI	C6E9U3_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Common Core 	"GO:0000030; GO:0005886; GO:0006493"	B	SEC		0	0	0	0		TMH 	5.334	12	255.27	22.26		12	95	0.052	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.n1) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	 
ARND_ECOLI	C6E9U4_ECOBD		Common Core 	"GO:0005975; GO:0016810"	A			0	0	0	0		CYT 		0	0.07	0.00		0	19	0.099	Polysaccharide deacetylase (Putative uncharacterized protein yfbH)	 
ARNA_ECOLI	C6E9U5_ECOBD		Common Core 	"GO:0050662; GO:0016742; GO:0009245; GO:0055114; GO:0016491; GO:0046677"	A			0	0	0	0		CYT 		0	2.25	2.23		0	49	0.067	Bifunctional polymyxin resistance protein ArnA	 
ARNC_ECOLI	C6E9U6_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Common Core 	GO:0016740	B	SEC		0	0	0	0		CYT 		2	45.68	0.00		2	4	0.031	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.7.8.n1) (Undecaprenyl-phosphate Ara4FN transferase)	 
AIS_ECOLI	C6E9U8_ECOBD	Periplasm. 	Common Core 		G	SEC		32	1.000	26	0.552	31	SpI 	9.815	1	21.19	21.19	31	0	31	0.191	Lipopolysaccharide core heptose(II)-phosphate phosphatase (EC 3.1.3.-)	 
CINAL_ECOLI	C6E9V1_ECOBD		Common Core 	GO:0006777	A			0	0	0	0		CYT 		0	0.02	0.00		0	41	0.027	CinA-like protein	 
GLPC_ECOLI	C6E9V8_ECOBD		Common Core 	"GO:0009055; GO:0051536; GO:0055114; GO:0016491"	F1			0	0	35	0		CYT 		0	0.05	0.00		0	34	0.175	Glycerol-3-phosphate dehydrogenase, anaerobic, C subunit (sn-glycerol-3-phosphate dehydrogenase (Anaerobic), small subunit) (EC 1.1.5.3)	 
GLPB_ECOLI	C6E9V9_ECOBD		Common Core 	"GO:0009055; GO:0004368; GO:0055114"	F1			0	0	0	0		CYT 		0	0.28	0.14	28	0	39	0.174	Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.5.3) (Glycerol-3-phosphate dehydrogenase, anaerobic, B subunit)	 
GLPA_ECOLI	C6E9W0_ECOBD		Common Core 	"GO:0050660; GO:0010181; GO:0004368; GO:0009331; GO:0006072; GO:0055114; GO:0005886; GO:0046174"	F1			0	0	0	0		CYT 		0	0.62	0.58		0	24	0.327	Glycerol-3-phosphate dehydrogenase, anaerobic, A subunit (sn-glycerol-3-phosphate dehydrogenase (Anaerobic), large subunit, FAD/NAD(P)-binding) (EC 1.1.5.3)	 
GLPQ_ECOLI	C6E9W2_ECOBD		Common Core 	"GO:0006071; GO:0008889; GO:0006629"	G	SEC		26	1.000	26	0.913	25	SpI 	17.875	0	2.23	2.23	25	0	25	0.146	Glycerophosphoryl diester phosphodiesterase (Periplasmic glycerophosphodiester phosphodiesterase) (EC 3.1.4.46)	 
INAA_ECOLI	C6E9W4_ECOBD		Common Core 	"GO:0005524; GO:0016301; GO:0009103; GO:0016020; GO:0016773"	A			0	0	0	0		CYT 		0	0.00	0.00		0	15	0.070	Lipopolysaccharide kinase (Putative uncharacterized protein inaA)	 
YFAE_ECOLI	C6E9W5_ECOBD		Common Core 	"GO:0051537; GO:0009055; GO:0046872"	A			0	0	0	0		CYT 		0	0.00	0.00		0	25	0.059	Ferredoxin (Predicted 2Fe-2S cluster-containing protein)	 
RIR2_ECOLI	C6E9W6_ECOBD		Common Core 	"GO:0009186; GO:0055114; GO:0004748; GO:0046914"	B	SEC		0	0	0	0		CYT 		0	1.18	0.00		0	27	0.115	Ribonucleotide reductase (Ribonucleotide-diphosphate reductase beta subunit) (EC 1.17.4.1)	 
RIR1_ECOLI	C6E9W7_ECOBD		Common Core 	"GO:0005524; GO:0006260; GO:0055114; GO:0005515; GO:0004748; GO:0005971"	A			0	0	0	0		CYT 		0	0.26	0.00		0	18	0.044	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	 
UBIG_ECOLI	C6E9W9_ECOBD		Common Core 	"GO:0008425; GO:0008689; GO:0006744"	A			0	0	0	0		CYT 		0	0.03	0.00		0	3	0.033	3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64) (Ubiquinone biosynthesis O-methyltransferase) (EC 2.1.1.64)	 
GYRA_ECOLI	C6E9X0_ECOBD		Common Core 	"GO:0005524; GO:0003918; GO:0006265; GO:0005694; GO:0006355; GO:0003700"	A			0	0	0	0		CYT 		0	0.00	0.00		0	35	0.037	DNA gyrase subunit A (EC 5.99.1.3) (DNA gyrase, A subunit) (EC 5.99.1.3)	 
YFAT_ECOLI	C6E9X2_ECOBD		Common Core 		G	SEC		20	0.994	0	0	19	SpI 	3.995	0	1.86	1.85	19	0	40	0.061	Putative uncharacterized protein (Putative uncharacterized protein yfaT)	 
YFAQ_ECOLI	C6E9X4_ECOBD		Common Core 		G	SEC		20	0.999	20	0.829	19	SpI 	8.158	0	0.95	0.95	19	0	49	0.074	Putative uncharacterized protein (Putative uncharacterized protein yfaQ)	 
YFAP_ECOLI	C6E9X5_ECOBD		Common Core 		G	SEC		20	1.000	20	0.769	19	SpI 	13.015	0	0.00	0.00	19	0	19	0.032	Putative uncharacterized protein (Putative uncharacterized protein yfaP)	 
RCSC_ECOLI	C6E9Y2_ECOBD		Common Core 	"GO:0005524; GO:0016021; GO:0018106; GO:0005886; GO:0006355; GO:0000156; GO:0000155; GO:0000160"	B	SEC		0	0.972	22	0		TMH 	3.162	2	43.74	22.06	40	1	22	0.222	Histidine kinase	 
APBE_ECOLI	C6E9Y5_ECOBD		Common Core 	GO:0009228	E	SEC	LOL	0	0	0	0	19	SpII 	12.017	0	0.07	0.06	22	0	12	0.134	ApbE family lipoprotein (Predicted thiamine biosynthesis lipoprotein)	 
ALKB_ECOLI	C6E9Y7_ECOBD		Common Core 	"GO:0006281; GO:0008168"	B	SEC		0	0	30	0		CYT 		0	0.28	0.07		0	19	0.232	Alkylated DNA repair protein AlkB (Oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions)	 
MQO_ECOLI	C6E9Y9_ECOBD		Common Core 	"GO:0008924; GO:0055114; GO:0006099"	B	SEC		22	1.000	27	0.575	21	SpI 	8.411	0	1.23	1.17	21	0	24	0.104	Probable malate:quinone oxidoreductase (EC 1.1.5.4) (MQO) (Malate dehydrogenase [quinone])	 
NAPD_ECOLI	C6E9Z3_ECOBD		Common Core 	"GO:0008940; GO:0055114"	A			0	0	0	0		CYT 		0	0.00	0.00		0	35	0.062	Assembly protein for periplasmic nitrate reductase (EC 1.7.99.4) (NapD family protein)	 
