Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location	General annotation (CATALYTIC_ACTIVITY)
P36930	gatR		GATR_ECOLI		Predicted		Galactitol utilization operon repressor	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Repressor; Transcription; Transcription regulation"	259		Insertion Sequence
P0CE57	insH10		INH10_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5R	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Insertion Sequence
P0CE58	insH11		INH11_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5T	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Insertion Sequence
P0CF40	insC1		INSC1_ECOLI		Inferred from homology	Transposase 8 family	Transposase insC for insertion element IS2A	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	121		Insertion Sequence
P0CF41	insC2		INSC2_ECOLI		Inferred from homology	Transposase 8 family	Transposase insC for insertion element IS2D	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	121		Insertion Sequence
P0CF42	insC3		INSC3_ECOLI		Inferred from homology	Transposase 8 family	Transposase insC for insertion element IS2F	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	121		Insertion Sequence
P0CF43	insC4		INSC4_ECOLI		Inferred from homology	Transposase 8 family	Transposase insC for insertion element IS2H	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	121		Insertion Sequence
P0CF44	insC5		INSC5_ECOLI		Inferred from homology	Transposase 8 family	Transposase insC for insertion element IS2I	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	121		Insertion Sequence
P0CF45	insC6		INSC6_ECOLI		Inferred from homology	Transposase 8 family	Transposase insC for insertion element IS2K	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	121		Insertion Sequence
P0CF46	insC7	ybiA yuaJ	INSC7_ECOLI		Inferred from homology	Transposase 8 family	Transposase insC for insertion element IS2 on F plasmid	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition"	121	Plasmid F	Insertion Sequence
P0CF53	insD1		INSD1_ECOLI		Predicted		Transposase insD for insertion element IS2A	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	301		Insertion Sequence
P0CF54	insD2		INSD2_ECOLI		Predicted		Transposase insD for insertion element IS2D	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	301		Insertion Sequence
P0CF55	insD3		INSD3_ECOLI		Predicted		Transposase insD for insertion element IS2F	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	301		Insertion Sequence
P0CF56	insD4		INSD4_ECOLI		Predicted		Transposase insD for insertion element IS2H	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	301		Insertion Sequence
P0CF57	insD5		INSD5_ECOLI		Predicted		Transposase insD for insertion element IS2I	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	301		Insertion Sequence
P0CF58	insD6		INSD6_ECOLI		Predicted		Transposase insD for insertion element IS2K	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	301		Insertion Sequence
P0CF59	insD7	ybhB yuaI	INSD7_ECOLI		Predicted		Transposase insD for insertion element IS2 on F plasmid	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition"	301	Plasmid F	Insertion Sequence
P0CF60	insD8		INSD8_ECOLI		Uncertain		Putative transposase insD for insertion element IS2E	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	218		Insertion Sequence
P0CF66	insE1		INSE1_ECOLI		Inferred from homology	Transposase 8 family	Transposase insE for insertion sequence IS3A	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	99		Insertion Sequence
P0CF67	insE2		INSE2_ECOLI		Inferred from homology	Transposase 8 family	Transposase insE for insertion sequence IS3B	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	99		Insertion Sequence
P0CF68	insE3		INSE3_ECOLI		Inferred from homology	Transposase 8 family	Transposase insE for insertion sequence IS3C	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	99		Insertion Sequence
P0CF69	insE4		INSE4_ECOLI		Inferred from homology	Transposase 8 family	Transposase insE for insertion sequence IS3D	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	99		Insertion Sequence
P0CF70	insE5		INSE5_ECOLI		Inferred from homology	Transposase 8 family	Transposase insE for insertion sequence IS3E	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	99		Insertion Sequence
P0CF71	insE6	yaaA	INSE6_ECOLI		Inferred from homology	Transposase 8 family	Transposase insE for insertion sequence IS3fA	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition"	99	Plasmid F	Insertion Sequence
P0CF72	insE7	ybfA	INSE7_ECOLI		Inferred from homology	Transposase 8 family	Transposase insE for insertion sequence IS3fB	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition"	99	Plasmid F	Insertion Sequence
P0CF79	insF1		INSF1_ECOLI		Inferred from homology	Transposase IS3/IS150/IS904 family	Transposase insF for insertion sequence IS3A	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	288		Insertion Sequence
P0CF80	insF2		INSF2_ECOLI		Inferred from homology	Transposase IS3/IS150/IS904 family	Transposase insF for insertion sequence IS3B	"GO:0003677; GO:0015074; GO:0006310; GO:0032196"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	288		Insertion Sequence
