EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW	
EG10067	argF	ECK0274	P06960	b0273	CG1016	g1786469	JW0266	939	EB0065	aa	OK; Verified[1]	334	Counterclockwise	288525	289529	6.22	Arg5;argD	Arginine	Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase; CP4-6 putative prophage remnant	argI and argF have same enzyme activity. ArgF and ArgI form both homotrimers and heterotrimers (Legrain, 1972).	36827.14
EG12338	yagA	ECK0268	P37007	b0267	Null	g1786462	JW0260	915	EB2242	aa	OK	384	Counterclockwise	280053	281207	6.04	Null	Systematic nomenclature	Function unknown, CP4-6 putative prophage remnant	Null	43768.63
EG12340	afuC	ECK0264	P37009	b0262	Null	g87081709	JW0254	898	EB2244	aa	ALT_INIT[-4]	348	Counterclockwise	276980	278026	5.97	fbpC;yagC	Actinobacillus ferric uptake	Predicted ferric iron ABC transporter ATP-binding protein; orphan; part of a defective ABC transporter, probably silent; CP4-6 prophage remnant; missing its promoter and co-functional components; homologous to an iron-uptake system gene in Actinobacillus	Remnant of an operon that includes the afuB'(fbpB') pseudogene; afuA(fbpA) is missing. InterPro uses the gene name fbpB, but there is already an fbp gene in K-12.	39058.75
EG13335	yafW	ECK0247	Q47684	b0246	Null	g1786440	JW0235	838	EB3119	aa	OK	105	Counterclockwise	262914	263231	5.67	Null	Systematic nomenclature	Antitoxin component of toxin-antitoxin protein pair YkfI-YafW; CP4-6 putative prophage remnant	Null	11939.59
EG13336	yafX	ECK0250	P75676	b0248	Null	g1786442	JW5022	843	EB3120	aa	OK	152	Counterclockwise	263972	264430	5.69	Null	Systematic nomenclature	Function unknown, CP4-6 putative prophage remnant	Null	17419.53
EG13337	yafY	ECK0253	P77365	b0251	Null	g1786445	JW0240	853	EB3121	aa	ALT_INIT[-138]	147	Counterclockwise	265334	265777	5.72	Null	Systematic nomenclature	Inner membrane lipoprotein, function unknown; overproduction stimulates degP expression; CP4-6; putative prophage remnant	yfjS and yafY are homologs. The first 17 aa of YafY are a type II signal peptide (Matsuyama, unpublished, cited in Miyadai, 2004). Although overproduction of YafY induces degP expression, YjfS does not; chimeric protein experiments demonstrate that the N- and C- termini of YafY have the degP stimulatory determinants (Miyadai, 2004). Originally, the annotation of yafY was fused to the upstream pseudogene ykfK. It is possible that a YkfK-YafW chimeric pseudogene product is made in vivo, but no function would be expected since cleavage of the type II signal is likely to be blocked in any chimeric protein synthesized. Expression of the native YafY lipoprotein gene in the chromosome has not yet been reported. E. coli B has a third protein in this family (UniProtKB: A2UFU7), 55% identical to YafY and YfjS, that demonstrates conservation of the shorter ORFs and their lipoprotein signals in this novel prophage gene family.	16814.99
EG13338	yafZ	ECK0254	P77206	b0252	Null	g87081705	JW0242	856	EB3122	aa	ALT_INIT[-5]	273	Counterclockwise	266408	267229	5.74	Null	Systematic nomenclature	Function unknown, CP4-6 putative prophage remnant	Null	31051.32
EG13339	ykfA	ECK0255	P75678	b0253	Null	g87081706	JW0243	858	EB3123	aa	ALT_INIT[-1]	287	Counterclockwise	267321	268184	5.76	Null	Systematic nomenclature	Putative GTP-binding protein, function unknown, CP4-6; putative prophage remnant	Paralogous to yeeP and yfjP.	31891.75
EG13340	perR	ECK0256	Q57083	b0254	Null	g1786448	JW0244	862	EB3124	aa	OK	297	Counterclockwise	268513	269406	5.79	Null	Peroxide	Regulatory gene for peroxide resistance in stationary phase; CP4-6 putative defective prophage	Function identified in Genbank U57080: Loewen P.C., Switala J., Volkert M.R., Peroxide sensitivity genes of E. coli, unpublished 1996.  LysR family.	33638.80
EG13342	mmuP	ECK0262	Q47689	b0260	CG60865	g87081708	JW5027	893	EB3126	aa	ALT_INIT[-8]	467	Clockwise	274549	275952	5.92	ykfD	S-methylmethionine utilization	S-methylmethionine permease, CP4-6 putative prophage remnan	Met regulon.	50525.81
