Entry Name	Total #Tryptic Peptides	# Detectable Tryptic Peptides	Detectable(%)	mean gravy	mean m/z
C6EBY1_ECOBD	12	7		678.227087708333	-0.320492164477127
C6EIB4_ECOBD	21	13		766.452430041667	-0.272382151282604
C6ECX4_ECOBD	21	12		618.352910416667	-0.0993202861952862
C6ECG0_ECOBD	9	5		1007.39895555556	-0.18161501896796
C6ECX6_ECOBD	4	2		1002.765555	0.600717703349282
C6EGS4_ECOBD	20	10		783.307897777778	-0.184973500184026
C6EHM4_ECOBD	19	10		1027.07050958333	-0.0544345238095238
C6EEW5_ECOBD	13	8		714.954685333333	-0.158347953216374
C6EGQ7_ECOBD	24	16		657.0099465625	-0.830135798637637
C6ECS8_ECOBD	10	3		812.919341666667	0.121031746031746
C6EK52_ECOBD	22	9		766.234434333333	-0.278392255892256
C6ELA7_ECOBD	17	13		873.8540559375	-0.337082756875596
C6EDK6_ECOBD	10	7		755.660385555556	-0.196039238539238
C6EJ53_ECOBD	23	7		1023.715335	-0.36864659060105
C6EJT0_ECOBD	17	10		974.417866527778	-0.231364188220882
C6EIE7_ECOBD	22	11		891.890135277778	-0.168308300395257
C6EA79_ECOBD	25	9		993.1346545	-0.217917891781355
C6EKN4_ECOBD	17	13		789.170532604167	-0.404683881649826
C6EJC5_ECOBD	11	4		638.81203875	-0.53241341991342
C6EA92_ECOBD	20	11		892.031793044445	-0.235274032187908
C6EH62_ECOBD	20	12		819.921424583333	-0.235963053265208
C6ECL9_ECOBD	10	5		943.849671145833	-0.00967061923583657
C6EJJ6_ECOBD	16	8		794.002372954545	-0.36946158008658
C6EA88_ECOBD	12	6		846.665196041667	0.0837794486215539
C6EK60_ECOBD	17	7		933.057695476191	-0.527839620696764
C6EEH9_ECOBD	12	8		887.596875416667	-0.176486742424242
C6EDK4_ECOBD	9	6		1017.32363916667	0.181766862170088
C6EJX6_ECOBD	7	4		1184.888354	0.00944700460829495
C6EA22_ECOBD	23	9		819.538552575758	-0.493355094726062
C6ELK9_ECOBD	23	7		872.733035333333	0.364847096400805
C6EL32_ECOBD	16	7		1051.677530625	0.0530917143689839
C6ELH2_ECOBD	13	8		728.01863037037	0.0481444615326194
C6EL10_ECOBD	13	5		885.806206111111	0.706285714285714
C6EJI8_ECOBD	11	6		1074.61945572917	-0.211181732580038
C6EIB6_ECOBD	17	8		811.064951515152	-0.166535714285714
C6EI73_ECOBD	21	11		884.841271369048	0.0288770294033452
C6EHF0_ECOBD	16	7		855.055671666667	-0.271508463493253
C6EGY8_ECOBD	9	6		856.658111666667	-0.187165244885833
C6EGY7_ECOBD	13	9		897.217563136364	-0.17980881691408
C6EET2_ECOBD	21	12		792.8252353125	-0.221878404139433
C6EC25_ECOBD	17	10		865.409016666667	-0.0563531533825652
C6EAM3_ECOBD	12	6		706.746452916667	0.0547973322973323
C6EKS2_ECOBD	18	7		809.77908625	-0.440739750445633
C6EKJ7_ECOBD	13	10		957.774034236111	0.00547500929022662
C6EKF2_ECOBD	21	12		828.782652236842	-0.643858629293412
C6EJZ0_ECOBD	10	5		889.624701944444	-0.741848484848485
C6EJZ5_ECOBD	24	14		747.967863666667	-0.571134381491524
C6EJ57_ECOBD	7	2		1098.6299125	-0.176666666666667
C6EJ35_ECOBD	5	3		1124.4989255	-0.0962733204668687
C6EIP3_ECOBD	26	14		675.673368802083	-0.0151312179883608
C6EIH3_ECOBD	17	11		830.890507166667	-0.299806358516036
C6EID9_ECOBD	11	7		887.995621666667	-0.37312591703348
C6EEC9_ECOBD	19	7		1031.22272854167	0.275216996625665
C6EG06_ECOBD	7	3		801.169376666667	-0.108725490196078
C6EE17_ECOBD	21	10		968.245348375	-0.501290648077413
C6ECY1_ECOBD	7	3		979.788097916667	-0.306199067648838
C6EEW2_ECOBD	8	4		643.216495	0.226319444444444
C6EC38_ECOBD	5	3		1052.80524888889	-0.0113756613756615
C6EH78_ECOBD	20	12		680.215168974359	-0.239752648145505
C6EH75_ECOBD	19	9		822.929656666667	0.214552667070727
C6EDT4_ECOBD	23	12		592.841289583333	-0.346174242424242
C6EJF8_ECOBD	7	4		918.400207261905	0.361631513647643
C6EKD4_ECOBD	7	4		941.574554523809	0.268990384615385
C6EKD5_ECOBD	21	8		634.985180925926	-0.443690476190476
C6EAF8_ECOBD	22	8		851.958798333333	-0.532331574675325
C6EK70_ECOBD	14	6		891.249591969697	-0.132247468218056
C6ELB0_ECOBD	12	5		1157.23078083333	0.0291374849059859
C6EC65_ECOBD	18	7		929.361435909091	-0.105804709010689
C6EKB2_ECOBD	21	10		783.816566923077	-0.467052596526281
C6EGZ0_ECOBD	18	8		848.77683375	-0.433723069693465
C6EIX7_ECOBD	20	10		730.6029375	-0.348323875307699
C6EAZ9_ECOBD	19	10		894.111601217949	-0.57513786359839
C6EC47_ECOBD	18	10		992.216828717948	-0.329806528742289
C6EI25_ECOBD	17	11		957.414913333333	-0.205154629342918
C6EI53_ECOBD	18	9		954.507396666667	-0.173151250982133
C6EIW8_ECOBD	13	7		824.572258809524	-0.624854156574911
C6EF90_ECOBD	17	12		896.530623333333	-0.374783005149385
C6EHV8_ECOBD	18	11		828.19088	-0.585725781395638
C6EG25_ECOBD	18	12		773.311517	0.203427144682659
C6EAA8_ECOBD	24	14		694.683862604167	-0.0337711809665592
C6E9V0_ECOBD	10	5		1182.82386777778	-0.026500814000814
C6EGL5_ECOBD	19	13		829.542052541667	-0.177753117643316
C6EER2_ECOBD	17	5		986.683165	-0.603887085137085
C6ECC5_ECOBD	27	14		707.679571372549	-0.320399265766913
C6ELH3_ECOBD	15	8		1054.01985965152	-0.600499338624339
C6EA08_ECOBD	16	9		689.243664833333	-0.0955570754590362
C6EHK5_ECOBD	19	10		811.759364358974	-0.501051187409082
C6E9U8_ECOBD	21	9		760.750892055555	0.106992215603327
C6EKR9_ECOBD	29	11		662.343107611111	0.10975530708151
C6ECV9_ECOBD	22	9		872.193265972222	0.202587759656791
C6EJ52_ECOBD	23	13		733.0335346875	-0.171811564503872
C6ECX3_ECOBD	19	13		862.961251078431	-0.155605673553286
C6ED69_ECOBD	20	11		926.671575059524	-0.402942083169356
C6ELE3_ECOBD	20	12		804.640606666667	0.0441103411981895
C6EIB8_ECOBD	22	12		840.401996282051	-0.294990455146705
C6EIC1_ECOBD	22	12		810.265415208333	-0.155784189007873
