C6EI25_ECOBD	OMPA_ECOLI	P0A910
C6EI53_ECOBD	OMPF_ECOLI	P02931
C6ECS8_ECOBD	LPP_ECOLI	P69776
C6EFF7_ECOBD	PHSM_ECOLI	P00490
C6EG30_ECOBD	RHO_ECOLI	P0AG30
C6EDY6_ECOBD	LAMB_ECOLI	P02943
C6EHV8_ECOBD	TOLC_ECOLI	P02930
C6ECE6_ECOBD	RL9_ECOLI	P0A7R1
C6EE32_ECOBD	RPOB_ECOLI	P0A8V2
C6EGQ9_ECOBD	KPRS_ECOLI	P0A717
C6EAZ9_ECOBD	LPTD_ECOLI	P31554
C6EE34_ECOBD	RL10_ECOLI	P0A7J3
C6EGE9_ECOBD	RL2_ECOLI	P60422
C6EGG1_ECOBD	RL6_ECOLI	P0AG55
C6EE31_ECOBD	RPOC_ECOLI	P0A8T7
C6EGG3_ECOBD	RS5_ECOLI	P0A7W1
C6EE36_ECOBD	RL11_ECOLI	P0A7J7
C6EGF2_ECOBD	RS3_ECOLI	P0A7V3
C6EGF3_ECOBD	RL16_ECOLI	P0ADY7
C6EAA8_ECOBD	YAET_ECOLI	P0A940
C6EIW8_ECOBD	OMPX_ECOLI	P0A917
C6EIX7_ECOBD	FIU_ECOLI	P75780
C6EGG8_ECOBD	RS13_ECOLI	P0A7S9
C6EGH0_ECOBD	RS4_ECOLI	P0A7V8
C6EGG5_ECOBD	RL15_ECOLI	P02413
C6EE35_ECOBD	RL1_ECOLI	P0A7L0
C6EH63_ECOBD	DEAD_ECOLI	P0A9P6
C6EGC3_ECOBD	RS7_ECOLI	P02359
C6EL02_ECOBD	ACRB_ECOLI	P31224
C6EGE5_ECOBD	RS10_ECOLI	P0A7R5
C6EGH1_ECOBD	RPOA_ECOLI	P0A7Z4
C6EE33_ECOBD	RL7_ECOLI	P0A7K2
C6EDK4_ECOBD	SLYB_ECOLI	P0A905
C6EAB6_ECOBD	RS2_ECOLI	P0A7V0
C6EGF1_ECOBD	RL22_ECOLI	P61175
C6EGG9_ECOBD	RS11_ECOLI	P0A7R9
C6EB30_ECOBD	RS20_ECOLI	P0A7U7
C6EI71_ECOBD	RS1_ECOLI	P0AG67
C6EGE7_ECOBD	RL4_ECOLI	P60723
C6EFF8_ECOBD	MALQ_ECOLI	P15977
C6EL01_ECOBD	ACRA_ECOLI	P0AE06
C6EH41_ECOBD	RL21_ECOLI	P0AG48
C6EGG0_ECOBD	RS8_ECOLI	P0A7W7
C6EJJ6_ECOBD	PAL_ECOLI	P0A912
C6EGA6_ECOBD	CRP_ECOLI	P0ACJ8
C6EC91_ECOBD	AMPA_ECOLI	P68767
