Accession (UNIPROT)	K12 Accession	BL21(DE3) Accession	GOs	Description (Uniprot)	NG001	1DG010_flot	1DG011_flot (L1) wt	1DG011_IMVs (L3) wt
P0A7V0	RS2_ECOLI	C6EAB6	A	30S ribosomal protein S2	+ 	+ 	+ 	+ 
P0A7L3	RL20_ECOLI	C6ECP1	A	50S ribosomal protein L20	+ 	+ 	+ 	+ 
P0A8T7	RPOC_ECOLI	C6EE31	A	DNA-directed RNA polymerase (EC 2.7.7.6)	+ 	+ 	+ 	+ 
P0A7J3	RL10_ECOLI	C6EE34	A	50S ribosomal protein L10	+ 	+ 	+ 	+ 
P0A7L0	RL1_ECOLI	C6EE35	A	50S ribosomal protein L1	+ 	+ 	+ 	+ 
P0A7J7	RL11_ECOLI	C6EE36	A	50S ribosomal protein L11	+ 	+ 	+ 	+ 
P0A8J8	RHLB_ECOLI	C6EG33	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	+ 	+ 	+ 	+ 
P02359	RS7_ECOLI	C6EGC3	A	30S ribosomal protein S7	+ 	+ 	+ 	+ 
P60422	RL2_ECOLI	C6EGE9	A	50S ribosomal protein L2	+ 	+ 	+ 	+ 
P61175	RL22_ECOLI	C6EGF1	A	50S ribosomal protein L22	+ 	+ 	+ 	+ 
P0A7V3	RS3_ECOLI	C6EGF2	A	30S ribosomal protein S3	+ 	+ 	+ 	+ 
P0ADY3	RL14_ECOLI	C6EGF6	A	50S ribosomal protein L14	+ 	+ 	+ 	+ 
P62399	RL5_ECOLI	C6EGF8	A	50S ribosomal protein L5	+ 	+ 	+ 	+ 
P0AG59	RS14_ECOLI	C6EGF9	A	30S ribosomal protein S14 (Ribosomal protein S14)	+ 	+ 	+ 	+ 
P0C018	RL18_ECOLI	C6EGG2	A	50S ribosomal protein L18	+ 	+ 	+ 	+ 
P0A7W1	RS5_ECOLI	C6EGG3	A	30S ribosomal protein S5	+ 	+ 	+ 	+ 
P02413	RL15_ECOLI	C6EGG5	A	50S ribosomal protein L15	+ 	+ 	+ 	+ 
P0A7S9	RS13_ECOLI	C6EGG8	A	30S ribosomal protein S13	+ 	+ 	+ 	+ 
P0A7R9	RS11_ECOLI	C6EGG9	A	30S ribosomal protein S11	+ 	+ 	+ 	+ 
P0A7V8	RS4_ECOLI	C6EGH0	A	30S ribosomal protein S4	+ 	+ 	+ 	+ 
P0AG44	RL17_ECOLI	C6EGH2	A	50S ribosomal protein L17	+ 	+ 	+ 	+ 
P0AA10	RL13_ECOLI	C6EH01	A	50S ribosomal protein L13	+ 	+ 	+ 	+ 
P0A7X3	RS9_ECOLI	C6EH02	A	30S ribosomal protein S9	+ 	+ 	+ 	+ 
P03023	LACI_ECOLI	C6EJI7	A	"Transcriptional regulator, LacI family"	+ 	+ 	+ 	+ 
P0AFP4	YBBO_ECOLI	C6EKX1	A	Short-chain dehydrogenase/reductase SDR	+ 	+ 	+ 	+ 
P22333	ADD_ECOLI	C6EDM4	A	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	+ 	+ 	 	 
P0ADE6	YGAU_ECOLI	C6EJW0	A	Peptidoglycan-binding LysM (Putative uncharacterized protein ygaU)	+ 	+ 	 	 
P0A7T7	RS18_ECOLI	C6ECE7	A	30S ribosomal protein S18	+ 	 	+ 	+ 
P0AG63	RS17_ECOLI	C6EGF5	A	30S ribosomal protein S17	+ 	 	 	+ 
P0A9Q5	ACCD_ECOLI	C6ELD7	A	"Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)"	 	+ 	+ 	+ 
P77399	FADJ_ECOLI	C6ELB3	A	Fatty acid oxidation complex subunit alpha	 	+ 	+ 	+ 
P76503	FADI_ECOLI	C6ELB2	A	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	 	+ 	+ 	+ 
P0A850	TIG_ECOLI	C6EL29	A	Trigger factor (TF)	 	+ 	+ 	+ 
P23871	HEMH_ECOLI	C6EKY9	A	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	 	+ 	+ 	+ 
P62620	ISPG_ECOLI	C6EKJ4	A	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	 	+ 	+ 	+ 
P21507	SRMB_ECOLI	C6EK10	A	ATP-dependent RNA helicase (EC 2.7.7.-) (DEAD/DEAH box helicase domain protein)	 	+ 	+ 	+ 
P0AGJ5	YFIF_ECOLI	C6EK05	A	Predicted methyltransferase (EC 2.1.1.-) (tRNA/rRNA methyltransferase (SpoU))	 	+ 	+ 	+ 
P0A7K6	RL19_ECOLI	C6EJY6	A	50S ribosomal protein L19	 	+ 	+ 	+ 
P00957	SYA_ECOLI	C6EJT4	A	Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase)	 	+ 	+ 	+ 
P0AFG6	ODO2_ECOLI	C6EJL1	A	"2-oxoglutarate dehydrogenase, E2 subunit, dihydrolipoamide succinyltransferase (Dihydrolipoamide acetyltransferase) (EC 2.3.1.61)"	 	+ 	+ 	+ 
P0A6P9	ENO_ECOLI	C6EJ93	A	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	 	+ 	+ 	+ 
P0AG20	RELA_ECOLI	C6EJ88	A	"(P)ppGpp synthetase I, SpoT/RelA (EC 2.7.6.5) ((P)ppGpp synthetase I/GTP pyrophosphokinase) (EC 2.7.6.5)"	 	+ 	+ 	+ 
P09373	PFLB_ECOLI	C6EI79	A	Formate acetyltransferase (EC 2.3.1.54) (Pyruvate formate lyase I) (EC 2.3.1.54)	 	+ 	+ 	+ 
P0AG67	RS1_ECOLI	C6EI71	A	30S ribosomal protein S1 (Ribosomal protein S1)	 	+ 	+ 	+ 
P22523	MUKB_ECOLI	C6EI58	A	Chromosome partition protein mukB (Structural maintenance of chromosome-related protein)	 	+ 	+ 	+ 
P0ADT2	YGIB_ECOLI	C6EHV7	A	UPF0441 protein ygiB	 	+ 	+ 	+ 
P00579	RPOD_ECOLI	C6EHS8	A	RNA polymerase sigma factor	 	+ 	+ 	+ 
