Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location	General annotation (CATALYTIC_ACTIVITY)
P0CE57	insH10		INH10_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5R	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Transposase
P0CE58	insH11		INH11_ECOLI		Inferred from homology	Transposase 11 family	Transposase insH for insertion sequence element IS5T	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	338		Transposase
P0CF25	insB1		INSB1_ECOLI		Inferred from homology	Transposase 27 family	Insertion element IS1 1 protein insB (IS1a)	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; Transposable element; Transposition"	167		Transposase
P0CF26	insB2		INSB2_ECOLI		Inferred from homology	Transposase 27 family	Insertion element IS1 2 protein insB (IS1b)	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; Transposable element; Transposition"	167		Transposase
P0CF27	insB3		INSB3_ECOLI		Inferred from homology	Transposase 27 family	Insertion element IS1 3 protein insB (IS1c)	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; Transposable element; Transposition"	167		Transposase
P57998	insB4		INSB4_ECOLI		Inferred from homology	Transposase 27 family	Insertion element IS1 4 protein insB (IS1d)	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; Transposable element; Transposition"	167		Transposase
P0CF28	insB5		INSB5_ECOLI		Inferred from homology	Transposase 27 family	Insertion element IS1 5 protein insB (IS1h)	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; Transposable element; Transposition"	167		Transposase
P0CF29	insB6		INSB6_ECOLI		Inferred from homology	Transposase 27 family	Insertion element IS1 6 protein insB (IS1e)	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; Transposable element; Transposition"	167		Transposase
P0CF40	insC1		INSC1_ECOLI		Inferred from homology	Transposase 8 family	Transposase insC for insertion element IS2A	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	121		Transposase
P0CF41	insC2		INSC2_ECOLI		Inferred from homology	Transposase 8 family	Transposase insC for insertion element IS2D	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	121		Transposase
P0CF42	insC3		INSC3_ECOLI		Inferred from homology	Transposase 8 family	Transposase insC for insertion element IS2F	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	121		Transposase
P0CF43	insC4		INSC4_ECOLI		Inferred from homology	Transposase 8 family	Transposase insC for insertion element IS2H	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	121		Transposase
P0CF44	insC5		INSC5_ECOLI		Inferred from homology	Transposase 8 family	Transposase insC for insertion element IS2I	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	121		Transposase
P0CF45	insC6		INSC6_ECOLI		Inferred from homology	Transposase 8 family	Transposase insC for insertion element IS2K	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Transposable element; Transposition"	121		Transposase
P0CF46	insC7	ybiA yuaJ	INSC7_ECOLI		Inferred from homology	Transposase 8 family	Transposase insC for insertion element IS2 on F plasmid	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition"	121	Plasmid F	Transposase
