Accession number	OLN	ECK	Gene	Protein name	emPAI Value	Copy number per cell	mRNA	ABS_CALL	Sequence coverage (%)	Number of unique peptides	Mascot protein score	Number of TMDs	GRAVY score	GO cellular component
P0ADZ0	JW3280	ECK3305	rplW	50S ribosomal subunit protein L23	38.81	1639.38	9.98	2	59	7	286	0	-0.373	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P30744	JW2768	ECK2792	sdaB	L-serine deaminase II	15.68	680.91	9.92	2	39.34	19	788	0	0.052	0
P0C018	JW3266	ECK3291	rplR	50S ribosomal subunit protein L18	30.62	1302.81	9.88	2	74	10	540	0	-0.395	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AG86	JW3584	ECK3599	secB	protein export chaperone	62	2585.84	9.85	2	64.52	6	286	0	-0.188	GO:0005737 cytoplasm
P0AFD1	JW2280	ECK2279	nuoE	NADH:ubiquinone oxidoreductase. chain E	12.89	563.11	9.83	2	42.77	6	270	0	-0.392	GO:0005737 cytoplasm
P02413	JW3263	ECK3288	rplO	50S ribosomal subunit protein L15	24.12	1033.75	9.82	2	63.19	11	613	0	0.000	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AFD6	JW2276	ECK2275	nuoI	NADH:ubiquinone oxidoreductase. chain I	6	276.96	9.81	2	77.78	11	508	0	-0.327	GO:0005737 cytoplasm
P0ABA0	JW3714	ECK3729	atpF	F0 sector of membrane-bound ATP synthase. subunit b	198.53	7978.89	9.77	2	75.64	18	1219	1	-0.213	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P31142	JW2505	ECK2517	sseA	3-mercaptopyruvate sulfurtransferase	4.41	199.06	9.73	2	54.45	10	451	0	-0.083	0
P36683	JW0114	ECK0117	acnB	bifunctional aconitate hydratase 2 -!- 2-methylisocitrate dehydratase	33.55	739.77	9.64	2	73.53	56	2995	0	-0.117	0
P0A7R1	JW4161	ECK4199	rplI	50S ribosomal subunit protein L9	17.74	767.47	9.55	2	87.92	14	846	0	0.091	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AC81	JW1643	ECK1647	gloA	glyoxalase I. Ni-dependent	0.67	32.03	9.54	2	10.37	2	80	0	-0.346	0
P0A6Z3	JW0462	ECK0467	htpG	molecular chaperone HSP90 family	20.13	867.51	9.48	2	72.92	42	2182	0	-0.524	0
P0A836	JW0717	ECK0716	sucC	succinyl-CoA synthetase. beta subunit	10.72	2324.65	9.48	2	67.27	24	1647	0	0.024	0
P0ADY3	JW3272	ECK3297	rplN	50S ribosomal subunit protein L14	50.79	2.128	9.48	2	69.92	9	526	0	-0.128	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P09169	JW0554	ECK0557	ompT	"DLP12 prophage; outer membrane protease VII (outer membrane protein 3b)"	2.16	99.64	9.44	2	31	9	397	0	-0.645	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0A7V3	JW3276	ECK3301	rpsC	30S ribosomal subunit protein S3	30.62	1302.81	9.43	2	79.83	21	1129	0	-0.422	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AGA2	JW3262	ECK3287	secY	preprotein translocase membrane subunit	4.88	220	9.13	2	15.12	8	407	10	0.602	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A9B2	JW1768	ECK1777	gapA	glyceraldehyde-3-phosphate dehydrogenase A	109.07	20789.62	8.91	2	90.33	34	1959	0	-0.133	GO:0005737 cytoplasm
P25526	JW2636	ECK2655	gabD	succinate-semialdehyde dehydrogenase I. NADP-dependent	1.35	63.18	8.84	2	33	9	296	0	-0.071	0
P0A7A9	JW4185	ECK4222	ppa	inorganic pyrophosphatase	37.31	1577.92	8.83	2	69.89	15	728	0	-0.272	GO:0005737 cytoplasm
P29745	JW1113	ECK1113	pepT	peptidase T	0.58	27.85	8.81	2	14.22	5	198	0	-0.215	0
P37330	JW2943	ECK2970	glcB	malate synthase G	2.07	95.62	8.77	2	30.29	19	965	0	-0.327	0
P0A912	JW0731	ECK0730	pal	peptidoglycan-associated outer membrane lipoprotein	4.34	196	8.69	2	50.87	6	410	0	-0.454	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A998	JW1893	ECK1904	ftn	ferritin iron storage protein (cytoplasmic)	99	4064.14	8.55	2	57.58	11	592	0	-0.568	GO:0005737 cytoplasm
P0AFG6	JW0716	ECK0715	sucB	dihydrolipoyltranssuccinase	30.62	2411.74	8.52	2	56	24	1318	0	-0.217	0
P0A6Y1	JW0895	ECK0903	ihfB	integration host factor (IHF). DNA-binding protein. beta subunit	25.83	1104.73	8.45	2	73	7	304	0	-0.784	GO:0005737 cytoplasm
P0A6A3	JW2293	ECK2290	ackA	acetate kinase A and propionate kinase 2	14.51	5090.85	8.31	2	73.75	19	1134	0	-0.047	GO:0005737 cytoplasm
P36672	JW4199	ECK4235	treB	fused trehalose(maltose)-specific enzyme IIBC component of PTS	236.14	9440.35	8.31	2	24.95	11	559	10	0.648	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AG55	JW3267	ECK3292	rplF	50S ribosomal subunit protein L6	42.29	1781.71	8.24	2	87.01	15	847	0	-0.227	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7K6	JW2587	ECK2603	rplS	50S ribosomal subunit protein L19	99	4064.14	8.18	2	75.65	13	448	0	-0.527	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AFG3	JW0715	ECK0714	sucA	2-oxoglutarate decarboxylase. thiamin-requiring	14.44	628.64	8.01	2	66.13	47	2519	0	-0.441	0
P61889	JW3205	ECK3225	mdh	malate dehydrogenase. NAD(P)-binding	86.99	582.65	7.98	2	79.49	23	1705	0	0.194	0
P0A6T1	JW3985	ECK4017	pgi	glucosephosphate isomerase	12	506.43	7.97	2	66.67	28	1373	0	-0.268	GO:0005737 cytoplasm
P23522	JW3095	ECK3114	garL	alpha-dehydro-beta-deoxy-D-glucarate aldolase	0.47	22.71	7.87	2	9.38	2	148	0	0.071	0
P0ACF4	JW0430	ECK0434	hupB	HU. DNA-binding transcriptional regulator. beta subunit	12.89	563.11	7.83	2	60	6	364	0	-0.042	GO:0005737 cytoplasm
P33602	JW2278	ECK2277	nuoG	NADH:ubiquinone oxidoreductase. chain G	8.57	379.07	7.82	2	52.64	41	2424	0	-0.318	GO:0005737 cytoplasm
P0A7R9	JW3259	ECK3284	rpsK	30S ribosomal subunit protein S11	20.54	884.64	7.81	2	61.24	8	430	0	-0.446	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AAI9	JW1078	ECK1078	fabD	malonyl-CoA-[acyl-carrier-protein] transacylase	12.89	563.11	7.77	2	57.28	12	684	0	0.154	GO:0005737 cytoplasm
P0AEQ3	JW0796	ECK0800	glnH	glutamine transporter subunit -!- periplasmic binding component of ABC superfamily	4.82	216.98	7.77	2	63	12	648	0	-0.233	GO:0042597 periplasmic space
P62399	JW3270	ECK3295	rplE	50S ribosomal subunit protein L5	411.46	16.173	7.76	2	82.68	20	1162	0	-0.282	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P00957	JW2667	ECK2692	alaS	alanyl-tRNA synthetase	6.16	275.23	7.74	2	61.99	45	2641	0	-0.303	GO:0005737 cytoplasm
P39829	JW3097	ECK3116	garD	(D)-galactarate dehydrogenase	1.47	68.61	7.63	2	32.89	11	560	0	-0.014	0
P07014	JW0714	ECK0713	sdhB	succinate dehydrogenase. FeS subunit	18.95	9524.82	7.62	2	75.63	19	1087	0	-0.299	GO:0005737 cytoplasm
P0AG51	JW3264	ECK3289	rpmD	50S ribosomal subunit protein L30	157.49	6374.36	7.55	2	76.27	8	352	0	-0.137	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
