Entry Name	Total #Tryptic Peptides	# Detectable Tryptic Peptides	Detectable(%)	mean m/z	mean gravy	mean mass
Q6BF86	2	1		1487.8569125	1.053125	3570.85659
P37388	21	12		822.550303981481	0.243333894455218	1740.48002333333
P75616	12	6		627.064063703704	-1.41258741258741	1449.21550333333
P64485	6	3		1255.35568833333	1.67138888888889	2510.71137666667
P00363	16	10		897.551238265664	0.0405257416731874	2174.334482
P00393	20	13		765.80373344617	-0.0592532950687583	1651.46262384615
P00550	13	4		1177.52460059524	0.896773504273504	2820.7331725
P00561	20	14		715.767834958333	0.292941667250878	1530.78751357143
P00803	21	7		928.013767916666	0.242673469387755	1870.55137714286
P00804	11	7		1105.98927185185	0.813958365164247	2450.55283142857
P00805	19	11		818.567158555556	-0.093595377232157	1816.80411727273
P00811	18	12		919.028075	-0.173015052874967	1857.03012416667
P00904	15	11		954.121657017544	-0.028635795167097	2164.46487727273
P02916	18	8		739.6043625	-0.585214285714286	1479.208725
P02918	23	14		740.923202892157	0.163526790669648	1547.15288
P02924	26	14		677.210712291667	-0.140821866625438	1356.10225857143
P02925	22	12		811.196731333333	0.244366148827536	1685.87656333333
P02930	18	11		828.19088	-0.585725781395638	1656.38176
P02931	18	9		954.507396666667	-0.173151250982133	1909.01479333333
P02932	24	12		804.841401794872	-0.819890797859548	1674.18379666667
P02943	18	9		1084.10367402778	-0.29046083795709	2275.72573
P03959	10	3		1044.16161	0.540536398467433	2108.48554666667
P03961	12	5		1100.91444930556	0.0242410729367251	2813.666446
P04816	22	11		724.233303974359	-0.0713035493170774	1629.71159545455
P04825	24	13		789.906196342592	-0.329348030137504	1648.73893538462
P04968	21	13		759.85632254902	0.232426570828862	1649.30430615385
P04983	29	14		703.838525888889	0.075418051836119	1352.33200785714
P05050	17	12		825.438965131579	-0.0901607178697006	1772.37918583333
P05458	21	11		835.583292111111	-0.150757414995383	1889.31172454545
P05824	20	11		769.581115436905	-0.372075605680869	1807.71744727273
P06136	25	10		828.675871805556	-0.464547739297739	1746.371615
P06149	25	11		799.788247777778	-0.0859297565179919	1706.39597636364
P06282	20	15		770.291382561403	-0.200961329030447	1578.46956866667
P06611	20	8		838.361177416667	-0.195715262066365	1824.7935325
P06616	25	10		775.185423697917	0.0734370199116329	1856.843903
P06709	20	10		914.012339242424	0.160401394901395	1841.342189
P07000	25	14		709.094487261905	-0.0242929234630916	1528.32853642857
P07001	21	11		773.433810909091	0.0708811080546723	1546.86762181818
P07003	15	10		939.361778973684	0.067204365079365	2232.485125
P07014	23	16		676.969565964912	-0.336788452560511	1417.9919925
P07021	13	7		917.021581111111	-0.198479437229437	1924.5157
P07102	21	12		858.30343547619	0.149812751986385	1728.79677333333
P07109	26	10		803.211322388889	-0.0428499417249417	1882.664219
P07650	17	13		780.228763645833	0.20115748602101	1550.69863
P07654	15	9		801.170483703704	0.687967372134039	1794.6342
P08200	27	13		682.779146764706	-0.257306895383819	1459.95686384615
P08331	24	12		824.845450238095	0.0136077008207763	1642.23366
P08370	12	7		920.534920208333	0.1455880574452	1828.34215
P08371	18	8		790.738781875	0.126171626984127	1741.25707375
P08395	28	12		807.595982333333	0.117429075554076	1607.06135416667
P08400	20	12		745.347426041667	-0.221552754147231	1779.32965583333
P08401	20	10		900.348606559524	0.176491441066254	2043.86364
P08506	21	12		797.623893020833	0.0674033578077696	1711.35619583333
P08550	11	8		961.887959375	0.938527112255561	2094.857145
P08839	22	11		865.74160125	-0.0444087652159752	1702.40624909091
P09152	31	9		746.808333461538	-0.870696593854489	1669.22012777778
P09391	17	9		839.705325358975	0.128208168642951	2085.93748555556
P09394	28	11		703.9475625	-0.46277915173609	1587.02513545455
P09546	24	10		642.814667435897	-0.0805887445887446	1411.520292
P09549	23	9		814.481800416667	-0.200941639507283	1709.79007444444
P09836	18	10		859.459059404762	0.367882872846108	1750.295815
P0A6A0	31	11		674.029354047619	0.226511619693438	1463.05602818182
P0A6E9	18	9		682.581729545455	-0.0274881545469782	1762.71266222222
P0A6H8	23	9		982.926718888889	0.37494477987899	1998.14570666667
P0A6J1	20	9		780.097975977778	-0.0168553443553444	1943.53487333333
P0A6J3	15	6		766.306226111111	0.209604349139233	1809.590175
P0A6J5	23	12		793.801529	-0.516303158982662	1660.8989625
