Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	UNTREATED	TREATED		BAES_ECOLI	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding
GCSP_ECOLI	C6EIK5	A	Glycine dehydrogenase [decarboxylating] (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase)	957	Y			GCSP_ECOLI	glycine dehydrogenase (decarboxylating) activity|oxidoreductase activity
PARC_ECOLI	C6EHX4	F1	DNA topoisomerase IV subunit A (EC 5.99.1.-) (DNA topoisomerase IV, A subunit) (EC 5.99.1.3)	752	Y			PARC_ECOLI	isomerase activity|DNA topoisomerase activity|DNA binding
HFLX_ECOLI	C6ECH6	A	GTP-binding proten HflX (Predicted GTPase)	426	Y			HFLX_ECOLI	ribosome binding|rRNA binding|GTP binding|nucleotide binding|ATP binding
DLDH_ECOLI	C6EAU1	F1	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	474	Y	Y		DLDH_ECOLI	dihydrolipoyl dehydrogenase activity|disulfide oxidoreductase activity|oxidoreductase activity|flavin adenine dinucleotide binding|zinc ion binding
RS6_ECOLI	C6ECE9	A	30S ribosomal protein S6	131	Y		ribosome	RS6_ECOLI	structural constituent of ribosome|RNA binding|rRNA binding
UGPC_ECOLI	C6EFC4	F1	ABC transporter related	356	Y	Y		UGPC_ECOLI	hydrolase activity|glycerol-3-phosphate-transporting ATPase activity|nucleotide binding|ATP binding
METN_ECOLI	C6EA85	F1	D-methionine ABC transporter, ATPase subunit (DL-methionine transporter subunit)	343	Y	Y		METN_ECOLI	hydrolase activity|ATPase activity|nucleotide binding|ATP binding|D-methionine transmembrane transporter activity
RL23_ECOLI	C6EGE8	A	50S ribosomal protein L23	100	Y		ribosome	RL23_ECOLI	RNA binding|rRNA binding
HEMG_ECOLI	C6EF48	A	Protoporphyrin oxidase, flavoprotein (EC 1.3.3.4) (Protoporphyrinogen oxidase) (EC 1.3.3.4)	181	Y	Y		HEMG_ECOLI	oxygen-dependent protoporphyrinogen oxidase activity|oxidoreductase activity|FMN binding|menaquinone-dependent protoporphyrinogen oxidase activity
RLUF_ECOLI	C6EE02	A	Pseudouridine synthase (EC 5.4.99.-)	290	Y			RLUF_ECOLI	isomerase activity|pseudouridine synthase activity|RNA binding
PYRG_ECOLI	C6EJ92	A	CTP synthase (EC 6.3.4.2) (CTP synthetase) (UTP--ammonia ligase)	545	Y			PYRG_ECOLI	CTP synthase activity|nucleotide binding|ligase activity|ATP binding
DNAB_ECOLI	C6EDW8	A	Replicative DNA helicase	471	Y			DNAB_ECOLI	hydrolase activity|helicase activity|DNA binding|nucleotide binding|ATP binding
RPOC_ECOLI	C6EE31	A	DNA-directed RNA polymerase (EC 2.7.7.6)	1407	Y	Y		RPOC_ECOLI	DNA-directed RNA polymerase activity|transferase activity|nucleotidyltransferase activity
SUCD_ECOLI	C6EJK9	A	Succinyl-CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5)	289	Y			SUCD_ECOLI	succinate-CoA ligase (ADP-forming) activity|nucleotide binding|ligase activity|ATP binding
RL4_ECOLI	C6EGE7	A	50S ribosomal protein L4	201	Y		regulation of translation	RL4_ECOLI	RNA binding|rRNA binding|translation repressor activity
RS14_ECOLI	C6EGF9	A	30S ribosomal protein S14 (Ribosomal protein S14)	101	Y	Y	ribosome	RS14_ECOLI	structural constituent of ribosome
LPTB_ECOLI	C6EH26	F1	ABC transporter related (Predicted transporter subunit: ATP-binding component of ABC superfamily)	241	Y			LPTB_ECOLI	hydrolase activity|lipopolysaccharide-transporting ATPase activity|nucleotide binding|ATP binding
GLPD_ECOLI	C6EFE8	F1	FAD dependent oxidoreductase	501	Y	Y		GLPD_ECOLI	oxidoreductase activity|glycerol-3-phosphate dehydrogenase activity|sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity|sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity
KPRS_ECOLI	C6EGQ9	A	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	337	Y			KPRS_ECOLI	transferase activity|kinase activity|ribose phosphate diphosphokinase activity|nucleotide binding|metal ion binding|ATP binding
KPYK2_ECOLI	C6EBX3	A	Pyruvate kinase (EC 2.7.1.40)	480	Y			KPYK2_ECOLI	pyruvate kinase activity|transferase activity|kinase activity|nucleotide binding|catalytic activity|metal ion binding|ATP binding
PFLB_ECOLI	C6EK07	A	Autonomous glycyl radical cofactor	127	Y			PFLB_ECOLI	formate C-acetyltransferase activity|transferase activity|acyltransferase activity
LRP_ECOLI	C6EI93	A	DNA-binding transcriptional dual regulator, leucine-binding (Transcriptional regulator, AsnC family)	164	Y			LRP_ECOLI	sequence-specific DNA binding|DNA binding
NUSA_ECOLI	C6EH56	A	NusA antitermination factor (Transcription elongation factor NusA)	495	Y			NUSA_ECOLI	RNA binding
RL2_ECOLI	C6EGE9	A	50S ribosomal protein L2	273	Y	Y	ribosome	RL2_ECOLI	RNA binding|rRNA binding|zinc ion binding
RS5_ECOLI	C6EGG3	A	30S ribosomal protein S5	167	Y	Y	ribosome	RS5_ECOLI	RNA binding|rRNA binding
EFTU2_ECOLI	C6EE39	F1	Elongation factor Tu	394	Y	Y	translational elongation	EFTU2_ECOLI	GTP binding|translation elongation factor activity|nucleotide binding
DEOB_ECOLI	C6EBI8	A	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	407	Y			DEOB_ECOLI	isomerase activity|phosphopentomutase activity|metal ion binding
DEF_ECOLI	C6EGI0	A	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	169	Y		translation	DEF_ECOLI	hydrolase activity|peptide deformylase activity|ferrous iron binding|zinc ion binding|metal ion binding
RL14_ECOLI	C6EGF6	A	50S ribosomal protein L14	123	Y	Y	ribosome	RL14_ECOLI	RNA binding|rRNA binding
RS19_ECOLI	C6EGF0	A	30S ribosomal protein S19	92	Y		ribosome	RS19_ECOLI	RNA binding|rRNA binding|tRNA binding
PLSC_ECOLI	C6EHX6	F1	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	245	Y	Y		PLSC_ECOLI	transferase activity, transferring acyl groups other than amino-acyl groups|transferase activity|1-acylglycerol-3-phosphate O-acyltransferase activity|acyltransferase activity
ATPB_ECOLI	C6EG71	F1	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	460	Y	Y		ATPB_ECOLI	hydrolase activity|nucleotide binding|ATP binding
G3P1_ECOLI	C6EC50	A	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12) (Glyceraldehyde-3-phosphate dehydrogenase, type I) (EC 1.2.1.12)	331	Y			G3P1_ECOLI	oxidoreductase activity|glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
YEFI_ECOLI	C6EB51	F1	Glycosyl transferase group 1 (Putative glycosyltransferase WbbC)	370	Y	Y		YEFI_ECOLI	transferase activity
NDK_ECOLI	C6EKJ1	A	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	143	Y			NDK_ECOLI	nucleoside diphosphate kinase activity|transferase activity|kinase activity|identical protein binding|nucleotide binding|metal ion binding|ATP binding
ILVD_ECOLI	C6EG40	A	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	616	Y			ILVD_ECOLI	4 iron, 4 sulfur cluster binding|lyase activity|iron-sulfur cluster binding|dihydroxy-acid dehydratase activity|metal ion binding
RL18_ECOLI	C6EGG2	A	50S ribosomal protein L18	117	Y	Y	ribosome	RL18_ECOLI	RNA binding|rRNA binding
RNE_ECOLI	C6EHC9	F1	Fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein (EC 3.1.4.-) (Ribonuclease, Rne/Rng family)	1061	Y	Y		RNE_ECOLI	hydrolase activity|RNA binding|nuclease activity|endonuclease activity
RSMC_ECOLI	C6EBK1	A	16S ribosomal RNA m2G1207 methyltransferase (EC 2.1.1.52) (rRNA (Guanine-N(2)-)-methyltransferase) (EC 2.1.1.52)	343	Y			RSMC_ECOLI	methyltransferase activity|transferase activity|rRNA (guanine-N2-)-methyltransferase activity
TIG_ECOLI	C6EL29	A	Trigger factor (TF)	432	Y		'de novo' cotranslational protein folding	TIG_ECOLI	isomerase activity|protein binding involved in protein folding|peptidyl-prolyl cis-trans isomerase activity|ribosome binding
RS1_ECOLI	C6EI71	A	30S ribosomal protein S1 (Ribosomal protein S1)	557	Y		ribosome	RS1_ECOLI	RNA binding
TREC_ECOLI	C6ECA9	A	Alpha,alpha-phosphotrehalase (Trehalose-6-P hydrolase) (EC 3.2.1.93)	551	Y			TREC_ECOLI	hydrolase activity|hydrolase activity, acting on glycosyl bonds|alpha,alpha-phosphotrehalase activity
RPOZ_ECOLI	C6EDE1	A	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	91	Y			RPOZ_ECOLI	DNA-directed RNA polymerase activity|transferase activity|nucleotidyltransferase activity
DEOD_ECOLI	C6EBI7	A	Purine nucleoside phosphorylase deoD-type (PNP) (EC 2.4.2.1)	239	Y			DEOD_ECOLI	transferase activity, transferring glycosyl groups|transferase activity|purine-nucleoside phosphorylase activity
RL20_ECOLI	C6ECP1	A	50S ribosomal protein L20	118	Y	Y	ribosome	RL20_ECOLI	structural constituent of ribosome|RNA binding|rRNA binding|translation repressor activity, nucleic acid binding
RHLE_ECOLI	C6EIY5	A	DEAD/DEAH box helicase domain protein (RNA helicase)	454	Y			RHLE_ECOLI	hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP-dependent RNA helicase activity|ATP binding
SECA_ECOLI	C6EAV7	F1	Protein translocase subunit secA	901	Y	Y		SECA_ECOLI	nucleotide binding|metal ion binding|ATP binding
DEAD_ECOLI	C6EH63	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	629	Y			DEAD_ECOLI	hydrolase activity|RNA helicase activity|RNA binding|helicase activity|nucleotide binding|ATP-dependent RNA helicase activity|ATP binding
PUTA_ECOLI	C6EHJ3	F1	Delta-1-pyrroline-5-carboxylate dehydrogenase (Fused DNA-binding transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase) (EC 1.5.1.12) (EC 1.5.99.8)	1320	Y	Y		PUTA_ECOLI	oxidoreductase activity|proline dehydrogenase activity|DNA binding|sequence-specific DNA binding transcription factor activity|flavin adenine dinucleotide binding|catalytic activity|1-pyrroline-5-carboxylate dehydrogenase activity
LEPA_ECOLI	C6EK18	F1	GTP-binding protein lepA	599	Y		translation	LEPA_ECOLI	hydrolase activity|GTP binding|translation elongation factor activity|GTPase activity|nucleotide binding
OPDA_ECOLI	C6EEI7	A	Oligopeptidase A (EC 3.4.24.70)	680	Y			OPDA_ECOLI	metallopeptidase activity|hydrolase activity|peptidase activity|metal ion binding
RFAF_ECOLI	C6EDH0	A	ADP-heptose:LPS heptosyltransferase II (EC 2.-.-.-) (Lipopolysaccharide heptosyltransferase II)	348	Y			RFAF_ECOLI	transferase activity, transferring glycosyl groups|transferase activity
ODP1_ECOLI	C6EAU3	F1	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	887	Y			ODP1_ECOLI	dihydrolipoyllysine-residue acetyltransferase activity|lipoic acid binding|oxidoreductase activity|pyruvate dehydrogenase (acetyl-transferring) activity|metal ion binding
FADI_ECOLI	C6ELB2	A	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	436	Y	Y		FADI_ECOLI	transferase activity|acetyl-CoA C-acyltransferase activity|acyltransferase activity
ATPA_ECOLI	C6EG69	F1	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	513	Y	Y		ATPA_ECOLI	hydrolase activity|nucleotide binding|ATP binding
DHSA_ECOLI	C6EJL4	F1	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1) (Succinate dehydrogenase or fumarate reductase, flavoprotein subunit)	588	Y	Y		DHSA_ECOLI	electron carrier activity|oxidoreductase activity|flavin adenine dinucleotide binding|succinate dehydrogenase activity
LONH_ECOLI	C6EI27	A	Predicted peptidase (Putative ATP-dependent protease)	586	Y			LONH_ECOLI	hydrolase activity|serine-type peptidase activity|peptidase activity
RL13_ECOLI	C6EH01	A	50S ribosomal protein L13	142	Y		ribosome	RL13_ECOLI	zinc ion binding
ATPD_ECOLI	C6EG68	F1	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta)	177	Y	Y		ATPD_ECOLI	ATP phosphoribosyltransferase activity
FTSE_ECOLI	C6EFB1	F1	Type II (General) Secretory Pathway (IISP) Family protein	222	Y	Y		FTSE_ECOLI	nucleotide binding|ATP binding
CISY_ECOLI	C6EJL8	A	Citrate synthase (EC 2.3.3.1)	427	Y			CISY_ECOLI	transferase activity|citrate (Si)-synthase activity|catalytic activity
RIR1_ECOLI	C6E9W7	A	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	761	Y			RIR1_ECOLI	oxidoreductase activity|ribonucleoside-diphosphate reductase activity|nucleotide binding|catalytic activity|ATP binding
FADJ_ECOLI	C6ELB3	A	Fatty acid oxidation complex subunit alpha	714	Y	Y		FADJ_ECOLI	isomerase activity|oxidoreductase activity|lyase activity|enoyl-CoA hydratase activity|3-hydroxybutyryl-CoA epimerase activity|catalytic activity|3-hydroxyacyl-CoA dehydrogenase activity
RL9_ECOLI	C6ECE6	A	50S ribosomal protein L9	149	Y		ribosome	RL9_ECOLI	RNA binding|rRNA binding
RL11_ECOLI	C6EE36	A	50S ribosomal protein L11	142	Y	Y	ribosome	RL11_ECOLI	RNA binding|rRNA binding
RS2_ECOLI	C6EAB6	A	30S ribosomal protein S2	241	Y	Y	ribosome	RS2_ECOLI	structural constituent of ribosome|zinc ion binding
CH10_ECOLI	C6ECY3	A	10 kDa chaperonin (Protein Cpn10) (groES protein)	97	Y			CH10_ECOLI	unfolded protein binding
PCNB_ECOLI	C6EAE1	A	Poly(A) polymerase (EC 2.7.7.19)	472	Y		mRNA processing	PCNB_ECOLI	polynucleotide adenylyltransferase activity|RNA binding|transferase activity|nucleotide binding|ATP binding
ASSY_ECOLI	C6EH54	A	Argininosuccinate synthase (EC 6.3.4.5)	447	Y			ASSY_ECOLI	argininosuccinate synthase activity|nucleotide binding|ligase activity|ATP binding
PNP_ECOLI	C6EH61	F1	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	711	Y			PNP_ECOLI	polyribonucleotide nucleotidyltransferase activity|RNA binding|transferase activity|nucleotidyltransferase activity
ODO2_ECOLI	C6EJL1	A	2-oxoglutarate dehydrogenase, E2 subunit, dihydrolipoamide succinyltransferase (Dihydrolipoamide acetyltransferase) (EC 2.3.1.61)	405	Y			ODO2_ECOLI	lipoic acid binding|dihydrolipoyllysine-residue succinyltransferase activity|binding|transferase activity|acyltransferase activity
STHA_ECOLI	C6EE47	A	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	466	Y			STHA_ECOLI	NAD(P)+ transhydrogenase (B-specific) activity|oxidoreductase activity
CYSA_ECOLI	C6EL55	F1	Sulfate ABC transporter, ATPase subunit (Sulfate/thiosulfate transporter subunit)	365	Y	Y		CYSA_ECOLI	hydrolase activity|sulfate transmembrane-transporting ATPase activity|nucleotide binding|ATP binding
ENGB_ECOLI	C6EF37	A	GTP-binding protein HSR1-related	210	Y			ENGB_ECOLI	GTP binding|nucleotide binding
GLGA_ECOLI	C6EFE5	A	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	477	Y			GLGA_ECOLI	transferase activity, transferring glycosyl groups|starch synthase activity|transferase activity
RL24_ECOLI	C6EGF7	A	50S ribosomal protein L24	104	Y		ribosome	RL24_ECOLI	structural constituent of ribosome|RNA binding|rRNA binding
STPA_ECOLI	C6EJV6	A	DNA binding protein, nucleoid-associated (Histone family protein nucleoid-structuring protein H-NS)	134	Y			STPA_ECOLI	DNA binding
RNR_ECOLI	C6ECH0	A	Exoribonuclease R, RNase R (EC 3.1.-.-) (VacB and RNase II family 3'-5' exoribonuclease) (EC 3.1.13.1)	813	Y			RNR_ECOLI	hydrolase activity|RNA binding|exoribonuclease II activity|exonuclease activity|nuclease activity
