Entry Name	Total #Tryptic Peptides	# Detectable Tryptic Peptides	Detectable(%)	mean m/z	mean gravy	mean mass
P68066	15	9		576.751001212121	-0.395593558583755	1208.83827555556
P0ACF4	15	4		589.18944375	0.735441468253968	1178.3788875
P00350	19	13		768.974471875	-0.0580398538877784	1543.92192769231
P00370	24	17		657.672030396825	-0.269508141640495	1319.93866411765
P00448	19	10		845.445871964286	-0.453016927516928	1845.694541
P00452	24	14		678.50734	-0.0936340445269017	1437.13811285714
P00490	19	15		732.325335833333	-0.490157611609336	1636.13302
P00509	19	14		725.318570135417	-0.0607243412358425	1636.02359357143
P00547	17	9		818.232195208333	-0.0388285869903517	1835.22179222222
P00562	18	11		920.18222	0.214799029541254	1928.97644909091
P00579	14	6		676.577005833333	-0.612261904761905	1353.15401166667
P00861	17	10		867.638792264286	-0.224116074628352	1989.380957
P00864	24	13		733.415146666667	-0.420626104664566	1526.22419230769
P00887	23	11		684.735639102564	-0.473920465499413	1376.94951363636
P00888	17	11		830.599116309524	-0.189943243354078	1687.19627
P00895	17	8		910.572460530303	0.115197324838282	2109.66543375
P00903	14	8		953.055469722222	0.0492900759441708	2246.87452375
P00914	24	13		757.908748055556	-0.141924062724253	1603.77670692308
P00934	18	10		948.779455055556	0.0520588204066465	2095.55381
P00935	17	7		1064.04416931944	0.157298933907547	2444.24626714286
P00944	20	13		776.340842938596	-0.340820048800818	1716.42701692308
P00946	19	13		838.920049649123	-0.165879665206588	1690.69004615385
P00954	22	9		913.356966845238	-0.0622424180757515	1808.90014666667
P00956	26	13		707.496433175	-0.441304268119141	1514.11834923077
P00959	20	10		925.016647268519	-0.326279365079365	2104.686166
P00961	27	11		805.796230864583	-0.188380847728355	1701.94166545455
P00962	25	15		714.7180475	-0.50455215317496	1481.71069466667
P00963	27	11		796.939662598039	-0.301752686570174	1652.54037636364
P00968	19	9		942.013174015152	-0.0195983980011757	2171.06136
P02358	16	6		791.893936666667	-0.142921842650104	1561.93474333333
P02359	22	8		686.269902166667	0.0458217946269417	1382.33261125
P02413	23	6		607.992159166667	0.305361999111999	1215.98431833333
P03007	18	10		825.860315147059	-0.0731623376623377	2131.644387
P03018	23	11		784.396898531746	-0.375806364254981	1795.77953545455
P03024	21	14		715.132559122807	0.0540944013171457	1459.01206428571
P03030	21	12		816.228266583333	-0.0805301728953689	1813.42536166667
P03813	20	13		792.69015512963	0.156715307396422	1710.99475461538
P03817	8	5		1062.37304479167	0.0380797808594417	2794.379374
P04036	22	12		779.123857361111	0.139264271859381	1669.65516
P04079	19	11		871.708298055556	-0.100334896279842	2050.98302363636
P04152	29	12		745.384913809524	0.0386764502697165	1505.56186166667
P04335	21	15		707.811324579365	-0.50285405643739	1518.12664933333
P04425	22	11		844.687267239583	0.0564711294897053	1896.58037454545
